<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
H4ZA.DE,D,20200724,000000,34.635,34.705,34.45,34.475,324,0
H4ZA.DE,D,20200727,000000,34.495,34.5,34.31,34.415,600,0
H4ZA.DE,D,20200728,000000,34.45,34.5,34.24,34.43,458,0
H4ZA.DE,D,20200729,000000,34.475,34.555,34.43,34.43,5578,0
H4ZA.DE,D,20200730,000000,34.4,34.4,33.28,33.495,7360,0
H4ZA.DE,D,20200731,000000,33.55,33.76,33.03,33.03,2013,0
H4ZA.DE,D,20200803,000000,33.22,33.875,33.17,33.875,2265,0
H4ZA.DE,D,20200804,000000,34.15,34.15,33.81,33.93,2441,0
H4ZA.DE,D,20200805,000000,34.17,34.32,34.05,34.08,11068,0
H4ZA.DE,D,20200806,000000,33.97,34.1,33.73,33.81,3258,0
H4ZA.DE,D,20200807,000000,33.84,33.935,33.735,33.935,5938,0
H4ZA.DE,D,20200810,000000,34.005,34.1,33.965,34.03,1836,0
H4ZA.DE,D,20200811,000000,34.375,34.915,34.375,34.77,6504,0
H4ZA.DE,D,20200812,000000,34.645,35.095,34.645,35.095,428,0
H4ZA.DE,D,20200813,000000,35.02,35.02,34.86,34.86,216,0
H4ZA.DE,D,20200814,000000,34.715,34.715,34.185,34.48,4510,0
H4ZA.DE,D,20200817,000000,34.585,34.59,34.485,34.485,602,0
H4ZA.DE,D,20200818,000000,34.255,34.775,34.255,34.31,3902,0
H4ZA.DE,D,20200819,000000,34.215,34.63,34.175,34.63,520,0
H4ZA.DE,D,20200820,000000,34.145,34.4,34.145,34.21,2944,0
H4ZA.DE,D,20200821,000000,34.285,34.35,33.695,33.99,3465,0
H4ZA.DE,D,20200824,000000,34.49,34.785,34.49,34.76,2391,0
H4ZA.DE,D,20200825,000000,35.105,35.115,34.735,34.735,30655,0
H4ZA.DE,D,20200826,000000,34.625,35.035,34.625,35.035,6497,0
H4ZA.DE,D,20200827,000000,35.01,35.01,34.745,34.745,26755,0
H4ZA.DE,D,20200828,000000,34.805,34.805,34.55,34.615,1021,0
H4ZA.DE,D,20200831,000000,34.87,34.9,34.205,34.205,9528,0
H4ZA.DE,D,20200901,000000,34.375,34.44,33.975,34.225,16400,0
H4ZA.DE,D,20200902,000000,34.46,35.015,34.46,34.86,20556,0
H4ZA.DE,D,20200903,000000,35.285,35.39,34.505,34.505,27333,0
H4ZA.DE,D,20200904,000000,34.26,34.665,34.05,34.05,16560,0
H4ZA.DE,D,20200907,000000,34.28,34.665,34.28,34.61,6669,0
H4ZA.DE,D,20200908,000000,34.63,34.63,34.03,34.085,1544,0
H4ZA.DE,D,20200909,000000,34.23,34.77,34.23,34.77,7501,0
H4ZA.DE,D,20200910,000000,34.75,34.75,34.57,34.57,1000,0
H4ZA.DE,D,20200911,000000,34.54,34.65,34.53,34.61,5485,0
H4ZA.DE,D,20200914,000000,34.865,34.92,34.595,34.635,6712,0
H4ZA.DE,D,20200915,000000,34.675,34.845,34.615,34.82,1157,0
H4ZA.DE,D,20200916,000000,34.87,34.925,34.605,34.85,14946,0
H4ZA.DE,D,20200917,000000,34.345,34.68,34.345,34.62,3945,0
H4ZA.DE,D,20200918,000000,34.62,34.705,34.365,34.365,5695,0
H4ZA.DE,D,20200921,000000,33.975,33.98,32.98,32.98,5535,0
H4ZA.DE,D,20200922,000000,33.22,33.3,33.015,33.015,11744,0
H4ZA.DE,D,20200923,000000,33.365,33.68,33.225,33.225,4315,0
H4ZA.DE,D,20200924,000000,32.845,33.21,32.845,33.015,10531,0
H4ZA.DE,D,20200925,000000,32.92,32.93,32.505,32.775,2731,0
H4ZA.DE,D,20200928,000000,33.3,33.695,33.3,33.695,100,0
H4ZA.DE,D,20200929,000000,33.59,33.7,33.535,33.605,10876,0
H4ZA.DE,D,20200930,000000,33.37,33.615,33.29,33.425,26171,0
H4ZA.DE,D,20201001,000000,33.59,33.59,33.325,33.375,15,0
H4ZA.DE,D,20201002,000000,32.955,33.35,32.955,33.35,1927,0
H4ZA.DE,D,20201005,000000,33.675,33.675,33.55,33.64,200,0
H4ZA.DE,D,20201006,000000,33.745,33.79,33.675,33.79,22900,0
H4ZA.DE,D,20201007,000000,33.78,33.855,33.72,33.785,11402,0
H4ZA.DE,D,20201008,000000,34.02,34.08,33.815,34.03,1002,0
H4ZA.DE,D,20201009,000000,34.135,34.22,34.05,34.22,937,0
H4ZA.DE,D,20201012,000000,34.24,34.475,34.235,34.47,4252,0
H4ZA.DE,D,20201013,000000,34.435,34.435,34.27,34.27,72,0
H4ZA.DE,D,20201014,000000,34.205,34.315,34.16,34.2,1715,0
H4ZA.DE,D,20201015,000000,33.68,33.68,33.15,33.36,20673,0
H4ZA.DE,D,20201016,000000,33.65,33.945,33.55,33.945,3615,0
H4ZA.DE,D,20201019,000000,34.225,34.225,33.895,33.895,20662,0
H4ZA.DE,D,20201020,000000,33.775,33.92,33.69,33.69,918,0
H4ZA.DE,D,20201021,000000,33.81,33.81,33.25,33.25,13968,0
H4ZA.DE,D,20201022,000000,32.935,33.22,32.78,33.085,2826,0
H4ZA.DE,D,20201023,000000,33.05,33.535,33.05,33.4,1732,0
H4ZA.DE,D,20201026,000000,32.695,32.96,32.425,32.425,16597,0
H4ZA.DE,D,20201027,000000,32.44,32.44,32.03,32.05,4676,0
H4ZA.DE,D,20201028,000000,31.53,31.53,30.745,30.945,30974,0
H4ZA.DE,D,20201029,000000,31.165,31.165,30.545,30.945,5779,0
H4ZA.DE,D,20201030,000000,30.625,31.06,30.625,30.905,7443,0
H4ZA.DE,D,20201102,000000,30.865,31.645,30.865,31.595,8623,0
H4ZA.DE,D,20201103,000000,31.835,32.41,31.835,32.41,1703,0
H4ZA.DE,D,20201104,000000,31.965,33.11,31.965,33.11,840,0
H4ZA.DE,D,20201105,000000,33.38,33.575,33.315,33.575,5268,0
H4ZA.DE,D,20201106,000000,33.505,33.695,33.37,33.53,250,0
H4ZA.DE,D,20201109,000000,34,35.75,34,35.625,2824,0
H4ZA.DE,D,20201110,000000,35.695,36.065,35.62,36,2514,0
H4ZA.DE,D,20201111,000000,36.14,36.255,35.995,36.255,1573,0
H4ZA.DE,D,20201112,000000,35.93,36.155,35.85,35.85,87,0
H4ZA.DE,D,20201113,000000,35.8,36.1,35.74,35.895,1082,0
H4ZA.DE,D,20201116,000000,36.2,36.535,36.2,36.275,15794,0
H4ZA.DE,D,20201117,000000,36.215,36.275,36.1,36.275,420,0
H4ZA.DE,D,20201118,000000,36.15,36.45,36.15,36.435,4064,0
H4ZA.DE,D,20201119,000000,36.13,36.17,36.095,36.095,2851,0
H4ZA.DE,D,20201120,000000,36.12,36.285,36.12,36.275,13448,0
H4ZA.DE,D,20201123,000000,36.47,36.54,36.225,36.225,6466,0
H4ZA.DE,D,20201124,000000,36.6,36.705,36.54,36.705,4437,0
H4ZA.DE,D,20201125,000000,36.765,36.765,36.55,36.725,13823,0
H4ZA.DE,D,20201126,000000,36.825,36.825,36.715,36.715,1855,0
H4ZA.DE,D,20201127,000000,36.685,36.94,36.685,36.89,5294,0
H4ZA.DE,D,20201130,000000,36.68,36.94,36.495,36.495,11959,0
H4ZA.DE,D,20201201,000000,36.685,36.92,36.685,36.88,1143,0
H4ZA.DE,D,20201202,000000,36.72,36.81,36.72,36.81,0,0
H4ZA.DE,D,20201203,000000,36.815,36.825,36.655,36.8,2926,0
H4ZA.DE,D,20201204,000000,36.82,37.025,36.82,37.025,3680,0
H4ZA.DE,D,20201207,000000,36.85,36.92,36.68,36.92,10036,0
H4ZA.DE,D,20201208,000000,36.87,36.9,36.66,36.9,3100,0
H4ZA.DE,D,20201209,000000,37.03,37.18,36.93,36.93,18618,0
H4ZA.DE,D,20201210,000000,37.01,37.01,36.855,36.855,540,0
H4ZA.DE,D,20201211,000000,36.73,36.73,36.255,36.48,12063,0
H4ZA.DE,D,20201214,000000,36.96,36.96,36.69,36.69,9485,0
H4ZA.DE,D,20201215,000000,36.675,36.895,36.675,36.845,7742,0
H4ZA.DE,D,20201216,000000,36.93,37.26,36.93,37.095,3930,0
H4ZA.DE,D,20201217,000000,37.39,37.39,37.235,37.255,5410,0
H4ZA.DE,D,20201218,000000,37.145,37.4,37.065,37.065,6500,0
H4ZA.DE,D,20201221,000000,36.225,36.32,35.85,36.11,12058,0
H4ZA.DE,D,20201222,000000,36.31,36.525,36.31,36.525,5613,0
H4ZA.DE,D,20201223,000000,36.7,37.04,36.7,37.02,216,0
H4ZA.DE,D,20201228,000000,37.3,37.435,37.3,37.42,789,0
H4ZA.DE,D,20201229,000000,37.595,37.67,37.445,37.445,3278,0
H4ZA.DE,D,20201230,000000,37.435,37.475,37.37,37.37,1239,0
H4ZA.DE,D,20210104,000000,37.69,37.8,37.245,37.245,8499,0
H4ZA.DE,D,20210105,000000,37.215,37.32,36.9,37.14,2041,0
H4ZA.DE,D,20210106,000000,37.36,37.76,37.36,37.76,265,0
H4ZA.DE,D,20210107,000000,37.91,38.045,37.78,37.925,3560,0
H4ZA.DE,D,20210108,000000,38.24,38.24,38.06,38.145,1064,0
H4ZA.DE,D,20210111,000000,38.02,38.02,37.745,37.875,6335,0
H4ZA.DE,D,20210112,000000,38.035,38.035,37.78,37.78,4200,0
H4ZA.DE,D,20210113,000000,37.82,37.855,37.755,37.855,896,0
H4ZA.DE,D,20210114,000000,37.98,38.145,37.98,38.145,16571,0
H4ZA.DE,D,20210115,000000,37.95,38.055,37.535,37.695,9320,0
H4ZA.DE,D,20210118,000000,37.525,37.755,37.525,37.755,2766,0
H4ZA.DE,D,20210119,000000,37.915,37.915,37.67,37.67,551,0
H4ZA.DE,D,20210120,000000,37.805,37.975,37.805,37.975,47,0
H4ZA.DE,D,20210121,000000,38.235,38.235,37.89,37.89,110,0
H4ZA.DE,D,20210122,000000,37.765,37.765,37.49,37.735,12781,0
H4ZA.DE,D,20210125,000000,37.905,37.905,37.215,37.24,8490,0
H4ZA.DE,D,20210126,000000,37.29,37.8,37.29,37.64,8294,0
H4ZA.DE,D,20210127,000000,37.435,37.58,36.73,37.08,1152,0
H4ZA.DE,D,20210128,000000,36.53,37.125,36.345,37.125,6857,0
H4ZA.DE,D,20210129,000000,36.54,36.75,36.29,36.29,2341,0
H4ZA.DE,D,20210201,000000,36.62,36.89,36.62,36.8,2971,0
H4ZA.DE,D,20210202,000000,37.09,37.46,37.09,37.46,3176,0
H4ZA.DE,D,20210203,000000,37.85,37.85,37.57,37.615,7149,0
H4ZA.DE,D,20210204,000000,37.705,38.04,37.705,38.01,8788,0
H4ZA.DE,D,20210205,000000,38.07,38.26,38.07,38.16,110,0
H4ZA.DE,D,20210208,000000,38.33,38.4,38.245,38.245,3957,0
H4ZA.DE,D,20210209,000000,38.245,38.25,38.16,38.225,6237,0
H4ZA.DE,D,20210210,000000,38.335,38.335,38.03,38.03,15238,0
H4ZA.DE,D,20210211,000000,38.105,38.28,38.105,38.28,325,0
H4ZA.DE,D,20210212,000000,38.2,38.54,38.2,38.54,6807,0
H4ZA.DE,D,20210215,000000,38.755,38.97,38.755,38.945,5,0
H4ZA.DE,D,20210216,000000,38.97,38.97,38.84,38.86,67,0
H4ZA.DE,D,20210217,000000,38.715,38.765,38.555,38.555,6410,0
H4ZA.DE,D,20210218,000000,38.65,38.65,38.37,38.37,3831,0
H4ZA.DE,D,20210219,000000,38.465,38.795,38.46,38.735,5891,0
H4ZA.DE,D,20210222,000000,38.4,38.615,38.4,38.615,1921,0
H4ZA.DE,D,20210223,000000,38.63,38.63,38.1,38.49,31628,0
H4ZA.DE,D,20210224,000000,38.635,38.675,38.46,38.66,11098,0
H4ZA.DE,D,20210225,000000,38.86,38.86,38.4,38.4,3511,0
H4ZA.DE,D,20210226,000000,37.88,38.075,37.88,37.935,16623,0
H4ZA.DE,D,20210301,000000,38.48,38.69,38.33,38.66,921,0
H4ZA.DE,D,20210302,000000,38.525,38.845,38.525,38.67,3497,0
H4ZA.DE,D,20210303,000000,38.92,38.98,38.735,38.735,461,0
H4ZA.DE,D,20210304,000000,38.595,38.74,38.56,38.69,717,0
H4ZA.DE,D,20210305,000000,38.34,38.56,38.315,38.315,59,0
H4ZA.DE,D,20210308,000000,38.535,39.215,38.535,39.215,442,0
H4ZA.DE,D,20210309,000000,39.25,39.54,39.25,39.5,147,0
H4ZA.DE,D,20210310,000000,39.47,39.87,39.45,39.87,6727,0
H4ZA.DE,D,20210311,000000,40.005,40.12,39.935,40.12,299,0
H4ZA.DE,D,20210312,000000,39.91,39.975,39.85,39.975,3038,0
H4ZA.DE,D,20210315,000000,40.16,40.16,39.86,39.925,5701,0
H4ZA.DE,D,20210316,000000,40.11,40.225,40.11,40.17,6730,0
H4ZA.DE,D,20210317,000000,40.19,40.255,40.075,40.2,107461,0
H4ZA.DE,D,20210318,000000,40.395,40.42,40.27,40.385,21776,0
H4ZA.DE,D,20210319,000000,40.13,40.225,40.035,40.035,3880,0
H4ZA.DE,D,20210322,000000,39.84,40.105,39.84,40.035,991,0
H4ZA.DE,D,20210323,000000,39.825,40.05,39.825,39.965,1838,0
H4ZA.DE,D,20210324,000000,39.73,40.02,39.73,40.005,26175,0
H4ZA.DE,D,20210325,000000,39.825,40.045,39.665,40.045,79727,0
H4ZA.DE,D,20210326,000000,40.385,40.425,40.225,40.425,45930,0
H4ZA.DE,D,20210329,000000,40.545,40.635,40.44,40.585,23705,0
H4ZA.DE,D,20210330,000000,40.82,41.065,40.775,41.045,30591,0
H4ZA.DE,D,20210331,000000,41.02,41.02,40.95,40.965,7886,0
H4ZA.DE,D,20210401,000000,41.09,41.275,41.075,41.275,34705,0
H4ZA.DE,D,20210406,000000,41.58,41.65,41.55,41.55,19902,0
H4ZA.DE,D,20210407,000000,41.455,41.51,41.39,41.41,7456,0
H4ZA.DE,D,20210408,000000,41.56,41.635,41.5,41.635,1102,0
H4ZA.DE,D,20210409,000000,41.58,41.68,41.545,41.615,11560,0
H4ZA.DE,D,20210412,000000,41.54,41.615,41.44,41.44,1916,0
H4ZA.DE,D,20210413,000000,41.54,41.6,41.48,41.48,4182,0
H4ZA.DE,D,20210414,000000,41.565,41.595,41.52,41.565,13836,0
H4ZA.DE,D,20210415,000000,41.65,41.8,41.64,41.775,5964,0
H4ZA.DE,D,20210416,000000,41.78,42.21,41.78,42.2,1268,0
H4ZA.DE,D,20210419,000000,42.22,42.235,42.05,42.05,1815,0
H4ZA.DE,D,20210420,000000,42.03,42.03,41.2,41.25,3718,0
H4ZA.DE,D,20210421,000000,41.51,41.67,41.43,41.65,1049,0
H4ZA.DE,D,20210422,000000,41.785,42.05,41.785,42.025,9548,0
H4ZA.DE,D,20210423,000000,41.96,42.025,41.775,42.025,267,0
H4ZA.DE,D,20210426,000000,42,42.1,41.93,42.08,2736,0
H4ZA.DE,D,20210427,000000,42.075,42.075,41.985,41.985,686,0
H4ZA.DE,D,20210428,000000,42.095,42.11,41.99,42.1,408,0
H4ZA.DE,D,20210429,000000,42.175,42.175,41.84,41.9,197,0
H4ZA.DE,D,20210430,000000,41.975,41.99,41.68,41.68,806,0
H4ZA.DE,D,20210503,000000,41.805,42.035,41.665,42.005,5356,0
H4ZA.DE,D,20210504,000000,42.085,42.115,41.175,41.175,9331,0
H4ZA.DE,D,20210505,000000,41.575,42.065,41.575,42.065,2400,0
H4ZA.DE,D,20210506,000000,42.245,42.395,41.955,42.105,573,0
H4ZA.DE,D,20210507,000000,42.39,42.525,42.235,42.525,2805,0
H4ZA.DE,D,20210510,000000,42.565,42.565,42.405,42.435,3579,0
H4ZA.DE,D,20210511,000000,41.93,41.93,41.31,41.605,16807,0
H4ZA.DE,D,20210512,000000,41.66,41.735,41.58,41.635,1166,0
H4ZA.DE,D,20210513,000000,41.09,41.77,41.04,41.77,790,0
H4ZA.DE,D,20210514,000000,42.02,42.445,41.89,42.445,3544,0
H4ZA.DE,D,20210517,000000,42.495,42.545,42.28,42.33,9343,0
H4ZA.DE,D,20210518,000000,42.64,42.64,42.335,42.335,3251,0
H4ZA.DE,D,20210519,000000,41.845,41.895,41.2,41.62,1409,0
H4ZA.DE,D,20210520,000000,41.86,42.295,41.755,42.295,1102,0
H4ZA.DE,D,20210521,000000,42.405,42.57,42.405,42.55,1205,0
H4ZA.DE,D,20210525,000000,42.87,42.935,42.715,42.715,1857,0
H4ZA.DE,D,20210526,000000,42.87,42.87,42.63,42.645,858,0
H4ZA.DE,D,20210527,000000,42.58,42.9,42.58,42.75,1182,0
H4ZA.DE,D,20210528,000000,42.835,43.06,42.835,43.05,5232,0
H4ZA.DE,D,20210531,000000,43.05,43.06,42.73,42.73,9410,0
