<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
H4ZB.DE,D,20200724,000000,66.27,66.66,66.08,66.31,3400,0
H4ZB.DE,D,20200727,000000,65.99,66.11,65.84,65.84,1027,0
H4ZB.DE,D,20200728,000000,66.17,66.66,66.1,66.66,42,0
H4ZB.DE,D,20200729,000000,66.7,66.98,66.55,66.6,7180,0
H4ZB.DE,D,20200730,000000,66.59,66.59,65.23,65.38,316,0
H4ZB.DE,D,20200731,000000,65.19,65.56,64.56,64.56,3200,0
H4ZB.DE,D,20200803,000000,64.65,66.05,64.65,66.05,227,0
H4ZB.DE,D,20200804,000000,66.27,66.27,65.83,66,1500,0
H4ZB.DE,D,20200805,000000,66.5,66.56,66.26,66.41,510,0
H4ZB.DE,D,20200806,000000,66.03,66.03,65.67,65.96,0,0
H4ZB.DE,D,20200807,000000,65.88,65.91,65.78,65.91,1132,0
H4ZB.DE,D,20200810,000000,66.31,66.58,66.28,66.46,100,0
H4ZB.DE,D,20200811,000000,67.07,68.06,67.07,67.49,2335,0
H4ZB.DE,D,20200812,000000,67.55,68.58,67.55,68.58,1096,0
H4ZB.DE,D,20200813,000000,68.02,68.07,67.8,67.8,0,0
H4ZB.DE,D,20200814,000000,67.4,67.4,66.78,66.83,1035,0
H4ZB.DE,D,20200817,000000,66.89,67.02,66.85,66.96,554,0
H4ZB.DE,D,20200818,000000,66.69,67.36,66.48,66.7,2845,0
H4ZB.DE,D,20200819,000000,66.54,67.15,66.54,67.15,673,0
H4ZB.DE,D,20200820,000000,65.93,66.53,65.93,66.33,2366,0
H4ZB.DE,D,20200821,000000,66.51,66.51,66.03,66.14,362,0
H4ZB.DE,D,20200824,000000,66.92,67.29,66.83,67.06,2908,0
H4ZB.DE,D,20200825,000000,67.55,67.55,66.43,66.43,3136,0
H4ZB.DE,D,20200826,000000,66.23,66.93,66.23,66.93,0,0
H4ZB.DE,D,20200827,000000,66.86,67.12,66.66,66.66,3816,0
H4ZB.DE,D,20200828,000000,66.7,66.7,66.33,66.33,2697,0
H4ZB.DE,D,20200831,000000,66.3,66.36,65.94,65.94,168,0
H4ZB.DE,D,20200901,000000,66.01,66.06,65.38,65.38,1076,0
H4ZB.DE,D,20200902,000000,65.91,66.5,65.91,66.27,28,0
H4ZB.DE,D,20200903,000000,66.96,66.96,65.15,65.15,8856,0
H4ZB.DE,D,20200904,000000,64.59,65.65,64.5,64.5,7400,0
H4ZB.DE,D,20200907,000000,65,65.7,64.99,65.7,2404,0
H4ZB.DE,D,20200908,000000,66.02,66.02,64.99,65.04,3318,0
H4ZB.DE,D,20200909,000000,64.88,65.93,64.88,65.93,3330,0
H4ZB.DE,D,20200910,000000,65.81,65.81,64.6,64.6,0,0
H4ZB.DE,D,20200911,000000,64.6,65.12,64.6,64.81,9154,0
H4ZB.DE,D,20200914,000000,65.34,65.37,64.94,65.09,1026,0
H4ZB.DE,D,20200915,000000,65.06,65.96,65.06,65.96,0,0
H4ZB.DE,D,20200916,000000,65.91,66.4,65.83,66.4,153,0
H4ZB.DE,D,20200917,000000,65.7,65.97,65.7,65.97,880,0
H4ZB.DE,D,20200918,000000,65.65,66.02,65.37,65.37,70,0
H4ZB.DE,D,20200921,000000,64.26,64.26,62.95,62.95,819,0
H4ZB.DE,D,20200922,000000,63.29,63.42,63.07,63.07,7337,0
H4ZB.DE,D,20200923,000000,63.57,64.64,63.57,64.27,3244,0
H4ZB.DE,D,20200924,000000,63.31,64.14,63.31,63.49,1488,0
H4ZB.DE,D,20200925,000000,63.54,63.75,62.95,63.62,125,0
H4ZB.DE,D,20200928,000000,64.8,65.24,64.73,65.12,85,0
H4ZB.DE,D,20200929,000000,64.84,64.84,64.35,64.36,4092,0
H4ZB.DE,D,20200930,000000,63.97,64.76,63.97,64.4,1368,0
H4ZB.DE,D,20201001,000000,64.81,64.85,64.3,64.3,2507,0
H4ZB.DE,D,20201002,000000,63.58,64.96,63.58,64.96,50,0
H4ZB.DE,D,20201005,000000,65.53,65.53,65.19,65.2,246,0
H4ZB.DE,D,20201006,000000,65.24,65.57,65.01,65.14,20563,0
H4ZB.DE,D,20201007,000000,65.23,65.39,64.84,65.05,7250,0
