<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
H9Y.DE,D,20070309,000000,34.368518,34.368518,32.47825,32.831482,88517,0
H9Y.DE,D,20070312,000000,32.841029,33.127433,32.697826,32.936497,32225,0
H9Y.DE,D,20070313,000000,32.888763,33.213354,32.459156,32.697826,23262,0
H9Y.DE,D,20070314,000000,32.363688,32.650092,31.695411,32.315954,35829,0
H9Y.DE,D,20070315,000000,32.459156,32.459156,31.809973,32.459156,25493,0
H9Y.DE,D,20070316,000000,32.459156,32.831482,32.420969,32.736014,8045,0
H9Y.DE,D,20070319,000000,32.841029,32.841029,31.743145,32.602358,10654,0
H9Y.DE,D,20070320,000000,32.554624,32.554624,31.895894,32.459156,1107,0
H9Y.DE,D,20070321,000000,32.459156,32.821935,31.81952,32.697826,6537,0
H9Y.DE,D,20070322,000000,32.74556,32.783748,32.048643,32.440062,5867,0
H9Y.DE,D,20070323,000000,32.440062,32.697826,31.886347,32.697826,2484,0
H9Y.DE,D,20070326,000000,31.800426,32.459156,31.790879,32.363688,3331,0
H9Y.DE,D,20070327,000000,32.449609,32.449609,31.905441,32.411422,1487,0
H9Y.DE,D,20070328,000000,32.411422,32.411422,31.943628,32.172752,786,0
H9Y.DE,D,20070329,000000,32.172752,32.697826,32.172752,32.440062,11010,0
H9Y.DE,D,20070330,000000,32.411422,33.031965,32.363688,32.841029,29012,0
H9Y.DE,D,20070402,000000,32.936497,32.936497,32.459156,32.936497,2249,0
H9Y.DE,D,20070403,000000,32.459156,32.50689,31.886347,32.459156,4260,0
H9Y.DE,D,20070404,000000,32.621452,32.640545,32.02955,32.640545,1348,0
H9Y.DE,D,20070405,000000,32.459156,33.413837,32.459156,33.16562,8507,0
H9Y.DE,D,20070410,000000,33.175167,33.881631,32.936497,33.881631,20399,0
H9Y.DE,D,20070411,000000,33.891178,33.891178,33.318369,33.700241,21508,0
H9Y.DE,D,20070412,000000,33.509305,33.700241,33.413837,33.700241,5000,0
H9Y.DE,D,20070413,000000,33.891178,34.27305,33.891178,34.072567,16940,0
H9Y.DE,D,20070416,000000,34.082114,34.263503,33.413837,33.700241,9032,0
H9Y.DE,D,20070417,000000,33.891178,33.986646,33.652507,33.700241,3027,0
H9Y.DE,D,20070418,000000,33.938912,33.938912,33.623867,33.881631,8967,0
H9Y.DE,D,20070419,000000,33.843444,34.129848,33.61432,33.652507,3944,0
H9Y.DE,D,20070420,000000,34.082114,34.082114,33.652507,33.79571,5689,0
H9Y.DE,D,20070423,000000,34.082114,34.082114,33.604773,33.604773,8163,0
H9Y.DE,D,20070424,000000,33.700241,33.843444,33.366103,33.413837,20437,0
H9Y.DE,D,20070425,000000,33.413837,33.413837,33.031965,33.40429,3232,0
H9Y.DE,D,20070426,000000,33.413837,33.413837,33.194261,33.413837,3403,0
H9Y.DE,D,20070427,000000,33.413837,33.413837,33.031965,33.413837,5955,0
H9Y.DE,D,20070430,000000,33.041512,33.413837,32.946043,33.031965,9409,0
H9Y.DE,D,20070502,000000,33.031965,33.175167,32.850575,32.850575,5860,0
H9Y.DE,D,20070503,000000,33.318369,33.318369,32.68828,32.697826,9963,0
H9Y.DE,D,20070504,000000,32.669186,33.041512,32.230033,32.459156,13007,0
H9Y.DE,D,20070507,000000,32.554624,32.92695,32.373235,32.373235,19402,0
H9Y.DE,D,20070508,000000,32.411422,32.411422,31.838613,31.838613,16336,0
H9Y.DE,D,20070509,000000,31.981816,32.430516,31.504475,31.743145,8902,0
H9Y.DE,D,20070510,000000,31.599943,32.71692,31.599943,32.420969,52102,0
H9Y.DE,D,20070511,000000,31.991362,32.459156,31.494928,32.459156,2573,0
H9Y.DE,D,20070514,000000,32.459156,32.841029,32.230033,32.459156,15662,0
H9Y.DE,D,20070515,000000,32.468703,32.936497,32.459156,32.936497,2301,0
H9Y.DE,D,20070516,000000,32.554624,33.022418,32.554624,32.669186,2614,0
H9Y.DE,D,20070517,000000,32.554624,32.554624,32.554624,32.554624,2105,0
H9Y.DE,D,20070518,000000,32.650092,32.697826,32.650092,32.650092,841,0
H9Y.DE,D,20070521,000000,32.459156,32.936497,32.459156,32.888763,21250,0
H9Y.DE,D,20070522,000000,32.888763,33.461571,32.459156,33.127433,21161,0
H9Y.DE,D,20070523,000000,33.031965,33.079699,32.50689,32.774201,4775,0
H9Y.DE,D,20070524,000000,32.459156,32.888763,31.504475,32.564171,15930,0
H9Y.DE,D,20070525,000000,32.554624,32.888763,32.459156,32.888763,11900,0
H9Y.DE,D,20070528,000000,32.554624,32.888763,32.459156,32.888763,11900,0
H9Y.DE,D,20070529,000000,32.468703,32.74556,32.459156,32.459156,1320,0
H9Y.DE,D,20070530,000000,32.554624,32.917403,32.02955,32.02955,3512,0
H9Y.DE,D,20070531,000000,32.125018,32.936497,31.991362,32.936497,4656,0
H9Y.DE,D,20070601,000000,32.888763,32.984231,32.363688,32.841029,2136,0
H9Y.DE,D,20070604,000000,32.411422,32.841029,32.182299,32.841029,1326,0
H9Y.DE,D,20070605,000000,32.459156,32.697826,32.26822,32.26822,6293,0
H9Y.DE,D,20070606,000000,32.26822,32.459156,31.838613,32.315954,5758,0
H9Y.DE,D,20070607,000000,32.459156,32.459156,32.26822,32.363688,2015,0
H9Y.DE,D,20070608,000000,32.26822,32.459156,31.504475,32.449609,15602,0
H9Y.DE,D,20070611,000000,32.125018,32.125018,31.695411,31.695411,560,0
H9Y.DE,D,20070612,000000,31.695411,32.258673,31.514022,31.981816,5217,0
H9Y.DE,D,20070613,000000,31.695411,31.886347,31.027135,31.504475,6811,0
H9Y.DE,D,20070614,000000,31.504475,31.981816,31.504475,31.981816,18417,0
H9Y.DE,D,20070615,000000,31.981816,31.981816,31.504475,31.504475,17949,0
H9Y.DE,D,20070618,000000,31.504475,31.962722,31.027135,31.962722,5998,0
H9Y.DE,D,20070619,000000,31.504475,31.695411,31.361273,31.361273,2757,0
H9Y.DE,D,20070620,000000,31.790879,31.81952,31.695411,31.81952,1527,0
H9Y.DE,D,20070621,000000,31.981816,32.315954,30.883932,31.886347,8408,0
H9Y.DE,D,20070622,000000,31.981816,31.981816,31.504475,31.743145,2670,0
