<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HFG.DE,D,20171102,000000,10.6,10.89,10.345,10.595,4986004,0
HFG.DE,D,20171103,000000,10.55,10.55,10.1,10.25,1257019,0
HFG.DE,D,20171106,000000,10.29,10.29,10.05,10.1,672481,0
HFG.DE,D,20171107,000000,10.1,10.1,9.6,9.6,1033474,0
HFG.DE,D,20171108,000000,9.513,9.513,8.919,9.07,825505,0
HFG.DE,D,20171109,000000,9.101,9.22,8.9,9.22,530927,0
HFG.DE,D,20171110,000000,9.149,9.154,8.9,9,1181037,0
HFG.DE,D,20171113,000000,9,9,8.876,8.9,494627,0
HFG.DE,D,20171114,000000,9,9,8.8,8.905,400431,0
HFG.DE,D,20171115,000000,9,9.971,8.905,9.35,403976,0
HFG.DE,D,20171116,000000,9.522,9.979,9.348,9.798,244447,0
HFG.DE,D,20171117,000000,9.9,10.4,9.7,9.8,167714,0
HFG.DE,D,20171120,000000,9.977,10.035,9.7,9.75,177119,0
HFG.DE,D,20171121,000000,9.93,10.25,9.754,10.25,187063,0
HFG.DE,D,20171122,000000,10.3,10.3,9.991,10.2,63533,0
HFG.DE,D,20171123,000000,10.1,10.23,9.95,10.23,37804,0
HFG.DE,D,20171124,000000,10.3,10.3,10,10.25,31819,0
HFG.DE,D,20171127,000000,10.27,10.285,10.2,10.25,63855,0
HFG.DE,D,20171128,000000,10.25,10.3,9.899,10.115,87106,0
HFG.DE,D,20171129,000000,10.145,10.145,9.95,10.05,46501,0
HFG.DE,D,20171130,000000,10,10.1,9.85,10.1,113531,0
HFG.DE,D,20171201,000000,9.915,10.25,9.861,10.25,344251,0
HFG.DE,D,20171204,000000,9.841,10.12,9.761,9.89,81926,0
HFG.DE,D,20171205,000000,9.928,9.999,9.8,9.806,81953,0
HFG.DE,D,20171206,000000,9.8,9.85,9.66,9.689,22712,0
HFG.DE,D,20171207,000000,9.61,9.785,9.41,9.75,100437,0
HFG.DE,D,20171208,000000,9.784,9.95,9.499,9.852,68194,0
HFG.DE,D,20171211,000000,9.731,9.996,9.731,9.796,20972,0
HFG.DE,D,20171212,000000,9.977,9.982,9.721,9.758,75687,0
HFG.DE,D,20171213,000000,9.883,10.195,9.71,10.09,82095,0
HFG.DE,D,20171214,000000,10,11.79,10,11.575,545208,0
HFG.DE,D,20171215,000000,11.375,12.67,11.285,11.985,284755,0
HFG.DE,D,20171218,000000,12.195,12.2,10.85,11.455,30415,0
HFG.DE,D,20171219,000000,11.645,12.24,11.5,11.97,52109,0
HFG.DE,D,20171220,000000,12.015,12.265,11.875,12,43826,0
HFG.DE,D,20171221,000000,12,12.165,11.75,12.06,27488,0
HFG.DE,D,20171222,000000,12.12,12.12,11.895,11.91,17380,0
HFG.DE,D,20171227,000000,12,12,11.6,11.76,19819,0
HFG.DE,D,20171228,000000,11.9,11.9,11.53,11.6,17006,0
HFG.DE,D,20171229,000000,11.805,12,11.805,11.9,24561,0
HFG.DE,D,20180102,000000,11.69,12,11.66,11.9,9305,0
HFG.DE,D,20180103,000000,12,12.05,11.81,11.9,47828,0
HFG.DE,D,20180104,000000,11.85,11.96,11.69,11.75,21115,0
HFG.DE,D,20180105,000000,11.77,12.05,11.77,12.01,85015,0
HFG.DE,D,20180108,000000,12,12.05,11.85,11.98,66841,0
HFG.DE,D,20180109,000000,11.98,12,11.85,11.89,23092,0
HFG.DE,D,20180110,000000,11.85,11.9,11.13,11.39,17762,0
HFG.DE,D,20180111,000000,11.59,11.61,11.39,11.58,20598,0
HFG.DE,D,20180112,000000,11.78,11.8,11.52,11.65,24360,0
HFG.DE,D,20180115,000000,11.65,11.66,11.54,11.56,16908,0
HFG.DE,D,20180116,000000,11.55,11.69,11.54,11.6,4339,0
HFG.DE,D,20180117,000000,11.5,11.5,11.09,11.28,4131,0
HFG.DE,D,20180118,000000,11.3,11.4,11.21,11.27,3024,0
HFG.DE,D,20180119,000000,11.27,11.31,11.16,11.22,3859,0
HFG.DE,D,20180122,000000,11.02,11.38,11.02,11.25,14853,0
HFG.DE,D,20180123,000000,11.35,11.59,11,11.35,38174,0
HFG.DE,D,20180124,000000,11.25,11.65,11.25,11.35,50746,0
HFG.DE,D,20180125,000000,11.55,11.7,11.46,11.6,53187,0
HFG.DE,D,20180126,000000,11.55,11.9,11.47,11.75,61328,0
HFG.DE,D,20180129,000000,11.75,12,11.75,11.92,92818,0
HFG.DE,D,20180130,000000,12.6,13,12.19,12.54,260413,0
HFG.DE,D,20180131,000000,12.31,12.6,11.93,12.5,75441,0
HFG.DE,D,20180201,000000,12.7,12.86,12.62,12.8,57059,0
HFG.DE,D,20180202,000000,12.9,13.55,12.9,13.15,71916,0
HFG.DE,D,20180205,000000,13.38,13.38,12.72,12.83,116226,0
HFG.DE,D,20180206,000000,12.6,13.19,11.85,12.97,74672,0
HFG.DE,D,20180207,000000,13.2,13.2,12.77,12.96,26869,0
HFG.DE,D,20180208,000000,13.18,13.58,12.91,13,12186,0
HFG.DE,D,20180209,000000,13.08,13.25,12.37,13.25,68545,0
HFG.DE,D,20180212,000000,13.56,14.22,13.2,13.4,39266,0
HFG.DE,D,20180213,000000,13.6,13.64,12.9,13,59169,0
HFG.DE,D,20180214,000000,13.09,13.1,12.55,12.8,84711,0
HFG.DE,D,20180215,000000,13,13.39,12.75,13.14,22244,0
HFG.DE,D,20180216,000000,13.38,13.5,12.89,12.94,20234,0
HFG.DE,D,20180219,000000,12.9,13.3,12.9,13.24,16453,0
HFG.DE,D,20180220,000000,13.24,13.3,13.02,13.25,5961,0
HFG.DE,D,20180221,000000,13.3,13.61,13.17,13.48,14022,0
HFG.DE,D,20180222,000000,13.5,13.5,13.16,13.21,11695,0
HFG.DE,D,20180223,000000,13.15,13.45,13.11,13.2,4306,0
HFG.DE,D,20180226,000000,13.22,13.5,13.11,13.28,19330,0
HFG.DE,D,20180227,000000,13.28,13.5,13.28,13.5,33335,0
HFG.DE,D,20180228,000000,13.59,13.62,13.42,13.45,8926,0
HFG.DE,D,20180301,000000,13.45,13.49,12.85,12.91,11824,0
HFG.DE,D,20180302,000000,12.76,12.77,12,12.27,48781,0
HFG.DE,D,20180305,000000,12.51,12.6,11.95,12.25,81272,0
HFG.DE,D,20180306,000000,12.4,12.75,12.16,12.35,24233,0
HFG.DE,D,20180307,000000,12.41,12.62,12.14,12.14,9652,0
HFG.DE,D,20180308,000000,12.12,12.34,12.05,12.3,37566,0
HFG.DE,D,20180309,000000,12.44,12.64,12.05,12.53,32024,0
HFG.DE,D,20180312,000000,12.51,12.6,12.4,12.46,9395,0
HFG.DE,D,20180313,000000,12.61,12.61,12.25,12.31,5473,0
HFG.DE,D,20180314,000000,12.45,12.49,12.32,12.34,9498,0
HFG.DE,D,20180315,000000,12.37,13.2,12.37,12.95,32250,0
HFG.DE,D,20180316,000000,13.11,13.2,12.91,12.98,19167,0
HFG.DE,D,20180319,000000,13.14,13.32,12.83,13.2,53508,0
HFG.DE,D,20180320,000000,13.15,13.93,13.15,13.8,64567,0
HFG.DE,D,20180321,000000,14.49,14.88,14.23,14.31,98328,0
HFG.DE,D,20180322,000000,14.38,14.52,13.8,13.85,63019,0
HFG.DE,D,20180323,000000,13.61,13.99,13.35,13.4,44132,0
HFG.DE,D,20180326,000000,13.5,13.89,13.5,13.7,25519,0
HFG.DE,D,20180327,000000,13.86,13.98,13.72,13.73,32625,0
HFG.DE,D,20180328,000000,13.89,13.89,13.17,13.21,53712,0
HFG.DE,D,20180329,000000,13.37,13.46,13.27,13.28,22218,0
HFG.DE,D,20180403,000000,13.43,13.43,12.68,12.86,54527,0
HFG.DE,D,20180404,000000,12.99,13.08,12.7,12.78,11331,0
HFG.DE,D,20180405,000000,12.98,13.1,12.83,12.86,13620,0
HFG.DE,D,20180406,000000,12.96,13.05,12.73,12.9,23629,0
HFG.DE,D,20180409,000000,13.05,13.06,12.69,12.8,24356,0
HFG.DE,D,20180410,000000,12.95,13.18,12.82,13.1,19070,0
HFG.DE,D,20180411,000000,13.19,13.2,12.87,13.05,17764,0
HFG.DE,D,20180412,000000,13.08,13.28,12.91,13.07,21290,0
HFG.DE,D,20180413,000000,13.1,13.62,12.91,13.2,50464,0
HFG.DE,D,20180416,000000,13.36,13.68,13.25,13.53,26602,0
HFG.DE,D,20180417,000000,13.68,14.14,13.53,13.68,29876,0
HFG.DE,D,20180418,000000,13.84,14,13.3,13.36,45909,0
HFG.DE,D,20180419,000000,12.16,12.38,11.77,11.95,1250106,0
HFG.DE,D,20180420,000000,11.95,12.24,11.8,12.15,373725,0
HFG.DE,D,20180423,000000,12.2,12.24,11.9,12.21,53845,0
HFG.DE,D,20180424,000000,12.2,12.23,11.86,12,153145,0
HFG.DE,D,20180425,000000,11.99,11.99,11.6,11.7,56152,0
HFG.DE,D,20180426,000000,11.71,11.71,11.55,11.6,26765,0
HFG.DE,D,20180427,000000,11.61,12.14,11.61,11.9,101782,0
HFG.DE,D,20180430,000000,11.85,12,11.72,11.79,31218,0
HFG.DE,D,20180502,000000,11.79,11.87,11.65,11.7,31363,0
