<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBB1.DE,D,20191113,000000,5.098796,5.1165,5.098796,5.111442,33779,0
IBB1.DE,D,20191114,000000,5.121289,5.137833,5.121289,5.137833,26017,0
IBB1.DE,D,20191115,000000,5.127001,5.136455,5.125228,5.130546,33387,0
IBB1.DE,D,20191118,000000,5.12838,5.144726,5.121289,5.139606,53708,0
IBB1.DE,D,20191119,000000,5.135076,5.147484,5.135076,5.146893,20418,0
IBB1.DE,D,20191120,000000,5.1658,5.166391,5.157134,5.157134,17538,0
IBB1.DE,D,20191121,000000,5.164618,5.164618,5.154771,5.154771,10129,0
IBB1.DE,D,20191122,000000,5.150635,5.160482,5.143742,5.154377,81306,0
IBB1.DE,D,20191125,000000,5.148075,5.155362,5.14512,5.155362,14561,0
IBB1.DE,D,20191126,000000,5.157134,5.166194,5.157134,5.164028,9774,0
IBB1.DE,D,20191127,000000,5.162058,5.162058,5.150241,5.150241,23032,0
IBB1.DE,D,20191128,000000,5.153786,5.155756,5.144529,5.144529,18418,0
IBB1.DE,D,20191129,000000,5.149256,5.15162,5.142954,5.142954,10698,0
IBB1.DE,D,20191202,000000,5.125031,5.129758,5.11932,5.129758,43341,0
IBB1.DE,D,20191203,000000,5.124441,5.177223,5.124441,5.177223,24672,0
IBB1.DE,D,20191204,000000,5.174072,5.174072,5.145317,5.145317,23262,0
IBB1.DE,D,20191205,000000,5.147878,5.150438,5.133697,5.137833,16002,0
IBB1.DE,D,20191206,000000,5.136258,5.140394,5.119123,5.123456,28402,0
IBB1.DE,D,20191209,000000,5.127395,5.132909,5.127395,5.127592,27872,0
IBB1.DE,D,20191210,000000,5.131728,5.134879,5.119714,5.119714,25863,0
IBB1.DE,D,20191211,000000,5.125228,5.130546,5.123456,5.130546,15500,0
IBB1.DE,D,20191212,000000,5.13547,5.141181,5.102579,5.102579,11046,0
IBB1.DE,D,20191213,000000,5.096671,5.130743,5.096671,5.12641,116246,0
IBB1.DE,D,20191216,000000,5.119517,5.119517,5.102382,5.103367,96090,0
IBB1.DE,D,20191217,000000,5.111836,5.113805,5.105927,5.106321,13618,0
IBB1.DE,D,20191218,000000,5.108685,5.109866,5.086035,5.086035,54246,0
IBB1.DE,D,20191219,000000,5.089777,5.092338,5.07993,5.092338,186863,0
IBB1.DE,D,20191220,000000,5.08702,5.090762,5.082293,5.087808,181040,0
IBB1.DE,D,20191223,000000,5.098049,5.098049,5.085445,5.08958,25609,0
IBB1.DE,D,20191227,000000,5.098443,5.113411,5.098443,5.108685,8857,0
IBB1.DE,D,20191230,000000,5.105336,5.105336,5.090368,5.090368,8500,0
IBB1.DE,D,20200102,000000,5.07737,5.111836,5.051963,5.109472,24233,0
IBB1.DE,D,20200103,000000,5.131531,5.136455,5.127592,5.135273,7702,0
IBB1.DE,D,20200106,000000,5.142166,5.147878,5.132122,5.132122,16562,0
IBB1.DE,D,20200107,000000,5.136061,5.138227,5.1335,5.1335,12835,0
IBB1.DE,D,20200108,000000,5.142363,5.142363,5.125819,5.131137,52001,0
IBB1.DE,D,20200109,000000,5.112427,5.113805,5.103958,5.104352,23640,0
IBB1.DE,D,20200110,000000,5.118138,5.131925,5.118138,5.131925,70579,0
IBB1.DE,D,20200113,000000,5.127001,5.127001,5.120108,5.120305,26493,0
IBB1.DE,D,20200114,000000,5.120896,5.130152,5.120896,5.130152,13397,0
IBB1.DE,D,20200115,000000,5.140394,5.144726,5.140394,5.141378,22169,0
IBB1.DE,D,20200116,000000,5.140394,5.143151,5.131334,5.131334,13553,0
IBB1.DE,D,20200117,000000,5.130349,5.131925,5.118138,5.127198,23409,0
IBB1.DE,D,20200120,000000,5.129364,5.133303,5.124244,5.129758,19801,0
IBB1.DE,D,20200121,000000,5.139212,5.148075,5.136652,5.148075,9124,0
IBB1.DE,D,20200122,000000,5.144529,5.150438,5.144529,5.14709,18628,0
IBB1.DE,D,20200123,000000,5.160285,5.171512,5.157331,5.171512,30971,0
IBB1.DE,D,20200124,000000,5.159301,5.179784,5.157528,5.179784,16636,0
IBB1.DE,D,20200127,000000,5.198494,5.215235,5.198494,5.212871,5383,0
IBB1.DE,D,20200128,000000,5.212477,5.219764,5.20066,5.20066,41856,0
IBB1.DE,D,20200129,000000,5.208341,5.211492,5.206175,5.210705,91073,0
IBB1.DE,D,20200130,000000,5.23552,5.24202,5.229218,5.237687,383750,0
IBB1.DE,D,20200131,000000,5.2304,5.250292,5.2304,5.250292,84643,0
IBB1.DE,D,20200203,000000,5.244383,5.249307,5.230203,5.244186,99056,0
IBB1.DE,D,20200204,000000,5.233945,5.233945,5.217598,5.217598,11377,0
IBB1.DE,D,20200205,000000,5.206963,5.206963,5.197312,5.205781,23066,0
IBB1.DE,D,20200206,000000,5.192388,5.202039,5.190025,5.198297,127857,0
IBB1.DE,D,20200207,000000,5.213856,5.219567,5.212477,5.219567,37784,0
IBB1.DE,D,20200210,000000,5.220552,5.235717,5.220552,5.233551,59772,0
IBB1.DE,D,20200211,000000,5.218386,5.226658,5.218386,5.224294,6644,0
IBB1.DE,D,20200212,000000,5.20775,5.212083,5.204993,5.205387,29428,0
IBB1.DE,D,20200213,000000,5.222719,5.222719,5.208538,5.208538,30976,0
IBB1.DE,D,20200214,000000,5.213462,5.225476,5.213462,5.220158,57738,0
IBB1.DE,D,20200217,000000,5.213462,5.223506,5.213462,5.21937,17588,0
IBB1.DE,D,20200218,000000,5.236308,5.239262,5.223113,5.236308,62176,0
IBB1.DE,D,20200219,000000,5.226461,5.231384,5.220355,5.228036,28832,0
IBB1.DE,D,20200220,000000,5.2304,5.250095,5.2304,5.250095,32527,0
IBB1.DE,D,20200221,000000,5.259745,5.272547,5.254821,5.263487,163596,0
IBB1.DE,D,20200224,000000,5.290272,5.310164,5.290272,5.306225,19912,0
IBB1.DE,D,20200225,000000,5.306816,5.326905,5.299726,5.323163,220028,0
IBB1.DE,D,20200226,000000,5.324345,5.324345,5.303468,5.317649,70774,0
IBB1.DE,D,20200227,000000,5.334389,5.362553,5.334389,5.346403,231387,0
IBB1.DE,D,20200228,000000,5.379294,5.394459,5.376143,5.391111,184230,0
IBB1.DE,D,20200302,000000,5.40923,5.439954,5.40923,5.424592,244612,0
IBB1.DE,D,20200303,000000,5.410018,5.450787,5.389338,5.450787,46450,0
IBB1.DE,D,20200304,000000,5.481511,5.487616,5.460831,5.467134,84711,0
IBB1.DE,D,20200305,000000,5.449408,5.50613,5.449408,5.484465,490557,0
IBB1.DE,D,20200306,000000,5.533112,5.577622,5.533112,5.564033,956744,0
IBB1.DE,D,20200309,000000,5.67787,5.682991,5.612089,5.619376,360625,0
IBB1.DE,D,20200310,000000,5.570532,5.614255,5.52484,5.586485,330813,0
IBB1.DE,D,20200311,000000,5.545913,5.573683,5.507902,5.507902,298996,0
IBB1.DE,D,20200312,000000,5.532127,5.588849,5.455907,5.588849,61867,0
IBB1.DE,D,20200313,000000,5.572305,5.572305,5.426956,5.431683,126297,0
IBB1.DE,D,20200316,000000,5.466346,5.546701,5.445666,5.530945,247265,0
IBB1.DE,D,20200317,000000,5.489586,5.545913,5.453741,5.471466,209549,0
IBB1.DE,D,20200318,000000,5.366098,5.401746,5.322572,5.353493,36420,0
IBB1.DE,D,20200319,000000,5.347191,5.418881,5.332026,5.371219,36725,0
IBB1.DE,D,20200320,000000,5.395641,5.460043,5.375946,5.437394,55055,0
IBB1.DE,D,20200323,000000,5.515386,5.589046,5.4435,5.528779,115041,0
IBB1.DE,D,20200324,000000,5.509281,5.551822,5.485844,5.495297,60784,0
IBB1.DE,D,20200325,000000,5.509675,5.537248,5.48998,5.51578,15083,0
IBB1.DE,D,20200326,000000,5.545913,5.561866,5.505342,5.531536,45760,0
IBB1.DE,D,20200327,000000,5.524249,5.577425,5.522673,5.562457,46453,0
IBB1.DE,D,20200330,000000,5.582349,5.6243,5.582349,5.603029,17498,0
IBB1.DE,D,20200331,000000,5.568563,5.602241,5.566002,5.583728,59709,0
IBB1.DE,D,20200401,000000,5.601847,5.636117,5.600075,5.618982,19583,0
IBB1.DE,D,20200402,000000,5.615043,5.635132,5.599484,5.615437,36591,0
IBB1.DE,D,20200403,000000,5.630799,5.631587,5.61268,5.624103,16666,0
IBB1.DE,D,20200406,000000,5.583925,5.611892,5.580971,5.591606,53110,0
IBB1.DE,D,20200407,000000,5.548868,5.573683,5.546898,5.547095,35148,0
IBB1.DE,D,20200408,000000,5.570335,5.584319,5.541974,5.555761,21895,0
IBB1.DE,D,20200409,000000,5.557927,5.567381,5.553988,5.56423,67576,0
IBB1.DE,D,20200414,000000,5.555761,5.567972,5.555761,5.562654,40913,0
IBB1.DE,D,20200415,000000,5.570335,5.608347,5.570335,5.59909,7337,0
IBB1.DE,D,20200416,000000,5.603029,5.627451,5.603029,5.618785,166342,0
IBB1.DE,D,20200417,000000,5.605589,5.629223,5.601059,5.619573,154377,0
IBB1.DE,D,20200420,000000,5.604211,5.615634,5.602635,5.605589,36560,0
IBB1.DE,D,20200421,000000,5.615831,5.643995,5.615634,5.643207,13539,0
IBB1.DE,D,20200422,000000,5.628239,5.629617,5.609528,5.612286,16145,0
IBB1.DE,D,20200423,000000,5.609528,5.614649,5.605195,5.613073,44576,0
IBB1.DE,D,20200424,000000,5.62489,5.62489,5.61071,5.615437,36159,0
IBB1.DE,D,20200427,000000,5.611301,5.611301,5.594757,5.594757,71593,0
IBB1.DE,D,20200428,000000,5.595151,5.614846,5.589046,5.609725,449519,0
IBB1.DE,D,20200429,000000,5.613073,5.623315,5.613073,5.614255,29666,0
IBB1.DE,D,20200430,000000,5.609134,5.62233,5.609134,5.620951,85843,0
IBB1.DE,D,20200504,000000,5.612876,5.620558,5.600469,5.605392,62101,0
IBB1.DE,D,20200505,000000,5.591409,5.599878,5.591015,5.59712,72802,0
IBB1.DE,D,20200506,000000,5.588455,5.591212,5.569154,5.573683,45522,0
IBB1.DE,D,20200507,000000,5.584319,5.600863,5.577425,5.600863,119110,0
IBB1.DE,D,20200508,000000,5.613073,5.622724,5.592394,5.606968,207434,0
IBB1.DE,D,20200511,000000,5.592394,5.616225,5.581168,5.590621,215744,0
IBB1.DE,D,20200512,000000,5.584516,5.589636,5.578213,5.583334,57261,0
IBB1.DE,D,20200513,000000,5.606574,5.614846,5.603817,5.613467,128057,0
IBB1.DE,D,20200514,000000,5.627181,5.628772,5.616846,5.623206,94105,0
IBB1.DE,D,20200515,000000,5.620424,5.643281,5.613865,5.613865,270401,0
IBB1.DE,D,20200518,000000,5.614262,5.61784,5.588822,5.588822,47939,0
IBB1.DE,D,20200519,000000,5.58107,5.591008,5.572126,5.587232,253682,0
IBB1.DE,D,20200520,000000,5.591008,5.598958,5.586436,5.586834,50076,0
IBB1.DE,D,20200521,000000,5.607902,5.611082,5.601144,5.607306,22439,0
IBB1.DE,D,20200522,000000,5.618834,5.618834,5.606113,5.6083,37127,0
