<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBC2.DE,D,20190313,000000,4.562815,4.570675,4.562815,4.570675,31,0
IBC2.DE,D,20190314,000000,4.572802,4.576408,4.572802,4.576408,224,0
IBC2.DE,D,20190315,000000,4.578535,4.582233,4.578535,4.580476,3624,0
IBC2.DE,D,20190318,000000,4.580569,4.584267,4.574374,4.576408,222686,0
IBC2.DE,D,20190319,000000,4.580939,4.584545,4.580939,4.584545,32,0
IBC2.DE,D,20190320,000000,4.583805,4.583805,4.570028,4.570028,288,0
IBC2.DE,D,20190321,000000,4.584915,4.597675,4.584915,4.596473,102174,0
IBC2.DE,D,20190322,000000,4.598692,4.598692,4.572432,4.575021,236747,0
IBC2.DE,D,20190325,000000,4.576315,4.580199,4.575021,4.575021,482091,0
IBC2.DE,D,20190326,000000,4.573634,4.589353,4.573634,4.587966,30102,0
IBC2.DE,D,20190327,000000,4.590833,4.590833,4.583528,4.583528,640,0
IBC2.DE,D,20190328,000000,4.584267,4.593699,4.584267,4.591942,4769,0
IBC2.DE,D,20190329,000000,4.592682,4.604148,4.592682,4.600911,8495,0
IBC2.DE,D,20190401,000000,4.606089,4.618757,4.606089,4.61099,1120,0
IBC2.DE,D,20190402,000000,4.611452,4.611452,4.599802,4.599802,0,0
IBC2.DE,D,20190403,000000,4.603778,4.617463,4.603778,4.613117,8525,0
IBC2.DE,D,20190404,000000,4.611452,4.611545,4.608493,4.611545,0,0
IBC2.DE,D,20190405,000000,4.613024,4.623843,4.610713,4.622178,3729,0
IBC2.DE,D,20190408,000000,4.624767,4.624767,4.612747,4.616353,40,0
IBC2.DE,D,20190409,000000,4.619312,4.619312,4.610528,4.612192,227439,0
IBC2.DE,D,20190410,000000,4.61173,4.616446,4.61173,4.616446,0,0
IBC2.DE,D,20190411,000000,4.626802,4.636048,4.626802,4.63272,2914,0
IBC2.DE,D,20190412,000000,4.633459,4.635863,4.633459,4.635863,0,0
IBC2.DE,D,20190415,000000,4.638637,4.641781,4.634014,4.638083,1674,0
IBC2.DE,D,20190416,000000,4.638083,4.639007,4.637158,4.637158,0,0
IBC2.DE,D,20190417,000000,4.636973,4.636973,4.626802,4.626802,220000,0
IBC2.DE,D,20190418,000000,4.625877,4.625877,4.616446,4.616446,0,0
IBC2.DE,D,20190423,000000,4.616168,4.622826,4.613487,4.622826,9378,0
IBC2.DE,D,20190424,000000,4.623658,4.627172,4.623658,4.625322,5146,0
IBC2.DE,D,20190425,000000,4.624213,4.624213,4.617925,4.617925,0,0
IBC2.DE,D,20190426,000000,4.618017,4.628281,4.618017,4.627911,2747,0
IBC2.DE,D,20190429,000000,4.624583,4.630685,4.624583,4.630685,0,0
IBC2.DE,D,20190430,000000,4.626617,4.632535,4.624213,4.627541,8357,0
IBC2.DE,D,20190502,000000,4.624767,4.625692,4.609603,4.609603,200,0
IBC2.DE,D,20190503,000000,4.610528,4.626247,4.610528,4.622733,3729,0
IBC2.DE,D,20190506,000000,4.623288,4.623288,4.608586,4.618202,447459,0
IBC2.DE,D,20190507,000000,4.620144,4.623288,4.6035,4.6035,237559,0
IBC2.DE,D,20190508,000000,4.60461,4.60461,4.596196,4.602021,0,0
IBC2.DE,D,20190509,000000,4.602298,4.602298,4.583065,4.583065,534,0
IBC2.DE,D,20190510,000000,4.594254,4.594254,4.586209,4.587041,200000,0
IBC2.DE,D,20190513,000000,4.597028,4.597028,4.57613,4.57613,17954,0
IBC2.DE,D,20190514,000000,4.571045,4.576408,4.571045,4.576223,1182,0
IBC2.DE,D,20190515,000000,4.580199,4.580569,4.573634,4.574651,222956,0
IBC2.DE,D,20190516,000000,4.576947,4.595222,4.576947,4.595222,0,0
IBC2.DE,D,20190517,000000,4.588274,4.596554,4.585038,4.592366,3821,0
IBC2.DE,D,20190520,000000,4.593033,4.593033,4.585609,4.589892,340,0
IBC2.DE,D,20190521,000000,4.590368,4.597316,4.589606,4.597316,500,0
IBC2.DE,D,20190522,000000,4.601504,4.601504,4.591795,4.593889,1617,0
IBC2.DE,D,20190523,000000,4.592747,4.592747,4.57866,4.57866,0,0
IBC2.DE,D,20190524,000000,4.584657,4.589606,4.573711,4.577042,250266,0
IBC2.DE,D,20190527,000000,4.580659,4.582753,4.574473,4.57866,661,0
IBC2.DE,D,20190528,000000,4.580374,4.585609,4.575995,4.575995,4612,0
IBC2.DE,D,20190529,000000,4.564479,4.565526,4.557435,4.557435,202245,0
IBC2.DE,D,20190530,000000,4.558577,4.570094,4.558577,4.570094,2100,0
IBC2.DE,D,20190531,000000,4.559339,4.559339,4.54963,4.551058,13059,0
IBC2.DE,D,20190603,000000,4.536876,4.542777,4.535163,4.540493,41968,0
IBC2.DE,D,20190604,000000,4.538399,4.573616,4.538399,4.573616,921518,0
IBC2.DE,D,20190605,000000,4.578375,4.585513,4.578375,4.585513,0,0
IBC2.DE,D,20190606,000000,4.587893,4.59684,4.587893,4.5917,477,0
IBC2.DE,D,20190607,000000,4.601789,4.617684,4.601789,4.611498,20113,0
IBC2.DE,D,20190611,000000,4.619778,4.630819,4.619778,4.627583,12402,0
IBC2.DE,D,20190612,000000,4.619969,4.619969,4.616257,4.616733,14,0
IBC2.DE,D,20190613,000000,4.610546,4.618636,4.610546,4.618636,40,0
IBC2.DE,D,20190614,000000,4.617399,4.622253,4.616923,4.618065,10255,0
IBC2.DE,D,20190617,000000,4.614829,4.617589,4.61007,4.61007,15275,0
IBC2.DE,D,20190618,000000,4.606453,4.633199,4.606453,4.627774,81524,0
IBC2.DE,D,20190619,000000,4.621872,4.636245,4.621872,4.633104,50066,0
IBC2.DE,D,20190620,000000,4.660992,4.680408,4.659754,4.669463,1393,0
IBC2.DE,D,20190621,000000,4.673175,4.673175,4.665465,4.665465,5020,0
IBC2.DE,D,20190624,000000,4.668321,4.671652,4.660516,4.660516,221902,0
IBC2.DE,D,20190625,000000,4.657851,4.658327,4.647857,4.647857,0,0
IBC2.DE,D,20190626,000000,4.642336,4.650141,4.642336,4.643478,6617,0
IBC2.DE,D,20190627,000000,4.646143,4.648618,4.646143,4.648618,10371,0
IBC2.DE,D,20190628,000000,4.654519,4.654519,4.648428,4.653948,495373,0
IBC2.DE,D,20190701,000000,4.664323,4.676982,4.664323,4.673555,44354,0
IBC2.DE,D,20190702,000000,4.66004,4.663847,4.657565,4.661468,969,0
IBC2.DE,D,20190703,000000,4.662705,4.674983,4.662705,4.674983,42396,0
IBC2.DE,D,20190704,000000,4.676411,4.68136,4.675459,4.678981,430,0
IBC2.DE,D,20190705,000000,4.677458,4.677458,4.655281,4.655566,230282,0
IBC2.DE,D,20190708,000000,4.658041,4.661087,4.649284,4.649284,18183,0
IBC2.DE,D,20190709,000000,4.64681,4.649855,4.646619,4.646619,24,0
IBC2.DE,D,20190710,000000,4.644335,4.655852,4.636149,4.655852,124142,0
IBC2.DE,D,20190711,000000,4.658993,4.662324,4.65509,4.65509,36787,0
IBC2.DE,D,20190712,000000,4.64957,4.652996,4.644145,4.646143,7663,0
IBC2.DE,D,20190715,000000,4.652996,4.663181,4.652045,4.661943,95094,0
IBC2.DE,D,20190716,000000,4.659469,4.662515,4.649475,4.649475,205254,0
IBC2.DE,D,20190717,000000,4.644621,4.647095,4.641099,4.642336,4880,0
IBC2.DE,D,20190718,000000,4.635103,4.635103,4.62825,4.62825,10616,0
