<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBCM.DE,D,20070315,000000,116.483302,116.483302,116.483302,116.483302,0,0
IBCM.DE,D,20070316,000000,116.531149,116.531149,116.531149,116.531149,0,0
IBCM.DE,D,20070319,000000,116.299889,116.299889,116.299889,116.299889,0,0
IBCM.DE,D,20070320,000000,116.443429,116.443429,116.443429,116.443429,0,0
IBCM.DE,D,20070321,000000,116.379633,116.379633,116.379633,116.379633,0,0
IBCM.DE,D,20070322,000000,116.212169,116.212169,116.212169,116.212169,0,0
IBCM.DE,D,20070323,000000,115.809458,115.809458,115.809458,115.809458,0,0
IBCM.DE,D,20070326,000000,115.829394,115.829394,115.829394,115.829394,0,0
IBCM.DE,D,20070327,000000,115.685853,115.685853,115.685853,115.685853,0,0
IBCM.DE,D,20070328,000000,115.673891,115.673891,115.673891,115.673891,0,0
IBCM.DE,D,20070329,000000,115.466555,115.466555,115.466555,115.466555,0,0
IBCM.DE,D,20070330,000000,115.462568,115.462568,115.462568,115.462568,0,0
IBCM.DE,D,20070402,000000,115.334976,115.334976,115.334976,115.334976,0,0
IBCM.DE,D,20070403,000000,115.223333,115.223333,115.223333,115.223333,0,0
IBCM.DE,D,20070404,000000,115.422695,115.422695,115.422695,115.422695,0,0
IBCM.DE,D,20070410,000000,115.031945,115.031945,115.031945,115.031945,0,0
IBCM.DE,D,20070411,000000,114.932264,114.932264,114.932264,114.932264,0,0
IBCM.DE,D,20070412,000000,114.597336,114.597336,114.597336,114.597336,0,0
IBCM.DE,D,20070413,000000,114.242471,114.242471,114.242471,114.242471,0,0
IBCM.DE,D,20070416,000000,114.449808,114.449808,114.449808,114.449808,0,0
IBCM.DE,D,20070417,000000,114.697017,114.697017,114.697017,114.697017,0,0
IBCM.DE,D,20070418,000000,114.888405,114.888405,114.888405,114.888405,0,0
IBCM.DE,D,20070419,000000,114.601323,114.601323,114.601323,114.601323,0,0
IBCM.DE,D,20070420,000000,114.537527,114.537527,114.537527,114.537527,0,0
IBCM.DE,D,20070423,000000,114.752838,114.752838,114.752838,114.752838,0,0
IBCM.DE,D,20070424,000000,114.848532,114.848532,114.848532,114.848532,0,0
IBCM.DE,D,20070425,000000,113.397176,113.397176,113.397176,113.397176,100,0
IBCM.DE,D,20070426,000000,113.397176,113.397176,113.397176,113.397176,0,0
IBCM.DE,D,20070427,000000,113.397176,113.397176,113.397176,113.397176,0,0
IBCM.DE,D,20070430,000000,113.181865,113.181865,113.181865,113.181865,150,0
IBCM.DE,D,20070502,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070503,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070504,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070507,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070508,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070509,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070510,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070511,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070514,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070515,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070516,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070517,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070518,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070521,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070522,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070523,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070524,000000,113.181865,113.181865,113.181865,113.181865,0,0
IBCM.DE,D,20070525,000000,112.312646,112.312646,112.312646,112.312646,1,0
IBCM.DE,D,20070528,000000,112.312646,112.312646,112.312646,112.312646,1,0
IBCM.DE,D,20070529,000000,112.312646,112.312646,112.312646,112.312646,0,0
IBCM.DE,D,20070530,000000,112.312646,112.312646,112.312646,112.312646,0,0
IBCM.DE,D,20070531,000000,112.312646,112.312646,112.312646,112.312646,0,0
IBCM.DE,D,20070601,000000,112.312646,112.312646,112.312646,112.312646,0,0
IBCM.DE,D,20070604,000000,112.312646,112.312646,112.312646,112.312646,0,0
IBCM.DE,D,20070605,000000,112.312646,112.312646,112.312646,112.312646,0,0
IBCM.DE,D,20070606,000000,112.312646,112.312646,112.312646,112.312646,0,0
IBCM.DE,D,20070607,000000,111.307861,111.307861,111.236091,111.236091,4002,0
IBCM.DE,D,20070608,000000,110.733698,110.749647,110.733698,110.749647,13001,0
IBCM.DE,D,20070611,000000,110.749647,110.749647,110.749647,110.749647,0,0
IBCM.DE,D,20070612,000000,110.749647,110.749647,110.749647,110.749647,0,0
IBCM.DE,D,20070613,000000,110.749647,110.749647,110.749647,110.749647,0,0
IBCM.DE,D,20070614,000000,110.438642,110.438642,110.430668,110.430668,42001,0
IBCM.DE,D,20070615,000000,110.23928,110.23928,110.23928,110.23928,2001,0
IBCM.DE,D,20070618,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070619,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070620,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070621,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070622,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070625,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070628,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070629,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070702,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070703,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070704,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070705,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070706,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070709,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070710,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070711,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070712,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070713,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070716,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070717,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070718,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070719,000000,110.23928,110.23928,110.23928,110.23928,0,0
IBCM.DE,D,20070720,000000,111.8581,111.8581,111.8581,111.8581,2001,0
IBCM.DE,D,20070723,000000,111.8581,111.8581,111.8581,111.8581,0,0
IBCM.DE,D,20070724,000000,111.8581,111.8581,111.8581,111.8581,0,0
IBCM.DE,D,20070725,000000,111.8581,111.8581,111.8581,111.8581,0,0
IBCM.DE,D,20070726,000000,112.815039,112.815039,112.815039,112.815039,2001,0
IBCM.DE,D,20070727,000000,112.815039,112.815039,112.815039,112.815039,0,0
