<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IC2.DE,D,20191120,000000,85.245156,85.245156,85.245156,85.245156,0,0
IC2.DE,D,20191121,000000,84.746646,84.746646,84.746646,84.746646,0,0
IC2.DE,D,20191122,000000,84.746646,84.746646,84.746646,84.746646,0,0
IC2.DE,D,20191125,000000,85.743666,85.743666,85.743666,85.743666,0,0
IC2.DE,D,20191126,000000,85.743666,85.743666,85.743666,85.743666,0,0
IC2.DE,D,20191127,000000,84.746646,84.746646,84.746646,84.746646,0,0
IC2.DE,D,20191128,000000,84.746646,84.746646,84.746646,84.746646,0,0
IC2.DE,D,20191129,000000,85.743666,85.743666,85.743666,85.743666,0,0
IC2.DE,D,20191202,000000,84.248136,84.248136,84.248136,84.248136,0,0
IC2.DE,D,20191203,000000,83.749627,83.749627,83.749627,83.749627,0,0
IC2.DE,D,20191204,000000,84.746646,84.746646,84.746646,84.746646,0,0
IC2.DE,D,20191205,000000,83.749627,83.749627,83.749627,83.749627,0,0
IC2.DE,D,20191206,000000,85.245156,85.245156,85.245156,85.245156,0,0
IC2.DE,D,20191209,000000,83.748213,83.748213,83.748213,83.748213,0,0
IC2.DE,D,20191210,000000,83.249712,83.249712,83.249712,83.249712,0,0
IC2.DE,D,20191211,000000,83.748213,83.748213,83.748213,83.748213,0,0
IC2.DE,D,20191212,000000,82.252709,82.252709,82.252709,82.252709,0,0
IC2.DE,D,20191213,000000,82.5,82.5,82.5,82.5,0,0
IC2.DE,D,20191216,000000,81,83,81,83,7,0
IC2.DE,D,20191217,000000,82,83.5,82,83.5,5,0
IC2.DE,D,20191218,000000,83.5,83.5,83.5,83.5,0,0
IC2.DE,D,20191219,000000,84,84,84,84,0,0
IC2.DE,D,20191220,000000,84.5,84.5,84.5,84.5,0,0
IC2.DE,D,20191223,000000,84,84,84,84,0,0
IC2.DE,D,20191227,000000,83.5,83.5,83.5,83.5,0,0
IC2.DE,D,20191230,000000,83,83,83,83,0,0
IC2.DE,D,20200102,000000,83.5,83.5,83.5,83.5,0,0
IC2.DE,D,20200103,000000,85,85,85,85,0,0
IC2.DE,D,20200106,000000,84.5,84.5,84.5,84.5,0,0
IC2.DE,D,20200107,000000,85.5,85.5,85.5,85.5,0,0
IC2.DE,D,20200108,000000,85.5,85.5,85.5,85.5,0,0
IC2.DE,D,20200109,000000,85.5,85.5,85.5,85.5,0,0
IC2.DE,D,20200110,000000,85,85,85,85,0,0
IC2.DE,D,20200113,000000,85,85,85,85,0,0
IC2.DE,D,20200114,000000,85,85,85,85,0,0
IC2.DE,D,20200115,000000,86.5,86.5,86.5,86.5,0,0
IC2.DE,D,20200116,000000,86.5,86.5,86.5,86.5,0,0
IC2.DE,D,20200117,000000,87.5,87.5,87.5,87.5,0,0
IC2.DE,D,20200120,000000,87.5,87.5,87.5,87.5,0,0
IC2.DE,D,20200121,000000,88.5,88.5,88.5,88.5,0,0
IC2.DE,D,20200122,000000,88.5,88.5,87.5,87.5,66,0
IC2.DE,D,20200123,000000,87.5,87.5,87.5,87.5,0,0
IC2.DE,D,20200124,000000,88.5,88.5,88.5,88.5,0,0
IC2.DE,D,20200127,000000,88.5,88.5,88.5,88.5,0,0
IC2.DE,D,20200128,000000,90,90,90,90,0,0
IC2.DE,D,20200129,000000,90.5,90.5,90.5,90.5,0,0
IC2.DE,D,20200130,000000,90.5,90.5,90.5,90.5,0,0
IC2.DE,D,20200131,000000,90,90,90,90,0,0
IC2.DE,D,20200203,000000,91.5,91.5,91.5,91.5,0,0
IC2.DE,D,20200204,000000,92,92,92,92,0,0
IC2.DE,D,20200205,000000,85,85,84,84,100,0
IC2.DE,D,20200206,000000,85.5,85.5,84,84,80,0
IC2.DE,D,20200207,000000,83.5,87,83.5,87,110,0
IC2.DE,D,20200210,000000,86,87,86,87,10,0
IC2.DE,D,20200211,000000,86.5,87,86.5,87,24,0
IC2.DE,D,20200212,000000,85.5,87,85.5,87,80,0
IC2.DE,D,20200213,000000,87,87,87,87,0,0
IC2.DE,D,20200214,000000,89,89,89,89,0,0
IC2.DE,D,20200217,000000,89.5,89.5,89.5,89.5,0,0
IC2.DE,D,20200218,000000,89.5,89.5,89.5,89.5,0,0
IC2.DE,D,20200219,000000,89.5,89.5,89.5,89.5,0,0
IC2.DE,D,20200220,000000,88,88,88,88,0,0
IC2.DE,D,20200221,000000,88,88,88,88,0,0
IC2.DE,D,20200224,000000,87.5,87.5,87.5,87.5,0,0
IC2.DE,D,20200225,000000,86,86,86,86,16,0
IC2.DE,D,20200226,000000,87,87,87,87,0,0
IC2.DE,D,20200227,000000,86,86,86,86,0,0
IC2.DE,D,20200228,000000,80.5,82,80.5,82,61,0
IC2.DE,D,20200302,000000,82,82,82,82,0,0
IC2.DE,D,20200303,000000,84,84,84,84,0,0
IC2.DE,D,20200305,000000,89,89.5,89,89.5,24,0
IC2.DE,D,20200309,000000,78.5,79.5,78.5,79.5,40,0
IC2.DE,D,20200310,000000,82,82,82,82,3,0
IC2.DE,D,20200313,000000,71,71,71,71,0,0
IC2.DE,D,20200316,000000,71,71,70.5,70.5,2,0
IC2.DE,D,20200317,000000,71.5,71.5,71.5,71.5,0,0
IC2.DE,D,20200319,000000,66.5,66.5,66.5,66.5,0,0
IC2.DE,D,20200320,000000,66,66,66,66,0,0
IC2.DE,D,20200325,000000,69,69,69,69,0,0
IC2.DE,D,20200331,000000,76,76,76,76,0,0
IC2.DE,D,20200401,000000,73,73,73,73,0,0
IC2.DE,D,20200402,000000,73.5,73.5,73.5,73.5,0,0
IC2.DE,D,20200403,000000,76,76,76,76,0,0
IC2.DE,D,20200406,000000,78.5,78.5,78.5,78.5,0,0
IC2.DE,D,20200407,000000,78,78,78,78,0,0
IC2.DE,D,20200408,000000,77.5,77.5,77.5,77.5,0,0
IC2.DE,D,20200409,000000,80.5,80.5,80.5,80.5,0,0
IC2.DE,D,20200414,000000,79.5,79.5,79.5,79.5,0,0
IC2.DE,D,20200415,000000,79,79,79,79,0,0
IC2.DE,D,20200416,000000,80.5,80.5,80.5,80.5,0,0
IC2.DE,D,20200417,000000,82,82,82,82,0,0
IC2.DE,D,20200420,000000,84,84,84,84,0,0
IC2.DE,D,20200421,000000,83.5,83.5,80.5,80.5,180,0
IC2.DE,D,20200422,000000,81.5,81.5,81.5,81.5,0,0
IC2.DE,D,20200423,000000,83,83,83,83,0,0
IC2.DE,D,20200424,000000,81.5,81.5,81.5,81.5,0,0
IC2.DE,D,20200427,000000,85,85,85,85,0,0
IC2.DE,D,20200428,000000,84,84,83.5,84,180,0
IC2.DE,D,20200429,000000,84.5,84.5,84.5,84.5,0,0
IC2.DE,D,20200430,000000,83,83,83,83,0,0
IC2.DE,D,20200504,000000,82.5,82.5,82.5,82.5,0,0
IC2.DE,D,20200505,000000,85,85,85,85,0,0
IC2.DE,D,20200506,000000,86,86,86,86,0,0
IC2.DE,D,20200507,000000,87.5,87.5,87.5,87.5,0,0
IC2.DE,D,20200508,000000,86.5,86.5,86.5,86.5,0,0
IC2.DE,D,20200511,000000,87,87,87,87,0,0
IC2.DE,D,20200512,000000,87,87,87,87,0,0
IC2.DE,D,20200513,000000,86,86,86,86,0,0
IC2.DE,D,20200514,000000,85.5,85.5,85.5,85.5,0,0
IC2.DE,D,20200515,000000,86,86,86,86,0,0
IC2.DE,D,20200518,000000,88.5,88.5,88,88,1,0
IC2.DE,D,20200519,000000,87.5,87.5,87.5,87.5,0,0
IC2.DE,D,20200520,000000,87,87,85.5,85.5,1,0
