<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INDU.DE,D,20200918,000000,100.857948,100.917769,100.578784,100.578784,2,0
INDU.DE,D,20200921,000000,99.362427,99.362427,96.451145,96.451145,0,0
INDU.DE,D,20200922,000000,97.218846,97.707383,96.889832,96.889832,10,0
INDU.DE,D,20200923,000000,97.707383,98.345472,97.4681,97.4681,1400,0
INDU.DE,D,20200924,000000,95.872877,96.78016,95.872877,96.471086,0,0
INDU.DE,D,20200925,000000,96.241773,96.640578,95.174967,96.640578,0,0
INDU.DE,D,20200928,000000,98.325532,99.212875,98.325532,99.212875,0,0
INDU.DE,D,20200929,000000,99.033412,99.58177,99.033412,99.462128,0,0
INDU.DE,D,20200930,000000,98.704397,98.824039,98.395323,98.824039,10,0
INDU.DE,D,20201001,000000,99.212875,99.541889,99.212875,99.322546,6,0
INDU.DE,D,20201002,000000,98.066308,99.212875,98.066308,99.212875,0,0
INDU.DE,D,20201005,000000,100.538903,100.538903,100.29962,100.538903,268,0
INDU.DE,D,20201006,000000,100.897828,100.897828,100.499023,100.618664,15,0
INDU.DE,D,20201007,000000,100.798127,100.917769,100.798127,100.917769,0,0
INDU.DE,D,20201008,000000,101.795141,101.795141,101.555858,101.655559,0,0
INDU.DE,D,20201009,000000,102.134126,102.473111,102.014484,102.473111,0,0
INDU.DE,D,20201012,000000,102.712394,103.290662,102.712394,103.290662,0,0
INDU.DE,D,20201013,000000,103.171021,103.171021,102.652573,102.652573,0,0
INDU.DE,D,20201014,000000,102.632633,102.871916,102.632633,102.871916,0,0
INDU.DE,D,20201015,000000,101.316574,101.316574,100.598724,100.897828,1,0
INDU.DE,D,20201016,000000,101.854962,103.549886,101.775201,102.552872,131,0
INDU.DE,D,20201019,000000,103.350483,103.350483,102.373409,102.373409,1,0
INDU.DE,D,20201020,000000,101.535917,102.672514,101.535917,102.353469,80,0
INDU.DE,D,20201021,000000,102.41329,102.41329,100.778187,100.778187,0,0
INDU.DE,D,20201022,000000,100.399321,101.077291,100.399321,100.578784,3,0
INDU.DE,D,20201023,000000,100.738306,101.954663,100.738306,101.71538,0,0
INDU.DE,D,20201026,000000,100.379381,100.379381,99.342486,99.342486,0,0
INDU.DE,D,20201027,000000,99.282666,99.282666,98.415263,98.415263,300,0
INDU.DE,D,20201028,000000,97.049354,97.049354,95.015445,95.474072,32580,0
INDU.DE,D,20201029,000000,95.803086,95.803086,95.025415,95.34446,0,0
INDU.DE,D,20201030,000000,94.457117,95.523922,94.457117,95.503982,0,0
INDU.DE,D,20201102,000000,95.573773,97.328518,95.573773,97.298607,106,0
INDU.DE,D,20201103,000000,98.19592,99.821053,98.19592,99.821053,1,0
INDU.DE,D,20201104,000000,97.537891,101.854962,97.537891,101.854962,643,0
INDU.DE,D,20201105,000000,103.190961,103.250782,102.672514,103.250782,1,0
INDU.DE,D,20201106,000000,103.270722,103.270722,102.612693,103.270722,0,0
INDU.DE,D,20201109,000000,104.945706,108.993583,104.945706,107.498062,533,0
INDU.DE,D,20201110,000000,107.717405,108.156091,107.577823,108.156091,30,0
INDU.DE,D,20201111,000000,108.654598,108.674539,108.395375,108.674539,0,0
INDU.DE,D,20201112,000000,107.37842,108.016509,107.37842,107.757286,1,0
INDU.DE,D,20201113,000000,107.298659,107.677524,107.298659,107.518002,0,0
INDU.DE,D,20201116,000000,108.355494,109.153105,108.355494,108.834061,51,0
INDU.DE,D,20201117,000000,108.09627,109.173046,108.09627,109.173046,1,0
INDU.DE,D,20201118,000000,108.534957,109.173046,108.534957,109.033464,82,0
INDU.DE,D,20201119,000000,107.916808,108.295673,107.916808,108.275733,0,0
INDU.DE,D,20201120,000000,108.335554,109.232866,108.335554,109.232866,0,0
INDU.DE,D,20201123,000000,109.910836,109.910836,109.49209,109.49209,0,0
INDU.DE,D,20201124,000000,110.528985,110.528985,109.831075,109.831075,0,0
INDU.DE,D,20201125,000000,110.369463,110.369463,109.332568,109.332568,0,0
INDU.DE,D,20201126,000000,109.691493,109.691493,108.79418,108.79418,0,0
INDU.DE,D,20201127,000000,108.534957,109.212926,108.534957,109.212926,0,0
INDU.DE,D,20201130,000000,108.734359,109.711433,108.594777,108.594777,900,0
INDU.DE,D,20201201,000000,108.973643,109.352508,108.973643,109.232866,5,0
INDU.DE,D,20201202,000000,108.77424,108.834061,108.674539,108.674539,0,0
INDU.DE,D,20201203,000000,108.933762,109.432269,108.933762,109.432269,0,0
INDU.DE,D,20201204,000000,109.571851,109.791194,109.47215,109.791194,0,0
INDU.DE,D,20201207,000000,109.890896,109.890896,109.033464,109.312628,141,0
INDU.DE,D,20201208,000000,109.611732,110.19,109.153105,110.19,0,0
INDU.DE,D,20201209,000000,110.52,110.52,110.02,110.04,117,0
INDU.DE,D,20201210,000000,110.3,110.3,109.38,109.38,0,0
INDU.DE,D,20201211,000000,109.04,109.36,108.7,109.36,0,0
INDU.DE,D,20201214,000000,110.8,110.8,109.98,109.98,0,0
INDU.DE,D,20201215,000000,109.96,110.82,109.96,110.82,210,0
INDU.DE,D,20201216,000000,110.98,111.5,110.98,111.44,2,0
INDU.DE,D,20201217,000000,112.36,112.36,111.82,111.82,0,0
INDU.DE,D,20201218,000000,111.64,112.42,111.64,111.96,1501,0
INDU.DE,D,20201221,000000,109.58,110.02,108.98,110.02,1,0
