<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPRE.DE,D,20210112,000000,5.377,5.377,5.315,5.315,17921,0
IPRE.DE,D,20210113,000000,5.322,5.392,5.322,5.374,12010,0
IPRE.DE,D,20210114,000000,5.381,5.447,5.365,5.433,17988,0
IPRE.DE,D,20210115,000000,5.401,5.42,5.362,5.373,12260,0
IPRE.DE,D,20210118,000000,5.381,5.39,5.365,5.388,11796,0
IPRE.DE,D,20210119,000000,5.416,5.42,5.361,5.369,23060,0
IPRE.DE,D,20210120,000000,5.376,5.388,5.362,5.388,36082,0
IPRE.DE,D,20210121,000000,5.406,5.406,5.284,5.284,15535,0
IPRE.DE,D,20210122,000000,5.284,5.284,5.25,5.282,13200,0
IPRE.DE,D,20210125,000000,5.289,5.289,5.21,5.257,46991,0
IPRE.DE,D,20210126,000000,5.264,5.334,5.264,5.328,7102,0
IPRE.DE,D,20210127,000000,5.337,5.414,5.308,5.368,10276,0
IPRE.DE,D,20210128,000000,5.302,5.351,5.272,5.351,14140,0
IPRE.DE,D,20210129,000000,5.288,5.336,5.288,5.303,27658,0
IPRE.DE,D,20210201,000000,5.333,5.383,5.333,5.383,1466,0
IPRE.DE,D,20210202,000000,5.386,5.445,5.386,5.428,63385,0
IPRE.DE,D,20210203,000000,5.472,5.472,5.392,5.392,8882,0
IPRE.DE,D,20210204,000000,5.383,5.399,5.36,5.362,14574,0
IPRE.DE,D,20210205,000000,5.36,5.36,5.32,5.324,10562,0
IPRE.DE,D,20210208,000000,5.312,5.318,5.281,5.281,10073,0
IPRE.DE,D,20210209,000000,5.273,5.305,5.267,5.302,10011,0
IPRE.DE,D,20210210,000000,5.305,5.331,5.285,5.294,10227,0
IPRE.DE,D,20210211,000000,5.252,5.279,5.22,5.278,52941,0
IPRE.DE,D,20210212,000000,5.288,5.29,5.264,5.27,31150,0
IPRE.DE,D,20210215,000000,5.289,5.299,5.261,5.286,120822,0
IPRE.DE,D,20210216,000000,5.299,5.299,5.235,5.235,21803,0
IPRE.DE,D,20210217,000000,5.216,5.232,5.194,5.226,16336,0
IPRE.DE,D,20210218,000000,5.214,5.231,5.181,5.181,8783,0
IPRE.DE,D,20210219,000000,5.179,5.181,5.148,5.148,5124,0
IPRE.DE,D,20210222,000000,5.101,5.165,5.098,5.165,4448,0
IPRE.DE,D,20210223,000000,5.199,5.21,5.135,5.21,48886,0
IPRE.DE,D,20210224,000000,5.223,5.223,5.181,5.181,9167,0
IPRE.DE,D,20210225,000000,5.185,5.211,5.185,5.195,3809,0
IPRE.DE,D,20210226,000000,5.134,5.183,5.134,5.148,5461,0
IPRE.DE,D,20210301,000000,5.193,5.244,5.191,5.232,41544,0
IPRE.DE,D,20210302,000000,5.244,5.265,5.209,5.224,25385,0
IPRE.DE,D,20210303,000000,5.237,5.286,5.154,5.187,149342,0
IPRE.DE,D,20210304,000000,5.197,5.245,5.197,5.243,14061,0
IPRE.DE,D,20210305,000000,5.215,5.215,5.157,5.157,4549,0
IPRE.DE,D,20210308,000000,5.194,5.277,5.194,5.254,11848,0
IPRE.DE,D,20210309,000000,5.263,5.286,5.236,5.236,16538,0
IPRE.DE,D,20210310,000000,5.227,5.312,5.227,5.278,5824,0
IPRE.DE,D,20210311,000000,5.283,5.331,5.269,5.331,15348,0
IPRE.DE,D,20210312,000000,5.31,5.31,5.278,5.305,26551,0
IPRE.DE,D,20210315,000000,5.321,5.321,5.298,5.308,5062,0
IPRE.DE,D,20210316,000000,5.328,5.41,5.328,5.394,4592,0
IPRE.DE,D,20210317,000000,5.377,5.377,5.332,5.339,3201,0
IPRE.DE,D,20210318,000000,5.344,5.344,5.3,5.301,10376,0
IPRE.DE,D,20210319,000000,5.262,5.351,5.262,5.349,27586,0
IPRE.DE,D,20210322,000000,5.308,5.316,5.27,5.304,7134,0
IPRE.DE,D,20210323,000000,5.285,5.378,5.285,5.368,7921,0
IPRE.DE,D,20210324,000000,5.338,5.363,5.326,5.363,129042,0
IPRE.DE,D,20210325,000000,5.346,5.346,5.262,5.289,49699,0
IPRE.DE,D,20210326,000000,5.32,5.343,5.32,5.329,10409,0
IPRE.DE,D,20210329,000000,5.341,5.341,5.291,5.298,29462,0
IPRE.DE,D,20210330,000000,5.314,5.34,5.314,5.34,3305,0
IPRE.DE,D,20210331,000000,5.338,5.361,5.319,5.322,44730,0
IPRE.DE,D,20210401,000000,5.341,5.424,5.341,5.4,16069,0
IPRE.DE,D,20210406,000000,5.453,5.453,5.409,5.434,30270,0
IPRE.DE,D,20210407,000000,5.452,5.502,5.448,5.489,13201,0
IPRE.DE,D,20210408,000000,5.512,5.534,5.482,5.528,8361,0
IPRE.DE,D,20210409,000000,5.52,5.52,5.492,5.5,10164,0
IPRE.DE,D,20210412,000000,5.479,5.519,5.475,5.48,5773,0
IPRE.DE,D,20210413,000000,5.491,5.528,5.488,5.528,18151,0
IPRE.DE,D,20210414,000000,5.53,5.585,5.524,5.563,37295,0
IPRE.DE,D,20210415,000000,5.568,5.612,5.568,5.591,8788,0
IPRE.DE,D,20210416,000000,5.589,5.664,5.589,5.634,37404,0
IPRE.DE,D,20210419,000000,5.679,5.684,5.644,5.652,40901,0
IPRE.DE,D,20210420,000000,5.663,5.674,5.638,5.674,31398,0
IPRE.DE,D,20210421,000000,5.682,5.682,5.611,5.611,95247,0
IPRE.DE,D,20210422,000000,5.581,5.67,5.581,5.67,11161,0
IPRE.DE,D,20210423,000000,5.66,5.663,5.602,5.613,34724,0
IPRE.DE,D,20210426,000000,5.626,5.668,5.622,5.648,15656,0
IPRE.DE,D,20210427,000000,5.606,5.654,5.606,5.654,16328,0
IPRE.DE,D,20210428,000000,5.657,5.66,5.633,5.633,54222,0
IPRE.DE,D,20210429,000000,5.651,5.658,5.616,5.617,32356,0
IPRE.DE,D,20210430,000000,5.629,5.629,5.571,5.571,65068,0
IPRE.DE,D,20210503,000000,5.602,5.647,5.601,5.647,2090,0
