<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IQCY.DE,D,20200504,000000,8.565,8.565,8.205,8.285,101,0
IQCY.DE,D,20200505,000000,8.41,8.515,8.41,8.515,0,0
IQCY.DE,D,20200506,000000,8.525,8.535,8.475,8.475,135,0
IQCY.DE,D,20200507,000000,8.52,8.645,8.52,8.645,2420,0
IQCY.DE,D,20200508,000000,8.745,8.745,8.735,8.735,0,0
IQCY.DE,D,20200511,000000,8.805,8.805,8.73,8.745,280,0
IQCY.DE,D,20200512,000000,8.715,8.79,8.715,8.725,200,0
IQCY.DE,D,20200513,000000,8.584,8.584,8.515,8.515,1300,0
IQCY.DE,D,20200514,000000,8.375,8.392,8.27,8.329,11500,0
IQCY.DE,D,20200515,000000,8.488,8.488,8.376,8.381,300,0
IQCY.DE,D,20200518,000000,8.476,8.66,8.476,8.657,4184,0
IQCY.DE,D,20200519,000000,8.665,8.673,8.602,8.673,220,0
IQCY.DE,D,20200520,000000,8.623,8.761,8.623,8.761,45,0
IQCY.DE,D,20200521,000000,8.655,8.655,8.643,8.643,0,0
IQCY.DE,D,20200522,000000,8.525,8.64,8.525,8.639,1000,0
IQCY.DE,D,20200525,000000,8.755,8.828,8.755,8.828,0,0
IQCY.DE,D,20200526,000000,8.867,8.9,8.849,8.849,104,0
IQCY.DE,D,20200527,000000,8.907,8.96,8.799,8.815,2500,0
IQCY.DE,D,20200528,000000,8.935,8.952,8.9,8.919,486,0
IQCY.DE,D,20200529,000000,8.775,8.79,8.743,8.743,299,0
IQCY.DE,D,20200602,000000,8.95,9.03,8.95,8.987,220,0
IQCY.DE,D,20200603,000000,9.1,9.211,9.097,9.201,1790,0
IQCY.DE,D,20200604,000000,9.14,9.14,9.052,9.052,1521,0
IQCY.DE,D,20200605,000000,9.094,9.35,9.09,9.347,6976,0
IQCY.DE,D,20200608,000000,9.3,9.342,9.3,9.341,477,0
IQCY.DE,D,20200609,000000,9.374,9.374,9.208,9.27,1465,0
IQCY.DE,D,20200610,000000,9.296,9.36,9.218,9.218,539,0
IQCY.DE,D,20200611,000000,9.045,9.06,8.9,8.9,250,0
IQCY.DE,D,20200612,000000,8.85,8.971,8.83,8.87,10260,0
IQCY.DE,D,20200615,000000,8.61,8.817,8.61,8.817,230,0
IQCY.DE,D,20200616,000000,9.01,9.184,9.01,9.094,115,0
IQCY.DE,D,20200617,000000,9.094,9.17,9.091,9.091,1082,0
IQCY.DE,D,20200618,000000,9.085,9.085,9.064,9.064,0,0
IQCY.DE,D,20200619,000000,9.11,9.166,9.11,9.166,300,0
IQCY.DE,D,20200622,000000,9.05,9.097,9.05,9.076,2600,0
IQCY.DE,D,20200623,000000,9.09,9.145,9.09,9.144,50,0
IQCY.DE,D,20200624,000000,9.08,9.105,8.98,8.98,50,0
IQCY.DE,D,20200625,000000,8.961,9.04,8.956,8.956,835,0
IQCY.DE,D,20200626,000000,9.083,9.096,8.95,8.957,1810,0
IQCY.DE,D,20200629,000000,8.92,8.994,8.903,8.994,112,0
IQCY.DE,D,20200630,000000,9.07,9.085,9.033,9.085,334,0
IQCY.DE,D,20200701,000000,9.09,9.139,9.072,9.089,110,0
IQCY.DE,D,20200702,000000,9.18,9.246,9.18,9.23,34456,0
IQCY.DE,D,20200703,000000,9.239,9.239,9.216,9.216,0,0
IQCY.DE,D,20200706,000000,9.368,9.44,9.368,9.415,4996,0
IQCY.DE,D,20200707,000000,9.349,9.367,9.317,9.367,0,0
IQCY.DE,D,20200708,000000,9.31,9.338,9.3,9.307,34151,0
IQCY.DE,D,20200709,000000,9.358,9.388,9.295,9.295,307,0
IQCY.DE,D,20200710,000000,9.317,9.391,9.317,9.391,0,0
IQCY.DE,D,20200713,000000,9.49,9.491,9.472,9.472,645,0
IQCY.DE,D,20200714,000000,9.29,9.29,9.18,9.229,1574,0
IQCY.DE,D,20200715,000000,9.33,9.412,9.33,9.379,350,0
IQCY.DE,D,20200716,000000,9.38,9.38,9.317,9.327,2342,0
IQCY.DE,D,20200717,000000,9.387,9.49,9.363,9.397,73109,0
IQCY.DE,D,20200720,000000,9.41,9.502,9.408,9.493,1787,0
IQCY.DE,D,20200721,000000,9.578,9.63,9.543,9.543,5299,0
IQCY.DE,D,20200722,000000,9.52,9.52,9.42,9.43,205,0
IQCY.DE,D,20200723,000000,9.476,9.476,9.41,9.44,253,0
IQCY.DE,D,20200724,000000,9.232,9.245,9.14,9.202,269,0
IQCY.DE,D,20200727,000000,9.21,9.21,9.18,9.184,200,0
IQCY.DE,D,20200728,000000,9.263,9.263,9.219,9.232,0,0
IQCY.DE,D,20200729,000000,9.228,9.294,9.18,9.294,150,0
IQCY.DE,D,20200730,000000,9.261,9.261,9.17,9.182,898,0
IQCY.DE,D,20200731,000000,9.16,9.203,9.128,9.128,350,0
IQCY.DE,D,20200803,000000,9.2,9.375,9.2,9.374,49,0
IQCY.DE,D,20200804,000000,9.403,9.403,9.332,9.372,700,0
IQCY.DE,D,20200805,000000,9.435,9.455,9.431,9.431,500,0
IQCY.DE,D,20200806,000000,9.403,9.43,9.386,9.397,110,0
IQCY.DE,D,20200807,000000,9.43,9.509,9.382,9.509,720,0
IQCY.DE,D,20200810,000000,9.486,9.514,9.486,9.514,813,0
IQCY.DE,D,20200811,000000,9.573,9.585,9.54,9.554,405,0
IQCY.DE,D,20200812,000000,9.55,9.55,9.49,9.49,115,0
IQCY.DE,D,20200813,000000,9.44,9.52,9.419,9.499,105,0
IQCY.DE,D,20200814,000000,9.5,9.5,9.455,9.455,300,0
IQCY.DE,D,20200817,000000,9.462,9.511,9.462,9.482,457,0
IQCY.DE,D,20200818,000000,9.407,9.443,9.394,9.394,248,0
IQCY.DE,D,20200819,000000,9.389,9.457,9.35,9.457,50,0
IQCY.DE,D,20200820,000000,9.315,9.353,9.315,9.349,0,0
IQCY.DE,D,20200821,000000,9.366,9.383,9.359,9.359,50,0
IQCY.DE,D,20200824,000000,9.42,9.459,9.42,9.425,696,0
IQCY.DE,D,20200825,000000,9.504,9.516,9.424,9.424,49,0
IQCY.DE,D,20200826,000000,9.471,9.537,9.46,9.537,110,0
IQCY.DE,D,20200827,000000,9.529,9.529,9.456,9.456,150,0
IQCY.DE,D,20200828,000000,9.459,9.459,9.426,9.436,54,0
IQCY.DE,D,20200831,000000,9.46,9.48,9.353,9.353,150,0
IQCY.DE,D,20200901,000000,9.392,9.443,9.38,9.443,88,0
IQCY.DE,D,20200902,000000,9.621,9.673,9.61,9.627,338,0
IQCY.DE,D,20200903,000000,9.705,9.705,9.367,9.367,0,0
IQCY.DE,D,20200904,000000,9.297,9.43,9.22,9.221,2117,0
IQCY.DE,D,20200907,000000,9.29,9.36,9.241,9.333,260,0
IQCY.DE,D,20200908,000000,9.36,9.36,9.23,9.241,1032,0
IQCY.DE,D,20200909,000000,9.24,9.325,9.24,9.325,0,0
IQCY.DE,D,20200910,000000,9.295,9.307,9.223,9.27,18389,0
IQCY.DE,D,20200911,000000,9.285,9.285,9.24,9.24,0,0
IQCY.DE,D,20200914,000000,9.305,9.309,9.256,9.29,40,0
IQCY.DE,D,20200915,000000,9.288,9.376,9.288,9.376,115,0
IQCY.DE,D,20200916,000000,9.359,9.437,9.359,9.437,250,0
IQCY.DE,D,20200917,000000,9.304,9.343,9.28,9.343,4182,0
IQCY.DE,D,20200918,000000,9.347,9.389,9.343,9.343,0,0
IQCY.DE,D,20200921,000000,9.281,9.281,9.132,9.146,151,0
IQCY.DE,D,20200922,000000,9.182,9.235,9.182,9.19,415,0
IQCY.DE,D,20200923,000000,9.286,9.325,9.273,9.273,390,0
IQCY.DE,D,20200924,000000,9.086,9.135,9.054,9.109,709,0
IQCY.DE,D,20200925,000000,9.073,9.123,9.009,9.123,0,0
IQCY.DE,D,20200928,000000,9.256,9.37,9.256,9.337,319,0
IQCY.DE,D,20200929,000000,9.316,9.351,9.307,9.314,33037,0
IQCY.DE,D,20200930,000000,9.267,9.373,9.267,9.373,5713,0
IQCY.DE,D,20201001,000000,9.395,9.46,9.395,9.444,1130,0
IQCY.DE,D,20201002,000000,9.319,9.463,9.31,9.443,554,0
IQCY.DE,D,20201005,000000,9.468,9.527,9.433,9.527,200,0
IQCY.DE,D,20201006,000000,9.544,9.615,9.51,9.612,200,0
IQCY.DE,D,20201007,000000,9.619,9.703,9.616,9.703,1220,0
IQCY.DE,D,20201008,000000,9.749,9.83,9.748,9.774,51,0
IQCY.DE,D,20201009,000000,9.792,9.87,9.792,9.856,1008,0
IQCY.DE,D,20201012,000000,9.882,9.961,9.882,9.901,2252,0
IQCY.DE,D,20201013,000000,9.922,9.942,9.905,9.905,200,0
IQCY.DE,D,20201014,000000,9.91,9.93,9.848,9.881,1414,0
IQCY.DE,D,20201015,000000,9.75,9.77,9.663,9.714,1577,0
IQCY.DE,D,20201016,000000,9.795,9.811,9.779,9.779,395,0
IQCY.DE,D,20201019,000000,9.81,9.81,9.727,9.727,1005,0
IQCY.DE,D,20201020,000000,9.689,9.69,9.654,9.676,3105,0
