<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IQQP.DE,D,20070102,000000,24.559216,24.764275,24.443016,24.764275,8198,0
IQQP.DE,D,20070103,000000,24.736934,24.750604,24.64124,24.65491,8590,0
IQQP.DE,D,20070104,000000,24.620734,24.620734,24.511369,24.620734,32896,0
IQQP.DE,D,20070105,000000,24.572887,24.607063,24.531875,24.607063,6207,0
IQQP.DE,D,20070108,000000,24.566051,24.572887,24.443016,24.443016,3154,0
IQQP.DE,D,20070109,000000,24.333651,24.429345,24.333651,24.388334,5005,0
IQQP.DE,D,20070110,000000,24.278969,24.278969,24.169604,24.217451,11447,0
IQQP.DE,D,20070115,000000,24.545545,24.736934,24.531875,24.682251,9334,0
IQQP.DE,D,20070116,000000,24.730098,24.777945,24.730098,24.777945,1132,0
IQQP.DE,D,20070117,000000,24.846298,24.846298,24.736934,24.736934,5021,0
IQQP.DE,D,20070118,000000,24.818957,24.914651,24.64124,24.64124,8659,0
IQQP.DE,D,20070119,000000,24.668581,24.839463,24.668581,24.839463,2867,0
IQQP.DE,D,20070122,000000,25.051357,25.290593,25.051357,25.133381,17024,0
IQQP.DE,D,20070123,000000,25.201734,25.201734,25.078698,25.147051,4481,0
IQQP.DE,D,20070124,000000,25.242746,25.481981,25.242746,25.393122,5790,0
IQQP.DE,D,20070125,000000,25.393122,25.434134,25.365781,25.434134,22114,0
IQQP.DE,D,20070126,000000,25.317934,25.317934,25.208569,25.208569,960,0
IQQP.DE,D,20070129,000000,25.208569,25.386287,25.208569,25.311098,3717,0
IQQP.DE,D,20070130,000000,25.33844,25.345275,25.174393,25.201734,22190,0
IQQP.DE,D,20070131,000000,25.263251,25.311098,25.229075,25.229075,1200,0
IQQP.DE,D,20070201,000000,25.420463,25.420463,25.147051,25.23591,5811,0
IQQP.DE,D,20070202,000000,25.33844,25.639193,25.33844,25.639193,23990,0
IQQP.DE,D,20070205,000000,25.91944,26.076652,25.837416,26.076652,27851,0
IQQP.DE,D,20070206,000000,26.199687,26.404746,26.186016,26.363734,39835,0
IQQP.DE,D,20070207,000000,26.575628,26.589299,26.493605,26.582463,54096,0
IQQP.DE,D,20070208,000000,26.712334,26.712334,25.953616,26.056146,49849,0
IQQP.DE,D,20070209,000000,26.16551,26.302216,26.110828,26.302216,5673,0
IQQP.DE,D,20070212,000000,26.363734,26.527781,26.363734,26.507275,10070,0
IQQP.DE,D,20070213,000000,26.555122,26.555122,26.377405,26.507275,27023,0
IQQP.DE,D,20070214,000000,26.561958,26.637146,26.520946,26.63031,2816,0
IQQP.DE,D,20070215,000000,26.794358,27.108781,26.773852,27.108781,9451,0
IQQP.DE,D,20070216,000000,27.224981,27.238652,27.054099,27.054099,1560,0
IQQP.DE,D,20070219,000000,27.163464,27.559911,27.136122,27.559911,22367,0
IQQP.DE,D,20070220,000000,27.505228,27.505228,27.272828,27.300169,31435,0
IQQP.DE,D,20070221,000000,27.614593,27.792311,27.573581,27.587252,14273,0
IQQP.DE,D,20070222,000000,27.66244,27.669275,27.491558,27.573581,17865,0
