<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IQQS.DE,D,20070102,000000,23.491441,23.574104,23.446351,23.574104,9114,0
IQQS.DE,D,20070103,000000,23.589134,23.716886,23.589134,23.716886,79734,0
IQQS.DE,D,20070104,000000,23.544044,23.544044,23.386233,23.386233,28447,0
IQQS.DE,D,20070105,000000,23.363688,23.423807,23.363688,23.423807,31550,0
IQQS.DE,D,20070108,000000,23.393747,23.393747,23.393747,23.393747,6000,0
IQQS.DE,D,20070109,000000,23.589134,23.589134,23.581619,23.581619,645,0
IQQS.DE,D,20070110,000000,23.423807,23.423807,23.371203,23.371203,770,0
IQQS.DE,D,20070115,000000,23.777005,23.777005,23.777005,23.777005,250,0
IQQS.DE,D,20070116,000000,23.807064,23.814579,23.694342,23.694342,16556,0
IQQS.DE,D,20070117,000000,23.686827,23.686827,23.649252,23.649252,590,0
IQQS.DE,D,20070118,000000,23.829609,23.829609,23.75446,23.75446,330,0
IQQS.DE,D,20070119,000000,23.792035,23.792035,23.75446,23.75446,499,0
IQQS.DE,D,20070122,000000,23.942332,23.942332,23.874698,23.874698,495,0
IQQS.DE,D,20070123,000000,23.679312,23.679312,23.679312,23.679312,145,0
IQQS.DE,D,20070124,000000,23.679312,23.679312,23.679312,23.679312,0,0
IQQS.DE,D,20070125,000000,24.024995,24.055055,23.994936,23.994936,545,0
IQQS.DE,D,20070126,000000,23.859668,23.859668,23.829609,23.829609,669,0
IQQS.DE,D,20070129,000000,23.814579,23.814579,23.777005,23.777005,2300,0
IQQS.DE,D,20070130,000000,23.852154,23.859668,23.814579,23.852154,31619,0
IQQS.DE,D,20070131,000000,23.874698,23.934817,23.874698,23.934817,260,0
IQQS.DE,D,20070201,000000,24.145233,24.175292,24.122688,24.122688,8008,0
IQQS.DE,D,20070202,000000,24.167778,24.29553,24.167778,24.272986,168362,0
IQQS.DE,D,20070205,000000,24.272986,24.340619,24.227896,24.340619,350368,0
IQQS.DE,D,20070206,000000,24.378194,24.408253,24.378194,24.378194,4928,0
IQQS.DE,D,20070207,000000,24.468372,24.633699,24.468372,24.633699,33582,0
IQQS.DE,D,20070208,000000,24.58861,24.58861,24.430798,24.498431,27050,0
