<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IQQT.DE,D,20070102,000000,19.843038,19.916996,19.843038,19.916996,460,0
IQQT.DE,D,20070103,000000,19.880017,20.042726,19.835642,20.042726,10060,0
IQQT.DE,D,20070104,000000,19.931788,20.079705,19.931788,20.079705,28395,0
IQQT.DE,D,20070105,000000,19.687725,19.806059,19.613767,19.806059,16350,0
IQQT.DE,D,20070108,000000,19.532413,19.539809,19.517621,19.517621,6180,0
IQQT.DE,D,20070109,000000,19.561996,19.598975,19.5546,19.598975,8419,0
IQQT.DE,D,20070110,000000,19.1996,19.221787,19.162621,19.170017,41860,0
IQQT.DE,D,20070115,000000,19.798663,19.843038,19.798663,19.813455,15233,0
IQQT.DE,D,20070116,000000,19.791267,19.791267,19.754288,19.776475,5315,0
IQQT.DE,D,20070117,000000,19.924392,19.939184,19.924392,19.939184,1985,0
IQQT.DE,D,20070118,000000,20.005746,20.005746,19.82085,19.835642,32500,0
IQQT.DE,D,20070119,000000,19.687725,19.865226,19.687725,19.865226,5125,0
IQQT.DE,D,20070122,000000,19.709913,19.709913,19.606371,19.606371,4060,0
IQQT.DE,D,20070123,000000,19.628559,19.687725,19.613767,19.68033,27732,0
IQQT.DE,D,20070124,000000,20.042726,20.042726,20.042726,20.042726,2000,0
IQQT.DE,D,20070125,000000,19.909601,19.998351,19.872621,19.887413,20170,0
IQQT.DE,D,20070126,000000,19.68033,19.724705,19.598975,19.598975,5425,0
IQQT.DE,D,20070129,000000,19.598975,19.598975,19.598975,19.598975,0,0
IQQT.DE,D,20070130,000000,19.480642,19.495434,19.480642,19.495434,5930,0
IQQT.DE,D,20070131,000000,19.354913,19.354913,19.354913,19.354913,100,0
IQQT.DE,D,20070201,000000,19.236579,19.3771,19.236579,19.3771,1622,0
IQQT.DE,D,20070202,000000,19.46585,19.591579,19.46585,19.591579,186,0
IQQT.DE,D,20070205,000000,19.510225,19.561996,19.488038,19.561996,1315,0
IQQT.DE,D,20070206,000000,19.717309,19.761684,19.717309,19.7321,18000,0
IQQT.DE,D,20070207,000000,19.739496,19.739496,19.658142,19.724705,46704,0
IQQT.DE,D,20070208,000000,19.584184,19.672934,19.584184,19.598975,27000,0
IQQT.DE,D,20070209,000000,19.687725,19.702517,19.687725,19.687725,8850,0
IQQT.DE,D,20070212,000000,19.421475,19.428871,19.332725,19.332725,96049,0
IQQT.DE,D,20070213,000000,18.962933,19.140433,18.962933,19.133037,68615,0
IQQT.DE,D,20070214,000000,19.362308,19.576788,19.362308,19.576788,55695,0
IQQT.DE,D,20070215,000000,19.502829,19.598975,19.502829,19.547204,45240,0
IQQT.DE,D,20070216,000000,19.539809,19.650746,19.539809,19.621163,14248,0
IQQT.DE,D,20070219,000000,19.621163,19.621163,19.621163,19.621163,0,0
IQQT.DE,D,20070220,000000,19.569392,19.584184,19.569392,19.584184,900,0
IQQT.DE,D,20070221,000000,19.606371,19.695121,19.598975,19.598975,34650,0
IQQT.DE,D,20070222,000000,19.658142,19.806059,19.658142,19.806059,25250,0
IQQT.DE,D,20070226,000000,19.406683,19.495434,19.399288,19.399288,16900,0
IQQT.DE,D,20070227,000000,19.243975,19.243975,18.822412,18.822412,62028,0
IQQT.DE,D,20070228,000000,18.962933,18.962933,18.829808,18.866787,28240,0
IQQT.DE,D,20070301,000000,18.393453,18.526579,18.134599,18.18637,11280,0
IQQT.DE,D,20070302,000000,18.526579,18.585745,18.482203,18.578349,16082,0
IQQT.DE,D,20070305,000000,17.757411,17.853557,17.579911,17.846161,35918,0
