<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IS05.DE,D,20150921,000000,4.583928,4.583928,4.556816,4.556816,1,0
IS05.DE,D,20150922,000000,4.64009,4.64009,4.64009,4.64009,0,0
IS05.DE,D,20150923,000000,4.639121,4.639121,4.639121,4.639121,0,0
IS05.DE,D,20150924,000000,4.651709,4.651709,4.651709,4.651709,0,0
IS05.DE,D,20150925,000000,4.586833,4.586833,4.586833,4.586833,0,0
IS05.DE,D,20150928,000000,4.630407,4.630407,4.630407,4.630407,0,0
IS05.DE,D,20150929,000000,4.642995,4.642995,4.642995,4.642995,0,0
IS05.DE,D,20150930,000000,4.635248,4.635248,4.635248,4.635248,0,0
IS05.DE,D,20151001,000000,4.676885,4.676885,4.676885,4.676885,0,0
IS05.DE,D,20151002,000000,4.71368,4.71368,4.71368,4.71368,0,0
IS05.DE,D,20151005,000000,4.647836,4.647836,4.647836,4.647836,0,0
IS05.DE,D,20151006,000000,4.609104,4.609104,4.609104,4.609104,0,0
IS05.DE,D,20151007,000000,4.623629,4.623629,4.623629,4.623629,0,0
IS05.DE,D,20151008,000000,4.636216,4.636216,4.636216,4.636216,0,0
IS05.DE,D,20151009,000000,4.604263,4.604263,4.604263,4.604263,0,0
IS05.DE,D,20151012,000000,4.642995,4.642995,4.642995,4.642995,0,0
IS05.DE,D,20151013,000000,4.624597,4.624597,4.624597,4.624597,0,0
IS05.DE,D,20151014,000000,4.664297,4.664297,4.664297,4.664297,0,0
IS05.DE,D,20151015,000000,4.657519,4.657519,4.657519,4.657519,0,0
IS05.DE,D,20151016,000000,4.66817,4.66817,4.66817,4.66817,0,0
IS05.DE,D,20151019,000000,4.645899,4.645899,4.645899,4.645899,0,0
IS05.DE,D,20151020,000000,4.593611,4.593611,4.593611,4.593611,0,0
IS05.DE,D,20151021,000000,4.655582,4.655582,4.655582,4.655582,0,0
IS05.DE,D,20151022,000000,4.721427,4.721427,4.721427,4.721427,0,0
IS05.DE,D,20151023,000000,4.709807,4.709807,4.709807,4.709807,0,0
IS05.DE,D,20151026,000000,4.724332,4.724332,4.724332,4.724332,0,0
IS05.DE,D,20151027,000000,4.781461,4.781461,4.781461,4.781461,0,0
IS05.DE,D,20151028,000000,4.787271,4.787271,4.787271,4.787271,0,0
IS05.DE,D,20151029,000000,4.714649,4.714649,4.714649,4.714649,0,0
IS05.DE,D,20151030,000000,4.726268,4.726268,4.726268,4.726268,0,0
IS05.DE,D,20151102,000000,4.684631,4.684631,4.675917,4.675917,3843,0
IS05.DE,D,20151103,000000,4.648804,4.648804,4.644931,4.644931,1,0
IS05.DE,D,20151104,000000,4.608136,4.608136,4.608136,4.608136,0,0
IS05.DE,D,20151105,000000,4.581023,4.581023,4.581023,4.581023,0,0
IS05.DE,D,20151106,000000,4.507433,4.507433,4.507433,4.507433,0,0
IS05.DE,D,20151109,000000,4.49775,4.49775,4.472574,4.48032,3842,0
IS05.DE,D,20151110,000000,4.519052,4.519052,4.519052,4.519052,0,0
IS05.DE,D,20151111,000000,4.535513,4.535513,4.535513,4.535513,0,0
IS05.DE,D,20151112,000000,4.562626,4.562626,4.562626,4.562626,0,0
IS05.DE,D,20151113,000000,4.602326,4.602326,4.602326,4.602326,0,0
IS05.DE,D,20151116,000000,4.618787,4.62266,4.618787,4.62266,2602,0
IS05.DE,D,20151117,000000,4.615882,4.615882,4.615882,4.615882,0,0
IS05.DE,D,20151118,000000,4.655582,4.655582,4.655582,4.655582,0,0
IS05.DE,D,20151119,000000,4.695283,4.695283,4.695283,4.695283,5202,0
IS05.DE,D,20151120,000000,4.714649,4.718522,4.714649,4.718522,195,0
IS05.DE,D,20151123,000000,4.670107,4.670107,4.670107,4.670107,0,0
IS05.DE,D,20151124,000000,4.674948,4.674948,4.674948,4.674948,0,0
IS05.DE,D,20151125,000000,4.696251,4.696251,4.696251,4.696251,0,0
IS05.DE,D,20151126,000000,4.704966,4.708839,4.695283,4.695283,5007,0
IS05.DE,D,20151127,000000,4.708839,4.708839,4.708839,4.708839,0,0
IS05.DE,D,20151130,000000,4.671075,4.671075,4.671075,4.671075,0,0
IS05.DE,D,20151201,000000,4.642995,4.649773,4.642995,4.649773,2307,0
IS05.DE,D,20151202,000000,4.658487,4.658487,4.658487,4.658487,0,0
IS05.DE,D,20151203,000000,4.532608,4.532608,4.532608,4.532608,0,0
IS05.DE,D,20151204,000000,4.510338,4.510338,4.510338,4.510338,0,0
IS05.DE,D,20151207,000000,4.604263,4.604263,4.604263,4.604263,0,0
IS05.DE,D,20151208,000000,4.637185,4.637185,4.637185,4.637185,0,0
IS05.DE,D,20151209,000000,4.604263,4.604263,4.604263,4.604263,0,0
IS05.DE,D,20151210,000000,4.619283,4.619283,4.619283,4.619283,0,0
IS05.DE,D,20151211,000000,4.663174,4.663174,4.663174,4.663174,0,0
IS05.DE,D,20151214,000000,4.631963,4.631963,4.631963,4.631963,0,0
IS05.DE,D,20151215,000000,4.578318,4.578318,4.578318,4.578318,0,0
IS05.DE,D,20151216,000000,4.545156,4.545156,4.545156,4.545156,0,0
IS05.DE,D,20151217,000000,4.617332,4.617332,4.617332,4.617332,0,0
IS05.DE,D,20151218,000000,4.671952,4.671952,4.671952,4.671952,0,0
IS05.DE,D,20151221,000000,4.665125,4.665125,4.665125,4.665125,0,0
IS05.DE,D,20151222,000000,4.62416,4.62416,4.608554,4.608554,79,0
IS05.DE,D,20151223,000000,4.555885,4.555885,4.555885,4.555885,0,0
IS05.DE,D,20151228,000000,4.630987,4.630987,4.630987,4.630987,0,0
IS05.DE,D,20151229,000000,4.524674,4.524674,4.524674,4.524674,0,0
IS05.DE,D,20151230,000000,4.523698,4.523698,4.523698,4.523698,0,0
IS05.DE,D,20160104,000000,4.579293,4.579293,4.578318,4.578318,200,0
IS05.DE,D,20160105,000000,4.581244,4.581244,4.581244,4.581244,0,0
IS05.DE,D,20160106,000000,4.607579,4.607579,4.607579,4.607579,0,0
IS05.DE,D,20160107,000000,4.56954,4.56954,4.56954,4.56954,0,0
IS05.DE,D,20160108,000000,4.618308,4.618308,4.618308,4.618308,0,0
IS05.DE,D,20160111,000000,4.592948,4.592948,4.592948,4.592948,0,0
IS05.DE,D,20160112,000000,4.62611,4.62611,4.62611,4.62611,0,0
IS05.DE,D,20160113,000000,4.65147,4.65147,4.65147,4.65147,0,0
IS05.DE,D,20160114,000000,4.631963,4.631963,4.631963,4.631963,0,0
IS05.DE,D,20160115,000000,4.659273,4.659273,4.659273,4.659273,0,0
IS05.DE,D,20160118,000000,4.65147,4.65147,4.65147,4.65147,0,0
IS05.DE,D,20160119,000000,4.645618,4.645618,4.645618,4.645618,0,0
IS05.DE,D,20160120,000000,4.711942,4.711942,4.711942,4.711942,0,0
IS05.DE,D,20160121,000000,4.719745,4.740227,4.719745,4.740227,1000,0
IS05.DE,D,20160122,000000,4.697311,4.697311,4.697311,4.697311,0,0
IS05.DE,D,20160125,000000,4.718769,4.718769,4.718769,4.718769,0,0
IS05.DE,D,20160126,000000,4.745104,4.755833,4.745104,4.755833,100,0
IS05.DE,D,20160127,000000,4.757783,4.757783,4.757783,4.757783,0,0
IS05.DE,D,20160128,000000,4.796798,4.796798,4.796798,4.796798,0,0
IS05.DE,D,20160129,000000,4.877752,4.877752,4.877752,4.877752,0,0
IS05.DE,D,20160201,000000,4.848492,4.848492,4.848492,4.848492,0,0
IS05.DE,D,20160202,000000,4.874826,4.874826,4.874826,4.874826,0,0
IS05.DE,D,20160203,000000,4.891407,4.930421,4.876777,4.928471,3540,0
IS05.DE,D,20160204,000000,4.908964,4.908964,4.908964,4.908964,0,0
IS05.DE,D,20160205,000000,4.908964,4.908964,4.908964,4.908964,0,0
IS05.DE,D,20160208,000000,4.964559,4.988943,4.964559,4.988943,1900,0
IS05.DE,D,20160209,000000,5.00845,5.00845,4.972362,4.972362,2000,0
IS05.DE,D,20160210,000000,4.935298,4.943101,4.935298,4.943101,1,0
IS05.DE,D,20160211,000000,5.032834,5.03771,5.030883,5.030883,2100,0
IS05.DE,D,20160212,000000,4.993819,4.998696,4.947978,4.947978,10205,0
IS05.DE,D,20160215,000000,4.969436,4.969436,4.954805,4.962608,4283,0
IS05.DE,D,20160216,000000,4.923594,4.923594,4.923594,4.923594,0,0
IS05.DE,D,20160217,000000,4.918717,4.918717,4.918717,4.918717,0,0
IS05.DE,D,20160218,000000,4.959682,4.996746,4.959682,4.996746,3295,0
IS05.DE,D,20160219,000000,5.02308,5.02308,5.003573,5.003573,3000,0
IS05.DE,D,20160222,000000,5.042587,5.042587,5.042587,5.042587,0,0
IS05.DE,D,20160223,000000,5.062094,5.062094,5.018203,5.052341,101883,0
IS05.DE,D,20160224,000000,5.096232,5.105985,5.096232,5.096232,182950,0
IS05.DE,D,20160225,000000,5.086478,5.089404,5.086478,5.089404,2000,0
IS05.DE,D,20160226,000000,5.076725,5.081601,5.06502,5.06502,56404,0
IS05.DE,D,20160229,000000,5.062094,5.101109,5.062094,5.079651,5524,0
IS05.DE,D,20160301,000000,5.042587,5.052341,5.011376,5.011376,4000,0
IS05.DE,D,20160302,000000,4.964559,4.969436,4.935298,4.935298,18600,0
IS05.DE,D,20160303,000000,4.925545,4.998696,4.925545,4.972362,123502,0
IS05.DE,D,20160304,000000,4.969436,4.969436,4.935298,4.935298,10000,0
IS05.DE,D,20160307,000000,4.974312,4.974312,4.945052,4.945052,47,0
IS05.DE,D,20160308,000000,4.984066,4.984066,4.982115,4.982115,8000,0
IS05.DE,D,20160309,000000,4.969436,4.979189,4.945052,4.945052,38304,0
IS05.DE,D,20160310,000000,4.984066,4.984066,4.906037,4.906037,7650,0
IS05.DE,D,20160311,000000,4.974312,4.974312,4.949928,4.949928,905,0
IS05.DE,D,20160314,000000,4.957731,4.957731,4.957731,4.957731,0,0
IS05.DE,D,20160315,000000,4.935298,4.935298,4.918717,4.918717,20662,0
IS05.DE,D,20160316,000000,4.945052,4.969436,4.935298,4.935298,14249,0
IS05.DE,D,20160317,000000,5.03771,5.03771,5.02308,5.02308,899,0
IS05.DE,D,20160318,000000,5.052341,5.057218,5.052341,5.057218,1000,0
IS05.DE,D,20160321,000000,5.03576,5.03576,5.03576,5.03576,0,0
IS05.DE,D,20160322,000000,5.066971,5.066971,5.052341,5.062094,9916,0
IS05.DE,D,20160323,000000,5.06502,5.06502,5.06502,5.06502,0,0
IS05.DE,D,20160324,000000,5.096232,5.099158,5.096232,5.099158,13496,0
IS05.DE,D,20160329,000000,5.145,5.145,5.145,5.145,0,0
IS05.DE,D,20160330,000000,5.123542,5.123542,5.123542,5.123542,0,0
IS05.DE,D,20160331,000000,5.138172,5.138172,5.138172,5.138172,0,0
IS05.DE,D,20160401,000000,5.167433,5.167433,5.167433,5.167433,0,0
IS05.DE,D,20160404,000000,5.188891,5.188891,5.188891,5.188891,3800,0
IS05.DE,D,20160405,000000,5.237658,5.237658,5.221077,5.221077,3800,0
IS05.DE,D,20160406,000000,5.232782,5.232782,5.188891,5.191817,6006,0
IS05.DE,D,20160407,000000,5.208398,5.2162,5.208398,5.2162,1870,0
IS05.DE,D,20160408,000000,5.203521,5.203521,5.18694,5.18694,30007,0
IS05.DE,D,20160411,000000,5.138172,5.138172,5.138172,5.138172,0,0
IS05.DE,D,20160412,000000,5.06502,5.06502,5.06502,5.06502,0,0
IS05.DE,D,20160413,000000,5.071848,5.113788,5.062094,5.113788,21083,0
IS05.DE,D,20160414,000000,5.089404,5.089404,5.089404,5.089404,0,0
IS05.DE,D,20160415,000000,5.123542,5.123542,5.123542,5.123542,0,0
IS05.DE,D,20160418,000000,5.094281,5.094281,5.094281,5.094281,0,0
IS05.DE,D,20160419,000000,5.06502,5.06502,5.06502,5.06502,0,0
IS05.DE,D,20160420,000000,5.105985,5.105985,5.099158,5.099158,54,0
IS05.DE,D,20160421,000000,5.02308,5.02308,5.016253,5.016253,5000,0
IS05.DE,D,20160422,000000,4.998696,4.998696,4.993819,4.993819,4000,0
IS05.DE,D,20160425,000000,4.974312,4.974312,4.952855,4.952855,91,0
IS05.DE,D,20160426,000000,4.923594,4.923594,4.923594,4.923594,0,0
IS05.DE,D,20160427,000000,4.925545,4.925545,4.896284,4.89921,65009,0
IS05.DE,D,20160428,000000,4.943101,4.943101,4.943101,4.943101,0,0
IS05.DE,D,20160429,000000,4.959682,4.959682,4.940175,4.940175,1750,0
IS05.DE,D,20160502,000000,4.954805,4.984066,4.954805,4.957731,62459,0
IS05.DE,D,20160503,000000,4.979189,5.03771,4.979189,5.03771,40007,0
IS05.DE,D,20160504,000000,5.027957,5.027957,5.026006,5.026006,60000,0
IS05.DE,D,20160505,000000,5.06502,5.06502,5.06502,5.06502,0,0
IS05.DE,D,20160506,000000,5.071848,5.084528,5.066971,5.084528,18000,0
IS05.DE,D,20160509,000000,5.076725,5.105985,5.071848,5.105985,10811,0
IS05.DE,D,20160510,000000,5.108911,5.108911,5.108911,5.108911,0,0
IS05.DE,D,20160511,000000,5.104035,5.104035,5.104035,5.104035,0,0
IS05.DE,D,20160512,000000,5.06502,5.06502,5.06502,5.06502,0,0
IS05.DE,D,20160513,000000,5.105985,5.105985,5.105985,5.105985,0,0
IS05.DE,D,20160517,000000,5.071848,5.101109,5.071848,5.101109,3400,0
IS05.DE,D,20160518,000000,5.057218,5.057218,5.057218,5.057218,0,0
IS05.DE,D,20160519,000000,5.047464,5.06502,5.047464,5.06502,700,0
IS05.DE,D,20160520,000000,5.066971,5.066971,5.066971,5.066971,0,0
IS05.DE,D,20160523,000000,5.05039,5.05039,5.05039,5.05039,0,0
IS05.DE,D,20160524,000000,5.066971,5.066971,5.060144,5.060144,28,0
IS05.DE,D,20160525,000000,5.03771,5.099158,5.03771,5.099158,25002,0
IS05.DE,D,20160526,000000,5.108911,5.108911,5.108911,5.108911,0,0
IS05.DE,D,20160527,000000,5.113788,5.113788,5.113788,5.113788,0,0
IS05.DE,D,20160530,000000,5.081601,5.081601,5.079651,5.079651,190,0
IS05.DE,D,20160531,000000,5.071848,5.108911,5.071848,5.108911,1710,0
IS05.DE,D,20160601,000000,5.115739,5.128419,5.115739,5.128419,210,0
IS05.DE,D,20160602,000000,5.152802,5.152802,5.152802,5.152802,0,0
IS05.DE,D,20160603,000000,5.218151,5.218151,5.218151,5.218151,0,0
IS05.DE,D,20160606,000000,5.218151,5.227905,5.198644,5.198644,1460,0
IS05.DE,D,20160607,000000,5.198644,5.245461,5.198644,5.245461,50004,0
IS05.DE,D,20160608,000000,5.264968,5.264968,5.264968,5.264968,0,0
IS05.DE,D,20160609,000000,5.32349,5.32349,5.32349,5.32349,0,0
IS05.DE,D,20160610,000000,5.369331,5.369331,5.369331,5.369331,0,0
IS05.DE,D,20160613,000000,5.32544,5.32544,5.32349,5.32349,25023,0
IS05.DE,D,20160614,000000,5.367381,5.367381,5.367381,5.367381,0,0
IS05.DE,D,20160615,000000,5.379085,5.386888,5.379085,5.386888,500,0
IS05.DE,D,20160616,000000,5.419157,5.419157,5.419157,5.419157,600,0
IS05.DE,D,20160617,000000,5.394636,5.394636,5.353441,5.353441,1875,0
IS05.DE,D,20160620,000000,5.304399,5.304399,5.304399,5.304399,0,0
