<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUI1.DE,D,20210107,000000,642.3,649.1,642.3,649.1,1,0
IUI1.DE,D,20210108,000000,672.9,672.9,667.4,667.4,9,0
IUI1.DE,D,20210111,000000,678,678,666.1,667.6,5,0
IUI1.DE,D,20210112,000000,660.6,684.5,660.6,675,54,0
IUI1.DE,D,20210113,000000,644,680,644,680,70,0
IUI1.DE,D,20210114,000000,679.9,679.9,665,670.3,13,0
IUI1.DE,D,20210115,000000,642.8,664.7,642.8,659.9,17,0
IUI1.DE,D,20210118,000000,656,656,642.4,647.8,146,0
IUI1.DE,D,20210119,000000,654.3,657,643.2,645.2,51,0
IUI1.DE,D,20210120,000000,651,653.8,651,653.8,16,0
IUI1.DE,D,20210121,000000,663,665,651.4,661.5,36,0
IUI1.DE,D,20210122,000000,660,660,622.5,631.2,24,0
IUI1.DE,D,20210125,000000,630,630,607.6,611.4,178,0
IUI1.DE,D,20210126,000000,630,633.1,621,630.4,100,0
IUI1.DE,D,20210127,000000,635.9,646.2,628.5,629.7,69,0
IUI1.DE,D,20210128,000000,629.7,644.3,629.7,644.3,10,0
IUI1.DE,D,20210129,000000,629,637.1,620,622.6,24,0
IUI1.DE,D,20210201,000000,632.7,633.6,612.3,630.6,17,0
IUI1.DE,D,20210202,000000,630,634.8,629.4,634.8,32,0
IUI1.DE,D,20210203,000000,622.9,634,622.8,626.1,12,0
IUI1.DE,D,20210204,000000,624.9,635.1,616.3,635.1,154,0
IUI1.DE,D,20210205,000000,639,639,633.6,635.1,112,0
IUI1.DE,D,20210208,000000,645.5,645.5,630.6,640.5,92,0
IUI1.DE,D,20210209,000000,641.3,648,641.3,648,6,0
IUI1.DE,D,20210210,000000,656.8,656.8,642.6,647.4,26,0
IUI1.DE,D,20210211,000000,645.1,659.5,645.1,659.5,69,0
IUI1.DE,D,20210212,000000,650,674.6,650,661,17,0
IUI1.DE,D,20210215,000000,674,683,671,671,45,0
IUI1.DE,D,20210216,000000,672,672.6,654.3,654.3,59,0
IUI1.DE,D,20210217,000000,660,665,646.8,646.8,46,0
