<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUST.DE,D,20070315,000000,102.415,102.415,102.415,102.415,0,0
IUST.DE,D,20070316,000000,102.015,102.015,102.015,102.015,0,0
IUST.DE,D,20070319,000000,101.9,101.9,101.9,101.9,0,0
IUST.DE,D,20070320,000000,102.085,102.085,102.085,102.085,0,0
IUST.DE,D,20070321,000000,101.78,101.78,101.78,101.78,0,0
IUST.DE,D,20070322,000000,101.645,101.645,101.645,101.645,0,0
IUST.DE,D,20070323,000000,101.945,101.945,101.945,101.945,0,0
IUST.DE,D,20070326,000000,102.015,102.015,102.015,102.015,0,0
IUST.DE,D,20070327,000000,101.525,101.525,101.525,101.525,0,0
IUST.DE,D,20070328,000000,102.15,102.15,102.15,102.15,0,0
IUST.DE,D,20070329,000000,101.745,101.745,101.745,101.745,0,0
IUST.DE,D,20070330,000000,101.99,101.99,101.99,101.99,50,0
IUST.DE,D,20070402,000000,101.99,101.99,101.99,101.99,0,0
IUST.DE,D,20070403,000000,101.99,101.99,101.99,101.99,0,0
IUST.DE,D,20070404,000000,101.99,101.99,101.99,101.99,0,0
IUST.DE,D,20070405,000000,101.99,101.99,101.99,101.99,0,0
IUST.DE,D,20070410,000000,101.99,101.99,101.99,101.99,0,0
IUST.DE,D,20070411,000000,101.99,101.99,101.99,101.99,0,0
IUST.DE,D,20070412,000000,101.99,101.99,101.99,101.99,0,0
IUST.DE,D,20070413,000000,99.56,99.56,99.56,99.56,50,0
IUST.DE,D,20070416,000000,99.56,99.56,99.56,99.56,0,0
IUST.DE,D,20070417,000000,99.56,99.56,99.56,99.56,0,0
IUST.DE,D,20070418,000000,99.56,99.56,99.56,99.56,0,0
IUST.DE,D,20070419,000000,99.56,99.56,99.56,99.56,0,0
IUST.DE,D,20070420,000000,99.56,99.56,99.56,99.56,0,0
IUST.DE,D,20070423,000000,99.56,99.56,99.56,99.56,0,0
IUST.DE,D,20070424,000000,100.37,100.37,100.37,100.37,75,0
IUST.DE,D,20070425,000000,100.37,100.37,100.37,100.37,0,0
IUST.DE,D,20070426,000000,100.37,100.37,100.37,100.37,0,0
IUST.DE,D,20070427,000000,100.37,100.37,100.37,100.37,0,0
IUST.DE,D,20070430,000000,100.37,100.37,100.37,100.37,0,0
IUST.DE,D,20070502,000000,99.7,99.7,99.7,99.7,2501,0
IUST.DE,D,20070503,000000,99.7,99.7,99.7,99.7,0,0
