<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUSW.DE,D,20191008,000000,3.717,3.717,3.6675,3.69,0,0
IUSW.DE,D,20191009,000000,3.6865,3.6865,3.6635,3.6635,0,0
IUSW.DE,D,20191010,000000,3.644,3.659,3.6,3.659,1000,0
IUSW.DE,D,20191011,000000,3.6635,3.668,3.655,3.668,0,0
IUSW.DE,D,20191014,000000,3.6005,3.6005,3.5755,3.5805,100,0
IUSW.DE,D,20191015,000000,3.5775,3.5775,3.546,3.549,100,0
IUSW.DE,D,20191016,000000,3.523,3.5505,3.523,3.5505,0,0
IUSW.DE,D,20191017,000000,3.543,3.587,3.543,3.5815,200,0
IUSW.DE,D,20191018,000000,3.5875,3.5925,3.587,3.5925,0,0
IUSW.DE,D,20191021,000000,3.647,3.6525,3.615,3.6525,100,0
IUSW.DE,D,20191022,000000,3.638,3.6985,3.638,3.6985,0,0
IUSW.DE,D,20191023,000000,3.6955,3.6955,3.6925,3.6925,0,0
IUSW.DE,D,20191024,000000,3.6895,3.7215,3.6895,3.7215,0,0
IUSW.DE,D,20191025,000000,3.709,3.7215,3.7,3.7215,0,0
IUSW.DE,D,20191028,000000,3.7065,3.7065,3.641,3.6635,100,0
IUSW.DE,D,20191029,000000,3.608,3.608,3.5995,3.5995,0,0
IUSW.DE,D,20191030,000000,3.591,3.6555,3.591,3.6415,0,0
IUSW.DE,D,20191031,000000,3.6155,3.622,3.6155,3.6175,0,0
IUSW.DE,D,20191101,000000,3.642,3.642,3.6265,3.6295,14,0
IUSW.DE,D,20191104,000000,3.5345,3.5785,3.5345,3.5785,0,0
IUSW.DE,D,20191105,000000,3.5865,3.6615,3.5865,3.6615,0,0
IUSW.DE,D,20191106,000000,3.6645,3.6645,3.6525,3.6585,0,0
IUSW.DE,D,20191107,000000,3.6815,3.7105,3.678,3.7105,0,0
IUSW.DE,D,20191108,000000,3.6865,3.722,3.6865,3.722,0,0
IUSW.DE,D,20191111,000000,3.753,3.7805,3.753,3.7805,100,0
IUSW.DE,D,20191112,000000,3.789,3.809,3.789,3.809,0,0
IUSW.DE,D,20191113,000000,3.8155,3.8155,3.783,3.7835,100,0
IUSW.DE,D,20191114,000000,3.7875,3.803,3.7875,3.7965,100,0
IUSW.DE,D,20191115,000000,3.804,3.804,3.7855,3.7985,33,0
IUSW.DE,D,20191118,000000,3.807,3.8095,3.807,3.8095,1300,0
IUSW.DE,D,20191119,000000,3.812,3.816,3.81,3.81,0,0
IUSW.DE,D,20191120,000000,3.819,3.839,3.813,3.839,80,0
IUSW.DE,D,20191121,000000,3.826,3.8525,3.824,3.8525,0,0
IUSW.DE,D,20191122,000000,3.833,3.8635,3.833,3.8575,68,0
IUSW.DE,D,20191125,000000,3.812,3.827,3.812,3.816,100,0
IUSW.DE,D,20191126,000000,3.8015,3.8015,3.7535,3.7665,0,0
IUSW.DE,D,20191127,000000,3.7525,3.7525,3.7225,3.725,0,0
IUSW.DE,D,20191128,000000,3.7025,3.721,3.7025,3.721,0,0
IUSW.DE,D,20191129,000000,3.703,3.714,3.703,3.7135,0,0
IUSW.DE,D,20191202,000000,3.722,3.722,3.687,3.687,3264,0
IUSW.DE,D,20191203,000000,3.694,3.697,3.637,3.637,1300,0
IUSW.DE,D,20191204,000000,3.6605,3.687,3.6605,3.687,0,0
IUSW.DE,D,20191205,000000,3.67,3.713,3.67,3.7035,1000,0
IUSW.DE,D,20191206,000000,3.7075,3.7265,3.6985,3.7265,1,0
IUSW.DE,D,20191209,000000,3.844,3.844,3.82,3.831,0,0
IUSW.DE,D,20191210,000000,3.8005,3.8025,3.793,3.8025,0,0
IUSW.DE,D,20191211,000000,3.8155,3.8345,3.8155,3.82,5002,0
