<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JB7.DE,D,20171207,000000,4.711623,5.990422,4.711623,5.698681,22344,0
JB7.DE,D,20171208,000000,5.755084,6.700326,5.755084,6.690601,10380,0
JB7.DE,D,20171211,000000,7.283809,9.141229,7.283809,8.946735,21044,0
JB7.DE,D,20171212,000000,8.926313,8.93701,8.0083,8.0083,4625,0
JB7.DE,D,20171213,000000,8.168758,8.538297,8.168758,8.217381,8368,0
JB7.DE,D,20171214,000000,8.078318,8.078318,7.964539,8.066648,3145,0
JB7.DE,D,20171215,000000,7.877016,8.032612,7.488028,8.0083,7031,0
JB7.DE,D,20171218,000000,7.974263,8.207656,7.974263,8.188207,4210,0
JB7.DE,D,20171219,000000,7.964539,8.518847,7.964539,8.270867,6500,0
JB7.DE,D,20171220,000000,8.329215,8.329215,8.329215,8.329215,0,0
JB7.DE,D,20171221,000000,8.022887,8.227106,7.799219,7.838117,9139,0
JB7.DE,D,20171222,000000,8.027749,8.027749,7.784632,7.784632,30,0
JB7.DE,D,20171227,000000,7.974263,8.002465,7.838117,7.838117,358,0
JB7.DE,D,20171228,000000,8.022887,9.316274,8.022887,9.043982,7799,0
JB7.DE,D,20171229,000000,9.223889,10.220672,9.155816,9.53508,6435,0
JB7.DE,D,20180102,000000,9.810289,9.810289,9.566199,9.566199,2020,0
JB7.DE,D,20180103,000000,9.401851,9.503961,9.345448,9.371704,1700,0
JB7.DE,D,20180104,000000,9.291962,9.291962,9.291962,9.291962,0,0
JB7.DE,D,20180105,000000,9.238476,9.239448,9.238476,9.239448,185,0
JB7.DE,D,20180108,000000,8.849487,8.902973,8.781414,8.902973,1270,0
JB7.DE,D,20180109,000000,8.898111,9.01967,8.898111,9.01967,100,0
JB7.DE,D,20180110,000000,9.053706,9.053706,9.053706,9.053706,0,0
JB7.DE,D,20180111,000000,9.068293,9.068293,9.068293,9.068293,0,0
JB7.DE,D,20180112,000000,8.898111,9.058569,8.898111,9.058569,450,0
JB7.DE,D,20180115,000000,8.868937,8.91756,8.844625,8.844625,2300,0
JB7.DE,D,20180116,000000,8.75224,8.893249,8.75224,8.893249,300,0
JB7.DE,D,20180117,000000,8.898111,8.898111,8.898111,8.898111,0,0
JB7.DE,D,20180118,000000,9.043982,9.087743,8.961322,8.961322,560,0
JB7.DE,D,20180119,000000,8.77169,8.825176,8.761965,8.825176,2002,0
JB7.DE,D,20180122,000000,8.883524,8.883524,8.883524,8.883524,0,0
JB7.DE,D,20180123,000000,8.75224,8.888386,8.75224,8.888386,100,0
JB7.DE,D,20180124,000000,8.898111,8.898111,8.898111,8.898111,0,0
JB7.DE,D,20180125,000000,8.75224,8.75224,8.470224,8.470224,2547,0
JB7.DE,D,20180126,000000,8.270867,8.450774,8.154171,8.372977,650,0
