<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPNH.DE,D,20131009,000000,88.029033,88.029033,87.653185,87.653185,975,0
JPNH.DE,D,20131015,000000,90.874741,90.874741,90.874741,90.874741,32,0
JPNH.DE,D,20131016,000000,91.331128,91.331128,91.331128,91.331128,0,0
JPNH.DE,D,20131017,000000,91.134255,91.134255,91.134255,91.134255,0,0
JPNH.DE,D,20131018,000000,91.214794,91.60854,91.214794,91.60854,28,0
JPNH.DE,D,20131021,000000,91.698028,92.297595,91.671182,91.823311,293,0
JPNH.DE,D,20131022,000000,92.208108,92.208108,92.208108,92.208108,0,0
JPNH.DE,D,20131024,000000,91.053717,91.053717,90.829997,90.829997,33,0
JPNH.DE,D,20131028,000000,90.239379,90.239379,90.239379,90.239379,0,0
JPNH.DE,D,20131029,000000,91.008973,91.008973,91.008973,91.008973,0,0
JPNH.DE,D,20131030,000000,91.080563,91.080563,91.080563,91.080563,0,0
JPNH.DE,D,20131031,000000,90.910536,90.910536,90.910536,90.910536,0,0
JPNH.DE,D,20131104,000000,89.782991,89.782991,89.782991,89.782991,0,0
JPNH.DE,D,20131105,000000,89.344502,89.344502,89.344502,89.344502,0,0
JPNH.DE,D,20131106,000000,90.391508,90.391508,90.364661,90.364661,5,0
JPNH.DE,D,20131108,000000,89.559272,89.559272,89.559272,89.559272,0,0
JPNH.DE,D,20131111,000000,89.961967,89.961967,89.961967,89.961967,0,0
JPNH.DE,D,20131113,000000,91.366923,91.366923,91.366923,91.366923,0,0
JPNH.DE,D,20131118,000000,94.042605,95.018021,94.042605,94.355812,28,0
JPNH.DE,D,20131119,000000,93.836783,93.836783,93.836783,93.836783,0,0
JPNH.DE,D,20131120,000000,94.132093,94.132093,94.132093,94.132093,0,0
JPNH.DE,D,20131121,000000,94.982226,94.982226,94.982226,94.982226,0,0
JPNH.DE,D,20131122,000000,94.928533,95.205945,94.794302,94.964328,100,0
JPNH.DE,D,20131125,000000,95.179099,95.179099,95.179099,95.179099,0,0
JPNH.DE,D,20131126,000000,94.132093,94.132093,94.132093,94.132093,0,0
JPNH.DE,D,20131127,000000,95.080662,95.080662,95.080662,95.080662,0,0
JPNH.DE,D,20131128,000000,95.125406,95.125406,95.125406,95.125406,0,0
JPNH.DE,D,20131129,000000,95.60864,95.60864,95.60864,95.60864,0,0
JPNH.DE,D,20131202,000000,95.832359,95.832359,95.832359,95.832359,0,0
JPNH.DE,D,20131203,000000,94.80325,94.80325,94.275273,94.275273,8,0
JPNH.DE,D,20131204,000000,93.765193,93.765193,93.765193,93.765193,0,0
JPNH.DE,D,20131205,000000,93.21037,93.21037,92.601853,92.601853,163,0
JPNH.DE,D,20131209,000000,95.143304,95.143304,95.143304,95.143304,0,0
JPNH.DE,D,20131210,000000,94.642173,94.740609,94.642173,94.740609,100,0
JPNH.DE,D,20131211,000000,94.857929,94.930126,93.61253,93.61253,13445,0
JPNH.DE,D,20131212,000000,93.702776,94.460845,93.702776,94.460845,56,0
JPNH.DE,D,20131213,000000,93.738875,93.738875,93.738875,93.738875,0,0
JPNH.DE,D,20131216,000000,92.61982,93.251544,92.61982,93.251544,19,0
JPNH.DE,D,20131217,000000,92.5025,92.5025,92.5025,92.5025,0,0
JPNH.DE,D,20131219,000000,95.309161,95.309161,95.038422,95.038422,12,0
JPNH.DE,D,20131220,000000,95.164767,95.164767,95.164767,95.164767,0,0
JPNH.DE,D,20131223,000000,95.363309,95.661122,95.164767,95.164767,656,0
JPNH.DE,D,20131227,000000,97.781911,98.377537,97.781911,98.106798,177,0
JPNH.DE,D,20131230,000000,98.684374,99.198778,98.684374,99.198778,156,0
JPNH.DE,D,20140102,000000,98.955113,98.955113,97.890206,97.890206,24,0
JPNH.DE,D,20140103,000000,96.599684,97.068965,96.18455,97.050915,1318,0
JPNH.DE,D,20140106,000000,97.014817,97.014817,96.653831,96.653831,125,0
JPNH.DE,D,20140107,000000,97.050915,97.375802,97.050915,97.375802,60,0
JPNH.DE,D,20140108,000000,97.484098,98.260216,97.484098,98.043625,3013,0
JPNH.DE,D,20140109,000000,97.29458,97.29458,97.285556,97.285556,12,0
JPNH.DE,D,20140110,000000,97.989477,98.233142,97.005792,97.159211,77,0
JPNH.DE,D,20140113,000000,97.763861,97.763861,96.771152,96.771152,3312,0
JPNH.DE,D,20140114,000000,95.471604,96.193575,95.471604,96.193575,2000,0
JPNH.DE,D,20140115,000000,97.077989,97.628492,96.996768,97.628492,6000,0
JPNH.DE,D,20140116,000000,97.438975,97.438975,96.951644,96.951644,2000,0
JPNH.DE,D,20140117,000000,97.854108,97.899231,97.836059,97.836059,2102,0
JPNH.DE,D,20140120,000000,97.520196,97.772886,97.520196,97.772886,2000,0
JPNH.DE,D,20140121,000000,98.151921,98.151921,97.502147,97.529221,474,0
JPNH.DE,D,20140122,000000,97.881182,97.881182,97.881182,97.881182,0,0
JPNH.DE,D,20140123,000000,96.482363,96.482363,95.850639,95.850639,100,0
JPNH.DE,D,20140127,000000,91.852726,91.852726,91.852726,91.852726,0,0
JPNH.DE,D,20140128,000000,92.493475,92.493475,92.493475,92.493475,0,0
JPNH.DE,D,20140129,000000,94.460845,94.460845,92.204687,92.204687,2025,0
JPNH.DE,D,20140130,000000,92.48445,92.890559,92.141514,92.890559,420,0
JPNH.DE,D,20140131,000000,90.056824,90.462932,90.056824,90.462932,18,0
JPNH.DE,D,20140203,000000,89.343878,89.343878,89.343878,89.343878,100,0
JPNH.DE,D,20140204,000000,85.950615,86.474044,85.950615,86.474044,15,0
JPNH.DE,D,20140205,000000,86.636488,86.997473,86.636488,86.997473,25,0
JPNH.DE,D,20140206,000000,88.892646,88.892646,88.856548,88.856548,370,0
JPNH.DE,D,20140207,000000,89.722912,90.318538,89.100213,90.318538,1063,0
JPNH.DE,D,20140210,000000,89.984627,90.156095,89.984627,90.074873,75,0
JPNH.DE,D,20140211,000000,90.408785,91.672233,90.408785,91.672233,5650,0
JPNH.DE,D,20140212,000000,91.428568,91.428568,91.175879,91.365396,90,0
JPNH.DE,D,20140213,000000,90.065849,90.28244,89.118262,90.101947,1588,0
JPNH.DE,D,20140214,000000,89.199484,89.632666,88.820449,89.632666,240,0
JPNH.DE,D,20140217,000000,90.002676,90.002676,90.002676,90.002676,0,0
JPNH.DE,D,20140218,000000,91.572962,91.843701,91.563938,91.843701,709,0
JPNH.DE,D,20140219,000000,91.62711,91.62711,91.62711,91.62711,0,0
JPNH.DE,D,20140220,000000,91.37442,91.37442,89.596568,90.083898,3380,0
JPNH.DE,D,20140221,000000,91.636135,92.024194,91.636135,92.024194,546,0
JPNH.DE,D,20140224,000000,91.636135,92.439327,91.636135,92.439327,40,0
JPNH.DE,D,20140225,000000,92.024194,92.024194,92.024194,92.024194,0,0
JPNH.DE,D,20140226,000000,91.726381,91.726381,91.726381,91.726381,0,0
JPNH.DE,D,20140227,000000,90.814893,90.814893,90.814893,90.814893,0,0
JPNH.DE,D,20140228,000000,91.02246,91.572962,91.02246,91.572962,390,0
JPNH.DE,D,20140304,000000,91.157829,91.699307,91.157829,91.699307,223,0
JPNH.DE,D,20140305,000000,91.157829,91.157829,91.031484,91.031484,27,0
JPNH.DE,D,20140306,000000,93.071052,93.071052,93.071052,93.071052,0,0
JPNH.DE,D,20140307,000000,93.341791,93.341791,92.592746,92.592746,223,0
JPNH.DE,D,20140310,000000,92.312982,92.312982,92.258835,92.258835,223,0
JPNH.DE,D,20140311,000000,92.204687,92.204687,91.491741,91.491741,223,0
JPNH.DE,D,20140312,000000,90.020725,90.453908,89.840233,90.246341,907,0
JPNH.DE,D,20140313,000000,89.993651,89.993651,88.134577,88.134577,1210,0
JPNH.DE,D,20140314,000000,86.898202,86.898202,86.898202,86.898202,0,0
JPNH.DE,D,20140317,000000,87.520902,87.57505,87.520902,87.57505,669,0
JPNH.DE,D,20140318,000000,87.105769,87.629197,87.105769,87.629197,892,0
JPNH.DE,D,20140319,000000,87.683345,87.683345,87.331384,87.331384,223,0
JPNH.DE,D,20140320,000000,86.09501,86.672586,86.09501,86.672586,2676,0
JPNH.DE,D,20140321,000000,86.185256,87.430655,86.185256,87.177966,3048,0
JPNH.DE,D,20140324,000000,87.123818,87.123818,86.672586,86.672586,33,0
JPNH.DE,D,20140325,000000,87.18699,87.18699,87.18699,87.18699,0,0
JPNH.DE,D,20140326,000000,88.612882,88.612882,88.612882,88.612882,0,0
JPNH.DE,D,20140327,000000,89.100213,89.100213,88.612882,88.612882,1972,0
JPNH.DE,D,20140331,000000,91.058558,91.193928,91.031484,91.031484,1338,0
JPNH.DE,D,20140401,000000,91.293199,91.293199,91.293199,91.293199,0,0
JPNH.DE,D,20140402,000000,92.01517,92.01517,92.01517,92.01517,0,0
JPNH.DE,D,20140403,000000,91.99712,91.99712,91.99712,91.99712,0,0
JPNH.DE,D,20140404,000000,92.01517,92.340056,91.663209,91.663209,769,0
JPNH.DE,D,20140407,000000,90.408785,90.408785,90.408785,90.408785,0,0
JPNH.DE,D,20140409,000000,87.358458,87.358458,87.32236,87.32236,650,0
JPNH.DE,D,20140410,000000,87.250163,87.250163,86.09501,86.09501,157,0
JPNH.DE,D,20140411,000000,85.734024,85.734024,85.734024,85.734024,0,0
JPNH.DE,D,20140414,000000,86.004763,86.564291,86.004763,86.537217,37,0
JPNH.DE,D,20140415,000000,85.734024,85.734024,85.734024,85.734024,0,0
JPNH.DE,D,20140417,000000,88.324094,88.324094,88.324094,88.324094,0,0
JPNH.DE,D,20140422,000000,88.450439,88.450439,88.450439,88.450439,0,0
JPNH.DE,D,20140423,000000,88.396291,88.396291,88.396291,88.396291,0,0
JPNH.DE,D,20140424,000000,87.845789,87.845789,87.845789,87.845789,0,0
JPNH.DE,D,20140425,000000,88.486538,88.486538,87.746518,87.746518,1100,0
JPNH.DE,D,20140428,000000,87.92701,87.92701,87.92701,87.92701,0,0
JPNH.DE,D,20140429,000000,88.342143,88.522636,88.342143,88.522636,223,0
JPNH.DE,D,20140430,000000,87.493828,87.547976,87.493828,87.547976,80,0
JPNH.DE,D,20140502,000000,89.434124,89.587543,88.955819,88.955819,769,0
JPNH.DE,D,20140505,000000,88.531661,88.531661,88.531661,88.531661,0,0
JPNH.DE,D,20140506,000000,87.954084,87.954084,87.954084,87.954084,0,0
JPNH.DE,D,20140507,000000,86.988448,86.988448,86.988448,86.988448,0,0
JPNH.DE,D,20140508,000000,87.132842,87.584074,87.132842,87.584074,223,0
JPNH.DE,D,20140509,000000,87.69237,87.69237,87.69237,87.69237,0,0
JPNH.DE,D,20140512,000000,87.683345,87.981158,87.683345,87.981158,100,0
JPNH.DE,D,20140513,000000,89.163385,89.163385,89.046065,89.046065,2073,0
JPNH.DE,D,20140514,000000,88.630932,88.630932,88.630932,88.630932,0,0
JPNH.DE,D,20140515,000000,87.403581,87.403581,87.403581,87.403581,0,0
JPNH.DE,D,20140516,000000,87.674321,87.674321,87.674321,87.674321,0,0
JPNH.DE,D,20140519,000000,87.20504,87.20504,87.20504,87.20504,0,0
JPNH.DE,D,20140520,000000,86.798931,86.798931,86.798931,86.798931,0,0
JPNH.DE,D,20140521,000000,87.593099,87.593099,87.593099,87.593099,0,0
JPNH.DE,D,20140522,000000,88.91972,88.91972,88.91972,88.91972,0,0
JPNH.DE,D,20140523,000000,89.65974,89.65974,89.65974,89.65974,0,0
JPNH.DE,D,20140526,000000,90.291464,90.291464,90.273415,90.273415,223,0
JPNH.DE,D,20140527,000000,90.742696,90.742696,90.670499,90.706598,2377,0
JPNH.DE,D,20140528,000000,90.237317,90.237317,90.237317,90.237317,0,0
JPNH.DE,D,20140529,000000,90.679524,90.679524,90.679524,90.679524,0,0
JPNH.DE,D,20140530,000000,91.284174,91.284174,91.284174,91.284174,0,0
JPNH.DE,D,20140602,000000,92.547623,92.953731,92.547623,92.953731,97,0
JPNH.DE,D,20140603,000000,92.85446,92.85446,92.85446,92.85446,0,0
JPNH.DE,D,20140604,000000,93.053002,93.413988,93.053002,93.413988,75,0
JPNH.DE,D,20140605,000000,93.323741,93.323741,93.323741,93.323741,0,0
JPNH.DE,D,20140606,000000,93.404963,93.774973,93.404963,93.774973,298,0
JPNH.DE,D,20140609,000000,93.603505,93.603505,93.603505,93.603505,0,0
JPNH.DE,D,20140610,000000,92.664943,92.692017,92.664943,92.692017,894,0
JPNH.DE,D,20140611,000000,92.998855,93.116175,92.845436,92.845436,16381,0
JPNH.DE,D,20140612,000000,94.036688,94.036688,93.540333,93.540333,99,0
JPNH.DE,D,20140613,000000,93.84717,93.84717,93.161298,93.693751,2126,0
JPNH.DE,D,20140616,000000,93.47716,93.47716,93.22447,93.22447,18,0
JPNH.DE,D,20140617,000000,93.793022,93.793022,93.793022,93.793022,0,0
JPNH.DE,D,20140618,000000,94.776708,94.776708,94.551092,94.551092,86,0
JPNH.DE,D,20140620,000000,96.383092,96.599684,96.383092,96.599684,17,0
JPNH.DE,D,20140623,000000,95.516728,95.516728,95.516728,95.516728,0,0
JPNH.DE,D,20140624,000000,96.482363,96.482363,96.482363,96.482363,0,0
JPNH.DE,D,20140625,000000,95.724294,95.724294,95.724294,95.724294,0,0
JPNH.DE,D,20140626,000000,95.679171,95.679171,95.435506,95.435506,4,0
JPNH.DE,D,20140627,000000,94.758658,94.785732,94.758658,94.767683,376,0
JPNH.DE,D,20140630,000000,95.534777,95.670146,95.534777,95.670146,383,0
JPNH.DE,D,20140701,000000,96.509437,97.096039,96.509437,97.096039,274,0
JPNH.DE,D,20140702,000000,96.771152,97.204334,96.771152,97.204334,205,0
JPNH.DE,D,20140703,000000,96.563585,97.285556,96.563585,97.285556,44,0
JPNH.DE,D,20140704,000000,97.303605,97.303605,97.303605,97.303605,0,0
JPNH.DE,D,20140707,000000,96.57261,96.57261,96.410166,96.410166,223,0
JPNH.DE,D,20140708,000000,96.500413,96.500413,95.69722,95.69722,470,0
JPNH.DE,D,20140709,000000,94.948176,95.381358,94.948176,95.381358,85,0
JPNH.DE,D,20140710,000000,94.045712,94.045712,92.637869,93.413988,138,0
JPNH.DE,D,20140711,000000,93.738875,93.738875,93.738875,93.738875,0,0
JPNH.DE,D,20140714,000000,95.038422,95.038422,95.038422,95.038422,0,0
JPNH.DE,D,20140715,000000,95.182816,95.182816,95.182816,95.182816,0,0
JPNH.DE,D,20140716,000000,95.20989,95.489654,95.20989,95.489654,5,0
JPNH.DE,D,20140717,000000,94.885003,95.119644,94.885003,95.07452,130,0
JPNH.DE,D,20140718,000000,94.758658,95.002323,94.758658,95.002323,193,0
JPNH.DE,D,20140721,000000,94.505969,94.505969,94.505969,94.505969,0,0
JPNH.DE,D,20140722,000000,94.921102,95.570875,94.875979,95.570875,612,0
JPNH.DE,D,20140723,000000,95.381358,95.381358,95.381358,95.381358,0,0
JPNH.DE,D,20140724,000000,95.417457,95.417457,95.417457,95.417457,0,0
JPNH.DE,D,20140725,000000,95.724294,95.724294,95.724294,95.724294,0,0
JPNH.DE,D,20140728,000000,96.094304,96.31992,96.094304,96.31992,80,0
JPNH.DE,D,20140729,000000,96.383092,96.933595,96.265772,96.563585,1907,0
JPNH.DE,D,20140730,000000,96.563585,97.041891,96.563585,97.041891,50,0
JPNH.DE,D,20140731,000000,96.653831,96.653831,95.931861,95.931861,1170,0
JPNH.DE,D,20140801,000000,95.408432,95.408433,95.408432,95.408433,0,0
JPNH.DE,D,20140804,000000,94.939151,94.939151,94.939148,94.939148,120,0
JPNH.DE,D,20140805,000000,94.632313,94.632314,94.632313,94.632314,0,0
JPNH.DE,D,20140806,000000,92.75519,93.233495,92.75519,93.233493,92,0
JPNH.DE,D,20140807,000000,93.260569,93.260569,93.260565,93.260565,0,0
JPNH.DE,D,20140808,000000,91.62711,92.13249,91.62711,92.132486,200,0
JPNH.DE,D,20140812,000000,93.684727,93.684727,93.684725,93.684725,0,0
JPNH.DE,D,20140813,000000,94.97525,94.97525,94.975248,94.975248,0,0
JPNH.DE,D,20140814,000000,94.542067,94.875979,94.542067,94.749632,4707,0
JPNH.DE,D,20140815,000000,94.740609,94.740612,94.740609,94.740612,0,0
JPNH.DE,D,20140818,000000,95.625023,95.724294,95.597949,95.597949,285,0
JPNH.DE,D,20140819,000000,95.480629,95.886738,95.480629,95.886738,33,0
JPNH.DE,D,20140820,000000,95.71527,95.71527,95.715268,95.715268,0,0
JPNH.DE,D,20140821,000000,96.744078,96.744078,96.744075,96.744075,0,0
JPNH.DE,D,20140822,000000,96.292846,96.292846,96.193572,96.193572,200,0
JPNH.DE,D,20140825,000000,96.57261,96.572612,96.57261,96.572612,0,0
JPNH.DE,D,20140826,000000,96.256748,96.256751,96.256748,96.256751,0,0
JPNH.DE,D,20140827,000000,95.724294,95.733319,95.5799,95.579904,781,0
JPNH.DE,D,20140828,000000,95.155742,95.155744,95.155742,95.155744,0,0
JPNH.DE,D,20140829,000000,95.34526,95.345261,95.34526,95.345261,0,0
JPNH.DE,D,20140901,000000,95.787467,95.787467,95.787466,95.787466,0,0
JPNH.DE,D,20140902,000000,97.068965,97.438976,97.068965,97.438976,104,0
JPNH.DE,D,20140903,000000,97.393851,97.393851,97.186285,97.339705,703,0
JPNH.DE,D,20140904,000000,96.518462,97.258482,96.518462,97.258479,1234,0
JPNH.DE,D,20140905,000000,96.473339,96.500413,95.561851,96.022109,3906,0
JPNH.DE,D,20140908,000000,97.141162,97.141162,97.141161,97.141161,0,0
JPNH.DE,D,20140909,000000,96.879447,97.023841,96.608708,96.608711,1431,0
JPNH.DE,D,20140910,000000,97.466049,97.93533,97.466049,97.935327,332,0
JPNH.DE,D,20140911,000000,97.68264,97.68264,97.682638,97.682638,0,0
JPNH.DE,D,20140912,000000,98.070699,98.269241,98.061674,98.061678,1680,0
JPNH.DE,D,20140915,000000,97.926305,97.926305,97.574344,97.655565,16446,0
JPNH.DE,D,20140916,000000,97.655566,97.944354,97.655566,97.944353,984,0
JPNH.DE,D,20140917,000000,97.231408,97.375804,97.231408,97.375804,123,0
JPNH.DE,D,20140919,000000,99.39732,99.39732,99.397319,99.397319,0,0
JPNH.DE,D,20140922,000000,99.406345,99.406347,99.406345,99.406347,0,0
JPNH.DE,D,20140923,000000,99.018286,99.018286,99.018286,99.018286,0,0
JPNH.DE,D,20140924,000000,98.955113,99.893677,98.955113,99.893677,225,0
JPNH.DE,D,20140925,000000,100.841262,100.841262,99.442443,99.442445,130,0
JPNH.DE,D,20140926,000000,100.119291,100.507353,100.119291,100.507353,12,0
JPNH.DE,D,20140929,000000,100.065143,100.065143,100.06514,100.06514,0,0
JPNH.DE,D,20140930,000000,99.442443,99.92075,99.442443,99.92075,345,0
JPNH.DE,D,20141007,000000,95.778442,95.778442,95.778439,95.778439,0,0
JPNH.DE,D,20141008,000000,95.498678,95.498678,94.451821,95.065492,6330,0
JPNH.DE,D,20141009,000000,94.72256,94.72256,93.910341,93.910341,283,0
JPNH.DE,D,20141013,000000,91.311248,91.356374,91.311248,91.356374,346,0
JPNH.DE,D,20141014,000000,90.309514,91.031487,90.309514,91.031487,94,0
JPNH.DE,D,20141015,000000,91.058558,91.058558,90.607327,90.607328,2388,0
JPNH.DE,D,20141016,000000,89.89438,89.89438,87.936035,88.937772,2938,0
JPNH.DE,D,20141017,000000,89.163385,89.984627,89.163385,89.984626,192,0
JPNH.DE,D,20141020,000000,91.74443,91.825652,91.74443,91.825652,100,0
JPNH.DE,D,20141021,000000,90.300489,91.609061,90.300489,91.527837,4959,0
JPNH.DE,D,20141023,000000,92.944707,93.711801,92.908608,93.711797,186,0
JPNH.DE,D,20141024,000000,93.738875,93.738877,93.738875,93.738877,0,0
JPNH.DE,D,20141027,000000,94.190106,94.190106,93.630579,93.630579,12,0
JPNH.DE,D,20141028,000000,94.135959,94.135959,94.135957,94.135957,0,0
JPNH.DE,D,20141029,000000,95.363309,95.363309,95.363307,95.363307,0,0
JPNH.DE,D,20141030,000000,96.040156,96.076255,94.767683,96.076254,987,0
JPNH.DE,D,20141031,000000,103.674997,104.026958,103.674997,103.72012,36,0
JPNH.DE,D,20141103,000000,103.512553,103.828416,103.512553,103.756219,755,0
JPNH.DE,D,20141104,000000,102.176908,102.754484,102.068612,102.655213,488,0
JPNH.DE,D,20141105,000000,103.575726,103.575726,103.476455,103.476458,11,0
JPNH.DE,D,20141106,000000,101.806898,102.285203,101.518109,102.2852,218,0
JPNH.DE,D,20141107,000000,101.978366,101.978366,101.527134,101.734703,228,0
JPNH.DE,D,20141110,000000,101.852021,102.682287,101.852021,102.682286,115,0
JPNH.DE,D,20141111,000000,104.378918,104.866249,103.927687,104.225498,4066,0
JPNH.DE,D,20141112,000000,102.953026,102.953028,102.953026,102.953028,0,0
JPNH.DE,D,20141113,000000,104.478189,105.037717,104.153302,104.153306,241,0
JPNH.DE,D,20141114,000000,104.757953,104.757955,104.757953,104.757955,0,0
JPNH.DE,D,20141117,000000,103.016199,103.377184,102.772531,102.772531,131,0
JPNH.DE,D,20141118,000000,104.026958,104.649657,104.026958,104.649656,368,0
JPNH.DE,D,20141119,000000,104.866249,104.866249,104.866246,104.866246,0,0
JPNH.DE,D,20141120,000000,104.108179,104.496239,103.810366,104.496239,253,0
JPNH.DE,D,20141121,000000,105.20016,105.479924,105.20016,105.218206,114,0
JPNH.DE,D,20141124,000000,105.516022,105.516022,105.51602,105.51602,0,0
JPNH.DE,D,20141125,000000,105.813835,105.82286,105.055766,105.055769,420,0
JPNH.DE,D,20141126,000000,105.227234,105.227234,104.902345,104.902345,9,0
JPNH.DE,D,20141127,000000,104.261598,104.261598,104.261597,104.261597,0,0
JPNH.DE,D,20141128,000000,105.669441,105.669441,105.669437,105.669437,0,0
JPNH.DE,D,20141201,000000,106.129697,106.355313,105.768709,105.768709,328,0
JPNH.DE,D,20141202,000000,107.582663,107.582663,107.582662,107.582662,0,0
JPNH.DE,D,20141203,000000,107.627787,107.808279,107.627787,107.808278,2287,0
JPNH.DE,D,20141204,000000,107.979747,108.566348,106.968987,106.968987,11946,0
JPNH.DE,D,20141205,000000,108.476102,109.1349,108.27756,109.1349,387,0
JPNH.DE,D,20141208,000000,107.979747,107.979747,107.582662,107.582662,50,0
JPNH.DE,D,20141209,000000,105.173086,105.173087,105.173086,105.173087,0,0
JPNH.DE,D,20141210,000000,105.036675,105.036675,104.3819,104.3819,100,0
JPNH.DE,D,20141211,000000,104.163643,105.918802,104.163643,105.918802,1358,0
JPNH.DE,D,20141212,000000,104.390995,104.98211,103.390646,103.390647,1858,0
JPNH.DE,D,20141215,000000,102.945035,102.945035,100.926149,100.926151,1394,0
JPNH.DE,D,20141216,000000,100.362315,101.55364,99.12552,101.553639,1546,0
JPNH.DE,D,20141217,000000,101.90831,101.971968,101.371759,101.971966,75,0
JPNH.DE,D,20141218,000000,104.636535,104.636535,104.636533,104.636533,0,0
JPNH.DE,D,20141219,000000,106.137059,106.237094,106.137059,106.237094,26,0
JPNH.DE,D,20141222,000000,106.328035,106.418976,106.246188,106.24619,85,0
JPNH.DE,D,20141223,000000,106.309847,107.101032,106.27347,107.101029,70,0
JPNH.DE,D,20141229,000000,106.973715,106.973715,106.464446,106.464446,20,0
JPNH.DE,D,20141230,000000,104.900264,104.900264,104.591065,104.591066,35,0
JPNH.DE,D,20150102,000000,106.100683,106.100683,104.49103,104.491032,1225,0
JPNH.DE,D,20150105,000000,104.654723,104.700194,102.808624,102.808627,108,0
JPNH.DE,D,20150106,000000,102.062909,102.308449,100.280466,100.280466,515,0
JPNH.DE,D,20150107,000000,102.763154,102.763154,102.581272,102.581275,22,0
JPNH.DE,D,20150108,000000,103.427022,104.009046,103.427022,104.009046,75,0
JPNH.DE,D,20150109,000000,102.963224,102.963224,101.853745,101.853745,140,0
JPNH.DE,D,20150112,000000,101.971968,102.826812,101.617297,101.617297,554,0
JPNH.DE,D,20150113,000000,102.981412,104.29096,102.617645,102.617645,5390,0
JPNH.DE,D,20150114,000000,100.90796,101.171689,99.853047,100.335035,281,0
JPNH.DE,D,20150115,000000,101.75371,102.817718,101.75371,101.944684,706,0
JPNH.DE,D,20150116,000000,102.899565,102.899567,102.899565,102.899567,0,0
JPNH.DE,D,20150119,000000,102.790436,103.381551,102.75406,103.108726,354,0
JPNH.DE,D,20150120,000000,104.818417,105.218556,104.409181,104.409181,609,0
JPNH.DE,D,20150121,000000,104.218207,104.5365,103.981757,103.981757,183,0
JPNH.DE,D,20150122,000000,104.118172,104.118172,104.11817,104.11817,0,0
JPNH.DE,D,20150123,000000,105.500473,105.500473,104.445559,104.554689,1145,0
JPNH.DE,D,20150126,000000,105.700543,105.98246,105.655073,105.98246,167,0
JPNH.DE,D,20150127,000000,106.373505,106.946433,105.391344,105.827863,390,0
JPNH.DE,D,20150128,000000,107.264725,107.264725,106.737269,106.737271,60,0
JPNH.DE,D,20150129,000000,106.537199,106.537201,106.537199,106.537201,0,0
JPNH.DE,D,20150130,000000,105.163992,105.227651,104.572876,105.091237,276,0
JPNH.DE,D,20150202,000000,106.009742,106.600857,105.163992,105.773294,1212,0
JPNH.DE,D,20150203,000000,104.98211,105.564132,104.918452,105.22765,250,0
JPNH.DE,D,20150204,000000,106.091589,106.609954,106.091589,106.609954,7620,0
JPNH.DE,D,20150205,000000,106.264376,106.87368,106.173435,106.764553,116,0
JPNH.DE,D,20150206,000000,106.237094,107.901313,106.137059,107.901313,393,0
JPNH.DE,D,20150209,000000,106.346223,106.346225,106.346223,106.346225,0,0
JPNH.DE,D,20150210,000000,107.837653,107.837653,107.655768,107.655768,340,0
JPNH.DE,D,20150211,000000,107.946782,108.692497,107.946782,108.692494,509,0
JPNH.DE,D,20150212,000000,108.037723,108.983507,107.792181,107.792181,680,0
JPNH.DE,D,20150213,000000,109.129013,109.692849,109.129013,109.692849,83,0
JPNH.DE,D,20150216,000000,109.21086,109.21086,109.210856,109.210856,0,0
JPNH.DE,D,20150217,000000,109.756505,109.938386,109.756505,109.938385,111,0
JPNH.DE,D,20150218,000000,111.711733,111.857238,111.102429,111.693545,1205,0
JPNH.DE,D,20150219,000000,112.584765,112.584765,112.48473,112.484732,279,0
JPNH.DE,D,20150220,000000,112.493824,113.148598,112.402883,112.775742,102,0
JPNH.DE,D,20150223,000000,112.575671,112.575672,112.575671,112.575672,0,0
JPNH.DE,D,20150224,000000,113.17588,113.448703,113.17588,113.448703,110,0
JPNH.DE,D,20150225,000000,112.957622,112.957622,112.957621,112.957621,0,0
JPNH.DE,D,20150226,000000,114.549087,114.549087,114.549086,114.549086,0,0
JPNH.DE,D,20150227,000000,113.930689,114.339923,113.930689,114.239891,4300,0
JPNH.DE,D,20150302,000000,114.503617,114.50362,114.503617,114.50362,0,0
JPNH.DE,D,20150303,000000,113.62149,113.630585,112.966716,113.621492,231,0
JPNH.DE,D,20150304,000000,113.512361,113.512361,112.28466,113.248632,646,0
JPNH.DE,D,20150305,000000,114.17623,114.576369,114.17623,114.576368,217,0
