<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JREE.DE,D,20190313,000000,25.655,25.85,25.655,25.85,0,0
JREE.DE,D,20190314,000000,25.93,26.07,25.93,26.07,0,0
JREE.DE,D,20190315,000000,26.085,26.285,26.085,26.285,0,0
JREE.DE,D,20190318,000000,26.295,26.34,26.27,26.34,0,0
JREE.DE,D,20190319,000000,26.38,26.535,26.38,26.47,0,0
JREE.DE,D,20190320,000000,26.345,26.345,26.225,26.225,0,0
JREE.DE,D,20190321,000000,26.155,26.225,26.13,26.225,2000,0
JREE.DE,D,20190322,000000,26.31,26.31,25.865,25.865,2000,0
JREE.DE,D,20190325,000000,25.79,25.85,25.79,25.82,0,0
JREE.DE,D,20190326,000000,25.865,26.02,25.865,26.02,0,0
JREE.DE,D,20190327,000000,26.13,26.13,26.005,26.07,0,0
JREE.DE,D,20190328,000000,26.025,26.095,26.025,26.03,0,0
JREE.DE,D,20190329,000000,26.18,26.22,26.165,26.22,0,0
JREE.DE,D,20190401,000000,26.395,26.52,26.395,26.52,0,0
JREE.DE,D,20190402,000000,26.545,26.635,26.545,26.635,0,0
JREE.DE,D,20190403,000000,26.81,26.885,26.79,26.885,0,0
JREE.DE,D,20190404,000000,26.81,26.825,26.81,26.825,0,0
JREE.DE,D,20190405,000000,26.85,26.885,26.85,26.885,0,0
JREE.DE,D,20190408,000000,26.875,26.95,26.875,26.89,6100,0
JREE.DE,D,20190409,000000,26.895,26.975,26.76,26.76,1900,0
JREE.DE,D,20190410,000000,26.81,26.85,26.81,26.84,0,0
JREE.DE,D,20190411,000000,26.84,26.915,26.84,26.88,0,0
JREE.DE,D,20190412,000000,26.84,26.905,26.84,26.885,0,0
JREE.DE,D,20190415,000000,26.865,26.92,26.83,26.92,180,0
JREE.DE,D,20190416,000000,26.93,26.975,26.93,26.975,0,0
JREE.DE,D,20190417,000000,26.96,26.985,26.96,26.985,0,0
JREE.DE,D,20190418,000000,26.975,27.115,26.975,27.115,0,0
JREE.DE,D,20190423,000000,27.1,27.185,27.07,27.185,0,0
JREE.DE,D,20190424,000000,27.18,27.23,27.115,27.19,5700,0
JREE.DE,D,20190425,000000,27.18,27.18,27.14,27.155,0,0
JREE.DE,D,20190426,000000,27.18,27.2,27.18,27.2,0,0
JREE.DE,D,20190429,000000,27.29,27.29,27.155,27.235,0,0
JREE.DE,D,20190430,000000,27.245,27.285,27.22,27.285,99,0
JREE.DE,D,20190502,000000,27.255,27.255,27.145,27.145,0,0
JREE.DE,D,20190503,000000,27.14,27.31,27.14,27.31,0,0
JREE.DE,D,20190506,000000,26.825,27.07,26.78,27.015,50,0
JREE.DE,D,20190507,000000,27.05,27.05,26.675,26.675,0,0
JREE.DE,D,20190508,000000,26.66,26.77,26.635,26.77,1428,0
JREE.DE,D,20190509,000000,26.625,26.625,26.375,26.375,1428,0
JREE.DE,D,20190510,000000,26.615,26.615,26.48,26.48,1443,0
JREE.DE,D,20190513,000000,26.475,26.475,26.15,26.15,1518,0
JREE.DE,D,20190514,000000,26.245,26.46,26.245,26.46,75,0
JREE.DE,D,20190515,000000,26.5,26.605,26.38,26.605,10,0
JREE.DE,D,20190516,000000,26.53,26.935,26.53,26.935,220,0
JREE.DE,D,20190517,000000,26.795,26.84,26.74,26.84,0,0
JREE.DE,D,20190520,000000,26.82,26.82,26.555,26.57,3569,0
JREE.DE,D,20190521,000000,26.755,26.805,26.755,26.765,0,0
JREE.DE,D,20190522,000000,26.74,26.76,26.74,26.76,0,0
JREE.DE,D,20190523,000000,26.57,26.57,26.38,26.38,0,0
JREE.DE,D,20190524,000000,26.495,26.63,26.495,26.575,0,0
JREE.DE,D,20190527,000000,26.73,26.73,26.645,26.68,0,0
JREE.DE,D,20190528,000000,26.72,26.72,26.58,26.58,0,0
JREE.DE,D,20190529,000000,26.36,26.36,26.22,26.22,178,0
JREE.DE,D,20190530,000000,26.385,26.39,26.345,26.39,0,0
JREE.DE,D,20190531,000000,26.145,26.165,26.01,26.165,150,0
JREE.DE,D,20190603,000000,26.005,26.235,26.005,26.235,90,0
JREE.DE,D,20190604,000000,26.1,26.385,26.1,26.385,2000,0
JREE.DE,D,20190605,000000,26.35,26.51,26.35,26.47,0,0
JREE.DE,D,20190606,000000,26.46,26.625,26.445,26.445,0,0
JREE.DE,D,20190607,000000,26.555,26.69,26.555,26.675,0,0
JREE.DE,D,20190611,000000,26.87,26.97,26.87,26.92,0,0
JREE.DE,D,20190612,000000,26.845,26.855,26.825,26.855,0,0
JREE.DE,D,20190613,000000,26.805,26.97,26.805,26.925,230,0
JREE.DE,D,20190614,000000,26.86,26.86,26.735,26.815,0,0
JREE.DE,D,20190617,000000,26.905,26.905,26.795,26.81,0,0
JREE.DE,D,20190618,000000,26.79,27.27,26.79,27.27,0,0
JREE.DE,D,20190619,000000,27.28,27.28,27.245,27.265,87,0
JREE.DE,D,20190620,000000,27.49,27.49,27.395,27.395,0,0
JREE.DE,D,20190621,000000,27.365,27.365,27.28,27.3,730,0
JREE.DE,D,20190624,000000,27.31,27.31,27.205,27.205,0,0
JREE.DE,D,20190625,000000,27.135,27.22,27.135,27.215,0,0
JREE.DE,D,20190626,000000,27.15,27.225,27.12,27.12,0,0
JREE.DE,D,20190627,000000,27.205,27.205,27.075,27.075,2500,0
JREE.DE,D,20190628,000000,27.13,27.265,27.13,27.265,0,0
JREE.DE,D,20190701,000000,27.565,27.565,27.495,27.495,0,0
JREE.DE,D,20190702,000000,27.535,27.585,27.535,27.585,0,0
JREE.DE,D,20190703,000000,27.63,27.82,27.63,27.82,598,0
JREE.DE,D,20190704,000000,27.765,27.825,27.765,27.825,50,0
JREE.DE,D,20190705,000000,27.88,27.88,27.65,27.65,0,0
JREE.DE,D,20190708,000000,27.615,27.65,27.615,27.625,0,0
JREE.DE,D,20190709,000000,27.535,27.535,27.505,27.505,0,0
JREE.DE,D,20190710,000000,27.455,27.485,27.445,27.445,0,0
JREE.DE,D,20190711,000000,27.56,27.56,27.44,27.44,0,0
JREE.DE,D,20190712,000000,27.455,27.455,27.415,27.415,0,0
JREE.DE,D,20190715,000000,27.405,27.455,27.405,27.455,0,0
