<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCY.DE,D,20210111,000000,179,179,179,179,0,0
KCY.DE,D,20210112,000000,175,175,175,175,0,0
KCY.DE,D,20210113,000000,177,177,177,177,0,0
KCY.DE,D,20210114,000000,177,177,177,177,0,0
KCY.DE,D,20210115,000000,175,175,175,175,0,0
KCY.DE,D,20210118,000000,179,179,177,177,7,0
KCY.DE,D,20210119,000000,176,176,176,176,0,0
KCY.DE,D,20210120,000000,178,178,178,178,0,0
KCY.DE,D,20210121,000000,176,176,176,176,0,0
KCY.DE,D,20210125,000000,178,178,178,178,0,0
KCY.DE,D,20210126,000000,179,179,179,179,0,0
KCY.DE,D,20210128,000000,173,173,173,173,0,0
KCY.DE,D,20210129,000000,169,169,169,169,0,0
KCY.DE,D,20210201,000000,170,170,170,170,0,0
KCY.DE,D,20210203,000000,176,176,176,176,0,0
KCY.DE,D,20210204,000000,178,178,178,178,0,0
KCY.DE,D,20210205,000000,176,176,176,176,0,0
KCY.DE,D,20210209,000000,168,168,168,168,0,0
KCY.DE,D,20210210,000000,170,170,170,170,0,0
KCY.DE,D,20210211,000000,172,172,172,172,0,0
KCY.DE,D,20210212,000000,173,173,173,173,0,0
KCY.DE,D,20210215,000000,172,172,172,172,0,0
KCY.DE,D,20210216,000000,169,174,169,173,87,0
KCY.DE,D,20210217,000000,172,172,172,172,0,0
KCY.DE,D,20210218,000000,171,171,171,171,0,0
KCY.DE,D,20210219,000000,175,175,175,175,0,0
KCY.DE,D,20210222,000000,177,177,177,177,0,0
KCY.DE,D,20210223,000000,174,174,174,174,0,0
KCY.DE,D,20210224,000000,177,181,177,181,30,0
KCY.DE,D,20210225,000000,179,179,179,179,0,0
KCY.DE,D,20210226,000000,176,176,176,176,0,0
KCY.DE,D,20210301,000000,179,179,179,179,0,0
KCY.DE,D,20210302,000000,177,177,177,177,0,0
KCY.DE,D,20210303,000000,173,174,172,172,45,0
KCY.DE,D,20210304,000000,168,168,168,168,0,0
