<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KSC.DE,D,20070102,000000,1.126316,1.126316,1.126316,1.126316,315,0
KSC.DE,D,20070103,000000,1.126316,1.126316,1.076258,1.076258,675,0
KSC.DE,D,20070104,000000,1.063743,1.063743,1.026199,1.063743,2943,0
KSC.DE,D,20070105,000000,1.013685,1.063743,1.013685,1.013685,3667,0
KSC.DE,D,20070108,000000,1.00117,1.038714,0.988655,1.038714,1490,0
KSC.DE,D,20070109,000000,1.051229,1.051229,1.051229,1.051229,1292,0
KSC.DE,D,20070110,000000,1.051229,1.051229,0.951112,1.013685,16433,0
KSC.DE,D,20070115,000000,1.026199,1.051229,1.00117,1.026199,3467,0
KSC.DE,D,20070116,000000,0.976141,1.026199,0.976141,1.00117,15480,0
KSC.DE,D,20070117,000000,1.038714,1.038714,1.00117,1.013685,4216,0
KSC.DE,D,20070118,000000,0.976141,1.00117,0.976141,1.00117,7337,0
KSC.DE,D,20070119,000000,1.026199,1.026199,1.026199,1.026199,225,0
KSC.DE,D,20070122,000000,1.026199,1.026199,0.976141,1.026199,1017,0
KSC.DE,D,20070123,000000,1.026199,1.026199,1.026199,1.026199,45,0
KSC.DE,D,20070124,000000,1.013685,1.013685,0.976141,1.013685,9369,0
KSC.DE,D,20070125,000000,0.976141,1.013685,0.951112,1.013685,4095,0
KSC.DE,D,20070126,000000,1.013685,1.013685,0.951112,1.013685,2085,0
KSC.DE,D,20070129,000000,0.938597,1.00117,0.938597,1.00117,605,0
KSC.DE,D,20070130,000000,1.013685,1.013685,0.976141,0.976141,344,0
KSC.DE,D,20070131,000000,1.00117,1.00117,1.00117,1.00117,45,0
KSC.DE,D,20070201,000000,1.038714,1.113802,1.00117,1.00117,31588,0
KSC.DE,D,20070202,000000,1.051229,1.051229,0.988655,1.00117,5571,0
KSC.DE,D,20070205,000000,1.063743,1.126316,1.026199,1.088772,59971,0
KSC.DE,D,20070206,000000,1.101287,1.101287,1.038714,1.038714,20599,0
KSC.DE,D,20070207,000000,1.051229,1.051229,1.038714,1.038714,1518,0
KSC.DE,D,20070208,000000,1.038714,1.063743,0.988655,0.988655,25860,0
KSC.DE,D,20070209,000000,1.063743,1.063743,0.951112,0.988655,41134,0
KSC.DE,D,20070212,000000,0.951112,1.013685,0.951112,0.988655,60174,0
KSC.DE,D,20070213,000000,1.00117,1.00117,0.963626,1.00117,6021,0
KSC.DE,D,20070214,000000,1.013685,1.026199,0.976141,0.976141,23429,0
KSC.DE,D,20070215,000000,1.00117,1.00117,1.00117,1.00117,2295,0
KSC.DE,D,20070216,000000,1.00117,1.026199,1.00117,1.00117,16205,0
KSC.DE,D,20070219,000000,0.988655,0.988655,0.938597,0.951112,41283,0
KSC.DE,D,20070220,000000,0.951112,0.976141,0.938597,0.938597,17250,0
KSC.DE,D,20070221,000000,0.976141,0.976141,0.926082,0.926082,10971,0
KSC.DE,D,20070222,000000,0.951112,0.963626,0.926082,0.926082,6435,0
KSC.DE,D,20070226,000000,1.00117,1.026199,0.988655,1.00117,91483,0
KSC.DE,D,20070227,000000,1.00117,1.013685,0.963626,0.963626,25223,0
KSC.DE,D,20070228,000000,0.951112,0.951112,0.901053,0.938597,13914,0
KSC.DE,D,20070301,000000,0.938597,0.988655,0.926082,0.988655,3161,0
KSC.DE,D,20070302,000000,0.988655,0.988655,0.926082,0.926082,4054,0
KSC.DE,D,20070305,000000,0.913568,0.913568,0.901053,0.901053,3622,0
KSC.DE,D,20070306,000000,0.926082,0.951112,0.888538,0.951112,5982,0
KSC.DE,D,20070307,000000,0.951112,0.951112,0.913568,0.938597,15525,0
KSC.DE,D,20070308,000000,0.951112,0.951112,0.938597,0.938597,4059,0
KSC.DE,D,20070309,000000,0.938597,0.951112,0.901053,0.951112,7281,0
KSC.DE,D,20070312,000000,0.951112,0.976141,0.938597,0.951112,20855,0
KSC.DE,D,20070313,000000,0.976141,0.976141,0.926082,0.926082,5557,0
KSC.DE,D,20070314,000000,0.926082,0.926082,0.876024,0.926082,16881,0
KSC.DE,D,20070315,000000,0.938597,0.963626,0.888538,0.951112,8302,0
KSC.DE,D,20070316,000000,0.963626,0.963626,0.938597,0.938597,292,0
KSC.DE,D,20070319,000000,0.926082,0.938597,0.913568,0.938597,2958,0
KSC.DE,D,20070320,000000,0.938597,0.951112,0.913568,0.951112,8137,0
KSC.DE,D,20070321,000000,0.951112,0.951112,0.926082,0.951112,4680,0
KSC.DE,D,20070322,000000,0.926082,0.926082,0.863509,0.926082,24400,0
KSC.DE,D,20070323,000000,0.926082,0.926082,0.876024,0.876024,5449,0
KSC.DE,D,20070326,000000,0.926082,0.951112,0.901053,0.901053,5773,0
KSC.DE,D,20070327,000000,0.926082,0.926082,0.901053,0.926082,8154,0
KSC.DE,D,20070328,000000,0.913568,0.913568,0.888538,0.888538,3874,0
KSC.DE,D,20070329,000000,0.888538,0.913568,0.888538,0.901053,7740,0
KSC.DE,D,20070330,000000,0.913568,0.913568,0.876024,0.913568,7637,0
KSC.DE,D,20070402,000000,0.913568,0.988655,0.888538,0.888538,10035,0
KSC.DE,D,20070403,000000,0.888538,0.901053,0.876024,0.901053,7544,0
KSC.DE,D,20070404,000000,0.850995,0.850995,0.83848,0.83848,21721,0
KSC.DE,D,20070405,000000,0.876024,0.876024,0.713334,0.788421,145113,0
KSC.DE,D,20070410,000000,0.825965,0.825965,0.775907,0.788421,30247,0
KSC.DE,D,20070411,000000,0.813451,0.813451,0.763392,0.800936,25987,0
KSC.DE,D,20070412,000000,0.800936,0.800936,0.788421,0.788421,8145,0
