<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
L8I3.DE,D,20080314,000000,101.97,101.97,101.97,101.97,1525,0
L8I3.DE,D,20080317,000000,101.98,101.98,101.98,101.98,868,0
L8I3.DE,D,20080318,000000,101.99,101.99,101.99,101.99,14100,0
L8I3.DE,D,20080319,000000,102.05,102.05,102.05,102.05,1328,0
L8I3.DE,D,20080320,000000,102.06,102.06,102.06,102.06,905,0
L8I3.DE,D,20080325,000000,102.07,102.07,102.07,102.07,3093,0
L8I3.DE,D,20080326,000000,102.08,102.08,102.08,102.08,1597,0
L8I3.DE,D,20080327,000000,102.12,102.12,102.12,102.12,215,0
L8I3.DE,D,20080328,000000,102.13,102.13,102.12,102.13,75963,0
L8I3.DE,D,20080331,000000,102.8,102.8,102.14,102.14,40812,0
L8I3.DE,D,20080401,000000,102.15,102.15,102.15,102.15,50102,0
L8I3.DE,D,20080402,000000,102.16,102.16,102.16,102.16,1150,0
L8I3.DE,D,20080403,000000,102.19,102.19,102.18,102.18,44089,0
L8I3.DE,D,20080404,000000,102.2,102.2,102.2,102.2,500,0
L8I3.DE,D,20080407,000000,102.21,102.21,102.2,102.21,22351,0
L8I3.DE,D,20080408,000000,102.23,102.23,102.23,102.23,56,0
L8I3.DE,D,20080409,000000,102.24,102.24,102.22,102.23,415879,0
L8I3.DE,D,20080410,000000,102.27,102.27,102.27,102.27,615,0
L8I3.DE,D,20080411,000000,102.28,102.28,102.28,102.28,1405,0
L8I3.DE,D,20080414,000000,102.29,102.29,102.28,102.29,290,0
L8I3.DE,D,20080415,000000,102.3,102.3,102.3,102.3,1700,0
L8I3.DE,D,20080416,000000,102.31,102.31,102.3,102.3,3984,0
L8I3.DE,D,20080417,000000,102.34,102.34,102.34,102.34,10890,0
L8I3.DE,D,20080418,000000,102.35,102.35,102.34,102.35,23090,0
L8I3.DE,D,20080421,000000,102.36,102.36,102.36,102.36,4085,0
L8I3.DE,D,20080422,000000,102.38,102.38,102.37,102.38,26917,0
L8I3.DE,D,20080423,000000,102.39,102.39,102.39,102.39,291,0
L8I3.DE,D,20080424,000000,102.42,102.42,102.41,102.42,10740,0
L8I3.DE,D,20080425,000000,102.43,102.43,102.43,102.43,827,0
L8I3.DE,D,20080428,000000,102.44,102.44,102.44,102.44,170,0
L8I3.DE,D,20080429,000000,102.46,102.46,102.46,102.46,3244,0
L8I3.DE,D,20080430,000000,102.5,102.5,102.5,102.5,66890,0
L8I3.DE,D,20080502,000000,102.51,102.51,102.51,102.51,982,0
L8I3.DE,D,20080505,000000,102.52,102.52,102.52,102.52,11708,0
L8I3.DE,D,20080506,000000,102.53,102.53,102.53,102.53,7963,0
L8I3.DE,D,20080507,000000,102.54,102.54,102.54,102.54,580,0
L8I3.DE,D,20080508,000000,102.58,102.58,102.57,102.57,41585,0
L8I3.DE,D,20080509,000000,102.59,102.59,102.58,102.58,5656,0
L8I3.DE,D,20080512,000000,102.6,102.6,102.6,102.6,175,0
L8I3.DE,D,20080513,000000,102.61,102.61,102.61,102.61,2110,0
L8I3.DE,D,20080514,000000,102.62,102.62,102.61,102.61,13522,0
L8I3.DE,D,20080515,000000,102.65,102.65,102.65,102.65,1070,0
L8I3.DE,D,20080516,000000,102.66,102.66,102.66,102.66,964,0
L8I3.DE,D,20080519,000000,102.67,102.67,102.67,102.67,260,0
L8I3.DE,D,20080520,000000,102.68,102.68,102.67,102.68,4141,0
L8I3.DE,D,20080521,000000,102.68,102.68,102.68,102.68,60698,0
L8I3.DE,D,20080522,000000,102.73,102.73,102.72,102.73,409,0
L8I3.DE,D,20080523,000000,102.74,102.74,102.73,102.74,3154,0
L8I3.DE,D,20080526,000000,102.75,102.75,102.75,102.75,54040,0
L8I3.DE,D,20080527,000000,102.76,102.76,102.76,102.76,18862,0
L8I3.DE,D,20080528,000000,102.77,102.77,102.77,102.77,130,0
L8I3.DE,D,20080529,000000,102.81,102.81,102.81,102.81,3030,0
L8I3.DE,D,20080530,000000,102.82,102.82,102.81,102.82,930,0
L8I3.DE,D,20080602,000000,102.83,102.83,102.83,102.83,10578,0
L8I3.DE,D,20080604,000000,102.85,102.85,102.85,102.85,1,0
L8I3.DE,D,20080605,000000,102.88,102.88,102.87,102.88,4861,0
L8I3.DE,D,20080606,000000,102.89,102.89,102.88,102.89,15243,0
L8I3.DE,D,20080609,000000,102.9,102.9,102.89,102.9,778,0
L8I3.DE,D,20080610,000000,102.92,102.92,102.92,102.92,15350,0
L8I3.DE,D,20080611,000000,102.93,102.93,102.92,102.92,8157,0
L8I3.DE,D,20080612,000000,102.96,102.96,102.95,102.96,36235,0
L8I3.DE,D,20080613,000000,102.97,102.97,102.97,102.97,27200,0
L8I3.DE,D,20080616,000000,102.98,102.98,102.97,102.98,3567,0
L8I3.DE,D,20080617,000000,102.98,102.99,102.98,102.98,22140,0
