<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAUT.DE,D,20190624,000000,60.29,60.36,60.02,60.02,3027,0
LAUT.DE,D,20190625,000000,59.39,59.66,59.37,59.37,0,0
LAUT.DE,D,20190626,000000,59.08,59.94,59.08,59.91,6,0
LAUT.DE,D,20190627,000000,60.33,60.33,60.06,60.06,5,0
LAUT.DE,D,20190628,000000,60.28,60.6,60.19,60.6,31,0
LAUT.DE,D,20190701,000000,62.02,62.02,60.78,60.78,76,0
LAUT.DE,D,20190702,000000,60.74,60.74,60.55,60.55,506,0
LAUT.DE,D,20190703,000000,60.4,61.37,60.4,61.14,17,0
LAUT.DE,D,20190704,000000,61.41,61.57,61.36,61.36,0,0
LAUT.DE,D,20190705,000000,61.34,61.34,61.07,61.32,14,0
LAUT.DE,D,20190708,000000,61.17,61.34,61.12,61.12,0,0
LAUT.DE,D,20190709,000000,60.36,60.36,60.1,60.12,489,0
LAUT.DE,D,20190710,000000,60.05,60.54,59.71,59.71,413,0
LAUT.DE,D,20190711,000000,59.89,59.89,59.36,59.36,437,0
LAUT.DE,D,20190712,000000,58.64,60.1,58.64,59.92,0,0
LAUT.DE,D,20190715,000000,60.23,60.56,60.23,60.36,32,0
LAUT.DE,D,20190716,000000,60.21,60.55,59.97,60.55,40,0
LAUT.DE,D,20190717,000000,60.39,60.39,59.67,59.67,0,0
LAUT.DE,D,20190718,000000,59.37,59.56,59.09,59.09,0,0
LAUT.DE,D,20190719,000000,59.39,59.44,59.26,59.26,232,0
LAUT.DE,D,20190722,000000,59.17,59.71,59.17,59.71,30,0
LAUT.DE,D,20190723,000000,60.42,62.3,60.37,61.95,198,0
LAUT.DE,D,20190724,000000,61.9,63.06,61.9,62.79,20,0
LAUT.DE,D,20190725,000000,63.54,63.54,61.51,61.68,2058,0
LAUT.DE,D,20190726,000000,61.35,61.7,61.35,61.43,307,0
LAUT.DE,D,20190729,000000,60.94,60.98,60.81,60.98,69,0
LAUT.DE,D,20190730,000000,60.77,60.77,59.54,59.54,16,0
LAUT.DE,D,20190731,000000,59.56,59.92,59.51,59.51,0,0
LAUT.DE,D,20190801,000000,59.57,59.6,59.45,59.6,261,0
LAUT.DE,D,20190802,000000,58.05,58.05,57.12,57.52,1257,0
LAUT.DE,D,20190805,000000,56.85,56.85,55.98,56.41,0,0
LAUT.DE,D,20190806,000000,56.74,56.98,56.2,56.2,30,0
LAUT.DE,D,20190807,000000,56.46,57.17,56.03,56.36,586,0
LAUT.DE,D,20190808,000000,56.83,56.96,56.53,56.96,0,0
LAUT.DE,D,20190809,000000,56.45,56.45,55.59,55.59,116,0
LAUT.DE,D,20190812,000000,56.18,56.24,55.26,55.39,265,0
LAUT.DE,D,20190813,000000,54.96,55.94,54.84,55.94,1228,0
LAUT.DE,D,20190814,000000,55.73,55.73,54.34,54.34,1200,0
LAUT.DE,D,20190815,000000,54.52,54.52,53.3,53.47,5436,0
LAUT.DE,D,20190816,000000,53.45,53.94,53.45,53.94,473,0
LAUT.DE,D,20190819,000000,54.47,54.75,54.29,54.69,1014,0
LAUT.DE,D,20190820,000000,54.52,54.52,53.94,54,785,0
LAUT.DE,D,20190821,000000,54.31,55.13,54.31,54.93,10,0
LAUT.DE,D,20190822,000000,54.6,55.35,54.6,55,174,0
LAUT.DE,D,20190823,000000,55.38,55.38,53.84,53.84,262,0
LAUT.DE,D,20190826,000000,53.92,54.51,53.6,54.44,482,0
LAUT.DE,D,20190827,000000,54.15,55.28,54.15,55,116,0
LAUT.DE,D,20190828,000000,54.65,54.92,54.53,54.85,193,0
LAUT.DE,D,20190829,000000,54.51,55.46,54.51,55.44,78,0
LAUT.DE,D,20190830,000000,55.57,56.51,55.57,56.04,184,0
LAUT.DE,D,20190902,000000,56.19,56.19,55.86,55.96,548,0
LAUT.DE,D,20190903,000000,55.96,56.14,55.92,56.14,106,0
LAUT.DE,D,20190904,000000,56.66,57.31,56.66,57.3,1835,0
LAUT.DE,D,20190905,000000,58.16,59.09,58.16,58.89,1173,0
LAUT.DE,D,20190906,000000,59.2,59.3,59.14,59.14,0,0
LAUT.DE,D,20190909,000000,59.38,60.26,59.38,60.26,40,0
LAUT.DE,D,20190910,000000,60.6,60.78,60.4,60.4,100,0
LAUT.DE,D,20190911,000000,60.72,61.21,60.42,60.42,300,0
LAUT.DE,D,20190912,000000,60.78,60.94,60.53,60.94,1800,0
LAUT.DE,D,20190913,000000,61.24,61.79,61.24,61.66,0,0
LAUT.DE,D,20190916,000000,61.14,61.38,61.07,61.28,50,0
LAUT.DE,D,20190917,000000,60.92,60.92,59.97,60.53,1352,0
LAUT.DE,D,20190918,000000,60.26,60.83,60.26,60.64,64,0
LAUT.DE,D,20190919,000000,60.47,60.92,60.47,60.92,369,0
LAUT.DE,D,20190920,000000,61,61,60.63,60.63,232,0
LAUT.DE,D,20190923,000000,60.47,60.47,59.23,59.56,600,0
LAUT.DE,D,20190924,000000,59.69,59.69,58.73,58.73,1673,0
LAUT.DE,D,20190925,000000,58.38,58.57,57.88,58.57,16,0
LAUT.DE,D,20190926,000000,58.68,58.89,58.48,58.57,138,0
LAUT.DE,D,20190927,000000,58.64,59.2,58.64,59.14,138,0
LAUT.DE,D,20191001,000000,59.66,59.88,58.76,58.81,442,0
LAUT.DE,D,20191002,000000,58.68,58.68,57.18,57.18,26,0
LAUT.DE,D,20191004,000000,57.08,57.08,56.31,56.91,0,0
LAUT.DE,D,20191007,000000,56.52,57,56.46,57,2486,0
LAUT.DE,D,20191008,000000,57.2,57.2,56.05,56.47,1246,0
LAUT.DE,D,20191009,000000,56.17,57.33,56.17,57.05,2706,0
LAUT.DE,D,20191010,000000,57.45,58.26,57.45,58.26,1810,0
LAUT.DE,D,20191011,000000,58.66,60.29,58.66,60.29,475,0
LAUT.DE,D,20191014,000000,59.97,60.46,59.77,60.46,821,0
LAUT.DE,D,20191015,000000,61.1,61.74,60.8,61.51,138,0
LAUT.DE,D,20191016,000000,61.48,62.51,61.48,62.48,1813,0
LAUT.DE,D,20191017,000000,62.17,62.67,62.17,62.46,600,0
LAUT.DE,D,20191018,000000,60.98,61.66,60.98,61.41,192,0
LAUT.DE,D,20191021,000000,61.63,62.26,61.63,62.07,280,0
LAUT.DE,D,20191022,000000,62.22,62.54,62.22,62.54,3374,0
LAUT.DE,D,20191023,000000,61.87,62.54,61.87,62.54,2404,0
LAUT.DE,D,20191024,000000,63.03,63.39,63.03,63.22,23,0
LAUT.DE,D,20191025,000000,63.76,63.76,63.21,63.72,4224,0
LAUT.DE,D,20191028,000000,64.16,65,64,64.86,3799,0
LAUT.DE,D,20191029,000000,64.89,64.89,64.48,64.59,3623,0
LAUT.DE,D,20191030,000000,65.67,65.67,64.29,64.29,1184,0
LAUT.DE,D,20191031,000000,63.88,63.88,63.43,63.44,0,0
LAUT.DE,D,20191101,000000,63.79,64.27,63.65,64.27,3362,0
LAUT.DE,D,20191104,000000,65.33,66.24,65.33,66.14,297,0
LAUT.DE,D,20191105,000000,66.35,66.57,66.13,66.53,2830,0
LAUT.DE,D,20191106,000000,66.41,66.41,66.2,66.25,39,0
LAUT.DE,D,20191107,000000,66.83,67.42,66.83,67.42,1072,0
LAUT.DE,D,20191108,000000,67.27,67.27,66.83,67.12,1614,0
LAUT.DE,D,20191111,000000,66.49,67,66.43,66.82,126,0
LAUT.DE,D,20191112,000000,67.11,67.17,67.04,67.04,58,0
LAUT.DE,D,20191113,000000,66.62,66.62,65.95,66.25,0,0
LAUT.DE,D,20191114,000000,65.21,65.7,65.21,65.3,277,0
LAUT.DE,D,20191115,000000,65.82,65.82,65.53,65.81,454,0
LAUT.DE,D,20191118,000000,65.77,65.77,64.38,64.38,1761,0
LAUT.DE,D,20191119,000000,64.7,65.3,64.53,64.56,801,0
LAUT.DE,D,20191120,000000,64.05,64.32,63.95,64.32,60,0
LAUT.DE,D,20191121,000000,63.58,64.58,63.58,64.3,2200,0
LAUT.DE,D,20191122,000000,64.44,64.91,64.44,64.8,75,0
LAUT.DE,D,20191125,000000,65.61,65.68,65.15,65.26,233,0
LAUT.DE,D,20191126,000000,65.38,65.38,65.04,65.11,1220,0
LAUT.DE,D,20191127,000000,65.36,65.61,65.36,65.36,397,0
LAUT.DE,D,20191128,000000,64.82,64.82,64.79,64.81,0,0
LAUT.DE,D,20191129,000000,64.43,64.59,64.08,64.08,62,0
LAUT.DE,D,20191202,000000,64.33,64.57,63.02,63.04,118,0
LAUT.DE,D,20191203,000000,63.58,63.58,62.65,62.65,335,0
LAUT.DE,D,20191204,000000,62.88,63.14,62.88,63.1,240,0
LAUT.DE,D,20191205,000000,63.3,63.46,62.79,62.79,1,0
LAUT.DE,D,20191206,000000,62.98,63.39,62.75,63.38,225,0
LAUT.DE,D,20191209,000000,63.57,63.57,62.9,62.9,15,0
LAUT.DE,D,20191210,000000,62.37,62.57,61.9,62.57,200,0
LAUT.DE,D,20191211,000000,62.67,63.12,62.67,63.02,50,0
LAUT.DE,D,20191212,000000,63.19,63.93,63.11,63.93,2460,0
LAUT.DE,D,20191213,000000,65.4,65.4,64.54,64.54,161,0
LAUT.DE,D,20191216,000000,64.75,64.85,64.24,64.79,167,0
LAUT.DE,D,20191217,000000,64.65,64.75,64.65,64.75,0,0
LAUT.DE,D,20191218,000000,64.79,64.79,64.39,64.41,5860,0
LAUT.DE,D,20191219,000000,64.42,64.42,63.57,63.81,1284,0
LAUT.DE,D,20191220,000000,63.91,63.91,63.61,63.88,2123,0
LAUT.DE,D,20191223,000000,63.73,63.73,63.29,63.56,816,0
LAUT.DE,D,20191227,000000,63.54,63.54,63.5,63.5,0,0
LAUT.DE,D,20191230,000000,63.37,63.37,62.93,62.99,300,0
LAUT.DE,D,20200102,000000,63.03,63.84,63.03,63.6,34,0
LAUT.DE,D,20200103,000000,63.16,63.16,62.15,62.61,151,0
LAUT.DE,D,20200106,000000,61.92,62.31,61.55,62.31,130,0
LAUT.DE,D,20200107,000000,62.66,62.96,62.66,62.9,88,0
LAUT.DE,D,20200108,000000,62.56,63.31,62.56,63.31,0,0
LAUT.DE,D,20200109,000000,63.87,63.87,63.73,63.77,0,0
LAUT.DE,D,20200110,000000,63.87,64.23,63.87,64.02,0,0
LAUT.DE,D,20200113,000000,64.08,64.08,63.42,63.42,0,0
LAUT.DE,D,20200114,000000,63.45,63.45,63.26,63.33,33,0
LAUT.DE,D,20200115,000000,63.24,63.24,62.22,62.29,276,0
LAUT.DE,D,20200116,000000,62.28,62.28,61.36,61.74,200,0
LAUT.DE,D,20200117,000000,62.18,62.18,61.91,61.91,0,0
LAUT.DE,D,20200120,000000,61.74,62.25,61.74,62.07,120,0
