<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LB3A.DE,D,20210120,000000,9.65,9.65,9.65,9.65,0,0
LB3A.DE,D,20210121,000000,9.75,9.75,9.75,9.75,0,0
LB3A.DE,D,20210129,000000,10.9,10.9,10.9,10.9,0,0
LB3A.DE,D,20210202,000000,10.5,10.5,10.5,10.5,0,0
LB3A.DE,D,20210203,000000,10.3,10.3,10.3,10.3,0,0
LB3A.DE,D,20210204,000000,10.5,10.5,10.5,10.5,0,0
LB3A.DE,D,20210209,000000,11.2,11.2,11.1,11.1,488,0
LB3A.DE,D,20210211,000000,10.8,10.8,10.8,10.8,0,0
LB3A.DE,D,20210212,000000,10.9,10.9,10.9,10.9,0,0
LB3A.DE,D,20210215,000000,10.9,10.9,10.9,10.9,0,0
LB3A.DE,D,20210217,000000,10.9,10.9,10.9,10.9,0,0
LB3A.DE,D,20210219,000000,10.9,10.9,10.9,10.9,0,0
LB3A.DE,D,20210222,000000,11,11,11,11,0,0
LB3A.DE,D,20210225,000000,10.4,10.4,10.4,10.4,0,0
LB3A.DE,D,20210226,000000,10.2,10.3,10.2,10.3,300,0
LB3A.DE,D,20210301,000000,10.1,10.1,10.1,10.1,0,0
LB3A.DE,D,20210302,000000,10.1,10.1,10,10,400,0
LB3A.DE,D,20210303,000000,10.1,10.2,10.1,10.2,513,0
LB3A.DE,D,20210304,000000,9.95,9.95,9.95,9.95,513,0
LB3A.DE,D,20210312,000000,10.8,10.8,10.8,10.8,0,0
LB3A.DE,D,20210315,000000,10.6,10.6,10.6,10.6,0,0
LB3A.DE,D,20210316,000000,10.7,10.7,10.7,10.7,0,0
LB3A.DE,D,20210317,000000,10.7,10.7,10.7,10.7,0,0
LB3A.DE,D,20210319,000000,10.9,10.9,10.9,10.9,0,0
LB3A.DE,D,20210323,000000,10.4,10.4,10.4,10.4,0,0
LB3A.DE,D,20210324,000000,10.3,10.3,10,10,488,0
LB3A.DE,D,20210325,000000,10.1,10.1,10.1,10.1,0,0
LB3A.DE,D,20210326,000000,10.1,10.2,10.1,10.2,1377,0
LB3A.DE,D,20210329,000000,10,10,9.85,9.85,918,0
LB3A.DE,D,20210401,000000,10.145,10.145,10.145,10.145,0,0
LB3A.DE,D,20210407,000000,9.902,9.902,9.902,9.902,0,0
LB3A.DE,D,20210408,000000,9.8,9.8,9.8,9.8,0,0
LB3A.DE,D,20210412,000000,10.085,10.085,10.085,10.085,0,0
LB3A.DE,D,20210413,000000,10.16,10.16,10.16,10.16,0,0
LB3A.DE,D,20210414,000000,10.415,10.415,10.415,10.415,0,0
LB3A.DE,D,20210415,000000,10.36,10.36,10.36,10.36,0,0
LB3A.DE,D,20210416,000000,10.355,10.355,10.355,10.355,0,0
LB3A.DE,D,20210419,000000,10.47,10.47,10.04,10.04,200,0
LB3A.DE,D,20210421,000000,9.842,9.842,9.842,9.842,0,0
LB3A.DE,D,20210423,000000,10.1,10.1,10.1,10.1,0,0
LB3A.DE,D,20210426,000000,10.21,10.21,10.21,10.21,0,0
LB3A.DE,D,20210427,000000,10.495,10.495,10.495,10.495,0,0
LB3A.DE,D,20210428,000000,10.315,10.315,10.315,10.315,0,0
LB3A.DE,D,20210429,000000,10.12,10.12,10.12,10.12,0,0
LB3A.DE,D,20210430,000000,9.94,9.94,9.94,9.94,0,0
