<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBRA.DE,D,20190621,000000,20.575,20.67,20.4,20.6,4500,0
LBRA.DE,D,20190624,000000,20.62,20.625,20.525,20.565,6344,0
LBRA.DE,D,20190625,000000,20.375,20.54,20.335,20.335,50,0
LBRA.DE,D,20190626,000000,20.015,20.195,19.98,20.18,7718,0
LBRA.DE,D,20190627,000000,20.315,20.315,19.854,19.922,4142,0
LBRA.DE,D,20190628,000000,20.36,20.41,20.36,20.36,725,0
LBRA.DE,D,20190701,000000,20.595,20.685,20.44,20.61,2285,0
LBRA.DE,D,20190702,000000,20.485,20.525,20.14,20.14,2576,0
LBRA.DE,D,20190703,000000,20.25,20.475,20.21,20.37,4492,0
LBRA.DE,D,20190704,000000,20.705,21.245,20.665,21.22,2953,0
LBRA.DE,D,20190705,000000,21.135,21.215,20.9,21.215,3233,0
LBRA.DE,D,20190708,000000,21.04,21.39,21.04,21.37,1648,0
LBRA.DE,D,20190709,000000,21.27,21.57,21.24,21.5,5217,0
LBRA.DE,D,20190710,000000,21.495,21.95,21.495,21.95,1245,0
LBRA.DE,D,20190711,000000,22.04,22.23,21.67,21.67,6022,0
LBRA.DE,D,20190712,000000,21.76,21.905,21.685,21.715,6575,0
LBRA.DE,D,20190715,000000,21.575,21.72,21.545,21.595,3081,0
LBRA.DE,D,20190716,000000,21.555,21.6,21.53,21.6,1305,0
LBRA.DE,D,20190717,000000,21.455,21.6,21.425,21.575,1694,0
LBRA.DE,D,20190718,000000,21.35,21.64,21.24,21.64,451,0
LBRA.DE,D,20190719,000000,21.96,22.035,21.635,21.635,1236,0
LBRA.DE,D,20190722,000000,21.44,21.71,21.395,21.71,5901,0
LBRA.DE,D,20190723,000000,21.735,21.735,21.55,21.55,187,0
LBRA.DE,D,20190724,000000,21.46,21.805,21.46,21.77,941,0
LBRA.DE,D,20190725,000000,21.65,21.685,21.22,21.28,15553,0
LBRA.DE,D,20190726,000000,21.26,21.35,21.26,21.35,175,0
LBRA.DE,D,20190729,000000,21.295,21.295,21.2,21.245,54,0
LBRA.DE,D,20190730,000000,21.4,21.4,21.24,21.345,26,0
LBRA.DE,D,20190731,000000,21.23,21.33,21.21,21.255,580,0
LBRA.DE,D,20190801,000000,21.15,21.335,21.15,21.325,1011,0
LBRA.DE,D,20190802,000000,20.89,20.89,20.545,20.56,5538,0
LBRA.DE,D,20190805,000000,20.26,20.34,19.848,19.848,8497,0
LBRA.DE,D,20190806,000000,19.64,19.862,19.596,19.82,5108,0
LBRA.DE,D,20190807,000000,19.948,20.19,19.662,19.818,5560,0
LBRA.DE,D,20190808,000000,20.45,20.565,20.175,20.565,906,0
LBRA.DE,D,20190809,000000,20.695,20.705,20.475,20.475,2,0
LBRA.DE,D,20190812,000000,20.57,20.57,19.804,19.84,6361,0
LBRA.DE,D,20190813,000000,19.738,20.425,19.726,20.36,435,0
LBRA.DE,D,20190814,000000,20.27,20.27,19.784,19.784,1,0
