<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBRE.DE,D,20190313,000000,57.15,57.76,57.15,57.76,807,0
LBRE.DE,D,20190314,000000,57.79,57.82,57.59,57.68,879,0
LBRE.DE,D,20190315,000000,57.61,58.05,57.53,57.64,2786,0
LBRE.DE,D,20190318,000000,58.11,58.61,58.11,58.61,100,0
LBRE.DE,D,20190319,000000,58.8,59.58,58.8,59.43,4132,0
LBRE.DE,D,20190320,000000,58.06,58.47,57.93,58.4,6186,0
LBRE.DE,D,20190321,000000,58.9,59.07,58.34,58.34,661,0
LBRE.DE,D,20190322,000000,58.75,58.75,57.71,57.71,12285,0
LBRE.DE,D,20190325,000000,57,57.59,57,57.59,1050,0
LBRE.DE,D,20190326,000000,57.93,58.02,57.93,57.96,100,0
LBRE.DE,D,20190327,000000,58.3,58.44,58.08,58.2,199,0
LBRE.DE,D,20190328,000000,58.42,58.76,58.17,58.17,3811,0
LBRE.DE,D,20190329,000000,59.13,59.49,59.08,59.27,252,0
LBRE.DE,D,20190401,000000,60.53,61.4,60.53,61.37,246,0
LBRE.DE,D,20190402,000000,61.39,61.7,60.97,61.54,5403,0
LBRE.DE,D,20190403,000000,62.65,62.85,62.56,62.56,464,0
LBRE.DE,D,20190404,000000,62.11,62.2,61.82,61.82,0,0
LBRE.DE,D,20190405,000000,62.12,62.51,62.12,62.51,48,0
LBRE.DE,D,20190408,000000,62.85,62.9,62.6,62.6,18,0
LBRE.DE,D,20190409,000000,62.65,62.65,62.2,62.2,4,0
LBRE.DE,D,20190410,000000,62.4,62.83,62.4,62.82,0,0
LBRE.DE,D,20190411,000000,62.34,62.34,62.01,62.01,0,0
LBRE.DE,D,20190412,000000,61.89,62.77,61.89,62.77,0,0
LBRE.DE,D,20190415,000000,62.72,62.72,62.21,62.21,50,0
LBRE.DE,D,20190416,000000,62.64,62.64,61.95,62.1,3200,0
LBRE.DE,D,20190417,000000,61.24,61.58,61.24,61.58,0,0
LBRE.DE,D,20190418,000000,61.45,61.9,61.45,61.9,0,0
LBRE.DE,D,20190423,000000,61.92,61.92,61.75,61.79,160,0
LBRE.DE,D,20190424,000000,61.26,61.31,60.92,60.92,0,0
LBRE.DE,D,20190425,000000,60.84,60.84,60.47,60.58,15928,0
LBRE.DE,D,20190426,000000,60.02,60.02,60,60,0,0
LBRE.DE,D,20190429,000000,60.07,60.07,59.9,59.9,0,0
LBRE.DE,D,20190430,000000,59.21,59.21,58.91,59.12,0,0
LBRE.DE,D,20190502,000000,58.03,58.17,57.87,57.93,880,0
LBRE.DE,D,20190503,000000,58.1,58.83,58.1,58.83,155,0
LBRE.DE,D,20190506,000000,57.3,57.68,56.88,57.68,1014,0
LBRE.DE,D,20190507,000000,58.14,58.14,57,57.12,501,0
LBRE.DE,D,20190508,000000,57.15,57.4,56.52,56.84,1867,0
LBRE.DE,D,20190509,000000,56.09,56.09,55.55,55.69,255,0
LBRE.DE,D,20190510,000000,56.54,56.54,55.92,55.97,99,0
LBRE.DE,D,20190513,000000,55.75,55.75,54.43,54.43,6428,0
LBRE.DE,D,20190514,000000,54.82,55.65,54.82,55.65,36,0
LBRE.DE,D,20190515,000000,55.91,55.91,54.76,55.55,581,0
LBRE.DE,D,20190516,000000,55.9,56.56,55.9,56.46,0,0
LBRE.DE,D,20190517,000000,56.45,56.45,55.88,56.19,547,0
LBRE.DE,D,20190520,000000,56.47,56.47,55.46,55.61,419,0
LBRE.DE,D,20190521,000000,56.02,56.17,56.02,56.09,0,0
LBRE.DE,D,20190522,000000,56.07,56.07,55.49,55.49,0,0
LBRE.DE,D,20190523,000000,54.85,54.85,54.16,54.16,1500,0
LBRE.DE,D,20190524,000000,54.81,55.11,54.81,54.83,0,0
LBRE.DE,D,20190527,000000,55.26,55.53,55.02,55.18,3033,0
LBRE.DE,D,20190528,000000,55.79,55.79,55.2,55.2,7956,0
LBRE.DE,D,20190529,000000,54.44,54.44,53.9,54.16,0,0
LBRE.DE,D,20190530,000000,54.51,54.51,54.39,54.39,0,0
LBRE.DE,D,20190531,000000,53.62,53.62,52.97,53.44,0,0
LBRE.DE,D,20190603,000000,52.82,53.8,52.75,53.8,1141,0
LBRE.DE,D,20190604,000000,53.35,54.44,53.35,54.44,0,0
LBRE.DE,D,20190605,000000,54.47,54.63,53.78,53.83,296,0
LBRE.DE,D,20190606,000000,53.56,54.21,53.56,53.76,3649,0
LBRE.DE,D,20190607,000000,53.93,54.06,53.93,53.97,0,0
LBRE.DE,D,20190611,000000,55.6,56.19,55.6,56.19,0,0
LBRE.DE,D,20190612,000000,56.07,56.07,55.63,56.04,0,0
LBRE.DE,D,20190613,000000,55.76,56.96,55.76,56.96,0,0
LBRE.DE,D,20190614,000000,56.79,56.79,56.33,56.5,355,0
LBRE.DE,D,20190617,000000,56.53,56.53,56.19,56.19,50,0
LBRE.DE,D,20190618,000000,56.3,57.74,56.3,57.74,3390,0
LBRE.DE,D,20190619,000000,58,58,56.87,56.87,781,0
LBRE.DE,D,20190620,000000,57.7,57.75,57.12,57.29,12248,0
LBRE.DE,D,20190621,000000,57.22,57.46,57.07,57.26,3025,0
LBRE.DE,D,20190624,000000,57.37,57.37,57.08,57.12,0,0
LBRE.DE,D,20190625,000000,57,57.79,57,57.55,0,0
LBRE.DE,D,20190626,000000,57.64,58.08,57.31,57.95,12077,0
LBRE.DE,D,20190627,000000,58.61,58.61,57.58,57.58,0,0
