<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCUJ.DE,D,20190313,000000,11.074,11.153,11.074,11.153,0,0
LCUJ.DE,D,20190314,000000,11.014,11.0415,11.014,11.0415,0,0
LCUJ.DE,D,20190315,000000,11.0725,11.1465,11.0725,11.1465,2502,0
LCUJ.DE,D,20190318,000000,11.152,11.162,11.1205,11.162,1000,0
LCUJ.DE,D,20190319,000000,11.143,11.185,11.143,11.1765,340,0
LCUJ.DE,D,20190320,000000,11.1305,11.1305,11.089,11.089,2201,0
LCUJ.DE,D,20190321,000000,11.082,11.174,11.077,11.174,0,0
LCUJ.DE,D,20190322,000000,11.186,11.262,11.1705,11.1705,7122,0
LCUJ.DE,D,20190325,000000,11.082,11.1135,11.077,11.0945,47,0
LCUJ.DE,D,20190326,000000,11.356,11.356,11.29,11.29,2407,0
LCUJ.DE,D,20190327,000000,11.3705,11.3705,11.2535,11.265,1053,0
LCUJ.DE,D,20190328,000000,11.281,11.297,11.2705,11.2895,14083,0
LCUJ.DE,D,20190329,000000,11.3055,11.322,11.3055,11.322,0,0
LCUJ.DE,D,20190401,000000,11.383,11.444,11.383,11.444,259,0
LCUJ.DE,D,20190402,000000,11.376,11.413,11.376,11.413,1338,0
LCUJ.DE,D,20190403,000000,11.439,11.465,11.439,11.463,676,0
LCUJ.DE,D,20190404,000000,11.4,11.434,11.4,11.434,155,0
LCUJ.DE,D,20190405,000000,11.419,11.4535,11.419,11.4535,245,0
LCUJ.DE,D,20190408,000000,11.4225,11.4225,11.376,11.384,5444,0
LCUJ.DE,D,20190409,000000,11.3755,11.3755,11.298,11.3265,16316,0
LCUJ.DE,D,20190410,000000,11.3435,11.3665,11.321,11.321,3176,0
LCUJ.DE,D,20190411,000000,11.295,11.297,11.287,11.289,99,0
LCUJ.DE,D,20190412,000000,11.22,11.305,11.22,11.289,7151,0
LCUJ.DE,D,20190415,000000,11.326,11.326,11.3145,11.3145,13996,0
LCUJ.DE,D,20190416,000000,11.332,11.392,11.332,11.384,561,0
LCUJ.DE,D,20190417,000000,11.353,11.384,11.353,11.367,529,0
LCUJ.DE,D,20190418,000000,11.305,11.4435,11.305,11.436,310,0
LCUJ.DE,D,20190423,000000,11.39,11.472,11.39,11.472,1078,0
LCUJ.DE,D,20190424,000000,11.364,11.3975,11.364,11.387,245,0
LCUJ.DE,D,20190425,000000,11.459,11.4755,11.459,11.463,0,0
LCUJ.DE,D,20190426,000000,11.4775,11.5185,11.4775,11.509,233,0
LCUJ.DE,D,20190429,000000,11.559,11.559,11.529,11.538,1000,0
LCUJ.DE,D,20190430,000000,11.517,11.525,11.483,11.502,16680,0
LCUJ.DE,D,20190502,000000,11.48,11.48,11.4505,11.4505,3278,0
LCUJ.DE,D,20190503,000000,11.498,11.576,11.498,11.5635,886,0
LCUJ.DE,D,20190506,000000,11.3725,11.453,11.3725,11.453,0,0
LCUJ.DE,D,20190507,000000,11.449,11.449,11.332,11.332,1259,0
LCUJ.DE,D,20190508,000000,11.266,11.295,11.1965,11.1965,1332,0
LCUJ.DE,D,20190509,000000,11.135,11.135,10.9875,10.9875,100,0
LCUJ.DE,D,20190510,000000,11.133,11.133,11.0015,11.0015,1368,0
LCUJ.DE,D,20190513,000000,11.0745,11.0745,10.9385,10.9385,0,0
LCUJ.DE,D,20190514,000000,11.0065,11.111,11.0065,11.111,240,0
LCUJ.DE,D,20190515,000000,11.112,11.1185,11.044,11.1185,3259,0
LCUJ.DE,D,20190516,000000,11.101,11.2375,11.101,11.23,1659,0
LCUJ.DE,D,20190517,000000,11.2345,11.2345,11.2065,11.2175,902,0
LCUJ.DE,D,20190520,000000,11.19,11.203,11.098,11.098,260,0
LCUJ.DE,D,20190521,000000,11.17,11.191,11.142,11.1495,466,0
LCUJ.DE,D,20190522,000000,11.109,11.112,11.084,11.1015,7465,0
LCUJ.DE,D,20190523,000000,11.077,11.077,11.018,11.018,0,0
LCUJ.DE,D,20190524,000000,11.146,11.1535,11.098,11.11,400,0
LCUJ.DE,D,20190527,000000,11.1795,11.194,11.1725,11.1725,1155,0
LCUJ.DE,D,20190528,000000,11.19,11.19,11.1245,11.1245,10330,0
LCUJ.DE,D,20190529,000000,11.103,11.103,11.0705,11.0705,7580,0
LCUJ.DE,D,20190530,000000,11.102,11.102,11.091,11.091,0,0
LCUJ.DE,D,20190531,000000,10.995,11.0025,10.912,11.0025,949,0
LCUJ.DE,D,20190603,000000,10.974,10.988,10.974,10.984,0,0
LCUJ.DE,D,20190604,000000,10.9,11.0215,10.9,11.0215,1437,0
LCUJ.DE,D,20190605,000000,11.078,11.125,11.074,11.074,0,0
LCUJ.DE,D,20190606,000000,11.1085,11.1525,11.051,11.051,1928,0
LCUJ.DE,D,20190607,000000,11.1035,11.134,11.09,11.1055,4545,0
LCUJ.DE,D,20190611,000000,11.2335,11.2625,11.2335,11.2425,500,0
LCUJ.DE,D,20190612,000000,11.1895,11.1985,11.1615,11.1615,0,0
LCUJ.DE,D,20190613,000000,11.1495,11.171,11.134,11.134,368,0
LCUJ.DE,D,20190614,000000,11.172,11.178,11.162,11.1755,1639,0
LCUJ.DE,D,20190617,000000,11.201,11.201,11.192,11.192,0,0
LCUJ.DE,D,20190618,000000,11.16,11.31,11.116,11.29,12523,0
LCUJ.DE,D,20190619,000000,11.347,11.347,11.32,11.3205,990,0
LCUJ.DE,D,20190620,000000,11.406,11.4125,11.376,11.378,38,0
LCUJ.DE,D,20190621,000000,11.334,11.334,11.2605,11.288,27749,0
LCUJ.DE,D,20190624,000000,11.226,11.226,11.19,11.191,4804,0
LCUJ.DE,D,20190625,000000,11.196,11.2135,11.1925,11.1925,19011,0
LCUJ.DE,D,20190626,000000,11.17,11.2235,11.1495,11.1495,4250,0
LCUJ.DE,D,20190627,000000,11.236,11.238,11.2005,11.203,11679,0
LCUJ.DE,D,20190628,000000,11.2595,11.26,11.241,11.2475,892,0
LCUJ.DE,D,20190701,000000,11.497,11.497,11.4605,11.4605,2144,0
LCUJ.DE,D,20190702,000000,11.523,11.523,11.4895,11.5065,23078,0
LCUJ.DE,D,20190703,000000,11.524,11.561,11.524,11.5605,1815,0
LCUJ.DE,D,20190704,000000,11.5895,11.5895,11.5655,11.576,399,0
LCUJ.DE,D,20190705,000000,11.577,11.582,11.543,11.5445,1547,0
LCUJ.DE,D,20190708,000000,11.52,11.526,11.504,11.5215,29384,0
LCUJ.DE,D,20190709,000000,11.433,11.438,11.4235,11.4235,0,0
LCUJ.DE,D,20190710,000000,11.415,11.48,11.415,11.44,2901,0
LCUJ.DE,D,20190711,000000,11.496,11.498,11.4495,11.452,16778,0
LCUJ.DE,D,20190712,000000,11.415,11.464,11.415,11.4485,1000,0
LCUJ.DE,D,20190715,000000,11.475,11.475,11.464,11.475,0,0
LCUJ.DE,D,20190716,000000,11.435,11.4445,11.435,11.444,42064,0
LCUJ.DE,D,20190717,000000,11.4625,11.4625,11.421,11.421,721,0
LCUJ.DE,D,20190718,000000,11.276,11.312,11.276,11.285,1024,0
LCUJ.DE,D,20190719,000000,11.429,11.443,11.429,11.443,469,0
LCUJ.DE,D,20190722,000000,11.413,11.4455,11.413,11.425,8700,0
LCUJ.DE,D,20190723,000000,11.5395,11.5795,11.5395,11.5795,31153,0
LCUJ.DE,D,20190724,000000,11.6105,11.622,11.599,11.599,739,0
LCUJ.DE,D,20190725,000000,11.6575,11.6575,11.5125,11.5125,3245,0
LCUJ.DE,D,20190726,000000,11.52,11.5605,11.52,11.5605,0,0
LCUJ.DE,D,20190729,000000,11.525,11.547,11.513,11.513,13264,0
