<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGQG.DE,D,20180618,000000,175.16,175.16,175.16,175.16,0,0
LGQG.DE,D,20180619,000000,173.16,173.83,173.12,173.83,513,0
LGQG.DE,D,20180620,000000,173.94,173.94,173.94,173.94,0,0
LGQG.DE,D,20180621,000000,173.82,173.82,172.07,172.07,28,0
LGQG.DE,D,20180622,000000,173.54,173.58,173.54,173.58,10,0
LGQG.DE,D,20180625,000000,170.23,170.23,170.23,170.23,0,0
LGQG.DE,D,20180626,000000,170.19,170.19,170.19,170.19,0,0
LGQG.DE,D,20180627,000000,171.27,171.27,171.27,171.27,0,0
LGQG.DE,D,20180628,000000,170.34,170.46,169.28,169.31,405,0
LGQG.DE,D,20180629,000000,170.99,170.99,170.99,170.99,0,0
LGQG.DE,D,20180702,000000,169.55,169.55,169.55,169.55,0,0
LGQG.DE,D,20180703,000000,171.58,171.58,171.03,171.03,15,0
LGQG.DE,D,20180704,000000,171.2,171.2,171.02,171.02,10,0
LGQG.DE,D,20180705,000000,172.55,172.55,172.55,172.55,0,0
LGQG.DE,D,20180706,000000,172.82,173.03,172.82,173.03,30,0
LGQG.DE,D,20180709,000000,174.38,174.38,173.8,173.8,19,0
LGQG.DE,D,20180710,000000,174.28,174.8,174.28,174.6,130,0
LGQG.DE,D,20180711,000000,173.52,173.6,172.41,172.41,78,0
LGQG.DE,D,20180712,000000,173.5,173.5,173.5,173.5,0,0
LGQG.DE,D,20180713,000000,174.1,174.22,173.94,173.94,312,0
LGQG.DE,D,20180716,000000,174.12,174.22,173.84,173.84,20,0
LGQG.DE,D,20180717,000000,174.48,174.48,174.48,174.48,0,0
LGQG.DE,D,20180718,000000,175.66,175.86,173.22,173.22,20,0
LGQG.DE,D,20180719,000000,175.6,175.6,174.62,174.86,1571,0
LGQG.DE,D,20180720,000000,174.3,174.72,174,174.24,1090,0
