<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LHTC.DE,D,20190313,000000,91.23,91.78,91.23,91.78,0,0
LHTC.DE,D,20190314,000000,92.11,92.62,92.11,92.62,0,0
LHTC.DE,D,20190315,000000,92.67,92.9,92.52,92.9,39,0
LHTC.DE,D,20190318,000000,92.91,92.91,92.46,92.78,2131,0
LHTC.DE,D,20190319,000000,92.89,93.36,92.89,93.15,258,0
LHTC.DE,D,20190320,000000,92.42,92.75,92.42,92.64,1132,0
LHTC.DE,D,20190321,000000,92.26,92.71,92.07,92.71,598,0
LHTC.DE,D,20190322,000000,92.78,92.78,92.14,92.14,0,0
LHTC.DE,D,20190325,000000,91.59,91.73,91.59,91.64,52,0
LHTC.DE,D,20190326,000000,91.75,93.08,91.75,93.08,448,0
LHTC.DE,D,20190327,000000,93.28,93.28,92.63,92.8,0,0
LHTC.DE,D,20190328,000000,92.84,93.48,92.84,93.35,155,0
LHTC.DE,D,20190329,000000,93.15,93.62,92.87,93.62,6616,0
LHTC.DE,D,20190401,000000,93.83,94.15,93.82,94.05,1135,0
LHTC.DE,D,20190402,000000,93.7,94.04,93.7,94.04,90,0
LHTC.DE,D,20190403,000000,94.14,94.14,93.26,93.8,325,0
LHTC.DE,D,20190404,000000,93.36,93.54,93,93.28,236,0
LHTC.DE,D,20190405,000000,93.51,93.52,93.35,93.52,0,0
LHTC.DE,D,20190408,000000,93.39,94,93.26,93.5,266,0
LHTC.DE,D,20190409,000000,93.45,94.05,93.45,93.45,0,0
LHTC.DE,D,20190410,000000,93.34,93.4,92.98,93.12,607,0
LHTC.DE,D,20190411,000000,92.85,93.11,92.38,92.38,341,0
LHTC.DE,D,20190412,000000,92.06,92.06,90.86,91.39,3177,0
LHTC.DE,D,20190415,000000,91.06,91.58,91.06,91.46,90,0
LHTC.DE,D,20190416,000000,91.76,91.76,91.49,91.49,230,0
LHTC.DE,D,20190417,000000,90.85,90.85,89.75,89.75,0,0
LHTC.DE,D,20190418,000000,89.35,89.66,88.88,89.01,2674,0
LHTC.DE,D,20190423,000000,89.09,90.23,89.09,90.23,352,0
LHTC.DE,D,20190424,000000,90.79,90.79,90.41,90.41,28,0
LHTC.DE,D,20190425,000000,90.93,90.93,90.73,90.85,4,0
LHTC.DE,D,20190426,000000,91.46,91.56,91.46,91.54,700,0
LHTC.DE,D,20190429,000000,91.72,92.06,91.72,92.03,8055,0
LHTC.DE,D,20190430,000000,92.13,92.14,91.69,92.09,50,0
LHTC.DE,D,20190502,000000,92.4,92.4,91.92,91.92,874,0
LHTC.DE,D,20190503,000000,92.22,92.75,92.22,92.56,958,0
LHTC.DE,D,20190506,000000,91.68,91.89,91.26,91.89,354,0
LHTC.DE,D,20190507,000000,92.07,92.59,91.22,91.22,510,0
LHTC.DE,D,20190508,000000,91.18,91.75,90.93,91.75,211,0
LHTC.DE,D,20190509,000000,91.44,91.62,90.59,90.63,138,0
LHTC.DE,D,20190510,000000,90.9,91.04,90.51,90.51,51,0
LHTC.DE,D,20190513,000000,90.69,90.69,89.69,89.69,0,0
LHTC.DE,D,20190514,000000,89.81,90.27,89.81,90.27,0,0
LHTC.DE,D,20190515,000000,90.27,90.63,89.94,90.63,278,0
LHTC.DE,D,20190516,000000,90.75,92.06,90.73,92.06,667,0
LHTC.DE,D,20190517,000000,91.92,92.02,91.6,91.98,170,0
LHTC.DE,D,20190520,000000,91.94,91.94,91.15,91.25,98,0
LHTC.DE,D,20190521,000000,91.51,91.77,91.51,91.73,89,0
LHTC.DE,D,20190522,000000,91.57,92.4,91.57,92.4,58,0
LHTC.DE,D,20190523,000000,92.62,92.71,92.35,92.35,7,0
LHTC.DE,D,20190524,000000,92.55,93.21,92.55,93.21,20,0
LHTC.DE,D,20190527,000000,93.6,93.6,93.3,93.41,0,0
LHTC.DE,D,20190528,000000,93.33,93.33,92.75,92.75,13,0
LHTC.DE,D,20190529,000000,92.1,92.1,91.43,91.43,139,0
LHTC.DE,D,20190530,000000,91.57,91.64,91.42,91.64,0,0
LHTC.DE,D,20190531,000000,91.01,91.01,90.56,90.84,0,0
LHTC.DE,D,20190603,000000,90.1,91.99,90.1,91.99,1862,0
LHTC.DE,D,20190604,000000,91.48,91.68,91,91.68,30,0
LHTC.DE,D,20190605,000000,91.57,91.89,91.57,91.89,100,0
LHTC.DE,D,20190606,000000,92.11,92.8,92.11,92.5,344,0
LHTC.DE,D,20190607,000000,92.67,93.16,92.67,92.88,5,0
LHTC.DE,D,20190611,000000,93.31,94.18,93.31,93.7,400,0
LHTC.DE,D,20190612,000000,93.5,94.37,93.39,94.2,257,0
LHTC.DE,D,20190613,000000,94.17,94.78,94.17,94.55,238,0
LHTC.DE,D,20190614,000000,94.25,94.53,94.25,94.4,50,0
LHTC.DE,D,20190617,000000,94.39,94.42,93.96,94.32,97,0
LHTC.DE,D,20190618,000000,94.57,96.23,94.57,96.23,1128,0
LHTC.DE,D,20190619,000000,96.06,96.56,95.81,96.56,180,0
LHTC.DE,D,20190620,000000,97.14,97.35,97.14,97.16,0,0
LHTC.DE,D,20190621,000000,97,97,95.77,95.89,1150,0
LHTC.DE,D,20190624,000000,95.81,96.03,95.53,95.78,141,0
LHTC.DE,D,20190625,000000,95.54,96.01,95.54,96.01,200,0
LHTC.DE,D,20190626,000000,95.46,95.59,94.83,94.83,22,0
LHTC.DE,D,20190627,000000,94.81,95.35,94.76,95.35,1802,0
LHTC.DE,D,20190628,000000,95.14,95.86,95.14,95.86,197,0
LHTC.DE,D,20190701,000000,96.58,96.86,96.58,96.83,66,0
LHTC.DE,D,20190702,000000,97.03,97.31,97.02,97.18,1801,0
LHTC.DE,D,20190703,000000,97.62,98.55,97.62,98.21,373,0
LHTC.DE,D,20190704,000000,98.18,98.18,97.59,97.86,100,0
LHTC.DE,D,20190705,000000,97.95,97.95,97.25,97.25,40,0
LHTC.DE,D,20190708,000000,96.62,96.63,96.38,96.56,786,0
LHTC.DE,D,20190709,000000,96.45,96.65,96.41,96.65,624,0
LHTC.DE,D,20190710,000000,96.3,96.69,96.3,96.58,152,0
LHTC.DE,D,20190711,000000,97,97,95.93,95.93,0,0
LHTC.DE,D,20190712,000000,95.64,95.64,94.59,94.63,124,0
LHTC.DE,D,20190715,000000,94.74,95.25,94.59,95.05,975,0
LHTC.DE,D,20190716,000000,95.47,95.74,95.47,95.62,433,0
LHTC.DE,D,20190717,000000,95.65,96.11,95.65,95.9,697,0
