<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIK.DE,D,20190318,000000,102.26,102.26,102.26,102.26,0,0
LIK.DE,D,20190319,000000,102.98,107,102.28,102.28,300,0
LIK.DE,D,20190320,000000,102.72,102.72,102.72,102.72,0,0
LIK.DE,D,20190321,000000,102.74,102.74,102.74,102.74,0,0
LIK.DE,D,20190322,000000,102.76,102.76,102.76,102.76,0,0
LIK.DE,D,20190325,000000,102.76,102.76,102.76,102.76,0,0
LIK.DE,D,20190326,000000,103.02,103.02,103.02,103.02,0,0
LIK.DE,D,20190327,000000,104.78,104.78,103.34,103.34,100,0
LIK.DE,D,20190328,000000,103.34,103.34,103.34,103.34,0,0
LIK.DE,D,20190329,000000,103.34,103.34,103.34,103.34,0,0
LIK.DE,D,20190401,000000,102,103,102,103,100,0
LIK.DE,D,20190402,000000,102,104,102,104,25,0
LIK.DE,D,20190403,000000,104,104,104,104,0,0
LIK.DE,D,20190404,000000,104,104,104,104,0,0
LIK.DE,D,20190405,000000,104,104,104,104,0,0
LIK.DE,D,20190408,000000,104,104,104,104,0,0
LIK.DE,D,20190409,000000,104,104,100,101,251,0
LIK.DE,D,20190410,000000,102,102,102,102,100,0
LIK.DE,D,20190411,000000,102,102,102,102,0,0
LIK.DE,D,20190412,000000,102,102,102,102,0,0
LIK.DE,D,20190415,000000,102,102,102,102,0,0
LIK.DE,D,20190416,000000,101,103,101,103,200,0
LIK.DE,D,20190417,000000,102,104,100,100,112,0
LIK.DE,D,20190418,000000,101,104,101,102,124,0
LIK.DE,D,20190423,000000,102,104,102,102,179,0
LIK.DE,D,20190424,000000,102,102,102,102,10,0
LIK.DE,D,20190425,000000,102,103,102,103,250,0
LIK.DE,D,20190426,000000,101,102,101,102,50,0
LIK.DE,D,20190429,000000,102,102,102,102,19,0
LIK.DE,D,20190430,000000,104,104,104,104,100,0
LIK.DE,D,20190502,000000,104,104,104,104,150,0
LIK.DE,D,20190503,000000,104,104,104,104,200,0
LIK.DE,D,20190506,000000,103,104,103,104,28,0
LIK.DE,D,20190507,000000,105,105,104,104,109,0
LIK.DE,D,20190508,000000,105,105,104,104,50,0
LIK.DE,D,20190509,000000,103,104,103,104,85,0
LIK.DE,D,20190510,000000,104,104,104,104,0,0
LIK.DE,D,20190513,000000,103,103,103,103,40,0
LIK.DE,D,20190514,000000,102,103,102,103,40,0
LIK.DE,D,20190515,000000,103,103,103,103,0,0
LIK.DE,D,20190516,000000,104,104,103,103,30,0
LIK.DE,D,20190517,000000,104,104,103,103,50,0
LIK.DE,D,20190520,000000,103,103,102,102,6,0
LIK.DE,D,20190521,000000,103,103,103,103,0,0
LIK.DE,D,20190522,000000,103,103,103,103,0,0
LIK.DE,D,20190523,000000,103,103,103,103,1,0
LIK.DE,D,20190524,000000,103,103,103,103,0,0
LIK.DE,D,20190527,000000,102,102,99.5,99.5,330,0
LIK.DE,D,20190528,000000,100,100,100,100,44,0
LIK.DE,D,20190529,000000,100,101,100,101,51,0
LIK.DE,D,20190530,000000,101,101,101,101,0,0
LIK.DE,D,20190531,000000,101,101,101,101,0,0
LIK.DE,D,20190603,000000,99.5,99.5,97,99,420,0
LIK.DE,D,20190604,000000,99.5,99.5,99.5,99.5,0,0
LIK.DE,D,20190605,000000,98,98,98,98,200,0
LIK.DE,D,20190606,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190607,000000,98,98,98,98,0,0
LIK.DE,D,20190611,000000,99,99,98,98,38,0
LIK.DE,D,20190612,000000,97,98.5,97,98.5,20,0
LIK.DE,D,20190613,000000,100,100,98.5,98.5,5,0
LIK.DE,D,20190614,000000,98,98,98,98,0,0
LIK.DE,D,20190617,000000,98,98,98,98,0,0
LIK.DE,D,20190618,000000,97,98.5,97,98.5,100,0
LIK.DE,D,20190619,000000,97,98.5,97,98.5,51,0
LIK.DE,D,20190620,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190621,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190624,000000,97,98.5,97,98.5,100,0
LIK.DE,D,20190625,000000,97,98.5,97,98.5,40,0
LIK.DE,D,20190626,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190627,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190628,000000,97,98.5,97,98.5,40,0
LIK.DE,D,20190701,000000,97,98.5,97,98.5,15,0
LIK.DE,D,20190702,000000,97,98.5,97,98.5,60,0
LIK.DE,D,20190703,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190704,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190705,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190708,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190709,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190710,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190711,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190712,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190715,000000,97,98.5,97,98.5,10,0
LIK.DE,D,20190716,000000,98.5,98.5,98.5,98.5,0,0
LIK.DE,D,20190717,000000,97.5,97.5,97.5,97.5,0,0
LIK.DE,D,20190718,000000,96,97,96,97,30,0
LIK.DE,D,20190719,000000,95.5,97,95.5,97,190,0
LIK.DE,D,20190722,000000,95.5,95.5,95,95,400,0
LIK.DE,D,20190723,000000,95.5,95.5,95.5,95.5,0,0
LIK.DE,D,20190724,000000,95,96,95,96,180,0
LIK.DE,D,20190725,000000,96.5,96.5,96.5,96.5,0,0
LIK.DE,D,20190726,000000,96.5,96.5,96.5,96.5,0,0
LIK.DE,D,20190729,000000,96.5,96.5,96.5,96.5,0,0
LIK.DE,D,20190730,000000,96.5,96.5,96.5,96.5,0,0
LIK.DE,D,20190731,000000,96.5,96.5,96.5,96.5,0,0
LIK.DE,D,20190801,000000,96.5,96.5,96.5,96.5,0,0
LIK.DE,D,20190802,000000,95,95,94,94,220,0
LIK.DE,D,20190805,000000,93.5,93.5,93.5,93.5,0,0
LIK.DE,D,20190806,000000,93.5,93.5,93.5,93.5,0,0
LIK.DE,D,20190807,000000,94.5,94.5,94.5,94.5,0,0
LIK.DE,D,20190808,000000,94.5,94.5,94.5,94.5,0,0
LIK.DE,D,20190809,000000,93.5,93.5,93.5,93.5,100,0
LIK.DE,D,20190812,000000,95,95,94.5,94.5,52,0
LIK.DE,D,20190813,000000,94.5,94.5,94.5,94.5,0,0
LIK.DE,D,20190814,000000,94,94,94,94,12,0
LIK.DE,D,20190815,000000,94,96.5,94,96.5,103,0
LIK.DE,D,20190816,000000,95,95,95,95,0,0
LIK.DE,D,20190819,000000,95,95,95,95,0,0
LIK.DE,D,20190820,000000,95,95,95,95,0,0
LIK.DE,D,20190821,000000,95,95,95,95,0,0
LIK.DE,D,20190822,000000,94,94,94,94,0,0
LIK.DE,D,20190823,000000,94,94,94,94,0,0
LIK.DE,D,20190826,000000,94.5,94.5,94.5,94.5,0,0
LIK.DE,D,20190827,000000,94.5,94.5,94.5,94.5,0,0
LIK.DE,D,20190828,000000,94.5,94.5,94.5,94.5,0,0
LIK.DE,D,20190829,000000,94.5,94.5,94.5,94.5,0,0
LIK.DE,D,20190830,000000,94.5,94.5,94.5,94.5,0,0
LIK.DE,D,20190902,000000,94.5,94.5,94.5,94.5,0,0
LIK.DE,D,20190903,000000,93.5,93.5,93.5,93.5,0,0
LIK.DE,D,20190904,000000,93.5,94.5,93.5,94.5,8,0
LIK.DE,D,20190905,000000,93.5,95,93.5,95,42,0
LIK.DE,D,20190906,000000,93,93,93,93,200,0
LIK.DE,D,20190909,000000,94,94,94,94,0,0
LIK.DE,D,20190910,000000,94,94,94,94,0,0
LIK.DE,D,20190911,000000,94,94,94,94,0,0
LIK.DE,D,20190912,000000,92.5,94,92.5,94,100,0
LIK.DE,D,20190913,000000,94.5,94.5,94.5,94.5,0,0
LIK.DE,D,20190916,000000,94,94,94,94,0,0
LIK.DE,D,20190917,000000,94,94,94,94,0,0
LIK.DE,D,20190918,000000,94,94,94,94,0,0
LIK.DE,D,20190919,000000,94,94,94,94,0,0
LIK.DE,D,20190920,000000,94,94,94,94,0,0
LIK.DE,D,20190923,000000,94,94,94,94,0,0
LIK.DE,D,20190924,000000,94,94,94,94,0,0
LIK.DE,D,20190925,000000,94,94,94,94,0,0
LIK.DE,D,20190926,000000,94,94,94,94,0,0
LIK.DE,D,20190927,000000,94,94,94,94,0,0
LIK.DE,D,20190930,000000,94,94,94,94,0,0
LIK.DE,D,20191001,000000,94,94,94,94,0,0
LIK.DE,D,20191002,000000,94,94,94,94,0,0
LIK.DE,D,20191004,000000,94,94,94,94,0,0
LIK.DE,D,20191007,000000,94,94,94,94,0,0
LIK.DE,D,20191008,000000,94,94,94,94,12,0
LIK.DE,D,20191009,000000,93,94.5,93,93.5,102,0
LIK.DE,D,20191010,000000,93.5,93.5,93.5,93.5,0,0
LIK.DE,D,20191011,000000,93.5,93.5,93.5,93.5,0,0
LIK.DE,D,20191014,000000,93.5,93.5,93.5,93.5,0,0
LIK.DE,D,20191015,000000,93.5,93.5,93.5,93.5,0,0
LIK.DE,D,20191016,000000,92.5,93.5,92.5,93.5,100,0
LIK.DE,D,20191017,000000,92,95,92,93.5,65,0
LIK.DE,D,20191018,000000,92,94,92,94,390,0
LIK.DE,D,20191021,000000,92,93.5,92,93.5,240,0
LIK.DE,D,20191022,000000,92.5,92.5,92.5,92.5,20,0
LIK.DE,D,20191023,000000,92,92,92,92,0,0
