<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMIA.DE,D,20210301,000000,5.8,6.031,5.622,5.9,31979,0
LMIA.DE,D,20210302,000000,5.78,5.88,5.7,5.76,4737,0
LMIA.DE,D,20210303,000000,5.72,5.8,5.54,5.72,19878,0
LMIA.DE,D,20210304,000000,5.68,5.68,5.22,5.38,49090,0
LMIA.DE,D,20210305,000000,5.26,5.26,4.92,5.02,21549,0
LMIA.DE,D,20210308,000000,5.2,5.4,5.06,5.4,24877,0
LMIA.DE,D,20210309,000000,5.5,5.54,5.48,5.5,21500,0
LMIA.DE,D,20210310,000000,5.52,5.54,5.2,5.36,7796,0
LMIA.DE,D,20210311,000000,5.4,5.54,5.4,5.46,15773,0
LMIA.DE,D,20210312,000000,5.4,5.48,5.22,5.3,6813,0
LMIA.DE,D,20210315,000000,5.3,5.64,5.3,5.58,40225,0
LMIA.DE,D,20210316,000000,5.56,5.56,5.36,5.52,10567,0
LMIA.DE,D,20210317,000000,5.5,5.56,5.4,5.54,4078,0
LMIA.DE,D,20210318,000000,5.42,5.54,5.16,5.3,47962,0
LMIA.DE,D,20210319,000000,5.28,5.3,5.2,5.28,8729,0
LMIA.DE,D,20210322,000000,5.38,5.4,4.98,5.06,27702,0
LMIA.DE,D,20210326,000000,4.96,5.2,4.82,4.98,8049,0
LMIA.DE,D,20210329,000000,4.88,4.96,4.56,4.75,18472,0
LMIA.DE,D,20210330,000000,4.78,4.98,4.78,4.87,8712,0
LMIA.DE,D,20210331,000000,4.9,4.96,4.78,4.86,5253,0
LMIA.DE,D,20210401,000000,4.95,5.12,4.92,4.96,14008,0
LMIA.DE,D,20210406,000000,5,5,4.81,4.89,25414,0
LMIA.DE,D,20210407,000000,4.98,5.04,4.89,5,12376,0
LMIA.DE,D,20210408,000000,5,5.2,5,5.1,28541,0
LMIA.DE,D,20210409,000000,5.14,5.4,5.1,5.16,35267,0
LMIA.DE,D,20210412,000000,5.2,5.22,5.1,5.18,12356,0
LMIA.DE,D,20210413,000000,5.22,5.24,4.92,5.16,18260,0
LMIA.DE,D,20210414,000000,5.2,5.2,5.1,5.18,2510,0
LMIA.DE,D,20210415,000000,5.24,5.24,5,5.06,19553,0
LMIA.DE,D,20210416,000000,4.93,5.1,4.8,4.93,11444,0
LMIA.DE,D,20210419,000000,4.95,4.95,4.76,4.79,5781,0
LMIA.DE,D,20210420,000000,4.7,4.86,4.46,4.82,47071,0
LMIA.DE,D,20210421,000000,4.8,4.8,4.62,4.74,9254,0
LMIA.DE,D,20210422,000000,4.84,4.84,4.59,4.71,11299,0
LMIA.DE,D,20210423,000000,4.82,4.86,4.78,4.78,5697,0
LMIA.DE,D,20210426,000000,4.82,4.84,4.65,4.75,10292,0
LMIA.DE,D,20210427,000000,4.84,4.84,4.62,4.62,6009,0
LMIA.DE,D,20210428,000000,4.65,4.74,4.29,4.68,12938,0
LMIA.DE,D,20210429,000000,4.73,4.8,4.54,4.54,10015,0
LMIA.DE,D,20210430,000000,4.5,4.56,4.5,4.55,6439,0
LMIA.DE,D,20210503,000000,4.54,4.79,4.54,4.68,10349,0
LMIA.DE,D,20210504,000000,4.56,4.6,4.34,4.39,13935,0
LMIA.DE,D,20210505,000000,4.3,4.52,4.21,4.45,11901,0
LMIA.DE,D,20210506,000000,4.57,4.57,4,4.14,35057,0
LMIA.DE,D,20210507,000000,4.16,4.16,3.9,4.05,18199,0
LMIA.DE,D,20210510,000000,4.05,4.05,3.75,3.92,22590,0
LMIA.DE,D,20210511,000000,3.8,3.8,3.52,3.66,31978,0
LMIA.DE,D,20210512,000000,3.55,3.79,3.14,3.54,49593,0
LMIA.DE,D,20210513,000000,3.19,3.7,2.76,3.35,131499,0
LMIA.DE,D,20210514,000000,3.5,4.2,3.4,3.63,50828,0
LMIA.DE,D,20210517,000000,3.78,3.95,3.41,3.65,20064,0
LMIA.DE,D,20210518,000000,3.5,3.62,3.32,3.56,13780,0
LMIA.DE,D,20210519,000000,3.42,3.55,3.3,3.45,14849,0
LMIA.DE,D,20210520,000000,3.33,3.55,3.3,3.48,10505,0
LMIA.DE,D,20210521,000000,3.9,4.24,3.75,3.86,85216,0
LMIA.DE,D,20210525,000000,4.05,4.5,4.02,4.19,25434,0
LMIA.DE,D,20210526,000000,4.06,4.15,3.92,3.98,3232,0
LMIA.DE,D,20210527,000000,3.9,4.02,3.67,3.86,5615,0
LMIA.DE,D,20210528,000000,4,4.06,3.78,3.87,5402,0
LMIA.DE,D,20210531,000000,3.74,3.75,3.6,3.75,2504,0
LMIA.DE,D,20210601,000000,3.89,3.89,3.51,3.79,4053,0
LMIA.DE,D,20210602,000000,3.75,3.84,3.6,3.8,9997,0
LMIA.DE,D,20210603,000000,3.84,3.84,3.61,3.68,2635,0
LMIA.DE,D,20210604,000000,3.67,3.85,3.67,3.78,4420,0
LMIA.DE,D,20210607,000000,3.85,3.85,3.55,3.63,3940,0
LMIA.DE,D,20210608,000000,3.54,3.8,3.54,3.72,8992,0
LMIA.DE,D,20210609,000000,3.8,4.14,3.8,3.84,23723,0
LMIA.DE,D,20210610,000000,3.74,3.88,3.74,3.88,3498,0
LMIA.DE,D,20210611,000000,3.75,3.88,3.69,3.69,944,0
LMIA.DE,D,20210614,000000,3.84,3.84,3.53,3.65,998,0
LMIA.DE,D,20210615,000000,3.75,3.8,3.48,3.59,28690,0
LMIA.DE,D,20210616,000000,3.6,3.75,3.4,3.4,44736,0
LMIA.DE,D,20210617,000000,3.5,3.74,3.45,3.69,17881,0
LMIA.DE,D,20210618,000000,3.59,3.59,3.49,3.54,3270,0
LMIA.DE,D,20210621,000000,3.54,3.55,3.32,3.5,6594,0
LMIA.DE,D,20210622,000000,3.5,3.5,3.4,3.45,1261,0
LMIA.DE,D,20210623,000000,3.55,3.85,3.55,3.66,13238,0
LMIA.DE,D,20210624,000000,3.6,3.69,3.5,3.6,5495,0
LMIA.DE,D,20210625,000000,3.6,3.69,3.55,3.69,1400,0
LMIA.DE,D,20210628,000000,3.63,3.63,3.44,3.5,3708,0
LMIA.DE,D,20210629,000000,3.42,3.51,3.42,3.44,1017,0
LMIA.DE,D,20210630,000000,3.5,3.54,3.45,3.5,2861,0
LMIA.DE,D,20210701,000000,3.42,3.66,3.42,3.5,4850,0
LMIA.DE,D,20210702,000000,3.6,3.6,3.5,3.59,2865,0
LMIA.DE,D,20210705,000000,3.49,3.58,3.45,3.46,3748,0
LMIA.DE,D,20210706,000000,3.42,3.5,3.42,3.48,3182,0
LMIA.DE,D,20210707,000000,3.53,3.53,3.46,3.5,3926,0
LMIA.DE,D,20210708,000000,3.5,3.5,3.25,3.39,10106,0
LMIA.DE,D,20210709,000000,3.49,3.49,3.29,3.39,5043,0
LMIA.DE,D,20210712,000000,3.39,3.39,3.39,3.39,0,0
LMIA.DE,D,20210713,000000,3.3,3.4,3.27,3.27,7702,0
LMIA.DE,D,20210714,000000,3.3,3.39,3.3,3.35,2170,0
LMIA.DE,D,20210715,000000,3.37,3.37,3.25,3.26,2808,0
LMIA.DE,D,20210716,000000,3.18,3.27,3.18,3.27,4697,0
LMIA.DE,D,20210719,000000,3.15,3.3,2.84,3.02,35721,0
LMIA.DE,D,20210720,000000,3.04,3.07,3,3.05,3150,0
LMIA.DE,D,20210721,000000,3,3.07,2.92,3.07,7587,0
LMIA.DE,D,20210722,000000,3.1,3.14,3.05,3.05,3318,0
LMIA.DE,D,20210723,000000,3.15,3.15,3,3,2641,0
LMIA.DE,D,20210726,000000,2.94,3.1,2.72,2.84,20299,0
LMIA.DE,D,20210727,000000,2.93,2.94,2.8,2.83,7785,0
LMIA.DE,D,20210728,000000,2.75,2.84,2.73,2.78,24073,0
LMIA.DE,D,20210729,000000,2.88,2.95,2.71,2.81,11677,0
LMIA.DE,D,20210730,000000,2.81,2.89,2.7,2.78,4168,0
LMIA.DE,D,20210802,000000,2.88,2.9,2.78,2.78,13816,0
LMIA.DE,D,20210803,000000,2.72,2.84,2.6,2.79,19555,0
LMIA.DE,D,20210804,000000,2.89,2.9,2.73,2.9,20030,0
LMIA.DE,D,20210805,000000,2.9,2.9,2.7,2.75,9960,0
LMIA.DE,D,20210806,000000,2.75,2.8,2.51,2.59,20853,0
LMIA.DE,D,20210809,000000,2.52,2.6,2.44,2.53,11623,0
LMIA.DE,D,20210810,000000,2.63,2.63,2.41,2.51,14931,0
LMIA.DE,D,20210811,000000,2.42,2.8,2.41,2.46,6980,0
LMIA.DE,D,20210812,000000,2.56,2.56,2.41,2.51,4426,0
