<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTUR.DE,D,20190318,000000,29.955,30.295,29.955,30.21,354,0
LTUR.DE,D,20190319,000000,30.01,30.395,30.01,30.225,123,0
LTUR.DE,D,20190320,000000,30.065,30.065,29.595,29.72,6142,0
LTUR.DE,D,20190321,000000,29.915,29.915,29.57,29.73,600,0
LTUR.DE,D,20190322,000000,29.37,29.37,27.495,27.495,14887,0
LTUR.DE,D,20190325,000000,27.79,28.205,27.735,28.14,181,0
LTUR.DE,D,20190326,000000,28.375,28.42,28.03,28.365,123,0
LTUR.DE,D,20190327,000000,28.46,28.46,26.49,26.855,3150,0
LTUR.DE,D,20190328,000000,26.61,26.66,26.29,26.485,4883,0
LTUR.DE,D,20190329,000000,26.61,26.625,26.38,26.625,1145,0
LTUR.DE,D,20190401,000000,26.6,27.705,26.495,27.705,9719,0
LTUR.DE,D,20190402,000000,27.305,27.875,26.955,26.955,1072,0
LTUR.DE,D,20190403,000000,27.29,27.29,27,27.245,664,0
LTUR.DE,D,20190404,000000,27.085,28.98,27.085,28.765,2667,0
LTUR.DE,D,20190405,000000,28.745,28.815,28.46,28.46,4515,0
LTUR.DE,D,20190408,000000,28.41,28.41,27.465,27.465,424,0
LTUR.DE,D,20190409,000000,28.025,28.2,27.715,27.715,8681,0
LTUR.DE,D,20190410,000000,27.84,27.84,27.43,27.43,333,0
LTUR.DE,D,20190411,000000,27.43,27.43,26.84,26.84,85,0
LTUR.DE,D,20190412,000000,26.62,26.925,26.24,26.73,1530,0
LTUR.DE,D,20190415,000000,26.495,26.66,26.185,26.305,677,0
LTUR.DE,D,20190416,000000,26.5,26.785,26.5,26.755,37,0
LTUR.DE,D,20190417,000000,27.055,27.7,27.055,27.49,4146,0
LTUR.DE,D,20190418,000000,27.255,27.255,26.88,27,952,0
LTUR.DE,D,20190423,000000,26.765,26.765,26.5,26.535,14250,0
LTUR.DE,D,20190424,000000,26.51,26.555,26.38,26.39,388,0
LTUR.DE,D,20190425,000000,26.415,26.455,25.745,25.745,2118,0
LTUR.DE,D,20190426,000000,25.68,25.875,25.68,25.815,120,0
LTUR.DE,D,20190429,000000,25.735,25.92,25.7,25.7,230,0
LTUR.DE,D,20190430,000000,25.645,25.845,25.645,25.845,1813,0
LTUR.DE,D,20190502,000000,25.87,25.87,25.305,25.305,13111,0
LTUR.DE,D,20190503,000000,25.445,25.535,25.355,25.405,2837,0
LTUR.DE,D,20190506,000000,24.985,25,24.5,24.93,2742,0
LTUR.DE,D,20190507,000000,23.66,24.015,23.625,23.86,5530,0
LTUR.DE,D,20190508,000000,23.875,23.98,23.57,23.64,2141,0
LTUR.DE,D,20190509,000000,23.735,23.735,22.89,22.89,1686,0
LTUR.DE,D,20190510,000000,23.75,23.805,23.14,23.445,7321,0
LTUR.DE,D,20190513,000000,23.565,23.565,22.545,22.91,12715,0
LTUR.DE,D,20190514,000000,22.94,23.795,22.94,23.79,439,0
LTUR.DE,D,20190515,000000,23.535,23.775,23,23.74,1356,0
LTUR.DE,D,20190516,000000,23.72,23.855,23.605,23.605,330,0
LTUR.DE,D,20190517,000000,23.305,23.64,23.305,23.38,729,0
LTUR.DE,D,20190520,000000,23.37,23.595,23.37,23.555,255,0
LTUR.DE,D,20190521,000000,23.645,23.645,22.98,23.035,355,0
LTUR.DE,D,20190522,000000,22.925,22.925,22.355,22.5,617,0
LTUR.DE,D,20190523,000000,22.33,22.705,22.33,22.67,3243,0
LTUR.DE,D,20190524,000000,22.725,23.17,22.725,23.01,3,0
LTUR.DE,D,20190527,000000,23.25,23.25,22.975,22.975,173,0
LTUR.DE,D,20190528,000000,23.15,23.685,23.15,23.595,14345,0
LTUR.DE,D,20190529,000000,23.585,23.825,23.405,23.805,925,0
LTUR.DE,D,20190530,000000,24.3,25.26,24.3,25.15,8964,0
LTUR.DE,D,20190531,000000,25.065,25.565,24.9,25.565,13756,0
LTUR.DE,D,20190603,000000,25.43,25.43,24.98,25.165,11335,0
LTUR.DE,D,20190604,000000,25.095,25.555,24.96,25.555,5538,0
LTUR.DE,D,20190605,000000,25.355,25.895,25.355,25.54,3057,0
LTUR.DE,D,20190606,000000,25.38,25.415,25.25,25.25,18178,0
LTUR.DE,D,20190607,000000,25,26.255,25,26.175,15131,0
LTUR.DE,D,20190611,000000,26.465,26.6,25.77,25.77,70,0
LTUR.DE,D,20190612,000000,25.925,26.035,25.735,25.885,10110,0
LTUR.DE,D,20190613,000000,25.51,25.51,24.945,24.945,2217,0
