<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LY0.DE,D,20190509,000000,49.55,49.55,47.5,49,61,0
LY0.DE,D,20190510,000000,50,50,48.5,49.1,211,0
LY0.DE,D,20190513,000000,45.3,45.3,43.16,43.7,711,0
LY0.DE,D,20190514,000000,43.4,45,43.4,45,327,0
LY0.DE,D,20190517,000000,50.2,50.2,47.5,47.5,107,0
LY0.DE,D,20190520,000000,48.75,48.75,47.265,48.5,257,0
LY0.DE,D,20190521,000000,48.5,48.5,48.5,48.5,0,0
LY0.DE,D,20190522,000000,48.5,48.5,48.5,48.5,0,0
LY0.DE,D,20190523,000000,52,54,48.98,48.98,436,0
LY0.DE,D,20190527,000000,51.18,51.18,51.18,51.18,0,0
LY0.DE,D,20190528,000000,51.68,51.68,51.68,51.68,62,0
LY0.DE,D,20190529,000000,50.12,50.12,49.375,49.375,50,0
LY0.DE,D,20190530,000000,49.435,49.435,49.435,49.435,0,0
LY0.DE,D,20190603,000000,52.2,52.2,51.04,51.05,127,0
LY0.DE,D,20190604,000000,51.28,51.28,51.28,51.28,135,0
LY0.DE,D,20190605,000000,53.5,53.5,52.91,53,135,0
LY0.DE,D,20190606,000000,56.3,57,54.11,54.11,1167,0
LY0.DE,D,20190607,000000,55.5,55.5,53.57,53.57,298,0
LY0.DE,D,20190611,000000,49.4,53.14,49.4,53.14,334,0
LY0.DE,D,20190612,000000,51.64,51.64,51.64,51.64,0,0
LY0.DE,D,20190613,000000,52.2,52.2,52.2,52.2,0,0
LY0.DE,D,20190614,000000,54.28,54.28,54.28,54.28,0,0
LY0.DE,D,20190617,000000,56.73,56.73,56.73,56.73,0,0
LY0.DE,D,20190618,000000,57.5,57.5,55.9,56.25,25,0
LY0.DE,D,20190619,000000,58.39,58.39,56.81,57.51,90,0
LY0.DE,D,20190620,000000,55.72,56.22,55.72,56.22,11,0
LY0.DE,D,20190621,000000,55.39,56.56,54.8,56.56,52,0
LY0.DE,D,20190624,000000,55.6,57,54.97,55.32,436,0
LY0.DE,D,20190628,000000,57.56,57.56,57.56,57.56,0,0
LY0.DE,D,20190701,000000,59.8,59.8,55.81,55.81,30,0
LY0.DE,D,20190702,000000,59,59,53.89,53.89,234,0
LY0.DE,D,20190703,000000,55.69,55.69,55.69,55.69,22,0
LY0.DE,D,20190705,000000,58,58,52.59,52.59,47,0
LY0.DE,D,20190708,000000,54,54,51.5,53,292,0
LY0.DE,D,20190715,000000,57.5,57.5,55,57.5,91,0
LY0.DE,D,20190716,000000,59,59,58,58,2,0
LY0.DE,D,20190719,000000,60.1,60.1,60.1,60.1,0,0
LY0.DE,D,20190722,000000,57.7,60,57.7,59.23,189,0
LY0.DE,D,20190723,000000,61.9,61.9,61.9,61.9,50,0
LY0.DE,D,20190724,000000,56.94,58.26,56.8,58.26,133,0
LY0.DE,D,20190725,000000,58.5,58.5,57.72,58.05,70,0
LY0.DE,D,20190726,000000,59.21,59.96,59.21,59.96,30,0
LY0.DE,D,20190729,000000,58.04,58.11,58.04,58.11,40,0
LY0.DE,D,20190730,000000,56.06,56.06,55.75,55.75,21,0
LY0.DE,D,20190731,000000,56.22,56.22,56.22,56.22,0,0
LY0.DE,D,20190801,000000,54.97,54.97,54.97,54.97,0,0
