<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LYM8.DE,D,20080118,000000,14.368065,14.368065,14.368065,14.368065,590,0
LYM8.DE,D,20080121,000000,14.174007,14.174007,14.174007,14.174007,110,0
LYM8.DE,D,20080122,000000,13.622882,13.847989,13.374487,13.847989,1000,0
LYM8.DE,D,20080123,000000,13.972186,13.972186,13.58407,13.58407,435,0
LYM8.DE,D,20080124,000000,13.871276,14.01876,13.81694,14.01876,450,0
LYM8.DE,D,20080125,000000,14.080859,14.080859,14.080859,14.080859,200,0
LYM8.DE,D,20080128,000000,14.003235,14.003235,14.003235,14.003235,100,0
LYM8.DE,D,20080129,000000,14.142957,14.329253,14.142957,14.329253,53256,0
LYM8.DE,D,20080130,000000,14.243868,14.282679,14.220581,14.220581,14050,0
LYM8.DE,D,20080131,000000,14.220581,14.554361,14.042047,14.220581,35430,0
LYM8.DE,D,20080201,000000,14.313729,14.437926,14.313729,14.437926,290,0
LYM8.DE,D,20080204,000000,14.437926,14.437926,14.437926,14.437926,290,0
LYM8.DE,D,20080205,000000,14.655271,14.701845,14.655271,14.655271,355,0
LYM8.DE,D,20080206,000000,14.445688,14.500024,14.445688,14.500024,5200,0
LYM8.DE,D,20080207,000000,14.360302,14.360302,14.360302,14.360302,80,0
LYM8.DE,D,20080208,000000,14.329253,14.329253,14.329253,14.329253,297,0
LYM8.DE,D,20080211,000000,14.166244,14.166244,14.166244,14.166244,140,0
LYM8.DE,D,20080212,000000,14.243868,14.500024,14.243868,14.500024,48713,0
LYM8.DE,D,20080213,000000,14.554361,14.647509,14.554361,14.647509,1880,0
LYM8.DE,D,20080214,000000,14.663033,14.740656,14.663033,14.740656,846,0
LYM8.DE,D,20080215,000000,14.694082,14.701845,14.4845,14.4845,30124,0
LYM8.DE,D,20080218,000000,14.437926,14.538836,14.399114,14.538836,14508,0
LYM8.DE,D,20080219,000000,14.538836,14.663033,14.531074,14.663033,10481,0
LYM8.DE,D,20080220,000000,14.45345,14.468975,14.45345,14.468975,703,0
LYM8.DE,D,20080221,000000,14.577648,14.577648,14.577648,14.577648,50,0
LYM8.DE,D,20080222,000000,14.321491,14.360302,14.236105,14.360302,888,0
LYM8.DE,D,20080225,000000,14.554361,14.562123,14.531074,14.554361,349,0
LYM8.DE,D,20080226,000000,14.694082,14.694082,14.515549,14.515549,1220,0
LYM8.DE,D,20080227,000000,14.631984,14.631984,14.593172,14.593172,4600,0
LYM8.DE,D,20080228,000000,14.709607,14.732894,14.593172,14.593172,2160,0
LYM8.DE,D,20080229,000000,14.538836,14.538836,14.507787,14.507787,650,0
LYM8.DE,D,20080303,000000,14.748419,14.748419,14.11967,14.11967,1827,0
LYM8.DE,D,20080304,000000,14.127433,14.127433,14.01876,14.01876,240,0
LYM8.DE,D,20080305,000000,14.088621,14.088621,14.057572,14.057572,125,0
LYM8.DE,D,20080306,000000,14.127433,14.135195,14.088621,14.088621,267,0
LYM8.DE,D,20080307,000000,13.832464,13.832464,13.692742,13.700505,10692,0
LYM8.DE,D,20080310,000000,13.358962,13.358962,13.358962,13.358962,2677,0
LYM8.DE,D,20080312,000000,13.754841,13.754841,13.754841,13.754841,3560,0
LYM8.DE,D,20080314,000000,13.723792,13.723792,13.545258,13.545258,380,0
LYM8.DE,D,20080317,000000,13.258052,13.273577,13.157142,13.258052,1295,0
LYM8.DE,D,20080318,000000,13.273577,13.459873,13.211478,13.459873,495,0
LYM8.DE,D,20080319,000000,13.514209,13.514209,13.413299,13.413299,80,0
LYM8.DE,D,20080320,000000,13.320151,13.320151,13.320151,13.320151,90,0
LYM8.DE,D,20080325,000000,13.490922,13.490922,13.444348,13.45211,24500,0
LYM8.DE,D,20080326,000000,13.436586,13.459873,13.405536,13.45211,116290,0
LYM8.DE,D,20080327,000000,13.490922,13.545258,13.444348,13.521971,8040,0
LYM8.DE,D,20080328,000000,13.545258,13.545258,13.444348,13.490922,1180,0
LYM8.DE,D,20080331,000000,13.390012,13.390012,13.366725,13.366725,160,0
LYM8.DE,D,20080401,000000,13.591832,13.723792,13.591832,13.723792,687,0
LYM8.DE,D,20080402,000000,13.871276,13.871276,13.723792,13.793653,9794,0
LYM8.DE,D,20080403,000000,13.809177,13.91785,13.809177,13.847989,1050,0
LYM8.DE,D,20080404,000000,13.871276,13.871276,13.739316,13.81694,1820,0
LYM8.DE,D,20080407,000000,14.515549,14.515549,13.840227,13.840227,945,0
LYM8.DE,D,20080408,000000,13.700505,13.700505,13.692742,13.692742,800,0
LYM8.DE,D,20080409,000000,13.638406,13.638406,13.521971,13.521971,1415,0
LYM8.DE,D,20080410,000000,13.48316,13.48316,13.428823,13.459873,1697,0
LYM8.DE,D,20080411,000000,13.58407,13.58407,13.498684,13.498684,230,0
LYM8.DE,D,20080414,000000,13.312389,13.312389,13.312389,13.312389,500,0
LYM8.DE,D,20080415,000000,13.289102,13.304626,13.242528,13.25029,4000,0
LYM8.DE,D,20080416,000000,13.382249,13.382249,13.335675,13.3512,330,0
LYM8.DE,D,20080417,000000,13.358962,13.358962,13.327913,13.327913,1117,0
LYM8.DE,D,20080418,000000,13.514209,13.622882,13.514209,13.58407,1630,0
LYM8.DE,D,20080421,000000,13.358962,13.358962,13.358962,13.358962,7872,0
LYM8.DE,D,20080424,000000,13.537496,13.537496,13.537496,13.537496,100,0
LYM8.DE,D,20080425,000000,13.910088,13.972186,13.902325,13.933375,31409,0
LYM8.DE,D,20080428,000000,14.057572,14.073096,13.91785,13.91785,1330,0
LYM8.DE,D,20080429,000000,13.979949,13.979949,13.964424,13.964424,275,0
LYM8.DE,D,20080430,000000,14.01876,14.01876,14.01876,14.01876,120,0
