<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LYP2.DE,D,20200904,000000,186.747712,186.747712,182.339206,182.339206,0,0
LYP2.DE,D,20200907,000000,183.61156,185.271583,183.61156,185.271583,10,0
LYP2.DE,D,20200908,000000,185.51512,185.51512,180.957509,180.957509,0,0
LYP2.DE,D,20200909,000000,179.998274,183.432635,179.998274,183.432635,0,0
LYP2.DE,D,20200910,000000,182.279564,183.606589,182.279564,183.606589,5,0
LYP2.DE,D,20200911,000000,181.454523,181.777581,180.579779,180.579779,584,0
LYP2.DE,D,20200914,000000,182.393877,183.24377,181.911775,183.24377,0,0
LYP2.DE,D,20200915,000000,182.990293,184.307378,182.990293,184.272587,3,0
LYP2.DE,D,20200916,000000,184.237796,184.700018,184.237796,184.521094,31,0
LYP2.DE,D,20200917,000000,179.893901,181.36506,179.893901,181.36506,2,0
LYP2.DE,D,20200918,000000,181.250747,181.449552,179.83426,179.83426,0,0
LYP2.DE,D,20200921,000000,178.611608,178.611608,174.287593,174.287593,0,0
LYP2.DE,D,20200922,000000,177.339254,177.339254,176.732898,176.732898,0,0
LYP2.DE,D,20200923,000000,178.561906,179.357127,177.632492,177.632492,50,0
LYP2.DE,D,20200924,000000,174.014236,175.052994,174.014236,175.052994,0,0
LYP2.DE,D,20200925,000000,175.440664,176.086781,173.840281,176.086781,5,0
LYP2.DE,D,20200928,000000,180.057916,180.639421,180.057916,180.639421,0,0
LYP2.DE,D,20200929,000000,181.027091,181.176195,180.2269,180.2269,0,0
LYP2.DE,D,20200930,000000,179.08874,182.155311,179.024128,182.155311,4,0
LYP2.DE,D,20201001,000000,183.164248,183.204009,182.552922,182.552922,35,0
LYP2.DE,D,20201002,000000,179.82929,180.897868,179.719947,180.897868,0,0
LYP2.DE,D,20201005,000000,182.10561,183.298441,182.10561,183.119517,2,0
LYP2.DE,D,20201006,000000,183.676171,183.969409,183.208979,183.691082,1,0
LYP2.DE,D,20201007,000000,182.239803,183.740783,182.239803,183.740783,0,0
LYP2.DE,D,20201008,000000,185.634403,185.634403,185.082718,185.202002,560,0
