<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LYQ1.DE,D,20190313,000000,181.085,181.18,181.01,181.05,256,0
LYQ1.DE,D,20190314,000000,181.13,181.345,181.13,181.195,107,0
LYQ1.DE,D,20190315,000000,181.345,181.43,181.21,181.26,659,0
LYQ1.DE,D,20190318,000000,181.365,181.67,181.3,181.67,2291,0
LYQ1.DE,D,20190319,000000,181.58,181.65,181.23,181.325,1014,0
LYQ1.DE,D,20190320,000000,181.39,181.435,181.25,181.345,216,0
LYQ1.DE,D,20190321,000000,181.7,182.105,181.7,182.055,902,0
LYQ1.DE,D,20190322,000000,182.04,182.8,181.99,182.75,353,0
LYQ1.DE,D,20190325,000000,182.405,182.555,182.405,182.555,1134,0
LYQ1.DE,D,20190326,000000,182.515,182.635,182.465,182.615,1686,0
LYQ1.DE,D,20190327,000000,182.98,183.26,182.825,183.25,613,0
LYQ1.DE,D,20190328,000000,183.12,183.2,182.89,182.94,364,0
LYQ1.DE,D,20190329,000000,182.95,182.95,182.66,182.875,422,0
LYQ1.DE,D,20190401,000000,182.34,182.52,182.135,182.3,2114,0
LYQ1.DE,D,20190402,000000,182.38,182.54,182.33,182.485,655,0
LYQ1.DE,D,20190403,000000,182.1,182.175,181.875,181.975,456,0
LYQ1.DE,D,20190404,000000,182.01,182.315,181.98,182.295,47,0
LYQ1.DE,D,20190405,000000,182.185,182.55,182.155,182.43,897,0
LYQ1.DE,D,20190408,000000,182.585,182.62,182.445,182.51,3254,0
LYQ1.DE,D,20190409,000000,182.55,182.725,182.55,182.725,432,0
LYQ1.DE,D,20190410,000000,182.87,183.09,182.76,183.02,584,0
LYQ1.DE,D,20190411,000000,182.9,183.16,182.9,183.075,804,0
LYQ1.DE,D,20190412,000000,183.14,183.14,182.445,182.445,1689,0
LYQ1.DE,D,20190415,000000,182.59,182.59,182.11,182.11,903,0
LYQ1.DE,D,20190416,000000,182.11,182.2,181.91,182.035,684,0
LYQ1.DE,D,20190417,000000,181.85,181.915,181.785,181.86,586,0
LYQ1.DE,D,20190418,000000,181.86,182.46,181.86,182.39,1630,0
LYQ1.DE,D,20190423,000000,182.225,182.225,181.9,181.935,664,0
LYQ1.DE,D,20190424,000000,182.11,182.595,182.11,182.54,81,0
LYQ1.DE,D,20190425,000000,182.475,182.48,182.21,182.21,520,0
LYQ1.DE,D,20190426,000000,182.295,182.805,182.295,182.76,182,0
LYQ1.DE,D,20190429,000000,182.805,182.805,182.56,182.685,368,0
LYQ1.DE,D,20190430,000000,182.68,182.85,182.3,182.785,853,0
LYQ1.DE,D,20190502,000000,182.71,183.01,182.71,182.73,1177,0
LYQ1.DE,D,20190503,000000,182.705,182.96,182.68,182.845,231,0
LYQ1.DE,D,20190506,000000,182.99,182.99,182.735,182.865,953,0
LYQ1.DE,D,20190507,000000,182.795,183.185,182.795,183.085,779,0
LYQ1.DE,D,20190508,000000,183.055,183.2,183.055,183.14,1396,0
LYQ1.DE,D,20190509,000000,183.105,183.105,182.82,182.82,2161,0
LYQ1.DE,D,20190510,000000,182.81,182.945,182.74,182.83,689,0
LYQ1.DE,D,20190513,000000,182.725,183.02,182.715,182.955,561,0
LYQ1.DE,D,20190514,000000,182.835,183.035,182.835,182.88,257,0
LYQ1.DE,D,20190515,000000,183.005,183.385,183.005,183.195,1156,0
LYQ1.DE,D,20190516,000000,183.46,183.765,183.39,183.585,13476,0
LYQ1.DE,D,20190517,000000,183.645,183.965,183.645,183.68,13259,0
LYQ1.DE,D,20190520,000000,183.525,183.525,183.255,183.255,205,0
LYQ1.DE,D,20190521,000000,183.155,183.38,183.155,183.185,1709,0
LYQ1.DE,D,20190522,000000,183.4,183.42,183.22,183.395,775,0
LYQ1.DE,D,20190523,000000,183.545,183.68,183.505,183.64,332,0
LYQ1.DE,D,20190524,000000,183.705,183.99,183.705,183.905,224,0
LYQ1.DE,D,20190527,000000,184.01,184.075,183.95,183.95,171,0
LYQ1.DE,D,20190528,000000,183.81,183.995,183.79,183.84,8593,0
LYQ1.DE,D,20190529,000000,184.02,184.42,184,184.42,122,0
LYQ1.DE,D,20190530,000000,184.285,184.525,184.19,184.325,3022,0
LYQ1.DE,D,20190531,000000,184.395,184.825,184.295,184.775,235,0
LYQ1.DE,D,20190603,000000,184.83,185.26,184.83,185.13,1095,0
LYQ1.DE,D,20190604,000000,185.155,185.625,185.155,185.445,128,0
LYQ1.DE,D,20190605,000000,185.695,185.77,185.455,185.75,680,0
LYQ1.DE,D,20190606,000000,186.02,186.2,185.605,186.2,231,0
LYQ1.DE,D,20190607,000000,186.235,187.17,186.235,187.07,1260,0
LYQ1.DE,D,20190611,000000,186.52,186.725,186.46,186.615,988,0
LYQ1.DE,D,20190612,000000,186.5,186.61,186.315,186.315,362,0
LYQ1.DE,D,20190613,000000,186.39,186.605,186.36,186.59,175,0
LYQ1.DE,D,20190614,000000,186.85,187.18,186.85,187.075,208,0
LYQ1.DE,D,20190617,000000,187.31,187.31,186.95,186.95,582,0
LYQ1.DE,D,20190618,000000,187.095,188.67,187.095,188.565,1668,0
LYQ1.DE,D,20190619,000000,188.45,188.45,188.195,188.195,92,0
LYQ1.DE,D,20190620,000000,188.94,188.97,188.68,188.68,972,0
LYQ1.DE,D,20190621,000000,188.58,188.58,188.095,188.095,184,0
LYQ1.DE,D,20190624,000000,188.435,188.52,188.4,188.41,594,0
LYQ1.DE,D,20190625,000000,188.455,188.78,188.445,188.725,234,0
LYQ1.DE,D,20190626,000000,188.67,188.705,188.54,188.545,369,0
LYQ1.DE,D,20190627,000000,188.29,188.76,188.18,188.76,3083,0
LYQ1.DE,D,20190628,000000,188.845,188.935,188.71,188.9,399,0
LYQ1.DE,D,20190701,000000,188.855,189.705,188.855,189.655,700,0
LYQ1.DE,D,20190702,000000,189.85,190.065,189.815,190.065,128,0
LYQ1.DE,D,20190703,000000,190.55,191.35,190.55,191.35,1853,0
LYQ1.DE,D,20190704,000000,191.45,191.475,191.225,191.235,271,0
LYQ1.DE,D,20190705,000000,191.315,191.315,190.255,190.475,797,0
LYQ1.DE,D,20190708,000000,190.85,190.875,190.215,190.215,1025,0
LYQ1.DE,D,20190709,000000,190.135,190.15,190,190.075,365,0
LYQ1.DE,D,20190710,000000,189.555,189.645,189.215,189.625,309,0
LYQ1.DE,D,20190711,000000,189.78,189.815,189.09,189.09,380,0
LYQ1.DE,D,20190712,000000,188.995,189,188.365,188.52,1175,0
LYQ1.DE,D,20190715,000000,188.8,189.45,188.735,189.39,795,0
LYQ1.DE,D,20190716,000000,189.51,190.025,189.51,189.65,564,0
LYQ1.DE,D,20190717,000000,189.925,190.3,189.925,190.11,136,0
LYQ1.DE,D,20190718,000000,190.415,190.68,190.345,190.515,492,0
LYQ1.DE,D,20190719,000000,190.635,190.635,190.45,190.475,168,0
LYQ1.DE,D,20190722,000000,190.33,190.62,190.275,190.45,876,0
LYQ1.DE,D,20190723,000000,190.515,190.71,190.415,190.64,785,0
LYQ1.DE,D,20190724,000000,190.65,191.33,190.65,191.265,561,0
LYQ1.DE,D,20190725,000000,191.41,191.44,190.99,191.025,637,0
LYQ1.DE,D,20190726,000000,191.17,191.17,190.92,191.015,1544,0
LYQ1.DE,D,20190729,000000,191.255,191.385,191.165,191.165,2135,0
LYQ1.DE,D,20190730,000000,191.13,191.18,190.97,191.18,403,0
LYQ1.DE,D,20190731,000000,191.315,191.975,191.3,191.975,64,0
LYQ1.DE,D,20190801,000000,191.7,192.255,191.54,192.01,9820,0
LYQ1.DE,D,20190802,000000,192.245,192.875,192.245,192.77,6389,0
LYQ1.DE,D,20190805,000000,193.585,193.585,192.945,192.945,3917,0
LYQ1.DE,D,20190806,000000,193.25,193.51,193.13,193.435,1811,0
LYQ1.DE,D,20190807,000000,193.745,194.77,193.745,194.455,2871,0
LYQ1.DE,D,20190808,000000,193.88,194.015,193.26,193.51,1338,0
LYQ1.DE,D,20190809,000000,193.28,193.28,192.705,192.705,1548,0
LYQ1.DE,D,20190812,000000,192.975,193.145,192.93,193.145,457,0
LYQ1.DE,D,20190813,000000,193.605,193.805,193.44,193.805,1111,0
LYQ1.DE,D,20190814,000000,194.175,194.34,193.96,194.305,422,0
LYQ1.DE,D,20190815,000000,194.94,196.225,194.625,196.075,2006,0
LYQ1.DE,D,20190816,000000,196.005,196.075,195.415,195.57,682,0
LYQ1.DE,D,20190819,000000,195.89,195.89,194.555,194.785,540,0
LYQ1.DE,D,20190820,000000,194.73,195.48,194.73,195.375,1608,0
LYQ1.DE,D,20190821,000000,195.2,195.34,194.935,195.285,914,0
LYQ1.DE,D,20190822,000000,195.5,195.505,194.54,194.83,297,0
LYQ1.DE,D,20190823,000000,194.74,195.08,194.47,195,730,0
