<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
M7U.DE,D,20201218,000000,34.8,39.2,34.5,37.3,40141,0
M7U.DE,D,20201221,000000,35.5,37.8,35,35.2,3040,0
M7U.DE,D,20201222,000000,35.8,37.4,35.8,36.9,6755,0
M7U.DE,D,20201223,000000,37.3,37.8,36.1,36.1,6476,0
M7U.DE,D,20201228,000000,36.4,37.4,36.4,37,5180,0
M7U.DE,D,20201229,000000,37,37,36.3,36.4,1514,0
M7U.DE,D,20201230,000000,36.5,37,35.9,36.5,2066,0
M7U.DE,D,20210104,000000,36.6,38.8,36.3,37.1,4819,0
M7U.DE,D,20210105,000000,36.5,37.5,35.9,37.2,4323,0
M7U.DE,D,20210106,000000,37.4,37.5,36.8,37.1,3315,0
M7U.DE,D,20210107,000000,37,37,35,36.4,8657,0
M7U.DE,D,20210108,000000,35.6,36.6,35.6,36.5,8002,0
M7U.DE,D,20210111,000000,36.1,36.6,35.5,36.3,1922,0
M7U.DE,D,20210112,000000,35.6,36.7,35.1,35.8,5707,0
M7U.DE,D,20210113,000000,35,35.6,34.6,35.1,5384,0
M7U.DE,D,20210114,000000,35.5,35.6,35,35,767,0
M7U.DE,D,20210115,000000,34.9,35.3,32.1,34.9,11321,0
M7U.DE,D,20210118,000000,33.9,36.4,33.8,34.1,7833,0
M7U.DE,D,20210119,000000,34.3,35.4,34.1,35.4,840,0
M7U.DE,D,20210120,000000,35.9,35.9,34.6,35.1,1067,0
M7U.DE,D,20210121,000000,35.1,36.1,34.7,35.5,7039,0
M7U.DE,D,20210122,000000,35.3,35.3,34.6,35,748,0
M7U.DE,D,20210125,000000,34.7,35.5,34.1,34.3,1328,0
M7U.DE,D,20210126,000000,34.7,34.7,33.3,34.5,4395,0
M7U.DE,D,20210127,000000,34.1,34.5,33.2,33.8,6243,0
M7U.DE,D,20210128,000000,33.6,33.7,33.4,33.4,3415,0
M7U.DE,D,20210129,000000,33.1,34.2,33.1,33.8,1824,0
M7U.DE,D,20210201,000000,33.2,33.6,32.9,33.5,2277,0
M7U.DE,D,20210202,000000,33.4,33.5,32.9,32.9,2211,0
M7U.DE,D,20210203,000000,32.9,33.9,32.7,33.8,2401,0
M7U.DE,D,20210204,000000,33.8,33.9,33.5,33.5,1410,0
M7U.DE,D,20210205,000000,33.9,34,33.3,33.9,583,0
M7U.DE,D,20210208,000000,34,34,33.4,33.4,1592,0
M7U.DE,D,20210209,000000,33,33.8,32.7,33.5,3568,0
M7U.DE,D,20210210,000000,33.3,33.9,33.2,33.9,1678,0
M7U.DE,D,20210211,000000,34.3,36.6,34.3,36.6,5576,0
M7U.DE,D,20210212,000000,37,37.2,36.4,36.4,13990,0
M7U.DE,D,20210215,000000,36.9,37.4,36.5,37,3553,0
M7U.DE,D,20210216,000000,37.3,38.5,37.3,37.9,11430,0
M7U.DE,D,20210217,000000,38.1,38.2,37,37.2,5361,0
M7U.DE,D,20210218,000000,37.1,37.1,35.1,35.5,3044,0
M7U.DE,D,20210219,000000,34.9,36.7,34.5,36.7,3583,0
M7U.DE,D,20210222,000000,37,37,36.1,36.1,413,0
M7U.DE,D,20210223,000000,35.5,35.5,33.5,34.1,8063,0
M7U.DE,D,20210224,000000,34.4,37.6,34.2,37.4,10898,0
M7U.DE,D,20210225,000000,38.4,40,38.3,38.8,7369,0
M7U.DE,D,20210226,000000,35.8,37.3,35.4,37.3,4695,0
M7U.DE,D,20210301,000000,37.6,38.1,37.6,38,7041,0
M7U.DE,D,20210302,000000,38,40,38,39.2,2022,0
M7U.DE,D,20210303,000000,39.8,40,38.9,39.1,2048,0
M7U.DE,D,20210304,000000,39.7,40,39.1,39.5,3194,0
M7U.DE,D,20210305,000000,38.7,38.7,34.9,36.7,21827,0
M7U.DE,D,20210308,000000,36.7,36.7,36,36.5,3951,0
M7U.DE,D,20210309,000000,36.8,41,36.8,39.9,16617,0
M7U.DE,D,20210310,000000,39.9,40,39.1,39.1,4884,0
M7U.DE,D,20210311,000000,39.7,39.8,37.9,37.9,3558,0
M7U.DE,D,20210312,000000,37.6,37.9,37.3,37.7,1125,0
M7U.DE,D,20210315,000000,38.3,38.5,37.2,38,2558,0
M7U.DE,D,20210316,000000,38,38,37.3,37.9,3072,0
M7U.DE,D,20210317,000000,37.8,38.5,36.8,37,8769,0
M7U.DE,D,20210318,000000,37.4,37.6,37,37.5,3596,0
M7U.DE,D,20210319,000000,37,37,36.5,36.7,2422,0
M7U.DE,D,20210322,000000,36.1,36.9,36.1,36.3,1575,0
M7U.DE,D,20210323,000000,36.9,37.5,36.8,37.5,2484,0
M7U.DE,D,20210324,000000,36.6,37,36.6,37,763,0
M7U.DE,D,20210325,000000,37,37.4,36,36.7,5078,0
M7U.DE,D,20210326,000000,37,37.2,36.2,37,1592,0
M7U.DE,D,20210329,000000,37.1,37.1,35.8,35.8,1035,0
M7U.DE,D,20210330,000000,36.2,36.7,36.1,36.2,2343,0
M7U.DE,D,20210331,000000,36.1,36.3,35.9,36.3,1050,0
