<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAK.DE,D,20070102,000000,1.19,1.19,1.19,1.19,1500,0
MAK.DE,D,20070103,000000,1.11,1.2,1.11,1.18,28800,0
MAK.DE,D,20070104,000000,1.12,1.2,1.12,1.2,17450,0
MAK.DE,D,20070105,000000,1.11,1.17,1.11,1.17,100,0
MAK.DE,D,20070108,000000,1.21,1.21,1.15,1.18,3255,0
MAK.DE,D,20070109,000000,1.15,1.18,1.11,1.18,5045,0
MAK.DE,D,20070110,000000,1.16,1.19,1.14,1.14,24572,0
MAK.DE,D,20070115,000000,1.19,1.19,1.16,1.17,3625,0
MAK.DE,D,20070116,000000,1.15,1.19,1.14,1.14,5600,0
MAK.DE,D,20070117,000000,1.18,1.2,1.14,1.19,28186,0
MAK.DE,D,20070118,000000,1.19,1.22,1.18,1.21,18300,0
MAK.DE,D,20070119,000000,1.21,1.25,1.17,1.18,85584,0
MAK.DE,D,20070122,000000,1.24,1.24,1.14,1.19,5780,0
MAK.DE,D,20070123,000000,1.24,1.24,1.14,1.18,8781,0
MAK.DE,D,20070124,000000,1.18,1.18,1.18,1.18,0,0
MAK.DE,D,20070125,000000,1.21,1.21,1.18,1.19,5477,0
MAK.DE,D,20070126,000000,1.21,1.58,1.17,1.5,506168,0
MAK.DE,D,20070129,000000,1.59,1.65,1.51,1.51,125851,0
MAK.DE,D,20070130,000000,1.5,1.54,1.42,1.5,67270,0
MAK.DE,D,20070131,000000,1.45,1.5,1.41,1.48,3000,0
MAK.DE,D,20070201,000000,1.45,1.5,1.45,1.49,11350,0
MAK.DE,D,20070202,000000,1.5,1.55,1.46,1.54,7949,0
MAK.DE,D,20070205,000000,1.5,1.5,1.47,1.49,8711,0
MAK.DE,D,20070206,000000,1.47,1.47,1.47,1.47,390,0
MAK.DE,D,20070207,000000,1.43,1.48,1.39,1.48,3647,0
MAK.DE,D,20070208,000000,1.49,1.5,1.45,1.48,21049,0
MAK.DE,D,20070209,000000,1.46,1.49,1.43,1.47,22100,0
MAK.DE,D,20070212,000000,1.48,1.48,1.39,1.47,7300,0
MAK.DE,D,20070213,000000,1.47,1.47,1.46,1.46,130,0
MAK.DE,D,20070214,000000,1.43,1.47,1.43,1.47,1743,0
MAK.DE,D,20070215,000000,1.42,1.47,1.42,1.47,4100,0
MAK.DE,D,20070216,000000,1.41,1.46,1.41,1.46,1847,0
MAK.DE,D,20070219,000000,1.41,1.47,1.38,1.43,11437,0
MAK.DE,D,20070220,000000,1.43,1.44,1.41,1.44,4997,0
MAK.DE,D,20070221,000000,1.41,1.44,1.37,1.44,35100,0
MAK.DE,D,20070222,000000,1.46,1.48,1.46,1.48,8000,0
MAK.DE,D,20070226,000000,1.5,1.5,1.41,1.46,8574,0
MAK.DE,D,20070227,000000,1.5,1.5,1.42,1.48,21970,0
MAK.DE,D,20070228,000000,1.41,1.48,1.35,1.39,18391,0
MAK.DE,D,20070301,000000,1.45,1.45,1.45,1.45,400,0
MAK.DE,D,20070302,000000,1.39,1.39,1.33,1.38,7601,0
MAK.DE,D,20070305,000000,1.32,1.38,1.31,1.38,4032,0
MAK.DE,D,20070306,000000,1.31,1.38,1.31,1.38,4550,0
MAK.DE,D,20070307,000000,1.35,1.39,1.34,1.37,4300,0
MAK.DE,D,20070308,000000,1.38,1.6,1.38,1.56,121313,0
MAK.DE,D,20070309,000000,1.59,1.59,1.39,1.5,13950,0
MAK.DE,D,20070312,000000,1.44,1.49,1.43,1.49,4800,0
MAK.DE,D,20070313,000000,1.45,1.48,1.41,1.47,7202,0
MAK.DE,D,20070314,000000,1.4,1.47,1.34,1.38,30110,0
MAK.DE,D,20070315,000000,1.5,1.53,1.49,1.53,7919,0
MAK.DE,D,20070316,000000,1.45,1.51,1.45,1.51,2000,0
MAK.DE,D,20070319,000000,1.45,1.49,1.45,1.49,2100,0
MAK.DE,D,20070320,000000,1.54,1.89,1.52,1.75,43609,0
MAK.DE,D,20070321,000000,1.67,1.78,1.67,1.78,17715,0
MAK.DE,D,20070322,000000,1.78,1.78,1.72,1.75,9100,0
MAK.DE,D,20070323,000000,1.87,1.96,1.82,1.89,88051,0
MAK.DE,D,20070326,000000,1.95,1.95,1.79,1.88,34817,0
MAK.DE,D,20070327,000000,1.95,1.95,1.8,1.92,16381,0
MAK.DE,D,20070328,000000,1.87,1.95,1.82,1.91,9062,0
MAK.DE,D,20070329,000000,1.91,1.91,1.78,1.83,4938,0
MAK.DE,D,20070330,000000,1.9,1.9,1.8,1.9,1822,0
MAK.DE,D,20070402,000000,1.82,1.87,1.79,1.87,24378,0
MAK.DE,D,20070403,000000,1.84,1.94,1.84,1.9,6143,0
MAK.DE,D,20070404,000000,1.89,1.89,1.89,1.89,2444,0
MAK.DE,D,20070405,000000,1.84,1.89,1.82,1.89,3876,0
MAK.DE,D,20070410,000000,1.85,1.9,1.79,1.88,10680,0
MAK.DE,D,20070411,000000,1.8,1.9,1.78,1.85,22860,0
MAK.DE,D,20070412,000000,1.89,1.89,1.77,1.85,400,0
MAK.DE,D,20070413,000000,1.77,1.85,1.77,1.85,600,0
MAK.DE,D,20070416,000000,1.77,1.84,1.77,1.83,1440,0
MAK.DE,D,20070417,000000,1.86,1.86,1.77,1.82,22125,0
MAK.DE,D,20070418,000000,1.82,1.9,1.8,1.87,48100,0
MAK.DE,D,20070419,000000,1.89,1.89,1.78,1.88,6200,0
MAK.DE,D,20070420,000000,1.8,1.9,1.8,1.9,8850,0
MAK.DE,D,20070423,000000,1.9,1.9,1.9,1.9,1300,0
MAK.DE,D,20070424,000000,1.9,1.9,1.77,1.88,8500,0
MAK.DE,D,20070425,000000,1.8,1.87,1.67,1.81,27844,0
MAK.DE,D,20070426,000000,1.83,1.83,1.83,1.83,2100,0
MAK.DE,D,20070427,000000,1.83,2.1,1.83,2.04,22886,0
MAK.DE,D,20070430,000000,2.03,2.06,1.92,1.99,16925,0
MAK.DE,D,20070502,000000,1.98,1.98,1.9,1.95,4470,0
