<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDO.DE,D,20201218,000000,176,176.5,174.5,175.12,2141,0
MDO.DE,D,20201221,000000,176.18,176.18,170.9,172.86,7264,0
MDO.DE,D,20201222,000000,173.78,174.12,172.34,174.06,1732,0
MDO.DE,D,20201223,000000,174,174.34,173.5,174.06,3662,0
MDO.DE,D,20201228,000000,173.5,175.82,173.24,175.34,3304,0
MDO.DE,D,20201229,000000,175.9,176.16,173.82,173.84,3542,0
MDO.DE,D,20201230,000000,173.62,174.68,173.52,173.52,2020,0
MDO.DE,D,20210104,000000,177.2,177.2,169.86,170.5,5471,0
MDO.DE,D,20210105,000000,172.34,172.54,170.94,171.42,1621,0
MDO.DE,D,20210106,000000,171.48,171.98,170.7,171.88,2480,0
MDO.DE,D,20210107,000000,172.8,174.14,172,172.92,19192,0
MDO.DE,D,20210108,000000,174.4,175.5,172.94,174.92,4772,0
MDO.DE,D,20210111,000000,177.5,177.62,174.92,176.7,1756,0
MDO.DE,D,20210112,000000,176.3,176.8,173.88,173.9,1011,0
MDO.DE,D,20210113,000000,174.6,174.6,173.38,174.32,519,0
MDO.DE,D,20210114,000000,174.5,175.82,173.56,173.66,1856,0
MDO.DE,D,20210115,000000,172.48,173.32,170,172.98,2450,0
MDO.DE,D,20210118,000000,173,174.42,173,174.42,926,0
MDO.DE,D,20210119,000000,174.7,175,171.5,172,2852,0
MDO.DE,D,20210120,000000,173,174.9,172.54,174.72,1931,0
MDO.DE,D,20210121,000000,176.66,177.52,175.4,175.86,3810,0
MDO.DE,D,20210122,000000,175.5,175.5,173.6,175,8944,0
MDO.DE,D,20210125,000000,176.48,176.5,173.44,173.44,4407,0
MDO.DE,D,20210126,000000,175.4,176.04,174.5,175.92,3384,0
MDO.DE,D,20210127,000000,177.4,177.4,173.24,173.24,3941,0
MDO.DE,D,20210128,000000,172.8,173.2,168.28,171.04,16206,0
