<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MED.DE,D,20070102,000000,4.053907,4.053907,4.053907,4.053907,33,0
MED.DE,D,20070103,000000,4.053907,4.053907,3.932756,3.932756,148,0
MED.DE,D,20070104,000000,3.783646,3.951394,3.783646,3.914117,4207,0
MED.DE,D,20070105,000000,3.914117,4.100503,3.914117,3.997991,30151,0
MED.DE,D,20070108,000000,4.072546,4.072546,3.811604,3.811604,4480,0
MED.DE,D,20070109,000000,3.904798,3.979352,3.904798,3.960714,5746,0
MED.DE,D,20070110,000000,3.960714,3.960714,3.811604,3.86752,49369,0
MED.DE,D,20070115,000000,3.802285,3.86752,3.802285,3.86752,15069,0
MED.DE,D,20070116,000000,3.73705,3.914117,3.73705,3.86752,23971,0
MED.DE,D,20070117,000000,3.792966,4.00731,3.792966,3.988672,5701,0
MED.DE,D,20070118,000000,3.960714,4.053907,3.914117,3.914117,5495,0
MED.DE,D,20070119,000000,3.848882,4.044588,3.839562,3.932756,3300,0
MED.DE,D,20070122,000000,3.830243,3.932756,3.765008,3.886159,68743,0
MED.DE,D,20070123,000000,3.830243,4.00731,3.802285,3.960714,38740,0
MED.DE,D,20070124,000000,3.87684,3.87684,3.802285,3.86752,4050,0
MED.DE,D,20070125,000000,3.802285,3.997991,3.774327,3.86752,29820,0
MED.DE,D,20070126,000000,3.86752,4.00731,3.86752,4.00731,2280,0
MED.DE,D,20070129,000000,4.00731,4.00731,3.87684,3.914117,2745,0
MED.DE,D,20070130,000000,3.914117,3.932756,3.86752,3.86752,2300,0
MED.DE,D,20070131,000000,3.904798,3.914117,3.904798,3.914117,450,0
MED.DE,D,20070201,000000,3.914117,4.165739,3.820924,4.100503,29006,0
MED.DE,D,20070202,000000,4.00731,4.053907,3.914117,4.053907,4290,0
MED.DE,D,20070205,000000,3.839562,3.997991,3.839562,3.951394,3210,0
MED.DE,D,20070206,000000,3.904798,4.00731,3.86752,3.932756,6250,0
MED.DE,D,20070207,000000,3.932756,4.00731,3.932756,4.00731,1000,0
MED.DE,D,20070208,000000,3.895478,4.00731,3.895478,3.997991,290,0
MED.DE,D,20070209,000000,4.00731,4.053907,3.820924,3.820924,20461,0
MED.DE,D,20070212,000000,3.86752,4.044588,3.86752,4.044588,1515,0
MED.DE,D,20070213,000000,3.914117,4.100503,3.914117,4.00731,24580,0
MED.DE,D,20070214,000000,3.932756,3.932756,3.932756,3.932756,600,0
MED.DE,D,20070215,000000,3.914117,3.914117,3.914117,3.914117,839,0
MED.DE,D,20070216,000000,3.914117,3.914117,3.914117,3.914117,0,0
MED.DE,D,20070219,000000,3.87684,3.87684,3.87684,3.87684,470,0
MED.DE,D,20070220,000000,3.960714,3.960714,3.960714,3.960714,10,0
MED.DE,D,20070221,000000,4.072546,4.072546,3.86752,3.914117,1458,0
MED.DE,D,20070222,000000,3.932756,3.960714,3.830243,3.830243,1906,0
MED.DE,D,20070226,000000,3.923436,3.923436,3.87684,3.914117,2190,0
MED.DE,D,20070227,000000,3.997991,4.100503,3.886159,4.00731,34526,0
MED.DE,D,20070228,000000,3.886159,4.00731,3.820924,3.960714,19444,0
MED.DE,D,20070301,000000,3.970033,3.970033,3.895478,3.914117,5560,0
MED.DE,D,20070302,000000,4.00731,4.00731,3.820924,3.86752,3158,0
MED.DE,D,20070305,000000,3.820924,3.914117,3.755688,3.86752,21547,0
MED.DE,D,20070306,000000,3.86752,3.960714,3.86752,3.951394,8875,0
MED.DE,D,20070307,000000,3.86752,3.923436,3.820924,3.914117,10279,0
MED.DE,D,20070308,000000,3.951394,3.951394,3.839562,3.839562,2354,0
MED.DE,D,20070309,000000,3.830243,3.886159,3.653176,3.73705,53306,0
MED.DE,D,20070312,000000,3.72773,3.774327,3.72773,3.774327,2400,0
MED.DE,D,20070313,000000,3.839562,3.86752,3.820924,3.820924,11500,0
MED.DE,D,20070314,000000,3.653176,3.820924,3.653176,3.820924,12350,0
MED.DE,D,20070315,000000,3.830243,3.830243,3.830243,3.830243,1100,0
MED.DE,D,20070316,000000,3.830243,3.830243,3.830243,3.830243,0,0
MED.DE,D,20070319,000000,3.820924,3.820924,3.820924,3.820924,17900,0
MED.DE,D,20070320,000000,3.86752,3.988672,3.86752,3.988672,20119,0
MED.DE,D,20070321,000000,4.00731,4.00731,3.774327,3.820924,14856,0
MED.DE,D,20070322,000000,3.914117,3.960714,3.811604,3.914117,15592,0
MED.DE,D,20070323,000000,3.802285,3.802285,3.802285,3.802285,250,0
MED.DE,D,20070326,000000,3.792966,3.960714,3.792966,3.839562,29530,0
MED.DE,D,20070327,000000,3.86752,3.988672,3.839562,3.988672,54111,0
MED.DE,D,20070328,000000,3.960714,3.988672,3.914117,3.914117,4790,0
MED.DE,D,20070329,000000,3.914117,4.100503,3.914117,4.100503,134324,0
MED.DE,D,20070330,000000,4.100503,4.100503,4.00731,4.00731,1700,0
MED.DE,D,20070402,000000,4.081865,4.081865,3.895478,3.895478,1197,0
MED.DE,D,20070403,000000,3.830243,3.830243,3.830243,3.830243,50,0
MED.DE,D,20070404,000000,3.960714,4.100503,3.820924,4.091184,60309,0
MED.DE,D,20070405,000000,4.035268,4.277571,4.035268,4.277571,8749,0
MED.DE,D,20070410,000000,4.240293,4.240293,4.100503,4.175058,4580,0
MED.DE,D,20070411,000000,4.240293,4.249613,4.230974,4.249613,3989,0
MED.DE,D,20070412,000000,4.193697,4.268251,4.119142,4.119142,6000,0
MED.DE,D,20070413,000000,4.119142,4.212335,4.119142,4.212335,1050,0
MED.DE,D,20070416,000000,4.119142,4.268251,4.119142,4.268251,35810,0
MED.DE,D,20070417,000000,4.268251,4.380083,4.212335,4.268251,57733,0
MED.DE,D,20070418,000000,4.380083,4.519873,4.28689,4.519873,73040,0
MED.DE,D,20070419,000000,4.519873,4.519873,4.519873,4.519873,6500,0
MED.DE,D,20070420,000000,4.454638,4.473277,4.454638,4.473277,1300,0
MED.DE,D,20070423,000000,4.380083,4.56647,4.380083,4.473277,21500,0
MED.DE,D,20070424,000000,4.473277,4.473277,4.42668,4.42668,11900,0
MED.DE,D,20070425,000000,4.42668,4.56647,4.42668,4.56647,8703,0
MED.DE,D,20070426,000000,4.501235,4.501235,4.314848,4.324167,9111,0
MED.DE,D,20070427,000000,4.324167,4.324167,4.324167,4.324167,0,0
MED.DE,D,20070430,000000,4.463957,4.56647,4.333487,4.370764,13125,0
MED.DE,D,20070502,000000,4.463957,4.463957,4.463957,4.463957,1000,0
MED.DE,D,20070503,000000,4.342806,4.342806,4.249613,4.249613,3700,0
MED.DE,D,20070504,000000,4.193697,4.193697,4.156419,4.156419,1620,0
MED.DE,D,20070507,000000,4.221655,4.221655,4.1471,4.1471,9030,0
MED.DE,D,20070508,000000,4.165739,4.165739,4.165739,4.165739,300,0
MED.DE,D,20070509,000000,4.165739,4.258932,4.1471,4.193697,11700,0
MED.DE,D,20070510,000000,4.193697,4.277571,4.193697,4.277571,3500,0
MED.DE,D,20070511,000000,4.203016,4.203016,4.193697,4.193697,7300,0
MED.DE,D,20070514,000000,4.240293,4.240293,4.240293,4.240293,375,0
MED.DE,D,20070515,000000,4.193697,4.249613,4.156419,4.249613,15365,0
MED.DE,D,20070516,000000,4.240293,4.333487,4.240293,4.333487,3200,0
MED.DE,D,20070517,000000,4.28689,4.28689,4.28689,4.28689,600,0
MED.DE,D,20070518,000000,4.380083,4.380083,4.314848,4.314848,7957,0
MED.DE,D,20070521,000000,4.333487,4.42668,4.333487,4.42668,8000,0
MED.DE,D,20070522,000000,4.501235,4.529192,4.361445,4.361445,9520,0
MED.DE,D,20070523,000000,4.454638,4.454638,4.42668,4.42668,3300,0
MED.DE,D,20070524,000000,4.380083,4.380083,4.380083,4.380083,9150,0
MED.DE,D,20070525,000000,4.380083,4.380083,4.28689,4.28689,5000,0
MED.DE,D,20070528,000000,4.380083,4.380083,4.28689,4.28689,5000,0
MED.DE,D,20070529,000000,4.398722,4.398722,4.268251,4.268251,6500,0
MED.DE,D,20070530,000000,4.268251,4.370764,4.268251,4.370764,2200,0
MED.DE,D,20070531,000000,4.268251,4.268251,4.268251,4.268251,1300,0
MED.DE,D,20070601,000000,4.28689,4.28689,4.268251,4.268251,8360,0
MED.DE,D,20070604,000000,4.165739,4.230974,4.165739,4.165739,1606,0
MED.DE,D,20070605,000000,4.156419,4.28689,4.1471,4.28689,15789,0
MED.DE,D,20070606,000000,4.193697,4.240293,4.156419,4.156419,6394,0
MED.DE,D,20070607,000000,4.193697,4.193697,4.193697,4.193697,500,0
MED.DE,D,20070608,000000,4.156419,4.156419,4.156419,4.156419,2000,0
MED.DE,D,20070611,000000,4.1471,4.1471,4.1471,4.1471,1050,0
MED.DE,D,20070612,000000,4.1471,4.1471,3.997991,4.1471,206115,0
MED.DE,D,20070613,000000,4.063226,4.063226,4.063226,4.063226,1000,0
MED.DE,D,20070614,000000,4.053907,4.053907,4.053907,4.053907,1460,0
MED.DE,D,20070615,000000,4.053907,4.053907,4.053907,4.053907,9000,0
MED.DE,D,20070618,000000,4.091184,4.091184,4.053907,4.053907,5400,0
MED.DE,D,20070619,000000,4.053907,4.053907,4.053907,4.053907,100,0
MED.DE,D,20070620,000000,4.053907,4.100503,4.053907,4.053907,6726,0
MED.DE,D,20070621,000000,4.053907,4.1471,4.053907,4.053907,11650,0
MED.DE,D,20070622,000000,4.053907,4.072546,4.00731,4.072546,2035,0
MED.DE,D,20070625,000000,4.035268,4.091184,3.914117,4.091184,2500,0
MED.DE,D,20070628,000000,4.00731,4.00731,3.960714,3.960714,4020,0
MED.DE,D,20070629,000000,3.960714,3.960714,3.960714,3.960714,0,0
MED.DE,D,20070702,000000,4.035268,4.035268,4.035268,4.035268,25,0
MED.DE,D,20070703,000000,4.091184,4.091184,4.01663,4.01663,912,0
MED.DE,D,20070704,000000,4.01663,4.01663,4.01663,4.01663,0,0
MED.DE,D,20070705,000000,4.091184,4.091184,4.091184,4.091184,288,0
MED.DE,D,20070706,000000,3.997991,3.997991,3.960714,3.960714,850,0
MED.DE,D,20070709,000000,3.914117,3.914117,3.914117,3.914117,2977,0
MED.DE,D,20070710,000000,3.960714,4.01663,3.960714,3.970033,4366,0
MED.DE,D,20070711,000000,3.932756,4.053907,3.914117,4.053907,9250,0
MED.DE,D,20070712,000000,3.970033,3.970033,3.960714,3.960714,1666,0
MED.DE,D,20070713,000000,3.914117,4.00731,3.914117,3.970033,2600,0
MED.DE,D,20070716,000000,4.00731,4.063226,3.904798,3.914117,12600,0
MED.DE,D,20070717,000000,3.86752,3.86752,3.86752,3.86752,41900,0
MED.DE,D,20070718,000000,3.858201,3.858201,3.839562,3.839562,1705,0
MED.DE,D,20070719,000000,3.86752,3.86752,3.86752,3.86752,75000,0
MED.DE,D,20070720,000000,3.820924,3.820924,3.820924,3.820924,465,0
MED.DE,D,20070723,000000,3.820924,3.830243,3.820924,3.830243,1500,0
MED.DE,D,20070724,000000,3.802285,3.802285,3.792966,3.792966,266,0
MED.DE,D,20070725,000000,3.802285,3.802285,3.792966,3.792966,4860,0
MED.DE,D,20070726,000000,3.792966,3.792966,3.792966,3.792966,0,0
MED.DE,D,20070727,000000,3.792966,3.820924,3.774327,3.774327,11227,0
MED.DE,D,20070730,000000,3.774327,3.774327,3.448151,3.587941,34535,0
MED.DE,D,20070731,000000,3.681134,3.681134,3.541344,3.541344,15235,0
MED.DE,D,20070801,000000,3.541344,3.550663,3.429512,3.550663,74798,0
MED.DE,D,20070802,000000,3.550663,3.550663,3.550663,3.550663,550,0
MED.DE,D,20070803,000000,3.550663,3.550663,3.550663,3.550663,0,0
MED.DE,D,20070806,000000,3.448151,3.448151,3.326999,3.382915,12092,0
MED.DE,D,20070807,000000,3.261764,3.261764,3.028781,3.243125,71481,0
MED.DE,D,20070808,000000,3.289722,3.513386,3.289722,3.513386,2550,0
MED.DE,D,20070809,000000,3.448151,3.448151,3.345638,3.364277,14090,0
MED.DE,D,20070810,000000,3.308361,3.31768,3.261764,3.261764,25628,0
MED.DE,D,20070813,000000,3.373596,3.373596,3.373596,3.373596,1650,0
MED.DE,D,20070814,000000,3.280403,3.308361,3.280403,3.308361,1750,0
MED.DE,D,20070815,000000,3.308361,3.420193,3.308361,3.336319,2200,0
MED.DE,D,20070816,000000,3.261764,3.308361,3.121974,3.121974,30380,0
