<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOH.DE,D,20201218,000000,501.4,504.7,497.7,500.3,1160,0
MOH.DE,D,20201221,000000,490.35,492.9,484.35,490.75,3918,0
MOH.DE,D,20201222,000000,493.95,496.25,489.2,492.25,1439,0
MOH.DE,D,20201223,000000,492.45,496.95,490.55,496.45,1652,0
MOH.DE,D,20201228,000000,499.1,506.2,497.55,504.7,2175,0
MOH.DE,D,20201229,000000,508.3,514.6,508.2,513.4,2305,0
MOH.DE,D,20201230,000000,514.4,516.6,513.4,514.5,1867,0
MOH.DE,D,20210104,000000,517,517.9,510,511.2,1788,0
MOH.DE,D,20210105,000000,513.6,515.8,503.5,505.7,1570,0
MOH.DE,D,20210106,000000,512.2,512.2,499.75,502.1,1527,0
MOH.DE,D,20210107,000000,502.8,517.9,501.8,514.9,1381,0
MOH.DE,D,20210108,000000,522.1,524.9,516.9,524.9,853,0
MOH.DE,D,20210111,000000,525,525,518.2,522,1527,0
MOH.DE,D,20210112,000000,521.2,521.6,514.2,515.1,673,0
MOH.DE,D,20210113,000000,518,520,510.6,511.5,1203,0
MOH.DE,D,20210114,000000,514,514.2,508.2,508.2,1366,0
MOH.DE,D,20210115,000000,508,508,492.7,494.4,1945,0
MOH.DE,D,20210118,000000,498.45,502.7,498.35,502.7,1812,0
MOH.DE,D,20210119,000000,501.3,501.3,489.3,491.45,3208,0
MOH.DE,D,20210120,000000,495.3,507.6,494.55,507.6,811,0
MOH.DE,D,20210121,000000,510.8,512.3,506.9,506.9,1348,0
MOH.DE,D,20210122,000000,509.8,512.2,504.5,511.3,1019,0
MOH.DE,D,20210125,000000,512,514.3,501.6,501.6,2179,0
MOH.DE,D,20210126,000000,503.3,513.4,503.1,510,2240,0
MOH.DE,D,20210127,000000,514.2,517.2,495.3,505.9,3971,0
MOH.DE,D,20210128,000000,500.5,517.1,500.3,516.6,2338,0
MOH.DE,D,20210129,000000,508,510.1,498,498,1346,0
MOH.DE,D,20210201,000000,503,509.5,503,508.4,1157,0
MOH.DE,D,20210202,000000,516.4,525,516.4,525,2678,0
MOH.DE,D,20210203,000000,527.4,527.4,520.7,523.6,1172,0
MOH.DE,D,20210204,000000,522.2,525.5,520.9,524.5,456,0
MOH.DE,D,20210205,000000,528,530.3,523.9,528.2,2064,0
MOH.DE,D,20210208,000000,530.2,533.5,525.9,528.1,1723,0
MOH.DE,D,20210209,000000,530.9,540.3,528.4,537.2,3846,0
MOH.DE,D,20210210,000000,541.1,541.8,527.3,529.2,2121,0
MOH.DE,D,20210211,000000,532.3,533,527,531,1801,0
MOH.DE,D,20210212,000000,529.6,529.8,525.9,529.8,1502,0
MOH.DE,D,20210215,000000,531.1,536.2,529.6,535.9,903,0
MOH.DE,D,20210216,000000,534.5,540.3,531.8,540.3,1220,0
MOH.DE,D,20210217,000000,534.6,541.3,531.5,535.4,1722,0
MOH.DE,D,20210218,000000,536.2,536.9,530.8,533.6,1565,0
MOH.DE,D,20210219,000000,539.7,543.7,538.4,542.3,1593,0
MOH.DE,D,20210222,000000,539.5,543.1,535.8,542.4,1026,0
MOH.DE,D,20210223,000000,545,545,533,539.1,2633,0
MOH.DE,D,20210224,000000,537.4,539.2,530.9,532.4,1448,0
MOH.DE,D,20210225,000000,535.4,536.1,529.2,530.7,864,0
MOH.DE,D,20210226,000000,521.8,529.4,520.9,524.9,1846,0
MOH.DE,D,20210301,000000,535.5,537.6,530.6,537.6,1826,0
MOH.DE,D,20210302,000000,537,543,534.9,539.7,3271,0
MOH.DE,D,20210303,000000,543.5,550,540,544.3,1536,0
MOH.DE,D,20210304,000000,543.7,546.8,532.5,534.6,1253,0
MOH.DE,D,20210305,000000,530.5,531.1,522.9,523.4,1339,0
MOH.DE,D,20210308,000000,525,535.2,519.5,534.8,1432,0
MOH.DE,D,20210309,000000,532.7,541.8,528,540.5,1197,0
MOH.DE,D,20210310,000000,540.9,554.2,540.9,553.1,777,0
MOH.DE,D,20210311,000000,556,564.5,555.6,564.1,1972,0
MOH.DE,D,20210312,000000,564.9,566.9,558.3,562.8,996,0
MOH.DE,D,20210315,000000,564.4,566.1,554.3,557.8,2243,0
MOH.DE,D,20210316,000000,558.6,561.4,555.9,559.8,1352,0
MOH.DE,D,20210317,000000,561.4,569.1,559.3,567.5,1022,0
MOH.DE,D,20210318,000000,569.5,570.1,565,566.8,2424,0
MOH.DE,D,20210319,000000,562.3,565.8,556,565.8,1663,0
MOH.DE,D,20210322,000000,557.3,562.9,554.4,556.2,2514,0
MOH.DE,D,20210323,000000,554,556.5,552,554.5,1412,0
MOH.DE,D,20210324,000000,550.8,555,550,553.3,1093,0
MOH.DE,D,20210325,000000,550.1,556.6,547.5,556.2,1280,0
MOH.DE,D,20210326,000000,558.8,558.8,553,555.3,440,0
MOH.DE,D,20210329,000000,557.4,559.6,555,555.3,744,0
MOH.DE,D,20210330,000000,558.7,575,558.7,574.1,4657,0
MOH.DE,D,20210331,000000,569.1,570.5,564.8,567.8,2633,0
MOH.DE,D,20210401,000000,571.6,571.6,566.4,571.1,1470,0
MOH.DE,D,20210406,000000,577,578.3,572,577,2043,0
MOH.DE,D,20210407,000000,573.2,577.6,572.4,577.6,1936,0
MOH.DE,D,20210408,000000,582.1,587.3,581.5,586.6,2505,0
MOH.DE,D,20210409,000000,586.4,592.2,584.6,588.8,1257,0
MOH.DE,D,20210412,000000,588.3,590.9,583.6,590.1,1522,0
MOH.DE,D,20210413,000000,590.5,596.7,588.1,594.3,1270,0
MOH.DE,D,20210414,000000,609.4,614.1,606.4,611.5,2636,0
MOH.DE,D,20210415,000000,609.4,616.3,605,616.3,2568,0
MOH.DE,D,20210416,000000,617.2,630,615,629.9,3140,0
MOH.DE,D,20210419,000000,631.4,632,622.7,626.2,3184,0
MOH.DE,D,20210420,000000,619.4,621,605.1,605.1,1889,0
MOH.DE,D,20210421,000000,608,627.6,607.5,625.3,1985,0
MOH.DE,D,20210422,000000,629.2,637.5,628.7,632.6,2982,0
MOH.DE,D,20210423,000000,631.1,634,624.6,631.9,1391,0
MOH.DE,D,20210426,000000,626.4,629,624,626,1424,0
MOH.DE,D,20210427,000000,625.9,633.5,625,632.8,2333,0
MOH.DE,D,20210428,000000,633.4,635,629,633.5,1170,0
MOH.DE,D,20210429,000000,634.1,639.7,633,636,4824,0
MOH.DE,D,20210430,000000,637.5,637.5,626.5,626.7,4463,0
MOH.DE,D,20210503,000000,631.5,635.4,629.4,631.3,2804,0
MOH.DE,D,20210504,000000,631.7,632.6,617.5,618.7,2706,0
MOH.DE,D,20210505,000000,624.2,631.4,622.7,631.4,2052,0
MOH.DE,D,20210506,000000,629.9,629.9,623.7,628.7,1926,0
MOH.DE,D,20210507,000000,628.2,630.9,622.3,630.9,1788,0
MOH.DE,D,20210510,000000,630.9,631.5,622.6,625.3,1431,0
MOH.DE,D,20210511,000000,615.1,615.1,609,611.5,3032,0
MOH.DE,D,20210512,000000,613.8,619.3,608.7,615.6,3376,0
MOH.DE,D,20210513,000000,607.2,618.6,601.1,616,1095,0
MOH.DE,D,20210514,000000,622,628.6,622,628.6,1472,0
MOH.DE,D,20210517,000000,629.6,632.3,622.2,624,1069,0
MOH.DE,D,20210518,000000,628.6,630.3,622.1,623.4,2077,0
MOH.DE,D,20210519,000000,613.3,621,610.4,619.1,2316,0
MOH.DE,D,20210520,000000,623.4,628.5,621.7,628.5,1116,0
MOH.DE,D,20210521,000000,630.5,635.4,628.6,635.4,1684,0
MOH.DE,D,20210525,000000,638.1,642.3,637,639.3,1845,0
MOH.DE,D,20210526,000000,642,644,639,640.8,1793,0
MOH.DE,D,20210527,000000,640.5,652.1,637.3,648,6035,0
MOH.DE,D,20210528,000000,650.2,656.4,649,656.2,1657,0
MOH.DE,D,20210531,000000,656.6,660,652.1,652.1,1697,0
MOH.DE,D,20210601,000000,656.2,660,653.2,657.7,1608,0
MOH.DE,D,20210602,000000,657.7,661.5,653.1,661.5,2391,0
MOH.DE,D,20210603,000000,659.4,663,652.8,654.4,1211,0
MOH.DE,D,20210604,000000,655.2,655.9,649.5,651.2,2352,0
MOH.DE,D,20210607,000000,648.8,656.7,646.7,656.7,2396,0
MOH.DE,D,20210608,000000,655.6,664.1,653.9,659.8,1594,0
MOH.DE,D,20210609,000000,666.3,666.3,660.8,663.1,1069,0
MOH.DE,D,20210610,000000,664,664,655,657.1,2469,0
MOH.DE,D,20210611,000000,660.1,671.3,660,667.5,1562,0
MOH.DE,D,20210614,000000,673.8,675.9,669,673.2,1681,0
MOH.DE,D,20210615,000000,674.7,681,674.7,678.4,1807,0
MOH.DE,D,20210616,000000,680.1,683.3,675.7,683,1912,0
MOH.DE,D,20210617,000000,679.3,688,677.5,687.7,1772,0
MOH.DE,D,20210618,000000,689,699,681.4,681.4,2072,0
MOH.DE,D,20210621,000000,677.2,684.4,675,680.5,2273,0
MOH.DE,D,20210622,000000,680.4,683.9,675.6,681.8,2189,0
MOH.DE,D,20210623,000000,681.8,681.8,668,669.2,3076,0
MOH.DE,D,20210624,000000,673.6,677.7,672.5,673.5,1315,0
MOH.DE,D,20210625,000000,675.2,676.4,670.6,673.7,686,0
MOH.DE,D,20210628,000000,673.8,673.8,666.7,667.3,1657,0
MOH.DE,D,20210629,000000,668.3,677.5,668.3,673.5,1461,0
MOH.DE,D,20210630,000000,675.9,675.9,662,662,2321,0
MOH.DE,D,20210701,000000,667.1,670.4,656.8,663.7,2373,0
MOH.DE,D,20210702,000000,664.2,664.2,660.8,663,1577,0
MOH.DE,D,20210705,000000,664.5,666,661,661.7,989,0
MOH.DE,D,20210706,000000,657.4,662.1,652.7,655.4,1522,0
MOH.DE,D,20210707,000000,661.6,666.9,657.4,660,1527,0
MOH.DE,D,20210708,000000,653.3,654.1,632.2,641.1,4540,0
MOH.DE,D,20210709,000000,647.8,663.1,647.8,661.9,2524,0
MOH.DE,D,20210712,000000,658.5,668,655,665.6,1289,0
MOH.DE,D,20210713,000000,669.8,670.4,664.5,670.4,1248,0
MOH.DE,D,20210714,000000,669,671.2,666,667.7,2286,0
MOH.DE,D,20210715,000000,671.6,676.8,661.6,662.9,1058,0
MOH.DE,D,20210716,000000,666.8,666.8,647.5,654,1991,0
MOH.DE,D,20210719,000000,648.8,648.8,635.3,640.2,3391,0
MOH.DE,D,20210720,000000,645.9,650.6,639.3,645.9,1231,0
MOH.DE,D,20210721,000000,651.7,659.3,651.2,658.9,1203,0
MOH.DE,D,20210722,000000,664.2,664.2,655.6,660.1,1658,0
MOH.DE,D,20210723,000000,663.3,674,659,673.6,1843,0
MOH.DE,D,20210726,000000,670.2,676.7,668.4,673,1783,0
MOH.DE,D,20210727,000000,674.4,688.4,669.9,670.1,4842,0
MOH.DE,D,20210728,000000,667.7,688.9,666,688.9,2635,0
MOH.DE,D,20210729,000000,691,691.1,681.5,684.3,2097,0
MOH.DE,D,20210730,000000,677.4,682.2,672.9,674.5,1806,0
MOH.DE,D,20210802,000000,682.2,687.3,678.3,686.5,2163,0
MOH.DE,D,20210803,000000,686.9,700.3,686,697.1,2356,0
MOH.DE,D,20210804,000000,699.4,702.4,693.5,694.8,1917,0
MOH.DE,D,20210805,000000,694.6,700.5,692.8,696.9,1282,0
MOH.DE,D,20210806,000000,696.5,702,694.5,697.8,1024,0
MOH.DE,D,20210809,000000,698.8,700,696.5,697.4,1525,0
MOH.DE,D,20210810,000000,700.3,705.3,698.6,702.1,1703,0
MOH.DE,D,20210811,000000,704,706.1,698.5,704.7,1624,0
MOH.DE,D,20210812,000000,705.2,712.7,704,712.7,2915,0
MOH.DE,D,20210813,000000,713.9,715.8,708.1,710.3,1714,0
MOH.DE,D,20210816,000000,703.4,703.4,691.6,694.9,2954,0
MOH.DE,D,20210817,000000,693.7,694.5,686.2,689.4,2074,0
MOH.DE,D,20210818,000000,691.2,691.2,654.3,655.4,5808,0
MOH.DE,D,20210819,000000,632.7,632.7,610.5,614,20209,0
MOH.DE,D,20210820,000000,617.5,624.4,610.7,620.1,4937,0
MOH.DE,D,20210823,000000,629.7,642,627.5,642,7165,0
MOH.DE,D,20210824,000000,640.5,643.1,624.6,624.9,5683,0
