<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPN.DE,D,20210108,000000,35.98,35.98,35.98,35.98,0,0
MPN.DE,D,20210111,000000,35.63,35.63,35.63,35.63,0,0
MPN.DE,D,20210112,000000,36.785,36.785,36.785,36.785,0,0
MPN.DE,D,20210113,000000,36.29,36.29,36.29,36.29,0,0
MPN.DE,D,20210114,000000,37.175,37.175,37.175,37.175,0,0
MPN.DE,D,20210115,000000,36.64,36.64,36.64,36.64,0,0
MPN.DE,D,20210118,000000,36.495,36.495,36.495,36.495,0,0
MPN.DE,D,20210120,000000,37.79,37.79,37.79,37.79,0,0
MPN.DE,D,20210121,000000,37.82,37.82,37.82,37.82,0,0
MPN.DE,D,20210122,000000,37.205,37.205,37.205,37.205,0,0
MPN.DE,D,20210125,000000,38.535,38.535,37.99,37.99,21,0
MPN.DE,D,20210126,000000,37.66,37.66,37.605,37.605,14,0
MPN.DE,D,20210127,000000,37.01,37.01,37.01,37.01,0,0
MPN.DE,D,20210128,000000,36.125,36.125,36.125,36.125,0,0
MPN.DE,D,20210129,000000,36.455,36.455,36.455,36.455,0,0
MPN.DE,D,20210201,000000,35.625,35.625,35.625,35.625,0,0
MPN.DE,D,20210205,000000,39.615,39.615,39.615,39.615,0,0
MPN.DE,D,20210209,000000,40.26,40.26,40.26,40.26,0,0
MPN.DE,D,20210210,000000,39.455,39.455,39.455,39.455,250,0
MPN.DE,D,20210215,000000,41.605,41.605,41.605,41.605,0,0
MPN.DE,D,20210217,000000,42.12,42.12,42.12,42.12,0,0
MPN.DE,D,20210218,000000,42.72,42.72,42.72,42.72,0,0
MPN.DE,D,20210219,000000,43.365,43.365,43.365,43.365,0,0
MPN.DE,D,20210222,000000,43.77,45.165,43.77,45.165,240,0
MPN.DE,D,20210223,000000,45.675,45.675,45.675,45.675,0,0
MPN.DE,D,20210224,000000,46.755,46.755,46.755,46.755,0,0
MPN.DE,D,20210225,000000,45.735,45.735,45.735,45.735,0,0
MPN.DE,D,20210226,000000,44.8,44.8,44.8,44.8,30,0
MPN.DE,D,20210302,000000,46.225,46.225,46.225,46.225,0,0
MPN.DE,D,20210303,000000,46.95,46.95,46.95,46.95,0,0
MPN.DE,D,20210304,000000,47.325,47.325,47.325,47.325,0,0
MPN.DE,D,20210305,000000,46.775,46.775,46.775,46.775,0,0
MPN.DE,D,20210309,000000,47.89,48.47,47.135,48.47,1536,0
MPN.DE,D,20210310,000000,48.475,48.475,48.475,48.475,0,0
MPN.DE,D,20210311,000000,49.35,49.35,49.35,49.35,0,0
MPN.DE,D,20210312,000000,48.5,48.5,48.5,48.5,0,0
MPN.DE,D,20210315,000000,48.125,48.125,48.125,48.125,0,0
MPN.DE,D,20210316,000000,47.325,47.325,47.325,47.325,0,0
MPN.DE,D,20210317,000000,46.225,46.225,46.225,46.225,0,0
MPN.DE,D,20210318,000000,45.925,45.925,45.925,45.925,0,0
MPN.DE,D,20210319,000000,45.55,45.55,45.55,45.55,0,0
MPN.DE,D,20210322,000000,44.8,44.8,44.8,44.8,0,0
MPN.DE,D,20210323,000000,44.8,44.8,44.8,44.8,0,0
MPN.DE,D,20210324,000000,45.75,45.75,45.75,45.75,0,0
MPN.DE,D,20210325,000000,45.45,45.45,45.45,45.45,0,0
MPN.DE,D,20210326,000000,46.075,46.075,46.075,46.075,0,0
MPN.DE,D,20210329,000000,45.575,45.575,45.575,45.575,0,0
MPN.DE,D,20210330,000000,46.05,46.05,46.05,46.05,0,0
MPN.DE,D,20210331,000000,45.4,45.5,45.4,45.5,89,0
MPN.DE,D,20210401,000000,46.4,46.4,46.4,46.4,0,0
MPN.DE,D,20210406,000000,46.65,46.89,45.9,45.9,594,0
MPN.DE,D,20210407,000000,45.13,45.13,45.13,45.13,0,0
MPN.DE,D,20210408,000000,44.93,44.93,44.93,44.93,0,0
MPN.DE,D,20210409,000000,44.73,44.73,44.73,44.73,0,0
MPN.DE,D,20210412,000000,44.75,44.85,44.33,44.33,300,0
MPN.DE,D,20210413,000000,44,44,43.98,43.98,199,0
MPN.DE,D,20210415,000000,45,45,44.75,44.75,35,0
MPN.DE,D,20210416,000000,45.4,45.4,45.23,45.23,20,0
MPN.DE,D,20210419,000000,45.48,45.48,44.3,44.38,80,0
MPN.DE,D,20210421,000000,43.83,43.83,43.83,43.83,0,0
MPN.DE,D,20210422,000000,44.15,44.15,44.15,44.15,0,0
MPN.DE,D,20210423,000000,43.65,43.65,43.65,43.65,0,0
MPN.DE,D,20210426,000000,44.03,44.03,44.03,44.03,0,0
MPN.DE,D,20210427,000000,44.7,44.7,44.7,44.7,0,0
MPN.DE,D,20210430,000000,46.68,46.68,46.68,46.68,0,0
MPN.DE,D,20210503,000000,47.25,47.25,47.25,47.25,0,0
MPN.DE,D,20210504,000000,48.35,48.35,47.88,47.88,200,0
MPN.DE,D,20210507,000000,48.65,48.65,48.65,48.65,0,0
MPN.DE,D,20210510,000000,49.78,49.78,49.78,49.78,0,0
MPN.DE,D,20210518,000000,50.12,50.12,50.12,50.12,0,0
MPN.DE,D,20210519,000000,49.4,49.4,48.43,48.65,500,0
MPN.DE,D,20210520,000000,48.88,48.88,48.88,48.88,0,0
MPN.DE,D,20210521,000000,49.45,49.45,49.45,49.45,0,0
MPN.DE,D,20210525,000000,49.05,49.05,49.05,49.05,0,0
MPN.DE,D,20210526,000000,49,49.85,49,49.85,250,0
MPN.DE,D,20210527,000000,50.26,50.26,50.26,50.26,0,0
MPN.DE,D,20210528,000000,50.56,50.56,50.56,50.56,0,0
MPN.DE,D,20210531,000000,50.7,50.7,50.7,50.7,0,0
MPN.DE,D,20210601,000000,51.4,51.4,50.86,50.86,600,0
MPN.DE,D,20210602,000000,51.56,51.56,51.56,51.56,0,0
MPN.DE,D,20210603,000000,51.2,51.8,50.8,51.8,939,0
MPN.DE,D,20210604,000000,51.8,51.8,51.8,51.8,0,0
MPN.DE,D,20210607,000000,51.86,51.86,51.86,51.86,0,0
MPN.DE,D,20210608,000000,52.46,52.46,52.46,52.46,0,0
MPN.DE,D,20210609,000000,52.56,52.56,52.56,52.56,0,0
MPN.DE,D,20210610,000000,52.56,52.56,52.56,52.56,0,0
MPN.DE,D,20210611,000000,52.46,52.46,52.46,52.46,0,0
MPN.DE,D,20210614,000000,51.9,51.9,51.9,51.9,0,0
MPN.DE,D,20210615,000000,52.26,52.26,52.26,52.26,0,0
MPN.DE,D,20210616,000000,52.56,52.56,52.56,52.56,0,0
MPN.DE,D,20210617,000000,52.9,52.9,52.9,52.9,50,0
MPN.DE,D,20210618,000000,51,51,50.16,50.16,190,0
MPN.DE,D,20210621,000000,50.36,50.36,50.36,50.36,0,0
MPN.DE,D,20210623,000000,51.76,51.76,51.76,51.76,0,0
MPN.DE,D,20210624,000000,52.06,52.24,51.94,51.96,1432,0
MPN.DE,D,20210625,000000,52.1,52.16,52.1,52.16,100,0
MPN.DE,D,20210629,000000,50,50,50,50,808,0
MPN.DE,D,20210630,000000,50.86,50.86,50.86,50.86,0,0
MPN.DE,D,20210701,000000,51.66,51.66,51.66,51.66,0,0
MPN.DE,D,20210702,000000,51.4,51.4,51.4,51.4,0,0
MPN.DE,D,20210705,000000,51.4,51.4,51.4,51.4,0,0
MPN.DE,D,20210706,000000,50.6,50.6,50.12,50.3,112,0
MPN.DE,D,20210707,000000,50.02,50.02,49.16,49.16,112,0
MPN.DE,D,20210708,000000,48.55,48.55,48.55,48.55,0,0
MPN.DE,D,20210709,000000,49.38,49.38,49.38,49.38,0,0
MPN.DE,D,20210712,000000,49.5,49.5,49.41,49.41,20,0
MPN.DE,D,20210713,000000,48.73,48.73,48.73,48.73,0,0
MPN.DE,D,20210715,000000,46.2,46.4,46.2,46.4,11,0
MPN.DE,D,20210716,000000,46,46,46,46,0,0
MPN.DE,D,20210719,000000,43.5,43.5,43.5,43.5,27,0
MPN.DE,D,20210720,000000,44.05,44.05,44.05,44.05,0,0
MPN.DE,D,20210722,000000,45.1,45.1,45.1,45.1,0,0
MPN.DE,D,20210723,000000,45.2,45.2,45.2,45.2,0,0
MPN.DE,D,20210726,000000,45.26,46.05,45.26,46.05,30,0
MPN.DE,D,20210727,000000,45.75,45.75,45.75,45.75,0,0
MPN.DE,D,20210728,000000,46.64,46.64,46.5,46.5,19,0
MPN.DE,D,20210729,000000,47.25,47.25,47.25,47.25,0,0
MPN.DE,D,20210730,000000,46.56,46.62,46.45,46.45,38,0
MPN.DE,D,20210802,000000,46,46,46,46,0,0
MPN.DE,D,20210803,000000,46.63,46.63,46.63,46.63,0,0
MPN.DE,D,20210804,000000,47.25,48.12,47.25,48.12,283,0
MPN.DE,D,20210805,000000,48.2,48.2,48.2,48.2,0,0
MPN.DE,D,20210806,000000,48.29,48.75,48.29,48.75,3,0
MPN.DE,D,20210809,000000,48.24,48.9,48.24,48.9,120,0
MPN.DE,D,20210810,000000,49.63,49.63,49.63,49.63,0,0
MPN.DE,D,20210811,000000,49.73,49.73,49.73,49.73,0,0
MPN.DE,D,20210812,000000,50.16,50.16,50.16,50.16,0,0
MPN.DE,D,20210813,000000,50.66,50.66,50.66,50.66,0,0
MPN.DE,D,20210816,000000,49.78,49.78,49.78,49.78,0,0
MPN.DE,D,20210817,000000,49.4,49.4,49.4,49.4,0,0
MPN.DE,D,20210818,000000,48.59,49.33,48.59,49.33,474,0
MPN.DE,D,20210820,000000,46.56,46.73,46.3,46.73,422,0
MPN.DE,D,20210823,000000,46.82,48.38,46.82,48.3,503,0
MPN.DE,D,20210824,000000,49.16,49.16,48.61,49.1,185,0
