<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXHN.DE,D,20161128,000000,5.61831,5.61831,5.493458,5.493458,2992,0
MXHN.DE,D,20161129,000000,5.493458,5.57029,5.378211,5.57029,24051,0
MXHN.DE,D,20161201,000000,5.378211,5.52227,5.339795,5.493458,14216,0
MXHN.DE,D,20161202,000000,5.383013,5.383013,5.176528,5.320587,22209,0
MXHN.DE,D,20161205,000000,5.282171,5.383013,5.282171,5.306181,14287,0
MXHN.DE,D,20161206,000000,5.330191,5.464646,5.330191,5.330191,9946,0
MXHN.DE,D,20161207,000000,5.349399,5.47425,5.349399,5.446399,13626,0
MXHN.DE,D,20161208,000000,5.446399,5.665369,5.446399,5.583735,25138,0
MXHN.DE,D,20161209,000000,5.57029,5.694181,5.57029,5.628874,13226,0
MXHN.DE,D,20161212,000000,5.531874,5.575092,5.439676,5.47425,55583,0
MXHN.DE,D,20161213,000000,5.47425,5.572211,5.47425,5.572211,7603,0
MXHN.DE,D,20161214,000000,5.57029,5.57029,5.429112,5.560686,13583,0
MXHN.DE,D,20161215,000000,5.541478,5.593339,5.503062,5.593339,24360,0
MXHN.DE,D,20161216,000000,5.551082,5.560686,5.551082,5.560686,274,0
MXHN.DE,D,20161219,000000,5.560686,5.689379,5.560686,5.57125,35575,0
MXHN.DE,D,20161220,000000,5.57029,5.588537,5.560686,5.57029,25550,0
MXHN.DE,D,20161221,000000,5.588537,5.627914,5.57029,5.627914,11879,0
MXHN.DE,D,20161222,000000,5.57029,5.665369,5.47425,5.47425,8600,0
MXHN.DE,D,20161223,000000,5.475211,5.57029,5.475211,5.568369,10500,0
MXHN.DE,D,20161227,000000,5.493458,5.520349,5.475211,5.520349,2510,0
MXHN.DE,D,20161228,000000,5.370528,5.532834,5.370528,5.477132,23847,0
MXHN.DE,D,20161229,000000,5.426231,5.47425,5.402221,5.430072,20144,0
MXHN.DE,D,20161230,000000,5.47425,5.604864,5.47425,5.523231,3811,0
MXHN.DE,D,20170102,000000,5.57029,5.625032,5.477132,5.551082,9113,0
MXHN.DE,D,20170103,000000,5.551082,5.738359,5.551082,5.698022,20741,0
MXHN.DE,D,20170104,000000,5.675933,5.954448,5.675933,5.829596,55422,0
MXHN.DE,D,20170105,000000,5.762369,5.810389,5.733557,5.733557,7038,0
MXHN.DE,D,20170106,000000,5.696102,5.896824,5.696102,5.771973,8753,0
MXHN.DE,D,20170109,000000,5.906428,5.906428,5.762369,5.775814,13560,0
