<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NADA.DE,D,20200918,000000,52.78,52.78,52.45,52.45,0,0
NADA.DE,D,20200921,000000,51.95,51.95,51.63,51.63,0,0
NADA.DE,D,20210208,000000,60.87,61.16,60.78,61.16,635,0
NADA.DE,D,20210209,000000,61.17,61.19,61.03,61.15,2156,0
NADA.DE,D,20210210,000000,61.13,61.13,60.67,60.94,2191,0
NADA.DE,D,20210211,000000,61.01,61.22,61.01,61.22,11,0
NADA.DE,D,20210212,000000,61.04,61.58,61.04,61.58,0,0
NADA.DE,D,20210215,000000,61.9,62.09,61.9,62.09,92,0
NADA.DE,D,20210216,000000,62.33,62.33,62.22,62.22,145,0
NADA.DE,D,20210217,000000,62.06,62.17,62.02,62.02,0,0
NADA.DE,D,20210218,000000,61.6,61.6,61.16,61.16,324,0
NADA.DE,D,20210219,000000,61.12,61.42,61.12,61.42,410,0
NADA.DE,D,20210222,000000,61,61.38,61,61.38,17,0
NADA.DE,D,20210223,000000,61.36,61.36,60.85,61.03,392,0
NADA.DE,D,20210224,000000,60.04,60.48,59.99,60.48,774,0
NADA.DE,D,20210225,000000,60.45,60.45,59.87,59.87,600,0
NADA.DE,D,20210226,000000,58.8,59.03,58.8,59.03,1317,0
NADA.DE,D,20210301,000000,59.63,60.11,59.58,60.11,710,0
NADA.DE,D,20210302,000000,59.67,59.67,59.43,59.43,104,0
NADA.DE,D,20210303,000000,59.56,59.69,59.33,59.52,423,0
NADA.DE,D,20210304,000000,59.05,59.15,58.99,59.15,386,0
NADA.DE,D,20210305,000000,58.68,59.5,58.68,59.01,112,0
NADA.DE,D,20210308,000000,59.02,59.63,59.02,59.63,525,0
NADA.DE,D,20210309,000000,59.29,59.76,59.29,59.76,0,0
NADA.DE,D,20210310,000000,59.57,59.95,59.57,59.88,508,0
NADA.DE,D,20210311,000000,59.36,59.63,59.36,59.62,6027,0
NADA.DE,D,20210312,000000,59.94,60.07,59.94,60.07,0,0
NADA.DE,D,20210315,000000,60.42,60.61,60.42,60.48,1011,0
NADA.DE,D,20210316,000000,60.9,61.24,60.9,61.24,0,0
NADA.DE,D,20210317,000000,61.07,61.11,60.97,61.08,700,0
NADA.DE,D,20210318,000000,61.67,62.02,61.61,62.02,0,0
NADA.DE,D,20210319,000000,61.77,62.41,61.74,61.85,4391,0
NADA.DE,D,20210322,000000,61.16,61.6,61.16,61.6,1196,0
NADA.DE,D,20210323,000000,60.99,61.27,60.83,61.27,1099,0
NADA.DE,D,20210324,000000,60.08,60.75,60.08,60.75,2548,0
NADA.DE,D,20210325,000000,60.68,61.19,60.68,61.19,0,0
NADA.DE,D,20210326,000000,61.8,61.81,61.56,61.73,496,0
NADA.DE,D,20210329,000000,61.6,61.81,61.53,61.67,733,0
