<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NQSE.DE,D,20190624,000000,5.117,5.118,5.096,5.103,55696,0
NQSE.DE,D,20190625,000000,5.081,5.084,5.049,5.049,4440,0
NQSE.DE,D,20190626,000000,5.017,5.049,5.017,5.04,11190,0
NQSE.DE,D,20190627,000000,5.062,5.062,5.034,5.034,2339,0
NQSE.DE,D,20190628,000000,5.051,5.059,5.044,5.049,470,0
NQSE.DE,D,20190701,000000,5.14,5.147,5.121,5.127,23447,0
NQSE.DE,D,20190702,000000,5.119,5.127,5.109,5.116,2083,0
NQSE.DE,D,20190703,000000,5.138,5.179,5.138,5.168,24126,0
NQSE.DE,D,20190704,000000,5.182,5.193,5.177,5.193,6746,0
NQSE.DE,D,20190705,000000,5.188,5.188,5.133,5.143,15907,0
NQSE.DE,D,20190708,000000,5.139,5.15,5.114,5.123,28654,0
NQSE.DE,D,20190709,000000,5.094,5.148,5.087,5.138,7406,0
NQSE.DE,D,20190710,000000,5.139,5.194,5.138,5.187,11968,0
NQSE.DE,D,20190711,000000,5.222,5.224,5.216,5.224,172,0
NQSE.DE,D,20190712,000000,5.208,5.221,5.205,5.221,13701,0
NQSE.DE,D,20190715,000000,5.235,5.243,5.233,5.235,21580,0
NQSE.DE,D,20190716,000000,5.253,5.254,5.236,5.236,26920,0
NQSE.DE,D,20190717,000000,5.227,5.23,5.212,5.212,3776,0
NQSE.DE,D,20190718,000000,5.156,5.19,5.154,5.161,17357,0
NQSE.DE,D,20190719,000000,5.231,5.238,5.208,5.208,72703,0
NQSE.DE,D,20190722,000000,5.16,5.189,5.16,5.189,26405,0
NQSE.DE,D,20190723,000000,5.214,5.232,5.208,5.208,13685,0
NQSE.DE,D,20190724,000000,5.228,5.246,5.217,5.246,6002,0
NQSE.DE,D,20190725,000000,5.276,5.276,5.232,5.232,9607,0
NQSE.DE,D,20190726,000000,5.264,5.275,5.261,5.275,33521,0
NQSE.DE,D,20190729,000000,5.262,5.278,5.246,5.246,3848,0
NQSE.DE,D,20190730,000000,5.259,5.261,5.216,5.239,46854,0
NQSE.DE,D,20190731,000000,5.244,5.254,5.244,5.247,9003,0
NQSE.DE,D,20190801,000000,5.155,5.259,5.155,5.259,26024,0
NQSE.DE,D,20190802,000000,5.12,5.12,5.03,5.04,61900,0
NQSE.DE,D,20190805,000000,4.9895,4.9985,4.911,4.911,126337,0
NQSE.DE,D,20190806,000000,4.877,4.94,4.877,4.8935,36443,0
NQSE.DE,D,20190807,000000,4.928,4.9705,4.867,4.924,138630,0
NQSE.DE,D,20190808,000000,4.9925,5.043,4.981,5.043,6169,0
NQSE.DE,D,20190809,000000,5.055,5.055,5.002,5.002,57269,0
NQSE.DE,D,20190812,000000,5.058,5.063,4.9905,4.9905,16022,0
NQSE.DE,D,20190813,000000,4.957,5.061,4.951,5.059,13786,0
NQSE.DE,D,20190814,000000,5.076,5.077,5.014,5.014,17597,0
NQSE.DE,D,20190815,000000,4.9585,4.9585,4.8995,4.917,59252,0
NQSE.DE,D,20190816,000000,4.9545,5.012,4.9545,4.9935,9519,0
NQSE.DE,D,20190819,000000,5.053,5.079,5.049,5.079,3279,0
NQSE.DE,D,20190820,000000,5.077,5.086,5.047,5.073,6430,0
NQSE.DE,D,20190821,000000,5.064,5.093,5.064,5.093,9699,0
NQSE.DE,D,20190822,000000,5.077,5.102,5.039,5.055,37728,0
NQSE.DE,D,20190823,000000,5.089,5.095,4.9605,4.9605,21177,0
NQSE.DE,D,20190826,000000,4.9635,5.002,4.937,4.9615,36558,0
NQSE.DE,D,20190827,000000,4.9645,5.016,4.961,4.979,16291,0
NQSE.DE,D,20190828,000000,4.9735,4.981,4.9665,4.981,0,0
NQSE.DE,D,20190829,000000,4.9685,5.072,4.9685,5.066,11896,0
NQSE.DE,D,20190830,000000,5.055,5.096,5.024,5.036,22686,0
NQSE.DE,D,20190902,000000,5.022,5.045,5.018,5.029,17818,0
NQSE.DE,D,20190903,000000,5.004,5.021,4.9995,5.012,33124,0
NQSE.DE,D,20190904,000000,5.054,5.067,5.04,5.052,40934,0
NQSE.DE,D,20190905,000000,5.117,5.17,5.102,5.163,60038,0
NQSE.DE,D,20190906,000000,5.164,5.177,5.149,5.157,26318,0
NQSE.DE,D,20190909,000000,5.172,5.172,5.163,5.166,62379,0
NQSE.DE,D,20190910,000000,5.136,5.136,5.091,5.091,1070,0
NQSE.DE,D,20190911,000000,5.136,5.169,5.126,5.169,2584,0
NQSE.DE,D,20190912,000000,5.2,5.222,5.195,5.211,78781,0
NQSE.DE,D,20190913,000000,5.207,5.218,5.185,5.185,100,0
NQSE.DE,D,20190916,000000,5.139,5.157,5.138,5.151,1850,0
NQSE.DE,D,20190917,000000,5.139,5.159,5.139,5.159,1020,0
NQSE.DE,D,20190918,000000,5.167,5.167,5.163,5.163,0,0
NQSE.DE,D,20190919,000000,5.144,5.21,5.144,5.21,15871,0
NQSE.DE,D,20190920,000000,5.192,5.196,5.167,5.167,3254,0
NQSE.DE,D,20190923,000000,5.152,5.152,5.132,5.132,0,0
NQSE.DE,D,20190924,000000,5.15,5.159,5.111,5.111,1560,0
NQSE.DE,D,20190925,000000,5.063,5.068,5.033,5.068,9535,0
NQSE.DE,D,20190926,000000,5.105,5.121,5.075,5.075,6121,0
NQSE.DE,D,20190927,000000,5.096,5.11,5.093,5.093,1000,0
NQSE.DE,D,20191001,000000,5.11,5.111,5.064,5.071,20382,0
NQSE.DE,D,20191002,000000,5.04,5.04,4.9405,4.9405,12077,0
NQSE.DE,D,20191004,000000,5.004,5.059,4.991,5.059,3719,0
NQSE.DE,D,20191007,000000,5.059,5.089,5.053,5.089,60940,0
NQSE.DE,D,20191008,000000,5.08,5.08,5,5,5951,0
NQSE.DE,D,20191009,000000,4.9825,5.04,4.9825,5.028,992,0
NQSE.DE,D,20191010,000000,5.032,5.088,5.03,5.088,270,0
NQSE.DE,D,20191011,000000,5.102,5.17,5.102,5.17,14,0
NQSE.DE,D,20191014,000000,5.14,5.144,5.108,5.144,23830,0
NQSE.DE,D,20191015,000000,5.169,5.193,5.149,5.189,1022,0
NQSE.DE,D,20191016,000000,5.2,5.2,5.181,5.181,2344,0
NQSE.DE,D,20191017,000000,5.191,5.222,5.189,5.189,9407,0
NQSE.DE,D,20191018,000000,5.185,5.195,5.165,5.165,1500,0
NQSE.DE,D,20191021,000000,5.155,5.182,5.155,5.182,664,0
NQSE.DE,D,20191022,000000,5.203,5.211,5.188,5.188,3977,0
NQSE.DE,D,20191023,000000,5.126,5.158,5.126,5.158,0,0
NQSE.DE,D,20191024,000000,5.183,5.211,5.183,5.211,86301,0
NQSE.DE,D,20191025,000000,5.191,5.245,5.189,5.245,13,0
NQSE.DE,D,20191028,000000,5.266,5.301,5.264,5.298,2025,0
NQSE.DE,D,20191029,000000,5.296,5.296,5.27,5.281,7719,0
NQSE.DE,D,20191030,000000,5.263,5.267,5.254,5.262,162,0
NQSE.DE,D,20191031,000000,5.31,5.31,5.26,5.268,14148,0
NQSE.DE,D,20191101,000000,5.297,5.309,5.291,5.309,10584,0
NQSE.DE,D,20191104,000000,5.347,5.37,5.347,5.361,22049,0
NQSE.DE,D,20191105,000000,5.378,5.387,5.37,5.371,22339,0
NQSE.DE,D,20191106,000000,5.365,5.369,5.35,5.354,23036,0
NQSE.DE,D,20191107,000000,5.389,5.403,5.382,5.4,28398,0
NQSE.DE,D,20191108,000000,5.366,5.375,5.366,5.375,1469,0
NQSE.DE,D,20191111,000000,5.37,5.38,5.37,5.378,64230,0
NQSE.DE,D,20191112,000000,5.395,5.419,5.393,5.419,7000,0
NQSE.DE,D,20191113,000000,5.396,5.401,5.382,5.401,27800,0
NQSE.DE,D,20191114,000000,5.396,5.398,5.383,5.385,36100,0
NQSE.DE,D,20191115,000000,5.419,5.435,5.419,5.434,20882,0
NQSE.DE,D,20191118,000000,5.488,5.488,5.416,5.431,66298,0
NQSE.DE,D,20191119,000000,5.454,5.468,5.434,5.449,8766,0
NQSE.DE,D,20191120,000000,5.424,5.44,5.424,5.44,4,0
NQSE.DE,D,20191121,000000,5.4,5.423,5.395,5.395,18948,0
NQSE.DE,D,20191122,000000,5.413,5.422,5.388,5.394,12622,0
NQSE.DE,D,20191125,000000,5.427,5.466,5.422,5.462,1138,0
NQSE.DE,D,20191126,000000,5.475,5.484,5.466,5.481,953,0
NQSE.DE,D,20191127,000000,5.499,5.505,5.492,5.505,388,0
NQSE.DE,D,20191128,000000,5.505,5.513,5.505,5.513,10,0
NQSE.DE,D,20191129,000000,5.502,5.509,5.5,5.5,225,0
NQSE.DE,D,20191202,000000,5.514,5.52,5.413,5.413,4022,0
NQSE.DE,D,20191203,000000,5.436,5.444,5.351,5.351,2957,0
NQSE.DE,D,20191204,000000,5.374,5.429,5.374,5.429,34974,0
NQSE.DE,D,20191205,000000,5.431,5.443,5.409,5.409,1958,0
NQSE.DE,D,20191206,000000,5.439,5.479,5.439,5.479,1256,0
NQSE.DE,D,20191209,000000,5.48,5.483,5.475,5.481,7468,0
NQSE.DE,D,20191210,000000,5.457,5.473,5.431,5.468,557,0
NQSE.DE,D,20191211,000000,5.465,5.471,5.465,5.471,0,0
NQSE.DE,D,20191212,000000,5.493,5.534,5.492,5.507,1500,0
NQSE.DE,D,20191213,000000,5.554,5.554,5.531,5.531,7884,0
