<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVJP.DE,D,20200120,000000,44.05,45.1,43.68,44.38,210,0
NVJP.DE,D,20200121,000000,45.5,45.5,43.35,43.35,1805,0
NVJP.DE,D,20200122,000000,43.51,43.51,43.17,43.17,400,0
NVJP.DE,D,20200123,000000,41.1,42.07,41.1,41.15,948,0
NVJP.DE,D,20200124,000000,42.45,43,42.45,43,212,0
NVJP.DE,D,20200127,000000,45,45,41.88,42.23,1042,0
NVJP.DE,D,20200128,000000,41.51,41.51,40.81,41.2,1225,0
NVJP.DE,D,20200129,000000,42,42.7,42,42.7,50,0
NVJP.DE,D,20200130,000000,41.67,42,41.5,41.5,64,0
NVJP.DE,D,20200131,000000,42.29,42.7,41.73,42.7,825,0
NVJP.DE,D,20200203,000000,41.64,41.64,41.64,41.64,49,0
NVJP.DE,D,20200204,000000,42.77,46.72,42.77,46.71,2492,0
NVJP.DE,D,20200205,000000,48.91,49.38,47.45,47.45,1746,0
NVJP.DE,D,20200206,000000,47.51,47.51,45.2,45.2,991,0
NVJP.DE,D,20200207,000000,46,46,41.76,42.44,5431,0
NVJP.DE,D,20200210,000000,41.85,43.86,41.85,43.25,1325,0
NVJP.DE,D,20200211,000000,44.31,47,44.31,46.7,1670,0
NVJP.DE,D,20200212,000000,46.55,47.25,46.55,47.25,4405,0
NVJP.DE,D,20200213,000000,46,46,44.75,45.15,996,0
NVJP.DE,D,20200214,000000,46.1,46.5,44.5,46.5,460,0
NVJP.DE,D,20200217,000000,45.31,45.56,45.13,45.51,417,0
NVJP.DE,D,20200218,000000,44.66,44.66,44.05,44.16,507,0
NVJP.DE,D,20200219,000000,44.54,44.54,43,43.85,1335,0
NVJP.DE,D,20200220,000000,44.28,45,44.07,44.25,610,0
NVJP.DE,D,20200221,000000,44.03,44.5,43.32,44.5,1789,0
NVJP.DE,D,20200224,000000,41.86,41.86,40.99,41.86,2587,0
NVJP.DE,D,20200225,000000,41.5,41.89,40.85,41.19,303,0
NVJP.DE,D,20200226,000000,40.49,40.95,39.51,40.95,4689,0
NVJP.DE,D,20200227,000000,39.7,39.7,38.01,38.01,2636,0
NVJP.DE,D,20200228,000000,36.82,37.95,36.58,37.42,1523,0
NVJP.DE,D,20200302,000000,38.61,39.02,37.38,37.38,1440,0
NVJP.DE,D,20200303,000000,39.33,40.5,39.33,40.5,1358,0
NVJP.DE,D,20200304,000000,39.42,40.68,39.42,40.01,243,0
NVJP.DE,D,20200305,000000,40.3,40.3,38.5,40.3,766,0
NVJP.DE,D,20200306,000000,38,39.19,38,39.19,450,0
NVJP.DE,D,20200309,000000,38.9,38.9,35.58,35.9,6493,0
NVJP.DE,D,20200310,000000,36.38,38.08,36,37.59,765,0
NVJP.DE,D,20200311,000000,36.71,37.07,35.8,36.71,683,0
NVJP.DE,D,20200312,000000,33.88,33.96,30.18,31.08,10008,0
NVJP.DE,D,20200313,000000,32.17,34.13,31,32.29,7609,0
NVJP.DE,D,20200316,000000,29.88,30.14,28.5,29.88,1784,0
NVJP.DE,D,20200317,000000,31.14,31.14,29.67,31.14,465,0
NVJP.DE,D,20200318,000000,30.05,32.21,29.65,32.21,4197,0
NVJP.DE,D,20200319,000000,36.11,36.2,32.78,32.88,324,0
NVJP.DE,D,20200320,000000,35.08,35.08,34.31,34.31,560,0
NVJP.DE,D,20200323,000000,37.13,37.13,37.13,37.13,136,0
NVJP.DE,D,20200324,000000,36.99,36.99,33.15,33.15,1199,0
NVJP.DE,D,20200325,000000,36.45,36.45,32,33.9,684,0
NVJP.DE,D,20200326,000000,30.92,32.48,30.68,30.92,2057,0
NVJP.DE,D,20200327,000000,31.29,31.57,30.8,31.29,413,0
NVJP.DE,D,20200330,000000,31.45,31.45,30.15,30.54,3425,0
NVJP.DE,D,20200331,000000,32.75,32.75,31.5,31.5,1011,0
NVJP.DE,D,20200401,000000,31.51,31.68,30.93,31.61,6410,0
NVJP.DE,D,20200402,000000,31.82,31.82,31.11,31.4,2577,0
NVJP.DE,D,20200403,000000,32.1,32.5,32.1,32.5,261,0
NVJP.DE,D,20200406,000000,33.61,33.61,32.5,32.5,9,0
NVJP.DE,D,20200407,000000,35.23,35.23,33.5,33.5,589,0
NVJP.DE,D,20200408,000000,35,35.28,34.68,34.68,138,0
NVJP.DE,D,20200409,000000,35.5,35.7,34.8,34.8,2943,0
NVJP.DE,D,20200414,000000,36.47,37.05,36.47,36.47,127,0
NVJP.DE,D,20200415,000000,36.61,36.61,36,36,47,0
NVJP.DE,D,20200416,000000,35.96,35.96,34.68,34.68,1890,0
NVJP.DE,D,20200417,000000,35.99,35.99,35.21,35.99,130,0
NVJP.DE,D,20200420,000000,36.45,38.1,36.45,38.1,626,0
NVJP.DE,D,20200421,000000,36.53,36.53,36.52,36.52,600,0
NVJP.DE,D,20200422,000000,36.53,36.53,36.53,36.53,50,0
NVJP.DE,D,20200423,000000,36.96,39.6,36.96,39.6,212,0
NVJP.DE,D,20200424,000000,39.23,39.23,37.4,37.4,20,0
NVJP.DE,D,20200427,000000,39.55,39.55,39.34,39.45,103,0
NVJP.DE,D,20200428,000000,38.9,39.45,38.19,39.45,186,0
NVJP.DE,D,20200429,000000,39.32,39.47,38.65,38.65,340,0
NVJP.DE,D,20200430,000000,39.29,39.29,38.46,38.88,325,0
NVJP.DE,D,20200504,000000,38.46,38.46,36.39,38.46,675,0
NVJP.DE,D,20200505,000000,36.7,36.7,36.11,36.21,64,0
NVJP.DE,D,20200506,000000,35.78,35.78,35.78,35.78,0,0
NVJP.DE,D,20200507,000000,36.05,36.57,36.05,36.34,120,0
NVJP.DE,D,20200508,000000,36.96,36.96,36.96,36.96,0,0
NVJP.DE,D,20200511,000000,37.38,37.38,36.63,37.1,103,0
NVJP.DE,D,20200512,000000,37,37.61,37,37.61,330,0
NVJP.DE,D,20200513,000000,37.03,37.75,36.85,37.75,2,0
NVJP.DE,D,20200514,000000,37,37.23,36.8,37.23,44,0
NVJP.DE,D,20200515,000000,36.57,36.57,36.57,36.57,0,0
NVJP.DE,D,20200518,000000,37.05,37.56,36.57,37.56,230,0
NVJP.DE,D,20200519,000000,36.59,36.59,34.07,34.94,2373,0
NVJP.DE,D,20200520,000000,34.64,36.16,34.64,36.16,612,0
NVJP.DE,D,20200521,000000,37.64,38.27,37.64,38.27,180,0
NVJP.DE,D,20200522,000000,38.51,39.63,38.51,39.63,205,0
NVJP.DE,D,20200525,000000,39.45,39.45,38.82,39.08,247,0
NVJP.DE,D,20200526,000000,39.98,40.9,39.98,40.8,941,0
NVJP.DE,D,20200527,000000,40.92,41.15,39.83,39.83,449,0
NVJP.DE,D,20200529,000000,39.5,40.15,39.5,39.56,1990,0
NVJP.DE,D,20200602,000000,41.24,41.7,40.87,41.53,1217,0
NVJP.DE,D,20200603,000000,41.08,41.33,41.08,41.31,626,0
NVJP.DE,D,20200604,000000,41.44,42.67,41.44,42.34,725,0
NVJP.DE,D,20200605,000000,42.76,42.79,42.41,42.79,50,0
NVJP.DE,D,20200608,000000,42.96,44.13,42.96,43.73,768,0
NVJP.DE,D,20200609,000000,44.01,44.01,42.73,43.07,2300,0
NVJP.DE,D,20200610,000000,43.9,43.9,42.66,42.99,882,0
NVJP.DE,D,20200611,000000,42.1,42.1,41.33,41.33,200,0
NVJP.DE,D,20200612,000000,41.83,42.2,41.83,41.91,80,0
NVJP.DE,D,20200615,000000,41.78,44.47,41.78,43.56,284,0
