<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWO.DE,D,20190801,000000,336.460809,340.338329,322.472285,336.019066,1488,0
NWO.DE,D,20190802,000000,336.019066,341.614475,320.018158,320.018158,5789,0
NWO.DE,D,20190805,000000,323.944761,326.840631,319.036507,319.036507,6128,0
NWO.DE,D,20190806,000000,323.944761,331.797967,320.018158,325.908063,5184,0
NWO.DE,D,20190807,000000,327.871364,329.834666,320.018158,321.981459,5180,0
NWO.DE,D,20190808,000000,323.944761,331.797967,323.944761,325.908063,4429,0
NWO.DE,D,20190809,000000,323.944761,327.871364,323.944761,323.944761,3893,0
NWO.DE,D,20190812,000000,323.944761,327.871364,320.018158,321.981459,2409,0
NWO.DE,D,20190813,000000,323.944761,323.944761,261.11911,280.752126,22937,0
NWO.DE,D,20190814,000000,284.678729,284.678729,276.825523,280.752126,7955,0
NWO.DE,D,20190815,000000,278.788825,278.788825,274.862221,274.862221,5153,0
NWO.DE,D,20190816,000000,270.935618,276.825523,270.935618,276.825523,6202,0
NWO.DE,D,20190819,000000,272.89892,272.89892,265.045714,267.009015,10430,0
NWO.DE,D,20190820,000000,263.082412,280.752126,259.155809,278.788825,8384,0
NWO.DE,D,20190821,000000,282.715428,292.531936,272.89892,272.89892,7564,0
NWO.DE,D,20190822,000000,274.862221,274.862221,259.155809,261.11911,4821,0
NWO.DE,D,20190823,000000,259.155809,265.045714,259.155809,263.082412,4143,0
NWO.DE,D,20190826,000000,265.045714,267.009015,259.155809,261.11911,3734,0
NWO.DE,D,20190827,000000,264.064063,265.045714,263.082412,263.082412,1469,0
NWO.DE,D,20190828,000000,261.11911,261.609936,256.701682,260.13746,4941,0
NWO.DE,D,20190829,000000,261.609936,267.499841,259.155809,265.045714,5794,0
NWO.DE,D,20190830,000000,259.155809,263.082412,256.701682,261.11911,8268,0
NWO.DE,D,20190902,000000,260.13746,267.990666,259.155809,266.51819,3411,0
NWO.DE,D,20190903,000000,265.045714,274.862221,265.045714,267.499841,3369,0
NWO.DE,D,20190904,000000,269.463142,282.224602,268.972317,276.825523,8402,0
NWO.DE,D,20190905,000000,278.297999,285.66038,277.316348,279.770475,5086,0
NWO.DE,D,20190906,000000,280.752126,282.715428,276.825523,279.770475,6883,0
NWO.DE,D,20190909,000000,277.807174,282.224602,277.807174,279.770475,4103,0
NWO.DE,D,20190910,000000,280.261301,280.752126,279.770475,279.770475,6656,0
NWO.DE,D,20190911,000000,280.752126,281.733777,279.770475,280.261301,5524,0
NWO.DE,D,20190912,000000,280.752126,284.678729,277.316348,280.261301,5532,0
NWO.DE,D,20190913,000000,282.224602,282.224602,278.788825,280.752126,1541,0
NWO.DE,D,20190916,000000,278.788825,279.770475,276.825523,279.770475,2192,0
NWO.DE,D,20190917,000000,277.807174,279.27965,274.371396,276.825523,2860,0
NWO.DE,D,20190918,000000,274.862221,281.733777,274.371396,275.353047,4259,0
NWO.DE,D,20190919,000000,276.334698,280.261301,274.862221,280.261301,1412,0
NWO.DE,D,20190920,000000,278.297999,280.752126,274.862221,277.807174,5593,0
NWO.DE,D,20190923,000000,277.807174,277.807174,268.972317,268.972317,1620,0
NWO.DE,D,20190924,000000,267.009015,270.444793,266.51819,267.009015,1264,0
NWO.DE,D,20190925,000000,259.155809,266.027364,258.174158,259.155809,1990,0
NWO.DE,D,20190926,000000,259.155809,259.155809,250.320952,254.73838,3547,0
NWO.DE,D,20190927,000000,252.775079,253.265904,247.866825,251.302602,3720,0
NWO.DE,D,20190930,000000,249.830126,249.830126,243.449396,245.412698,4400,0
NWO.DE,D,20191001,000000,245.412698,250.320952,244.431047,247.866825,3010,0
NWO.DE,D,20191002,000000,248.35765,248.848475,240.504444,240.995269,2892,0
NWO.DE,D,20191004,000000,240.013618,255.720031,240.013618,255.229206,10014,0
NWO.DE,D,20191007,000000,250.811777,257.192507,249.830126,257.192507,4572,0
NWO.DE,D,20191008,000000,257.683333,257.683333,245.412698,247.375999,2948,0
NWO.DE,D,20191009,000000,243.940222,252.284253,243.940222,251.793428,2628,0
NWO.DE,D,20191010,000000,246.394349,251.793428,246.394349,248.848475,2484,0
NWO.DE,D,20191011,000000,250.320952,267.009015,250.320952,261.609936,5130,0
NWO.DE,D,20191014,000000,261.609936,262.591587,253.756729,257.192507,2002,0
NWO.DE,D,20191015,000000,259.155809,268.972317,259.155809,264.554888,3525,0
NWO.DE,D,20191016,000000,266.027364,267.499841,261.609936,264.064063,1691,0
NWO.DE,D,20191017,000000,262.591587,272.89892,262.591587,270.444793,3695,0
NWO.DE,D,20191018,000000,275.843872,275.843872,264.064063,266.027364,7379,0
NWO.DE,D,20191021,000000,267.990666,272.89892,266.027364,271.917269,2676,0
