<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OMV.DE,D,20090713,000000,17.950643,18.050171,17.844005,17.844005,205,0
OMV.DE,D,20090714,000000,18.362974,18.576249,18.362974,18.519376,843,0
OMV.DE,D,20090715,000000,18.846398,18.874834,18.732651,18.839289,1410,0
OMV.DE,D,20090716,000000,18.817961,19.002799,18.661559,19.002799,17055,0
OMV.DE,D,20090717,000000,19.052563,19.052563,18.064389,18.171027,3822,0
OMV.DE,D,20090720,000000,18.689996,18.945926,18.562031,18.945926,15379,0
OMV.DE,D,20090721,000000,19.216074,19.76348,19.216074,19.76348,1850,0
OMV.DE,D,20090722,000000,19.727934,19.727934,19.123655,19.201856,2230,0
OMV.DE,D,20090723,000000,19.25162,20.012301,19.088109,20.012301,3565,0
OMV.DE,D,20090724,000000,19.799026,20.111829,19.799026,19.976755,480,0
OMV.DE,D,20090727,000000,20.581034,21.007584,20.417523,20.481506,1710,0
OMV.DE,D,20090728,000000,20.687672,20.687672,19.926991,19.926991,2575,0
OMV.DE,D,20090729,000000,19.905663,20.296667,19.863008,19.863008,901,0
OMV.DE,D,20090730,000000,20.161593,20.161593,19.443568,19.76348,914,0
OMV.DE,D,20090731,000000,20.161593,20.161593,19.941209,20.161593,3460,0
OMV.DE,D,20090803,000000,19.692388,20.431742,19.692388,20.254012,2047,0
OMV.DE,D,20090804,000000,20.431742,20.431742,19.969646,20.410414,1924,0
OMV.DE,D,20090805,000000,20.118938,20.246903,19.870118,19.870118,2208,0
OMV.DE,D,20090806,000000,19.607078,19.607078,18.348756,18.697105,4965,0
OMV.DE,D,20090807,000000,18.469612,18.697105,18.199464,18.661559,2208,0
OMV.DE,D,20090810,000000,18.689996,19.159201,18.48383,18.697105,11905,0
OMV.DE,D,20090811,000000,18.874834,18.874834,18.874834,18.874834,75,0
OMV.DE,D,20090812,000000,18.761088,19.400913,18.661559,19.400913,414,0
OMV.DE,D,20090813,000000,19.535987,19.76348,19.42224,19.535987,988,0
OMV.DE,D,20090814,000000,19.905663,19.905663,19.038345,19.408022,2047,0
OMV.DE,D,20090817,000000,19.194747,19.194747,18.611795,18.611795,2250,0
OMV.DE,D,20090818,000000,18.91038,19.379585,18.839289,19.379585,950,0
OMV.DE,D,20090819,000000,19.272948,19.33693,19.116546,19.33693,1410,0
OMV.DE,D,20090820,000000,19.905663,19.905663,19.535987,19.749262,706,0
OMV.DE,D,20090821,000000,19.784808,20.211357,19.784808,20.211357,1815,0
OMV.DE,D,20090824,000000,20.474397,20.61658,20.111829,20.481506,3698,0
OMV.DE,D,20090825,000000,20.758763,20.758763,20.261122,20.758763,1069,0
OMV.DE,D,20090826,000000,20.581034,20.581034,20.026519,20.026519,1471,0
OMV.DE,D,20090827,000000,20.211357,20.211357,19.727934,19.905663,2590,0
OMV.DE,D,20090828,000000,20.261122,20.261122,19.76348,20.083392,1660,0
OMV.DE,D,20090831,000000,20.261122,20.261122,19.230293,19.585751,2885,0
OMV.DE,D,20090901,000000,19.528878,19.585751,19.173419,19.500441,1909,0
OMV.DE,D,20090902,000000,19.550205,19.550205,18.832179,19.33693,2944,0
OMV.DE,D,20090903,000000,19.408022,19.514659,19.16631,19.16631,488,0
OMV.DE,D,20090904,000000,19.550205,19.550205,19.550205,19.550205,119,0
OMV.DE,D,20090907,000000,19.841681,20.040737,19.756371,20.040737,350,0
OMV.DE,D,20090908,000000,20.118938,20.204248,19.557314,19.557314,620,0
OMV.DE,D,20090909,000000,19.976755,20.261122,19.976755,20.261122,2039,0
OMV.DE,D,20090910,000000,20.36065,20.481506,20.19003,20.36065,897,0
OMV.DE,D,20090911,000000,20.403305,20.829855,20.367759,20.829855,6142,0
OMV.DE,D,20090914,000000,20.389087,20.389087,19.983864,19.983864,908,0
OMV.DE,D,20090915,000000,20.197139,20.296667,20.126047,20.296667,947,0
OMV.DE,D,20090916,000000,20.687672,20.829855,20.438851,20.509942,11520,0
OMV.DE,D,20090917,000000,20.552597,20.687672,20.133157,20.133157,645,0
OMV.DE,D,20090918,000000,19.976755,19.976755,19.372476,19.372476,8364,0
OMV.DE,D,20090921,000000,19.194747,19.855899,19.194747,19.67817,2083,0
OMV.DE,D,20090922,000000,19.59286,19.791917,19.464895,19.464895,410,0
OMV.DE,D,20090923,000000,19.379585,19.514659,19.194747,19.194747,1077,0
OMV.DE,D,20090924,000000,19.173419,19.173419,18.839289,18.839289,1340,0
OMV.DE,D,20090925,000000,19.102328,19.187638,18.768197,18.768197,1446,0
OMV.DE,D,20090928,000000,18.775306,19.358258,18.768197,18.967254,1141,0
OMV.DE,D,20090929,000000,19.408022,19.976755,19.408022,19.784808,653,0
OMV.DE,D,20090930,000000,19.493332,19.493332,19.493332,19.493332,50,0
OMV.DE,D,20091001,000000,19.770589,19.770589,19.59286,19.635515,428,0
OMV.DE,D,20091002,000000,19.756371,19.756371,18.554922,18.91038,1888,0
OMV.DE,D,20091005,000000,19.265838,19.265838,18.832179,18.874834,895,0
OMV.DE,D,20091006,000000,18.960144,19.479113,18.960144,19.479113,1447,0
OMV.DE,D,20091007,000000,19.692388,19.891445,19.692388,19.891445,1835,0
OMV.DE,D,20091008,000000,19.905663,20.147375,19.905663,20.047847,9466,0
OMV.DE,D,20091009,000000,20.225576,20.367759,20.054956,20.367759,3329,0
OMV.DE,D,20091012,000000,20.261122,20.609471,20.261122,20.609471,2083,0
OMV.DE,D,20091013,000000,20.609471,20.609471,20.254012,20.517052,1299,0
OMV.DE,D,20091014,000000,20.44596,20.929383,20.44596,20.595252,3282,0
OMV.DE,D,20091015,000000,20.61658,20.70189,19.905663,20.261122,2237,0
OMV.DE,D,20091016,000000,20.87251,21.100003,20.765872,20.780091,805,0
OMV.DE,D,20091019,000000,20.972038,21.306169,20.972038,21.185313,1783,0
