<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPEN.DE,D,20190328,000000,4.3385,4.3465,4.3385,4.3415,0,0
OPEN.DE,D,20190329,000000,4.355,4.3735,4.355,4.3715,11300,0
OPEN.DE,D,20190401,000000,4.3985,4.4265,4.3985,4.4265,2316,0
OPEN.DE,D,20190402,000000,4.4085,4.417,4.408,4.408,0,0
OPEN.DE,D,20190403,000000,4.4225,4.4285,4.4215,4.4285,0,0
OPEN.DE,D,20190404,000000,4.4135,4.4245,4.4135,4.4205,0,0
OPEN.DE,D,20190405,000000,4.427,4.428,4.426,4.426,0,0
OPEN.DE,D,20190408,000000,4.422,4.43,4.4155,4.4175,569,0
OPEN.DE,D,20190409,000000,4.4195,4.424,4.399,4.399,350,0
OPEN.DE,D,20190410,000000,4.4115,4.4205,4.4115,4.4205,0,0
OPEN.DE,D,20190411,000000,4.42,4.4235,4.42,4.421,0,0
OPEN.DE,D,20190412,000000,4.415,4.426,4.415,4.423,117,0
OPEN.DE,D,20190415,000000,4.4245,4.4345,4.4245,4.425,96,0
OPEN.DE,D,20190416,000000,4.436,4.4525,4.436,4.448,330,0
OPEN.DE,D,20190417,000000,4.438,4.438,4.4315,4.4315,0,0
OPEN.DE,D,20190418,000000,4.418,4.443,4.418,4.443,0,0
OPEN.DE,D,20190423,000000,4.4335,4.475,4.4325,4.4565,34,0
OPEN.DE,D,20190424,000000,4.452,4.453,4.448,4.448,0,0
OPEN.DE,D,20190425,000000,4.4535,4.4545,4.449,4.4545,0,0
OPEN.DE,D,20190426,000000,4.4505,4.4725,4.4505,4.4705,234,0
OPEN.DE,D,20190429,000000,4.482,4.482,4.476,4.477,60,0
OPEN.DE,D,20190430,000000,4.47,4.491,4.4685,4.491,0,0
OPEN.DE,D,20190502,000000,4.516,4.516,4.4715,4.4715,108,0
OPEN.DE,D,20190503,000000,4.4875,4.509,4.4875,4.5085,37,0
OPEN.DE,D,20190506,000000,4.441,4.454,4.441,4.454,0,0
OPEN.DE,D,20190507,000000,4.4735,4.4735,4.4245,4.4245,116,0
OPEN.DE,D,20190508,000000,4.425,4.43,4.4125,4.43,0,0
OPEN.DE,D,20190509,000000,4.413,4.413,4.3595,4.3595,0,0
OPEN.DE,D,20190510,000000,4.3965,4.3965,4.36,4.36,534,0
OPEN.DE,D,20190513,000000,4.378,4.378,4.333,4.333,0,0
OPEN.DE,D,20190514,000000,4.3475,4.37,4.3475,4.37,0,0
OPEN.DE,D,20190515,000000,4.3805,4.3805,4.351,4.38,92,0
OPEN.DE,D,20190516,000000,4.374,4.433,4.365,4.433,1,0
OPEN.DE,D,20190517,000000,4.4125,4.4245,4.408,4.4245,452,0
OPEN.DE,D,20190520,000000,4.458,4.458,4.409,4.409,0,0
OPEN.DE,D,20190521,000000,4.427,4.43,4.427,4.4275,0,0
OPEN.DE,D,20190522,000000,4.4315,4.4355,4.431,4.4355,0,0
OPEN.DE,D,20190523,000000,4.4215,4.4215,4.387,4.387,108,0
OPEN.DE,D,20190524,000000,4.4025,4.419,4.4025,4.408,107,0
OPEN.DE,D,20190527,000000,4.427,4.427,4.42,4.42,0,0
