<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDA.DE,D,20070102,000000,3.1,3.1,3.1,3.1,100,0
PDA.DE,D,20070103,000000,3.03,3.24,3.03,3.24,120,0
PDA.DE,D,20070104,000000,3.1,3.24,3.07,3.24,1013,0
PDA.DE,D,20070105,000000,3.24,3.24,3.24,3.24,100,0
PDA.DE,D,20070108,000000,3.14,3.2,3.11,3.18,5753,0
PDA.DE,D,20070109,000000,3.18,3.23,3.18,3.22,5200,0
PDA.DE,D,20070110,000000,3.22,3.22,3.15,3.22,1070,0
PDA.DE,D,20070115,000000,3.1,3.2,3,3.1,4272,0
PDA.DE,D,20070116,000000,3.1,3.1,3.07,3.1,9238,0
PDA.DE,D,20070117,000000,3.09,3.09,3,3.09,8699,0
PDA.DE,D,20070118,000000,3.15,3.19,3.1,3.1,11531,0
PDA.DE,D,20070119,000000,3.12,3.12,3.03,3.11,6866,0
PDA.DE,D,20070122,000000,3.15,3.15,3.06,3.1,19552,0
PDA.DE,D,20070123,000000,3.1,3.1,3.1,3.1,4067,0
PDA.DE,D,20070124,000000,3.1,3.2,3.1,3.1,29967,0
PDA.DE,D,20070125,000000,3.08,3.47,3.08,3.39,100552,0
PDA.DE,D,20070126,000000,3.36,3.38,3.28,3.38,12421,0
PDA.DE,D,20070129,000000,3.3,3.4,3.28,3.39,7845,0
PDA.DE,D,20070130,000000,3.16,3.33,3.05,3.3,23170,0
PDA.DE,D,20070131,000000,3.15,3.24,3.15,3.23,699,0
PDA.DE,D,20070201,000000,3.2,3.27,3.16,3.25,10202,0
PDA.DE,D,20070202,000000,3.18,3.25,3.18,3.25,1635,0
PDA.DE,D,20070205,000000,3.33,3.33,3.33,3.33,3000,0
PDA.DE,D,20070206,000000,3.33,3.33,3.33,3.33,0,0
PDA.DE,D,20070207,000000,3.33,3.33,3.33,3.33,0,0
PDA.DE,D,20070208,000000,3.15,3.26,3.15,3.23,13095,0
PDA.DE,D,20070209,000000,3.17,3.2,3.17,3.2,2550,0
PDA.DE,D,20070212,000000,3.16,3.16,3.05,3.15,10182,0
PDA.DE,D,20070213,000000,3.14,3.14,3.05,3.13,2173,0
PDA.DE,D,20070214,000000,3.12,3.12,3.12,3.12,50,0
PDA.DE,D,20070215,000000,3.05,3.12,3.05,3.12,650,0
PDA.DE,D,20070216,000000,3.13,3.15,3.05,3.15,560,0
PDA.DE,D,20070219,000000,3.05,3.1,3.05,3.1,4295,0
PDA.DE,D,20070220,000000,3.2,3.2,3.13,3.13,3500,0
PDA.DE,D,20070221,000000,3.13,3.2,3.1,3.2,13384,0
PDA.DE,D,20070222,000000,3.17,3.2,3.1,3.2,2920,0
PDA.DE,D,20070226,000000,3.2,3.2,3.12,3.17,2438,0
PDA.DE,D,20070227,000000,3.15,3.17,2.56,2.78,57536,0
PDA.DE,D,20070228,000000,2.8,2.8,2.67,2.78,9635,0
PDA.DE,D,20070301,000000,2.78,2.9,2.72,2.8,7595,0
PDA.DE,D,20070302,000000,2.84,2.88,2.66,2.75,13064,0
PDA.DE,D,20070305,000000,2.78,2.78,2.67,2.7,1532,0
PDA.DE,D,20070306,000000,2.7,2.7,2.67,2.7,1046,0
PDA.DE,D,20070307,000000,2.7,2.7,2.7,2.7,0,0
PDA.DE,D,20070308,000000,2.6,2.7,2.6,2.69,8512,0
PDA.DE,D,20070309,000000,2.7,2.7,2.6,2.68,3843,0
PDA.DE,D,20070312,000000,2.68,2.68,2.55,2.6,21785,0
PDA.DE,D,20070313,000000,2.56,2.6,2.56,2.6,13660,0
PDA.DE,D,20070314,000000,2.56,2.56,2.4,2.52,5085,0
PDA.DE,D,20070315,000000,2.5,2.52,2.45,2.48,1520,0
PDA.DE,D,20070316,000000,2.45,2.49,2.45,2.49,1602,0
PDA.DE,D,20070319,000000,2.5,2.59,2.48,2.49,2490,0
PDA.DE,D,20070320,000000,2.54,2.6,2.54,2.54,290,0
PDA.DE,D,20070321,000000,2.6,2.6,2.54,2.54,4650,0
PDA.DE,D,20070322,000000,2.59,2.59,2.55,2.55,4200,0
PDA.DE,D,20070323,000000,2.6,2.6,2.58,2.58,5434,0
PDA.DE,D,20070326,000000,2.55,2.6,2.55,2.6,1580,0
PDA.DE,D,20070327,000000,2.51,2.6,2.51,2.6,770,0
PDA.DE,D,20070328,000000,2.57,2.6,2.57,2.6,1650,0
PDA.DE,D,20070329,000000,2.6,2.6,2.52,2.6,600,0
PDA.DE,D,20070330,000000,2.51,2.6,2.51,2.55,14629,0
PDA.DE,D,20070402,000000,2.54,2.54,2.54,2.54,1778,0
PDA.DE,D,20070403,000000,2.5,2.53,2.49,2.53,17561,0
PDA.DE,D,20070404,000000,2.59,2.73,2.59,2.7,19378,0
PDA.DE,D,20070405,000000,2.7,2.7,2.67,2.67,6081,0
PDA.DE,D,20070410,000000,2.65,2.67,2.65,2.65,3000,0
PDA.DE,D,20070411,000000,2.62,2.67,2.56,2.67,6423,0
PDA.DE,D,20070412,000000,2.67,2.73,2.57,2.67,6980,0
PDA.DE,D,20070413,000000,2.6,2.69,2.6,2.68,2941,0
PDA.DE,D,20070416,000000,2.69,2.69,2.55,2.6,6729,0
PDA.DE,D,20070417,000000,2.6,2.6,2.55,2.6,1300,0
PDA.DE,D,20070418,000000,2.52,2.6,2.52,2.6,2300,0
PDA.DE,D,20070419,000000,2.51,2.6,2.51,2.6,630,0
PDA.DE,D,20070420,000000,2.55,2.64,2.5,2.6,11611,0
PDA.DE,D,20070423,000000,2.5,2.6,2.5,2.6,480,0
PDA.DE,D,20070424,000000,2.51,2.6,2.51,2.6,345,0
PDA.DE,D,20070425,000000,2.6,2.6,2.6,2.6,100,0
PDA.DE,D,20070426,000000,2.52,2.73,2.52,2.73,25758,0
PDA.DE,D,20070427,000000,2.6,2.73,2.6,2.73,793,0
PDA.DE,D,20070430,000000,2.6,2.72,2.6,2.7,10015,0
PDA.DE,D,20070502,000000,2.62,2.62,2.62,2.62,4500,0
PDA.DE,D,20070503,000000,2.58,2.58,2.58,2.58,670,0
PDA.DE,D,20070504,000000,2.51,2.55,2.51,2.55,1934,0
PDA.DE,D,20070507,000000,2.53,2.55,2.53,2.55,102,0
PDA.DE,D,20070508,000000,2.54,2.56,2.54,2.56,6460,0
PDA.DE,D,20070509,000000,2.56,2.63,2.56,2.6,362,0
PDA.DE,D,20070510,000000,2.6,2.6,2.55,2.6,2395,0
PDA.DE,D,20070511,000000,2.6,2.6,2.6,2.6,115,0
PDA.DE,D,20070514,000000,2.55,2.6,2.53,2.6,3198,0
