<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFV.DE,D,20070102,000000,40.402366,41.498192,40.402366,41.336309,16482,0
PFV.DE,D,20070103,000000,41.65385,42.52553,41.006316,41.70366,54980,0
PFV.DE,D,20070104,000000,41.280272,41.286499,39.617854,40.252935,48374,0
PFV.DE,D,20070105,000000,40.252935,40.470855,38.472218,39.238051,23621,0
PFV.DE,D,20070108,000000,39.225598,40.284067,38.951642,39.972753,25585,0
PFV.DE,D,20070109,000000,39.972753,41.21801,39.79219,41.093484,31641,0
PFV.DE,D,20070110,000000,40.875564,40.875564,39.842001,40.56425,21270,0
PFV.DE,D,20070115,000000,39.916716,41.336309,39.916716,41.093484,22404,0
PFV.DE,D,20070116,000000,41.404798,42.083463,41.093484,41.716112,20448,0
PFV.DE,D,20070117,000000,41.747244,42.176858,41.716112,42.027427,20234,0
PFV.DE,D,20070118,000000,41.716112,42.207989,41.684981,41.716112,45252,0
PFV.DE,D,20070119,000000,41.716112,42.0212,41.65385,41.716112,45192,0
PFV.DE,D,20070122,000000,41.716112,42.183084,41.429703,42.08969,7825,0
PFV.DE,D,20070123,000000,41.840638,42.276478,41.728565,42.276478,12910,0
PFV.DE,D,20070124,000000,42.151952,42.320062,41.647623,41.716112,37039,0
PFV.DE,D,20070125,000000,41.684981,41.87177,41.65385,41.716112,50800,0
PFV.DE,D,20070126,000000,41.65385,41.65385,41.130842,41.404798,19325,0
PFV.DE,D,20070129,000000,41.186878,41.510645,41.018768,41.137068,23760,0
PFV.DE,D,20070130,000000,41.093484,41.298951,39.848227,40.340103,20683,0
PFV.DE,D,20070131,000000,40.140862,41.323856,40.140862,41.280272,14851,0
PFV.DE,D,20070201,000000,41.280272,42.058558,41.280272,41.958938,11489,0
PFV.DE,D,20070202,000000,42.027427,44.044743,41.778375,43.272684,56841,0
PFV.DE,D,20070205,000000,42.930238,42.930238,41.21801,42.027427,24772,0
PFV.DE,D,20070206,000000,42.955143,43.571546,42.183084,42.650055,49155,0
PFV.DE,D,20070207,000000,42.183084,42.519303,41.709886,42.108368,35568,0
PFV.DE,D,20070208,000000,42.1395,42.1395,41.361214,41.361214,19953,0
PFV.DE,D,20070209,000000,41.411024,42.550435,41.411024,42.071011,18977,0
PFV.DE,D,20070212,000000,42.344967,42.724771,41.909127,42.494398,31384,0
PFV.DE,D,20070213,000000,41.87177,42.562887,41.87177,42.264026,11650,0
PFV.DE,D,20070214,000000,42.338741,42.96137,42.338741,42.74345,10332,0
PFV.DE,D,20070215,000000,42.718544,43.073443,42.650055,42.706092,9755,0
PFV.DE,D,20070216,000000,42.338741,42.818165,41.597813,41.958938,35877,0
PFV.DE,D,20070219,000000,42.338741,42.469493,41.404798,41.635171,31698,0
PFV.DE,D,20070220,000000,41.529324,42.052332,41.529324,41.529324,17210,0
PFV.DE,D,20070221,000000,42.120821,42.120821,41.392346,41.610266,12511,0
PFV.DE,D,20070222,000000,41.579134,41.647623,40.78217,40.925374,8979,0
PFV.DE,D,20070226,000000,41.031221,41.379893,40.620286,41.174426,8784,0
