<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNT.DE,D,20210120,000000,48,48,48,48,47,0
PNT.DE,D,20210121,000000,47.2,47.2,47.2,47.2,0,0
PNT.DE,D,20210122,000000,47.2,47.2,47.2,47.2,0,0
PNT.DE,D,20210125,000000,47.4,47.4,47.4,47.4,0,0
PNT.DE,D,20210126,000000,47,47,47,47,0,0
PNT.DE,D,20210127,000000,46.2,46.2,46.2,46.2,0,0
PNT.DE,D,20210129,000000,45,45,44.4,44.4,59,0
PNT.DE,D,20210201,000000,44.8,44.8,44.8,44.8,0,0
PNT.DE,D,20210202,000000,45.6,45.6,45.6,45.6,0,0
PNT.DE,D,20210203,000000,45,45,45,45,0,0
PNT.DE,D,20210204,000000,45.2,45.2,45.2,45.2,0,0
PNT.DE,D,20210205,000000,45.6,45.6,45.6,45.6,0,0
PNT.DE,D,20210208,000000,46.4,46.4,46.4,46.4,0,0
PNT.DE,D,20210209,000000,45.6,45.6,45.6,45.6,0,0
PNT.DE,D,20210210,000000,45,45,45,45,0,0
PNT.DE,D,20210211,000000,45,45,45,45,0,0
PNT.DE,D,20210212,000000,44.4,44.4,44.4,44.4,0,0
PNT.DE,D,20210215,000000,44.2,44.2,44.2,44.2,0,0
PNT.DE,D,20210216,000000,45,45,44.6,44.6,4,0
PNT.DE,D,20210217,000000,45.2,45.2,45.2,45.2,0,0
PNT.DE,D,20210218,000000,44.8,44.8,44.8,44.8,0,0
PNT.DE,D,20210219,000000,46.8,47,46.6,46.6,28,0
PNT.DE,D,20210222,000000,45.8,45.8,45.8,45.8,18,0
PNT.DE,D,20210223,000000,45.6,45.6,45.6,45.6,0,0
PNT.DE,D,20210225,000000,46.6,46.6,46.6,46.6,0,0
PNT.DE,D,20210226,000000,47,47,47,47,0,0
PNT.DE,D,20210303,000000,48.4,48.4,48.4,48.4,0,0
PNT.DE,D,20210304,000000,47.2,47.4,47.2,47.4,25,0
PNT.DE,D,20210305,000000,47,47,47,47,0,0
PNT.DE,D,20210308,000000,49.4,50.5,49.4,50.5,6,0
PNT.DE,D,20210309,000000,50.5,50.5,50.5,50.5,0,0
PNT.DE,D,20210310,000000,51,51,51,51,0,0
PNT.DE,D,20210311,000000,50.5,50.5,50.5,50.5,0,0
PNT.DE,D,20210312,000000,50,50,50,50,0,0
PNT.DE,D,20210315,000000,49.2,49.2,49.2,49.2,25,0
PNT.DE,D,20210317,000000,52,52,52,52,33,0
PNT.DE,D,20210318,000000,52,52,52,52,0,0
PNT.DE,D,20210319,000000,52,52,52,52,0,0
PNT.DE,D,20210323,000000,50.5,50.5,50.5,50.5,0,0
PNT.DE,D,20210324,000000,51,51,51,51,0,0
PNT.DE,D,20210325,000000,51.5,51.5,51.5,51.5,0,0
PNT.DE,D,20210326,000000,52.5,52.5,52.5,52.5,0,0
PNT.DE,D,20210329,000000,53.5,53.5,53,53,271,0
PNT.DE,D,20210330,000000,53.5,53.5,53.5,53.5,0,0
PNT.DE,D,20210331,000000,53.5,53.5,53.5,53.5,0,0
PNT.DE,D,20210401,000000,53.5,53.5,53.5,53.5,0,0
PNT.DE,D,20210406,000000,53,53,53,53,0,0
PNT.DE,D,20210407,000000,52,52,52,52,0,0
PNT.DE,D,20210408,000000,51.5,51.5,51.5,51.5,0,0
PNT.DE,D,20210409,000000,50.5,51.5,50.5,51.5,20,0
PNT.DE,D,20210413,000000,52.5,52.5,52.5,52.5,0,0
PNT.DE,D,20210414,000000,53.5,53.5,52.5,52.5,16,0
PNT.DE,D,20210415,000000,52.5,52.5,52.5,52.5,0,0
PNT.DE,D,20210416,000000,53,53,53,53,0,0
PNT.DE,D,20210419,000000,53.5,53.5,53.5,53.5,0,0
PNT.DE,D,20210420,000000,54,54,53,53,16,0
PNT.DE,D,20210421,000000,53,53,53,53,0,0
PNT.DE,D,20210423,000000,54,54,54,54,100,0
PNT.DE,D,20210426,000000,53.5,53.5,53.5,53.5,0,0
PNT.DE,D,20210427,000000,53.5,53.5,53.5,53.5,60,0
PNT.DE,D,20210428,000000,53.5,53.5,53.5,53.5,30,0
PNT.DE,D,20210429,000000,54.5,54.5,53,53.5,175,0
PNT.DE,D,20210430,000000,53.5,53.5,53.5,53.5,11,0
PNT.DE,D,20210503,000000,54.5,54.5,54,54,11,0
PNT.DE,D,20210504,000000,54.5,55,54.5,55,41,0
PNT.DE,D,20210505,000000,56,56.5,56,56,17,0
PNT.DE,D,20210506,000000,56,56,56,56,0,0
PNT.DE,D,20210507,000000,56,56,56,56,0,0
PNT.DE,D,20210510,000000,57.5,57.5,57.5,57.5,0,0
PNT.DE,D,20210511,000000,58,58,58,58,10,0
PNT.DE,D,20210513,000000,55.5,55.5,55.5,55.5,0,0
PNT.DE,D,20210514,000000,57,57,57,57,0,0
PNT.DE,D,20210517,000000,56,56,56,56,0,0
PNT.DE,D,20210518,000000,56,56,56,56,0,0
PNT.DE,D,20210519,000000,54.5,54.5,54.5,54.5,0,0
PNT.DE,D,20210520,000000,55.5,55.5,55.5,55.5,0,0
PNT.DE,D,20210521,000000,56.5,56.5,56.5,56.5,0,0
PNT.DE,D,20210525,000000,56,56,56,56,493,0
PNT.DE,D,20210526,000000,56,56,56,56,89,0
PNT.DE,D,20210527,000000,56.5,57,56.5,57,267,0
PNT.DE,D,20210528,000000,57,57,57,57,0,0
PNT.DE,D,20210531,000000,58,58,56.5,56.5,28,0
PNT.DE,D,20210601,000000,57,58,57,58,264,0
PNT.DE,D,20210602,000000,57.5,58,57.5,58,872,0
PNT.DE,D,20210603,000000,58.5,58.5,58,58,20,0
PNT.DE,D,20210604,000000,56.5,56.5,56.5,56.5,0,0
PNT.DE,D,20210607,000000,57,57,57,57,0,0
PNT.DE,D,20210608,000000,57,57,57,57,0,0
PNT.DE,D,20210609,000000,57.5,57.5,57.5,57.5,0,0
PNT.DE,D,20210611,000000,55.5,55.5,55.5,55.5,0,0
PNT.DE,D,20210614,000000,55,55,55,55,0,0
PNT.DE,D,20210615,000000,55,55,55,55,0,0
PNT.DE,D,20210616,000000,56.5,56.5,55.5,56,292,0
PNT.DE,D,20210617,000000,55,55,55,55,0,0
PNT.DE,D,20210618,000000,54.5,54.5,54.5,54.5,0,0
PNT.DE,D,20210621,000000,55.5,55.5,55.5,55.5,0,0
PNT.DE,D,20210622,000000,56,56,56,56,0,0
PNT.DE,D,20210623,000000,56,56,56,56,0,0
PNT.DE,D,20210624,000000,55.5,55.5,55.5,55.5,0,0
PNT.DE,D,20210625,000000,56.5,56.5,56.5,56.5,0,0
PNT.DE,D,20210628,000000,56,56,56,56,0,0
PNT.DE,D,20210629,000000,56.5,56.5,56.5,56.5,0,0
