<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPX.DE,D,20070102,000000,72.184988,72.184988,72.184988,72.184988,0,0
PPX.DE,D,20070103,000000,72.184988,72.184988,72.184988,72.184988,0,0
PPX.DE,D,20070104,000000,72.184988,72.184988,72.184988,72.184988,0,0
PPX.DE,D,20070105,000000,72.184988,72.184988,72.184988,72.184988,0,0
PPX.DE,D,20070108,000000,71.750919,74.50434,71.750919,74.50434,81,0
PPX.DE,D,20070109,000000,74.50434,74.50434,74.50434,74.50434,0,0
PPX.DE,D,20070110,000000,73.208613,73.208613,72.884681,72.884681,80,0
PPX.DE,D,20070115,000000,76.124,76.124,76.124,76.124,40,0
PPX.DE,D,20070116,000000,76.124,76.124,76.124,76.124,0,0
PPX.DE,D,20070117,000000,76.124,76.124,76.124,76.124,0,0
PPX.DE,D,20070118,000000,72.748629,72.748629,72.748629,72.748629,20,0
PPX.DE,D,20070119,000000,72.748629,72.748629,72.748629,72.748629,0,0
PPX.DE,D,20070122,000000,72.748629,72.748629,72.748629,72.748629,0,0
PPX.DE,D,20070123,000000,72.748629,72.748629,72.748629,72.748629,0,0
PPX.DE,D,20070124,000000,72.748629,72.748629,72.748629,72.748629,0,0
PPX.DE,D,20070125,000000,71.200235,71.200235,71.200235,71.200235,10,0
PPX.DE,D,20070126,000000,72.372868,72.372868,72.372868,72.372868,50,0
PPX.DE,D,20070129,000000,73.597331,73.597331,73.597331,73.597331,18,0
PPX.DE,D,20070130,000000,73.597331,73.597331,73.597331,73.597331,0,0
PPX.DE,D,20070131,000000,74.17393,74.17393,74.17393,74.17393,20,0
PPX.DE,D,20070201,000000,74.17393,74.17393,74.17393,74.17393,0,0
PPX.DE,D,20070202,000000,74.17393,74.50434,74.17393,74.50434,199,0
PPX.DE,D,20070205,000000,74.07675,74.07675,74.07675,74.07675,50,0
PPX.DE,D,20070206,000000,73.739861,73.739861,73.739861,73.739861,48,0
PPX.DE,D,20070207,000000,74.050836,74.050836,74.050836,74.050836,125,0
PPX.DE,D,20070208,000000,74.109143,74.186887,73.882391,73.882391,238,0
PPX.DE,D,20070209,000000,73.882391,73.882391,73.882391,73.882391,0,0
PPX.DE,D,20070212,000000,72.690322,72.690322,72.502441,72.502441,251,0
PPX.DE,D,20070213,000000,72.502441,72.502441,72.502441,72.502441,0,0
PPX.DE,D,20070214,000000,72.502441,72.502441,72.502441,72.502441,0,0
PPX.DE,D,20070215,000000,73.79169,74.549691,73.759297,74.549691,607,0
PPX.DE,D,20070216,000000,74.705178,74.705178,74.705178,74.705178,12,0
PPX.DE,D,20070219,000000,75.022631,75.022631,75.022631,75.022631,39,0
PPX.DE,D,20070220,000000,75.022631,75.022631,75.022631,75.022631,0,0
PPX.DE,D,20070221,000000,75.022631,75.022631,75.022631,75.022631,0,0
PPX.DE,D,20070222,000000,76.726513,76.726513,76.45441,76.45441,150,0
PPX.DE,D,20070226,000000,77.581693,77.64648,77.581693,77.64648,100,0
PPX.DE,D,20070227,000000,77.64648,77.64648,77.64648,77.64648,0,0
PPX.DE,D,20070228,000000,73.208613,73.208613,73.208613,73.208613,15,0
PPX.DE,D,20070301,000000,73.208613,73.208613,73.208613,73.208613,0,0
PPX.DE,D,20070302,000000,73.208613,73.208613,73.208613,73.208613,0,0
PPX.DE,D,20070305,000000,70.157174,71.193756,70.157174,71.193756,105,0
PPX.DE,D,20070306,000000,73.007775,73.007775,73.007775,73.007775,10,0
PPX.DE,D,20070307,000000,73.007775,73.007775,73.007775,73.007775,0,0
PPX.DE,D,20070308,000000,73.007775,73.007775,73.007775,73.007775,0,0
PPX.DE,D,20070309,000000,73.007775,73.007775,73.007775,73.007775,0,0
PPX.DE,D,20070312,000000,76.396103,76.396103,75.98147,75.98147,30,0
PPX.DE,D,20070313,000000,75.98147,75.98147,75.98147,75.98147,0,0
PPX.DE,D,20070314,000000,75.98147,75.98147,75.98147,75.98147,0,0
PPX.DE,D,20070315,000000,75.340085,75.346563,75.340085,75.346563,130,0
PPX.DE,D,20070316,000000,75.346563,75.346563,75.346563,75.346563,0,0
PPX.DE,D,20070319,000000,75.346563,75.346563,75.346563,75.346563,0,0
PPX.DE,D,20070320,000000,75.346563,75.346563,75.346563,75.346563,0,0
PPX.DE,D,20070321,000000,76.966223,77.069881,76.966223,77.069881,75,0
PPX.DE,D,20070322,000000,77.069881,77.069881,77.069881,77.069881,0,0
PPX.DE,D,20070323,000000,77.069881,77.069881,77.069881,77.069881,0,0
PPX.DE,D,20070326,000000,78.819113,79.078259,77.607608,77.607608,290,0
PPX.DE,D,20070327,000000,77.380856,77.614087,77.380856,77.614087,54,0
PPX.DE,D,20070328,000000,77.296633,77.296633,76.959744,76.959744,110,0
PPX.DE,D,20070329,000000,76.959744,76.959744,76.959744,76.959744,0,0
PPX.DE,D,20070330,000000,77.814924,77.821403,77.542822,77.542822,150,0
PPX.DE,D,20070402,000000,77.542822,77.542822,77.542822,77.542822,0,0
PPX.DE,D,20070403,000000,77.542822,77.542822,77.542822,77.542822,0,0
PPX.DE,D,20070404,000000,82.162091,82.531373,82.162091,82.343493,390,0
PPX.DE,D,20070405,000000,82.343493,82.343493,82.343493,82.343493,0,0
PPX.DE,D,20070410,000000,84.416657,87.455138,84.416657,84.766503,352,0
PPX.DE,D,20070411,000000,85.848436,87.455138,84.390742,84.390742,266,0
PPX.DE,D,20070412,000000,84.008503,85.608726,82.73869,85.44676,447,0
PPX.DE,D,20070413,000000,83.380075,85.809564,82.732211,83.062621,598,0
PPX.DE,D,20070416,000000,83.120929,83.619784,83.120929,83.619784,338,0
PPX.DE,D,20070417,000000,82.88122,82.971921,82.278706,82.971921,97,0
PPX.DE,D,20070418,000000,83.250502,83.250502,83.250502,83.250502,35,0
PPX.DE,D,20070419,000000,80.989457,81.30691,80.989457,81.16438,190,0
PPX.DE,D,20070420,000000,82.4018,82.537852,82.272228,82.537852,122,0
PPX.DE,D,20070423,000000,84.222298,84.222298,82.285185,82.596159,339,0
PPX.DE,D,20070424,000000,84.753546,84.753546,82.848826,82.848826,120,0
PPX.DE,D,20070425,000000,82.92657,83.0691,82.64151,82.913613,365,0
PPX.DE,D,20070426,000000,83.788229,83.788229,82.92657,82.92657,81,0
PPX.DE,D,20070427,000000,83.030228,83.289374,83.030228,83.16628,120,0
PPX.DE,D,20070430,000000,83.179237,83.179237,83.017271,83.017271,60,0
PPX.DE,D,20070502,000000,83.017271,83.017271,83.017271,83.017271,0,0
PPX.DE,D,20070503,000000,81.915902,82.531373,81.915902,82.272228,370,0
PPX.DE,D,20070504,000000,82.414758,82.414758,82.414758,82.414758,25,0
PPX.DE,D,20070507,000000,82.408279,82.408279,82.35645,82.35645,89,0
PPX.DE,D,20070508,000000,82.272228,82.278706,82.272228,82.278706,60,0
PPX.DE,D,20070509,000000,82.278706,83.017271,82.278706,82.725732,190,0
PPX.DE,D,20070510,000000,81.902945,82.673903,81.902945,82.673903,66,0
PPX.DE,D,20070511,000000,82.440672,82.447151,81.40409,81.40409,420,0
PPX.DE,D,20070514,000000,82.673903,82.855305,82.531373,82.764604,350,0
PPX.DE,D,20070515,000000,82.764604,82.764604,82.764604,82.764604,0,0
PPX.DE,D,20070516,000000,82.764604,82.764604,82.764604,82.764604,0,0
PPX.DE,D,20070517,000000,84.222298,84.222298,84.222298,84.222298,38,0
PPX.DE,D,20070518,000000,84.222298,84.222298,84.222298,84.222298,0,0
PPX.DE,D,20070521,000000,84.429614,84.429614,84.429614,84.429614,6,0
PPX.DE,D,20070522,000000,84.598059,84.598059,84.598059,84.598059,90,0
PPX.DE,D,20070523,000000,84.915512,84.915512,84.300041,84.300041,25,0
PPX.DE,D,20070524,000000,87.131206,87.221907,86.96924,86.96924,150,0
PPX.DE,D,20070525,000000,86.787838,87.040505,86.548129,86.787838,365,0
PPX.DE,D,20070528,000000,86.787838,87.040505,86.548129,86.787838,365,0
