<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRAG.DE,D,20200203,000000,20.342,20.347,20.342,20.347,0,0
PRAG.DE,D,20200204,000000,20.316,20.316,20.298,20.298,0,0
PRAG.DE,D,20200205,000000,20.263,20.266,20.263,20.266,0,0
PRAG.DE,D,20200206,000000,20.219,20.268,20.219,20.268,0,0
PRAG.DE,D,20200207,000000,20.369,20.396,20.369,20.396,0,0
PRAG.DE,D,20200210,000000,20.414,20.492,20.414,20.492,0,0
PRAG.DE,D,20200211,000000,20.451,20.462,20.451,20.462,0,0
PRAG.DE,D,20200212,000000,20.424,20.459,20.424,20.459,0,0
PRAG.DE,D,20200213,000000,20.543,20.543,20.524,20.524,0,0
PRAG.DE,D,20200214,000000,20.621,20.629,20.613,20.613,70,0
PRAG.DE,D,20200217,000000,20.604,20.62,20.604,20.62,0,0
PRAG.DE,D,20200218,000000,20.639,20.65,20.639,20.65,0,0
PRAG.DE,D,20200219,000000,20.653,20.667,20.635,20.635,0,0
PRAG.DE,D,20200220,000000,20.58,20.626,20.58,20.626,0,0
PRAG.DE,D,20200221,000000,20.679,20.679,20.601,20.601,0,0
PRAG.DE,D,20200224,000000,20.692,20.704,20.692,20.692,0,0
PRAG.DE,D,20200225,000000,20.697,20.758,20.697,20.742,0,0
PRAG.DE,D,20200226,000000,20.706,20.706,20.674,20.674,0,0
PRAG.DE,D,20200227,000000,20.655,20.655,20.608,20.608,0,0
PRAG.DE,D,20200228,000000,20.798,20.821,20.687,20.687,16028,0
PRAG.DE,D,20200302,000000,20.665,20.665,20.575,20.575,0,0
PRAG.DE,D,20200303,000000,20.584,20.653,20.573,20.653,0,0
PRAG.DE,D,20200304,000000,20.683,20.73,20.683,20.73,0,0
PRAG.DE,D,20200305,000000,20.688,20.714,20.683,20.714,0,0
PRAG.DE,D,20200306,000000,20.782,20.822,20.756,20.822,0,0
PRAG.DE,D,20200309,000000,22,22,22,22,1999,0
PRAG.DE,D,20200310,000000,20.739,20.859,20.739,20.859,751,0
PRAG.DE,D,20200311,000000,20.78,20.832,20.78,20.832,0,0
PRAG.DE,D,20200312,000000,20.937,20.937,20.85,20.85,0,0
PRAG.DE,D,20200313,000000,20.547,20.603,20.514,20.589,827,0
PRAG.DE,D,20200316,000000,19.25,19.25,19.25,19.25,1500,0
PRAG.DE,D,20200318,000000,20.146,20.463,20.146,20.411,891,0
PRAG.DE,D,20200319,000000,20.532,20.631,20.532,20.631,0,0
PRAG.DE,D,20200320,000000,20.709,20.833,20.709,20.833,0,0
PRAG.DE,D,20200323,000000,20.907,20.907,20.844,20.844,0,0
PRAG.DE,D,20200324,000000,20.635,20.635,20.621,20.621,0,0
PRAG.DE,D,20200325,000000,20.665,20.665,20.566,20.566,0,0
PRAG.DE,D,20200326,000000,20.527,20.529,20.5,20.5,0,0
PRAG.DE,D,20200327,000000,20.552,20.62,20.552,20.61,0,0
PRAG.DE,D,20200330,000000,20.63,20.664,20.63,20.664,0,0
PRAG.DE,D,20200331,000000,20.699,20.716,20.638,20.638,3,0
PRAG.DE,D,20200401,000000,20.681,20.777,20.681,20.777,0,0
PRAG.DE,D,20200402,000000,20.768,20.867,20.768,20.867,0,0
PRAG.DE,D,20200403,000000,20.902,21.021,20.902,21.021,0,0
PRAG.DE,D,20200406,000000,20.823,20.855,20.823,20.855,0,0
PRAG.DE,D,20200407,000000,20.712,20.82,20.712,20.79,0,0
PRAG.DE,D,20200408,000000,20.85,20.85,20.84,20.846,0,0
PRAG.DE,D,20200409,000000,20.847,20.95,20.833,20.833,890,0
PRAG.DE,D,20200414,000000,20.825,20.855,20.825,20.825,0,0
PRAG.DE,D,20200415,000000,20.848,20.931,20.766,20.931,1227,0
PRAG.DE,D,20200416,000000,20.949,21.06,20.949,21.06,0,0
PRAG.DE,D,20200417,000000,21.03,21.053,21.026,21.026,0,0
PRAG.DE,D,20200420,000000,21.004,21.004,20.957,20.957,0,0
PRAG.DE,D,20200421,000000,21.039,21.064,21.008,21.008,0,0
PRAG.DE,D,20200422,000000,21.004,21.004,20.98,20.99,0,0
PRAG.DE,D,20200423,000000,21.009,21.115,21.009,21.072,0,0
PRAG.DE,D,20200424,000000,21.194,21.194,21.142,21.142,0,0
PRAG.DE,D,20200427,000000,21.128,21.128,21.099,21.099,0,0
PRAG.DE,D,20200428,000000,21.141,21.145,21.079,21.145,0,0
PRAG.DE,D,20200429,000000,21.135,21.186,21.135,21.164,0,0
