<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSH.DE,D,20210208,000000,1.1,1.29,1.1,1.225,271595,0
PSH.DE,D,20210209,000000,1.32,1.39,1.245,1.255,100981,0
PSH.DE,D,20210210,000000,1.25,1.27,1.08,1.125,68940,0
PSH.DE,D,20210211,000000,1.17,1.25,1.14,1.23,9398,0
PSH.DE,D,20210212,000000,1.14,1.215,1.13,1.18,32675,0
PSH.DE,D,20210215,000000,1.17,1.17,1.13,1.145,24534,0
PSH.DE,D,20210216,000000,1.17,1.17,1.085,1.128,20373,0
PSH.DE,D,20210217,000000,1.136,1.136,0.98,1.05,77271,0
PSH.DE,D,20210218,000000,1.1,1.1498,1.08,1.085,59201,0
PSH.DE,D,20210219,000000,1.1,1.11,1,1.045,31008,0
PSH.DE,D,20210222,000000,1.06,1.09,1.015,1.0226,46006,0
PSH.DE,D,20210223,000000,1.005,1.03,0.91,0.985,93997,0
PSH.DE,D,20210224,000000,0.99,1.05,0.96,1.035,128820,0
PSH.DE,D,20210225,000000,1.12,1.14,1.06,1.06,96869,0
PSH.DE,D,20210226,000000,1.05,1.05,0.97,0.975,48495,0
PSH.DE,D,20210301,000000,1.03,1.03,0.98,1.0026,56762,0
PSH.DE,D,20210302,000000,1.04,1.04,0.97,0.995,33830,0
PSH.DE,D,20210303,000000,0.98,0.99,0.875,0.9,44320,0
PSH.DE,D,20210304,000000,0.9,0.91,0.83,0.84,52704,0
PSH.DE,D,20210305,000000,0.855,0.9,0.83,0.835,26925,0
PSH.DE,D,20210308,000000,0.943,0.95,0.905,0.91,34924,0
PSH.DE,D,20210309,000000,0.8701,0.8999,0.8211,0.845,18430,0
PSH.DE,D,20210310,000000,0.8599,0.88,0.84,0.845,39304,0
PSH.DE,D,20210311,000000,0.88,0.8899,0.847,0.861,21020,0
PSH.DE,D,20210312,000000,0.8999,0.8999,0.8801,0.885,3460,0
PSH.DE,D,20210315,000000,0.88,0.99,0.8799,0.945,59060,0
PSH.DE,D,20210316,000000,1.1298,1.13,1.01,1.06,29061,0
PSH.DE,D,20210317,000000,1.025,1.08,1,1.065,28722,0
PSH.DE,D,20210318,000000,1.1,1.14,1.04,1.075,83394,0
PSH.DE,D,20210319,000000,1.055,1.08,1.015,1.045,38673,0
PSH.DE,D,20210322,000000,1.045,1.095,1.045,1.08,27546,0
PSH.DE,D,20210323,000000,1.12,1.12,1.08,1.105,23382,0
PSH.DE,D,20210324,000000,1.105,1.11,1.035,1.055,37079,0
PSH.DE,D,20210325,000000,1.075,1.075,1,1.005,20384,0
PSH.DE,D,20210326,000000,1.095,1.095,0.98,1.025,61105,0
PSH.DE,D,20210329,000000,1.05,1.05,0.97,1.015,25280,0
PSH.DE,D,20210330,000000,1,1.02,1,1.005,20713,0
PSH.DE,D,20210331,000000,1.03,1.045,1,1.025,7396,0
PSH.DE,D,20210401,000000,1.02,1.025,1.02,1.025,2950,0
PSH.DE,D,20210406,000000,1.09,1.13,1.06,1.095,14301,0
PSH.DE,D,20210407,000000,1.08,1.115,1.065,1.065,26971,0
PSH.DE,D,20210408,000000,1.06,1.1,1.06,1.07,40000,0
PSH.DE,D,20210409,000000,1.05,1.095,1.05,1.06,8277,0
PSH.DE,D,20210412,000000,1.04,1.055,1,1.015,46709,0
PSH.DE,D,20210413,000000,1.04,1.04,1,1.035,11250,0
PSH.DE,D,20210414,000000,1.085,1.085,1.03,1.05,27640,0
PSH.DE,D,20210415,000000,1.07,1.07,1.02,1.03,16832,0
PSH.DE,D,20210416,000000,1.005,1.005,0.98,0.996,18552,0
PSH.DE,D,20210419,000000,0.99,1.015,0.972,1,16483,0
PSH.DE,D,20210420,000000,1.015,1.035,0.95,0.968,26825,0
PSH.DE,D,20210421,000000,0.958,1,0.944,0.98,28386,0
PSH.DE,D,20210422,000000,1.01,1.01,0.976,0.976,18742,0
PSH.DE,D,20210423,000000,0.952,0.97,0.952,0.97,200,0
PSH.DE,D,20210426,000000,0.998,1,0.95,0.986,55552,0
PSH.DE,D,20210427,000000,1,1.025,0.99,0.996,14749,0
PSH.DE,D,20210428,000000,0.98,0.998,0.952,0.97,42598,0
PSH.DE,D,20210429,000000,0.942,0.988,0.942,0.976,1120,0
PSH.DE,D,20210430,000000,0.952,0.968,0.94,0.946,6400,0
PSH.DE,D,20210503,000000,0.92,0.94,0.888,0.91,19125,0
PSH.DE,D,20210504,000000,0.9,0.92,0.872,0.882,22061,0
PSH.DE,D,20210505,000000,0.93,0.96,0.91,0.946,31278,0
PSH.DE,D,20210506,000000,0.942,0.972,0.942,0.966,11829,0
PSH.DE,D,20210507,000000,0.998,0.998,0.932,0.956,4410,0
PSH.DE,D,20210510,000000,0.93,0.964,0.93,0.964,8737,0
PSH.DE,D,20210511,000000,0.914,0.92,0.892,0.916,14012,0
PSH.DE,D,20210512,000000,0.94,0.95,0.94,0.95,2830,0
PSH.DE,D,20210513,000000,0.926,0.972,0.924,0.936,2411,0
PSH.DE,D,20210514,000000,0.912,0.916,0.91,0.916,2900,0
PSH.DE,D,20210517,000000,0.918,0.95,0.918,0.934,21715,0
PSH.DE,D,20210518,000000,0.902,0.922,0.902,0.912,90121,0
PSH.DE,D,20210519,000000,0.95,0.95,0.89,0.896,14520,0
PSH.DE,D,20210520,000000,0.9,0.938,0.9,0.916,6500,0
PSH.DE,D,20210521,000000,0.89,0.906,0.89,0.906,500,0
PSH.DE,D,20210525,000000,0.882,0.906,0.882,0.906,700,0
PSH.DE,D,20210526,000000,0.88,0.88,0.876,0.876,3400,0
PSH.DE,D,20210527,000000,0.862,0.88,0.862,0.87,5100,0
PSH.DE,D,20210528,000000,0.852,0.866,0.852,0.866,400,0
PSH.DE,D,20210531,000000,0.85,0.906,0.842,0.906,27725,0
PSH.DE,D,20210601,000000,0.882,0.966,0.882,0.966,44374,0
PSH.DE,D,20210602,000000,1.01,1.045,0.972,1.045,15090,0
PSH.DE,D,20210603,000000,1.07,1.07,0.992,1.015,5964,0
PSH.DE,D,20210604,000000,1.02,1.045,1,1.03,18430,0
PSH.DE,D,20210607,000000,1.06,1.13,1.055,1.085,71960,0
PSH.DE,D,20210608,000000,1.06,1.06,1,1.015,32055,0
PSH.DE,D,20210609,000000,0.97,1.025,0.97,0.986,12700,0
PSH.DE,D,20210610,000000,1.01,1.01,1.005,1.005,200,0
PSH.DE,D,20210611,000000,1.025,1.025,0.992,0.992,2500,0
PSH.DE,D,20210614,000000,1.005,1.03,0.97,0.97,5650,0
PSH.DE,D,20210615,000000,0.948,0.948,0.9,0.91,10450,0
PSH.DE,D,20210616,000000,0.92,0.95,0.92,0.946,3500,0
PSH.DE,D,20210617,000000,0.928,0.952,0.922,0.95,4006,0
PSH.DE,D,20210618,000000,0.954,0.956,0.93,0.946,550,0
PSH.DE,D,20210621,000000,0.92,0.93,0.916,0.916,9173,0
PSH.DE,D,20210622,000000,0.94,0.96,0.906,0.93,35093,0
PSH.DE,D,20210623,000000,0.96,0.988,0.95,0.966,7200,0
PSH.DE,D,20210624,000000,1.02,1.035,0.978,0.978,17607,0
PSH.DE,D,20210625,000000,0.988,1.005,0.988,1.005,14000,0
PSH.DE,D,20210628,000000,0.98,1.02,0.956,0.996,45088,0
PSH.DE,D,20210629,000000,1.02,1.02,0.972,0.986,4489,0
PSH.DE,D,20210630,000000,1.01,1.02,0.996,1,13339,0
PSH.DE,D,20210701,000000,0.982,1.005,0.972,0.99,12018,0
PSH.DE,D,20210702,000000,1.01,1.03,0.99,0.99,12050,0
PSH.DE,D,20210705,000000,0.97,1.005,0.96,0.968,9750,0
PSH.DE,D,20210706,000000,0.976,0.98,0.952,0.972,18325,0
PSH.DE,D,20210707,000000,0.972,0.988,0.94,0.94,1600,0
PSH.DE,D,20210708,000000,0.93,0.938,0.882,0.918,9798,0
PSH.DE,D,20210709,000000,0.93,0.952,0.912,0.936,15100,0
PSH.DE,D,20210712,000000,0.97,0.97,0.924,0.946,5655,0
PSH.DE,D,20210713,000000,0.968,0.968,0.942,0.942,126,0
PSH.DE,D,20210714,000000,0.93,0.93,0.89,0.918,9000,0
PSH.DE,D,20210715,000000,0.942,0.946,0.91,0.928,17773,0
PSH.DE,D,20210716,000000,0.906,0.928,0.904,0.928,10614,0
