<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QDV5.DE,D,20190313,000000,4.7545,4.766,4.744,4.744,5010,0
QDV5.DE,D,20190314,000000,4.739,4.766,4.739,4.752,3155,0
QDV5.DE,D,20190315,000000,4.7845,4.8205,4.7845,4.8115,13977,0
QDV5.DE,D,20190318,000000,4.81,4.8385,4.81,4.8305,14913,0
QDV5.DE,D,20190319,000000,4.818,4.844,4.8075,4.842,13510,0
QDV5.DE,D,20190320,000000,4.834,4.834,4.8125,4.8125,31907,0
QDV5.DE,D,20190321,000000,4.838,4.838,4.823,4.8245,15908,0
QDV5.DE,D,20190322,000000,4.7955,4.802,4.7535,4.759,10255,0
QDV5.DE,D,20190325,000000,4.745,4.7575,4.745,4.7455,568,0
QDV5.DE,D,20190326,000000,4.774,4.821,4.774,4.8035,1898,0
QDV5.DE,D,20190327,000000,4.834,4.834,4.7725,4.7785,9995,0
QDV5.DE,D,20190328,000000,4.8395,4.852,4.8355,4.8405,7884,0
QDV5.DE,D,20190329,000000,4.8745,4.887,4.8725,4.8795,25955,0
QDV5.DE,D,20190401,000000,4.91,4.927,4.8955,4.925,48621,0
QDV5.DE,D,20190402,000000,4.942,4.9635,4.93,4.9595,64786,0
QDV5.DE,D,20190403,000000,4.9755,4.9815,4.9235,4.9505,5782,0
QDV5.DE,D,20190404,000000,4.927,4.927,4.8975,4.92,36710,0
QDV5.DE,D,20190405,000000,4.9105,4.9495,4.9105,4.944,49177,0
QDV5.DE,D,20190408,000000,4.883,4.883,4.8455,4.8585,17765,0
QDV5.DE,D,20190409,000000,4.8555,4.9015,4.8555,4.882,1759,0
QDV5.DE,D,20190410,000000,4.911,4.911,4.8685,4.8845,24641,0
QDV5.DE,D,20190411,000000,4.8815,4.8995,4.874,4.874,4905,0
QDV5.DE,D,20190412,000000,4.8515,4.878,4.8515,4.8545,10344,0
QDV5.DE,D,20190415,000000,4.875,4.875,4.866,4.866,39604,0
QDV5.DE,D,20190416,000000,4.894,4.906,4.894,4.9,11909,0
QDV5.DE,D,20190417,000000,4.904,4.9355,4.9,4.9155,23392,0
QDV5.DE,D,20190418,000000,4.893,4.9385,4.893,4.937,36722,0
QDV5.DE,D,20190423,000000,4.843,4.858,4.825,4.8475,26098,0
QDV5.DE,D,20190424,000000,4.836,4.9,4.836,4.8805,19108,0
QDV5.DE,D,20190425,000000,4.922,4.922,4.8565,4.875,9029,0
QDV5.DE,D,20190426,000000,4.879,4.933,4.879,4.9315,66646,0
QDV5.DE,D,20190429,000000,4.937,4.937,4.9215,4.9215,13921,0
QDV5.DE,D,20190430,000000,4.876,4.9065,4.8625,4.897,37436,0
QDV5.DE,D,20190502,000000,4.9075,4.9075,4.885,4.8865,35674,0
QDV5.DE,D,20190503,000000,4.928,4.933,4.912,4.9195,27326,0
QDV5.DE,D,20190506,000000,4.855,4.8655,4.831,4.847,14966,0
QDV5.DE,D,20190507,000000,4.847,4.857,4.75,4.7545,15096,0
QDV5.DE,D,20190508,000000,4.759,4.759,4.707,4.707,41768,0
QDV5.DE,D,20190509,000000,4.683,4.692,4.5985,4.5985,47013,0
QDV5.DE,D,20190510,000000,4.6815,4.6815,4.6015,4.6015,13887,0
QDV5.DE,D,20190513,000000,4.618,4.618,4.4985,4.51,37183,0
QDV5.DE,D,20190514,000000,4.5455,4.6125,4.5455,4.6125,6185,0
QDV5.DE,D,20190515,000000,4.634,4.634,4.571,4.5815,13078,0
QDV5.DE,D,20190516,000000,4.5975,4.665,4.58,4.6645,26930,0
QDV5.DE,D,20190517,000000,4.6775,4.6985,4.6585,4.6935,25617,0
QDV5.DE,D,20190520,000000,4.8795,4.9035,4.8595,4.8645,53431,0
QDV5.DE,D,20190521,000000,4.8935,4.8935,4.8315,4.8475,9252,0
QDV5.DE,D,20190522,000000,4.837,4.8735,4.837,4.8565,11205,0
QDV5.DE,D,20190523,000000,4.887,4.923,4.819,4.837,98098,0
QDV5.DE,D,20190524,000000,4.8645,4.9035,4.8645,4.893,53757,0
QDV5.DE,D,20190527,000000,4.9255,4.9265,4.9,4.907,89267,0
QDV5.DE,D,20190528,000000,4.9205,4.941,4.905,4.9265,34279,0
QDV5.DE,D,20190529,000000,4.9115,4.9115,4.88,4.907,21349,0
QDV5.DE,D,20190530,000000,4.9475,4.949,4.922,4.9345,8963,0
QDV5.DE,D,20190531,000000,4.928,4.976,4.895,4.9735,17758,0
QDV5.DE,D,20190603,000000,4.9855,5.048,4.9855,5.027,51798,0
QDV5.DE,D,20190604,000000,4.9785,5.005,4.9705,4.9745,81540,0
QDV5.DE,D,20190605,000000,4.9695,4.9905,4.96,4.9615,28507,0
QDV5.DE,D,20190606,000000,4.951,4.951,4.894,4.903,282461,0
QDV5.DE,D,20190607,000000,4.9065,4.919,4.885,4.897,95889,0
QDV5.DE,D,20190611,000000,4.9175,4.933,4.899,4.907,58852,0
QDV5.DE,D,20190612,000000,4.884,4.9045,4.871,4.887,112408,0
QDV5.DE,D,20190613,000000,4.8835,4.9045,4.879,4.884,69130,0
QDV5.DE,D,20190614,000000,4.886,4.886,4.8445,4.8515,11085,0
QDV5.DE,D,20190617,000000,4.8385,4.8385,4.775,4.7945,28662,0
QDV5.DE,D,20190618,000000,4.811,4.8715,4.7965,4.8645,12195,0
QDV5.DE,D,20190619,000000,4.8195,4.82,4.807,4.807,1188,0
QDV5.DE,D,20190620,000000,4.81,4.868,4.81,4.8565,12754,0
QDV5.DE,D,20190621,000000,4.819,4.819,4.782,4.795,28996,0
QDV5.DE,D,20190624,000000,4.763,4.772,4.75,4.7655,22765,0
QDV5.DE,D,20190625,000000,4.77,4.813,4.77,4.813,8036,0
QDV5.DE,D,20190626,000000,4.825,4.8505,4.825,4.8395,36404,0
