<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCMN.DE,D,20121105,000000,1.278142,1.338189,1.269564,1.338189,14900,0
RCMN.DE,D,20121106,000000,1.321033,1.321033,1.321033,1.321033,7900,0
RCMN.DE,D,20121115,000000,1.295299,1.295299,1.295299,1.295299,5000,0
RCMN.DE,D,20121120,000000,1.321033,1.321033,1.321033,1.321033,2000,0
RCMN.DE,D,20121121,000000,1.321033,1.321033,1.321033,1.321033,3000,0
RCMN.DE,D,20121122,000000,1.321033,1.321033,1.321033,1.321033,2110,0
RCMN.DE,D,20121126,000000,1.286721,1.321033,1.286721,1.321033,2510,0
RCMN.DE,D,20121127,000000,1.286721,1.321033,1.286721,1.321033,610,0
RCMN.DE,D,20121129,000000,1.286721,1.321033,1.286721,1.321033,450,0
RCMN.DE,D,20121203,000000,1.321033,1.321033,1.321033,1.321033,3000,0
RCMN.DE,D,20121207,000000,1.286721,1.321033,1.286721,1.321033,5020,0
RCMN.DE,D,20121211,000000,1.315886,1.315886,1.269564,1.269564,4255,0
RCMN.DE,D,20121213,000000,1.252408,1.252408,1.252408,1.252408,150,0
RCMN.DE,D,20121214,000000,1.252408,1.252408,1.252408,1.252408,150,0
RCMN.DE,D,20121217,000000,1.269564,1.269564,1.252408,1.252408,2070,0
RCMN.DE,D,20121221,000000,1.278142,1.280716,1.278142,1.280716,40311,0
RCMN.DE,D,20121227,000000,1.307308,1.321033,1.307308,1.312455,16279,0
RCMN.DE,D,20121228,000000,1.321033,1.321033,1.321033,1.321033,11862,0
RCMN.DE,D,20130102,000000,1.313313,1.321033,1.313313,1.321033,1000,0
RCMN.DE,D,20130103,000000,1.321033,1.321033,1.295299,1.295299,10000,0
RCMN.DE,D,20130104,000000,1.295299,1.295299,1.286721,1.286721,5080,0
RCMN.DE,D,20130107,000000,1.286721,1.303877,1.286721,1.303877,29500,0
RCMN.DE,D,20130108,000000,1.303877,1.303877,1.303877,1.303877,20000,0
RCMN.DE,D,20130110,000000,1.312455,1.312455,1.312455,1.312455,4088,0
RCMN.DE,D,20130115,000000,1.321033,1.321033,1.312455,1.321033,6812,0
RCMN.DE,D,20130116,000000,1.321033,1.321033,1.321033,1.321033,5000,0
RCMN.DE,D,20130118,000000,1.308166,1.321033,1.308166,1.321033,13600,0
RCMN.DE,D,20130121,000000,1.312455,1.321033,1.312455,1.321033,7150,0
RCMN.DE,D,20130122,000000,1.322749,1.322749,1.322749,1.322749,2000,0
RCMN.DE,D,20130123,000000,1.322749,1.338189,1.322749,1.338189,3731,0
RCMN.DE,D,20130124,000000,1.322749,1.338189,1.322749,1.338189,3029,0
RCMN.DE,D,20130125,000000,1.338189,1.338189,1.338189,1.338189,2310,0
RCMN.DE,D,20130129,000000,1.355346,1.355346,1.355346,1.355346,4000,0
RCMN.DE,D,20130131,000000,1.338189,1.338189,1.322749,1.322749,3714,0
RCMN.DE,D,20130201,000000,1.338189,1.338189,1.338189,1.338189,4915,0
RCMN.DE,D,20130204,000000,1.338189,1.355346,1.338189,1.355346,22000,0
RCMN.DE,D,20130208,000000,1.339047,1.339047,1.339047,1.339047,500,0
RCMN.DE,D,20130211,000000,1.339047,1.339047,1.339047,1.339047,6755,0
RCMN.DE,D,20130215,000000,1.338189,1.338189,1.329611,1.329611,4345,0
RCMN.DE,D,20130218,000000,1.321033,1.363924,1.321033,1.363924,9285,0
RCMN.DE,D,20130220,000000,1.312455,1.312455,1.312455,1.312455,1000,0
RCMN.DE,D,20130221,000000,1.312455,1.312455,1.312455,1.312455,4000,0
RCMN.DE,D,20130226,000000,1.303877,1.303877,1.286721,1.286721,58267,0
RCMN.DE,D,20130301,000000,1.285863,1.290152,1.285863,1.286721,29261,0
RCMN.DE,D,20130304,000000,1.260986,1.260986,1.260986,1.260986,1000,0
RCMN.DE,D,20130305,000000,1.252408,1.252408,1.252408,1.252408,3000,0
RCMN.DE,D,20130306,000000,1.252408,1.252408,1.252408,1.252408,4600,0
RCMN.DE,D,20130311,000000,1.262702,1.286721,1.24383,1.24383,21401,0
RCMN.DE,D,20130312,000000,1.24383,1.24383,1.24383,1.24383,4415,0
RCMN.DE,D,20130315,000000,1.262702,1.262702,1.262702,1.262702,1500,0
RCMN.DE,D,20130318,000000,1.286721,1.289294,1.278142,1.286721,36095,0
RCMN.DE,D,20130319,000000,1.278142,1.278142,1.278142,1.278142,2000,0
RCMN.DE,D,20130320,000000,1.252408,1.252408,1.252408,1.252408,3375,0
RCMN.DE,D,20130321,000000,1.252408,1.252408,1.252408,1.252408,4450,0
RCMN.DE,D,20130322,000000,1.269564,1.286721,1.269564,1.286721,4900,0
RCMN.DE,D,20130325,000000,1.286721,1.286721,1.286721,1.286721,16020,0
RCMN.DE,D,20130326,000000,1.286721,1.286721,1.286721,1.286721,10,0
RCMN.DE,D,20130327,000000,1.278142,1.278142,1.278142,1.278142,3500,0
RCMN.DE,D,20130328,000000,1.269564,1.269564,1.269564,1.269564,500,0
RCMN.DE,D,20130402,000000,1.295299,1.295299,1.286721,1.286721,18,0
RCMN.DE,D,20130403,000000,1.286721,1.286721,1.286721,1.286721,100,0
RCMN.DE,D,20130405,000000,1.286721,1.286721,1.27128,1.27128,11448,0
RCMN.DE,D,20130409,000000,1.286721,1.286721,1.27128,1.27128,3000,0
RCMN.DE,D,20130410,000000,1.286721,1.321033,1.282431,1.286721,110100,0
RCMN.DE,D,20130411,000000,1.283289,1.283289,1.274711,1.274711,6050,0
RCMN.DE,D,20130412,000000,1.321033,1.321033,1.321033,1.321033,100,0
RCMN.DE,D,20130415,000000,1.286721,1.286721,1.286721,1.286721,30000,0
RCMN.DE,D,20130416,000000,1.286721,1.286721,1.286721,1.286721,12000,0
RCMN.DE,D,20130417,000000,1.295299,1.295299,1.295299,1.295299,100,0
RCMN.DE,D,20130418,000000,1.295299,1.295299,1.286721,1.295299,2200,0
RCMN.DE,D,20130419,000000,1.286721,1.286721,1.286721,1.286721,2500,0
RCMN.DE,D,20130422,000000,1.295299,1.295299,1.295299,1.295299,100,0
RCMN.DE,D,20130423,000000,1.295299,1.329611,1.295299,1.329611,12050,0
RCMN.DE,D,20130425,000000,1.320175,1.320175,1.320175,1.320175,100,0
RCMN.DE,D,20130426,000000,1.295299,1.312455,1.286721,1.312455,58791,0
RCMN.DE,D,20130429,000000,1.312455,1.315886,1.312455,1.315886,47000,0
RCMN.DE,D,20130430,000000,1.303877,1.303877,1.303877,1.303877,2000,0
RCMN.DE,D,20130502,000000,1.303877,1.303877,1.286721,1.286721,142,0
RCMN.DE,D,20130503,000000,1.312455,1.312455,1.308166,1.308166,4376,0
RCMN.DE,D,20130506,000000,1.325322,1.325322,1.312455,1.312455,17200,0
RCMN.DE,D,20130507,000000,1.325322,1.329611,1.312455,1.312455,8250,0
RCMN.DE,D,20130508,000000,1.325322,1.325322,1.325322,1.325322,4000,0
RCMN.DE,D,20130510,000000,1.329611,1.363924,1.329611,1.363924,1284,0
RCMN.DE,D,20130513,000000,1.338189,1.338189,1.329611,1.329611,2150,0
RCMN.DE,D,20130514,000000,1.329611,1.329611,1.329611,1.329611,7282,0
RCMN.DE,D,20130516,000000,1.3339,1.351057,1.3339,1.351057,2600,0
RCMN.DE,D,20130517,000000,1.351057,1.363924,1.346768,1.363924,6000,0
RCMN.DE,D,20130520,000000,1.334758,1.334758,1.334758,1.334758,560,0
RCMN.DE,D,20130521,000000,1.334758,1.351057,1.334758,1.338189,6000,0
RCMN.DE,D,20130522,000000,1.351057,1.351057,1.351057,1.351057,2000,0
RCMN.DE,D,20130523,000000,1.363924,1.363924,1.363924,1.363924,3150,0
RCMN.DE,D,20130524,000000,1.363924,1.372502,1.363924,1.372502,6265,0
RCMN.DE,D,20130527,000000,1.372502,1.372502,1.372502,1.372502,3000,0
RCMN.DE,D,20130528,000000,1.372502,1.372502,1.372502,1.372502,775,0
RCMN.DE,D,20130531,000000,1.372502,1.372502,1.372502,1.372502,4960,0
RCMN.DE,D,20130604,000000,1.363924,1.363924,1.363924,1.363924,50,0
RCMN.DE,D,20130605,000000,1.346768,1.346768,1.346768,1.346768,2000,0
RCMN.DE,D,20130606,000000,1.346768,1.346768,1.346768,1.346768,250,0
RCMN.DE,D,20130610,000000,1.369071,1.369071,1.369071,1.369071,80,0
RCMN.DE,D,20130611,000000,1.355346,1.355346,1.355346,1.355346,1000,0
RCMN.DE,D,20130612,000000,1.355346,1.355346,1.355346,1.355346,500,0
RCMN.DE,D,20130614,000000,1.355346,1.355346,1.355346,1.355346,3500,0
RCMN.DE,D,20130620,000000,1.355346,1.355346,1.355346,1.355346,4000,0
RCMN.DE,D,20130621,000000,1.355346,1.355346,1.355346,1.355346,2400,0
RCMN.DE,D,20130627,000000,1.338189,1.338189,1.338189,1.338189,250,0
RCMN.DE,D,20130628,000000,1.342478,1.342478,1.338189,1.338189,23350,0
RCMN.DE,D,20130702,000000,1.346768,1.346768,1.346768,1.346768,650,0
RCMN.DE,D,20130703,000000,1.338189,1.338189,1.338189,1.338189,4916,0
RCMN.DE,D,20130708,000000,1.338189,1.346768,1.338189,1.346768,16350,0
RCMN.DE,D,20130710,000000,1.355346,1.355346,1.355346,1.355346,3300,0
RCMN.DE,D,20130711,000000,1.355346,1.355346,1.355346,1.355346,1700,0
RCMN.DE,D,20130717,000000,1.346768,1.355346,1.346768,1.355346,6500,0
RCMN.DE,D,20130723,000000,1.346768,1.346768,1.346768,1.346768,315,0
RCMN.DE,D,20130724,000000,1.346768,1.346768,1.346768,1.346768,12470,0
