<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCRS.DE,D,20200221,000000,4.565,4.57,4.517,4.517,1100,0
RCRS.DE,D,20200224,000000,4.4525,4.4525,4.348,4.348,1500,0
RCRS.DE,D,20200225,000000,4.3935,4.4015,4.259,4.259,223,0
RCRS.DE,D,20200226,000000,4.221,4.262,4.221,4.262,0,0
RCRS.DE,D,20200227,000000,4.1495,4.162,4.0925,4.0925,1577,0
RCRS.DE,D,20200228,000000,3.9815,3.9815,3.95,3.9575,0,0
RCRS.DE,D,20200302,000000,4.0635,4.0635,3.9445,3.9905,0,0
RCRS.DE,D,20200303,000000,4.038,4.0765,4.017,4.017,1764,0
RCRS.DE,D,20200304,000000,4.0085,4.0605,4.0085,4.05,0,0
RCRS.DE,D,20200305,000000,4.059,4.059,3.9955,4.04,0,0
RCRS.DE,D,20200306,000000,3.9405,3.9405,3.8465,3.8495,2000,0
RCRS.DE,D,20200309,000000,3.5395,3.5395,3.5395,3.5395,0,0
RCRS.DE,D,20200310,000000,3.636,3.636,3.531,3.531,0,0
RCRS.DE,D,20200311,000000,3.545,3.545,3.513,3.533,0,0
RCRS.DE,D,20200312,000000,3.363,3.363,3.2395,3.2395,100,0
RCRS.DE,D,20200313,000000,3.3335,3.358,3.253,3.253,0,0
RCRS.DE,D,20200316,000000,3.0325,3.1555,2.991,3.1555,102,0
RCRS.DE,D,20200317,000000,3.1345,3.268,3.1345,3.268,0,0
RCRS.DE,D,20200318,000000,3.133,3.223,3.061,3.223,0,0
RCRS.DE,D,20200319,000000,3.156,3.2975,3.156,3.2975,0,0
RCRS.DE,D,20200320,000000,3.446,3.4585,3.4225,3.4225,0,0
RCRS.DE,D,20200323,000000,3.3935,3.3935,3.354,3.354,0,0
RCRS.DE,D,20200324,000000,3.56,3.662,3.533,3.662,200,0
RCRS.DE,D,20200325,000000,3.706,3.734,3.65,3.7285,100,0
RCRS.DE,D,20200326,000000,3.576,3.7425,3.5545,3.7425,0,0
RCRS.DE,D,20200327,000000,3.773,3.773,3.672,3.6845,13,0
RCRS.DE,D,20200330,000000,3.73,3.791,3.73,3.791,0,0
RCRS.DE,D,20200331,000000,3.9105,3.9105,3.825,3.8515,466,0
RCRS.DE,D,20200401,000000,3.6195,3.7495,3.6195,3.7495,2000,0
RCRS.DE,D,20200402,000000,3.7065,3.722,3.679,3.722,200,0
RCRS.DE,D,20200403,000000,3.6705,3.6875,3.6705,3.6875,0,0
RCRS.DE,D,20200406,000000,3.8675,3.8675,3.844,3.8455,906,0
RCRS.DE,D,20200407,000000,3.914,3.974,3.873,3.873,353,0
RCRS.DE,D,20200408,000000,3.8005,3.927,3.8005,3.927,0,0
RCRS.DE,D,20200409,000000,3.9585,3.959,3.942,3.959,0,0
RCRS.DE,D,20200414,000000,4.002,4.0385,3.97,4.0385,12,0
RCRS.DE,D,20200415,000000,4.073,4.073,3.9835,4.0335,723,0
