<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RQFI.DE,D,20140124,000000,5.034128,5.034128,4.917567,4.917567,25810,0
RQFI.DE,D,20140127,000000,4.965293,4.965293,4.896458,4.946937,246011,0
RQFI.DE,D,20140128,000000,4.988238,4.988238,4.942348,4.946937,31344,0
RQFI.DE,D,20140129,000000,4.960704,4.965293,4.910225,4.917567,3850,0
RQFI.DE,D,20140130,000000,4.910225,4.928581,4.910225,4.928581,200,0
RQFI.DE,D,20140131,000000,4.923992,4.923992,4.88728,4.917567,3290,0
RQFI.DE,D,20140203,000000,4.878102,4.919403,4.864335,4.864335,9980,0
RQFI.DE,D,20140204,000000,4.868924,4.868924,4.827623,4.867088,3800,0
RQFI.DE,D,20140205,000000,4.818445,4.855157,4.798253,4.798253,8600,0
RQFI.DE,D,20140206,000000,4.873513,4.910225,4.873513,4.885444,2790,0
RQFI.DE,D,20140207,000000,4.928581,4.968046,4.928581,4.968046,200,0
RQFI.DE,D,20140210,000000,5.029539,5.038717,5.015772,5.015772,10758,0
RQFI.DE,D,20140211,000000,5.093784,5.11214,5.075428,5.098373,15227,0
RQFI.DE,D,20140212,000000,5.148852,5.176386,5.093784,5.160784,34668,0
RQFI.DE,D,20140213,000000,5.084606,5.093784,5.047894,5.070839,17400,0
RQFI.DE,D,20140214,000000,5.121318,5.130496,5.11214,5.119483,4084,0
RQFI.DE,D,20140217,000000,5.15803,5.15803,5.119483,5.119483,61349,0
RQFI.DE,D,20140218,000000,5.084606,5.084606,5.038717,5.057072,26027,0
RQFI.DE,D,20140219,000000,5.089195,5.089195,5.078182,5.078182,200,0
RQFI.DE,D,20140220,000000,5.047894,5.061661,5.034128,5.061661,2380,0
RQFI.DE,D,20140221,000000,5.002005,5.002005,4.956115,4.974471,3900,0
RQFI.DE,D,20140224,000000,4.878102,4.896458,4.827623,4.896458,14314,0
RQFI.DE,D,20140225,000000,4.70372,4.712898,4.648652,4.694542,226250,0
RQFI.DE,D,20140226,000000,4.731254,4.731254,4.722076,4.722076,1080,0
RQFI.DE,D,20140227,000000,4.772555,4.772555,4.701884,4.701884,975,0
