<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBIM.DE,D,20210311,000000,52.2,52.35,52.2,52.35,6271,0
SBIM.DE,D,20210312,000000,51.63,51.63,51.52,51.52,0,0
SBIM.DE,D,20210315,000000,51.45,51.75,51.45,51.57,4451,0
SBIM.DE,D,20210316,000000,51.92,52.22,51.89,52.22,124,0
SBIM.DE,D,20210317,000000,51.86,51.86,51.43,51.57,0,0
SBIM.DE,D,20210318,000000,51.95,51.95,51.69,51.69,0,0
SBIM.DE,D,20210319,000000,51.36,51.79,51.36,51.79,0,0
SBIM.DE,D,20210322,000000,51.51,51.65,51.51,51.65,0,0
SBIM.DE,D,20210323,000000,51.18,51.35,51.18,51.35,88,0
SBIM.DE,D,20210324,000000,50.68,50.91,50.46,50.46,453,0
SBIM.DE,D,20210325,000000,50.22,50.53,50,50.53,119,0
SBIM.DE,D,20210326,000000,51.16,51.23,50.88,50.9,20,0
SBIM.DE,D,20210329,000000,51.07,51.43,51.07,51.33,0,0
SBIM.DE,D,20210330,000000,51.55,51.82,51.53,51.82,0,0
SBIM.DE,D,20210331,000000,51.62,52.02,51.62,52.02,895,0
SBIM.DE,D,20210401,000000,52.45,52.68,52.45,52.61,0,0
SBIM.DE,D,20210406,000000,52.32,52.6,52.32,52.6,0,0
SBIM.DE,D,20210407,000000,52.03,52.03,51.56,51.62,0,0
SBIM.DE,D,20210408,000000,52.24,52.24,52.03,52.05,16,0
SBIM.DE,D,20210409,000000,51.57,51.59,51.43,51.43,0,0
SBIM.DE,D,20210412,000000,51.16,51.21,51.08,51.08,38,0
SBIM.DE,D,20210413,000000,51.13,51.4,51.12,51.4,48,0
SBIM.DE,D,20210414,000000,51.52,51.68,51.52,51.58,0,0
SBIM.DE,D,20210415,000000,51.42,51.7,51.42,51.7,0,0
SBIM.DE,D,20210416,000000,51.89,52.03,51.89,51.89,41,0
SBIM.DE,D,20210419,000000,51.93,51.93,51.44,51.44,0,0
SBIM.DE,D,20210420,000000,51.6,51.6,50.99,50.99,0,0
SBIM.DE,D,20210421,000000,51.01,51.18,51.01,51.18,22,0
SBIM.DE,D,20210422,000000,51.3,51.55,51.19,51.55,0,0
SBIM.DE,D,20210423,000000,51.68,51.74,51.68,51.73,10,0
SBIM.DE,D,20210426,000000,51.63,51.78,51.45,51.76,292,0
SBIM.DE,D,20210427,000000,51.9,51.9,51.78,51.8,0,0
SBIM.DE,D,20210428,000000,51.84,51.93,51.84,51.88,0,0
SBIM.DE,D,20210429,000000,52.19,52.19,51.65,51.65,0,0
SBIM.DE,D,20210430,000000,51.47,51.47,51.27,51.41,1,0
SBIM.DE,D,20210503,000000,51.13,51.28,51.13,51.28,0,0
SBIM.DE,D,20210504,000000,51.31,51.32,50.65,50.65,2,0
SBIM.DE,D,20210505,000000,50.93,51.22,50.93,51.22,0,0
SBIM.DE,D,20210506,000000,51.22,51.28,51.12,51.28,0,0
SBIM.DE,D,20210507,000000,51.28,51.65,51.28,51.65,0,0
SBIM.DE,D,20210510,000000,51.08,51.27,50.72,50.72,1,0
SBIM.DE,D,20210511,000000,50.13,50.16,49.955,50.16,8,0
SBIM.DE,D,20210512,000000,50.1,50.1,49.525,49.525,346,0
SBIM.DE,D,20210513,000000,49.115,49.325,49.115,49.325,0,0
SBIM.DE,D,20210514,000000,49.51,49.875,49.51,49.875,260,0
SBIM.DE,D,20210517,000000,49.695,49.95,49.47,49.825,616,0
SBIM.DE,D,20210518,000000,50.47,50.47,50.28,50.34,1,0
SBIM.DE,D,20210519,000000,49.965,49.965,49.825,49.95,0,0
SBIM.DE,D,20210520,000000,50.17,50.45,49.985,50.45,0,0
SBIM.DE,D,20210521,000000,50.36,50.36,50.16,50.16,0,0
SBIM.DE,D,20210525,000000,50.93,50.93,50.71,50.71,0,0
SBIM.DE,D,20210526,000000,51.13,51.15,51.13,51.15,0,0
SBIM.DE,D,20210527,000000,51.21,51.35,51.21,51.35,246,0
SBIM.DE,D,20210528,000000,51.54,51.75,51.54,51.75,196,0
SBIM.DE,D,20210531,000000,52.15,52.15,51.99,51.99,0,0
SBIM.DE,D,20210601,000000,52.55,52.69,52.49,52.49,61,0
SBIM.DE,D,20210602,000000,52.46,52.73,52.46,52.73,0,0
SBIM.DE,D,20210603,000000,52.56,52.69,52.32,52.63,4018,0
SBIM.DE,D,20210604,000000,52.62,52.75,52.6,52.75,0,0
SBIM.DE,D,20210607,000000,52.7,52.7,52.31,52.31,0,0
SBIM.DE,D,20210608,000000,52.41,52.42,52.27,52.27,0,0
