<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SC0D.DE,D,20100607,000000,40.46,40.85,40.46,40.85,13990,0
SC0D.DE,D,20100608,000000,40.23,40.56,39.98,40.56,6170,0
SC0D.DE,D,20100609,000000,41.05,41.31,40.87,41.28,862464,0
SC0D.DE,D,20100610,000000,41.05,42.33,41,42.12,2201180,0
SC0D.DE,D,20100611,000000,42.38,42.85,42.08,42.56,4343557,0
SC0D.DE,D,20100614,000000,43.17,43.45,43.03,43.42,489973,0
SC0D.DE,D,20100615,000000,43.25,44.05,43.25,43.95,1265774,0
SC0D.DE,D,20100616,000000,44.19,44.19,43.62,44,799140,0
SC0D.DE,D,20100617,000000,43.9,44.41,43.87,44.17,3029238,0
SC0D.DE,D,20100618,000000,44.38,44.39,44.19,44.25,105782,0
SC0D.DE,D,20100621,000000,45.01,45.1,44.82,44.82,230531,0
SC0D.DE,D,20100622,000000,44.5,44.65,44.1,44.45,785472,0
SC0D.DE,D,20100623,000000,44.05,44.35,43.55,43.72,1025939,0
SC0D.DE,D,20100624,000000,43.75,43.75,42.77,42.77,478265,0
SC0D.DE,D,20100625,000000,42.73,43.05,42.51,42.51,388574,0
SC0D.DE,D,20100628,000000,42.8,43.24,42.4,43.24,647991,0
SC0D.DE,D,20100629,000000,42.38,42.38,41.36,41.36,1246732,0
SC0D.DE,D,20100630,000000,41.51,41.93,41.37,41.65,788535,0
SC0D.DE,D,20100701,000000,41.03,41.36,40.55,40.76,508610,0
SC0D.DE,D,20100702,000000,40.83,41.32,40.73,40.73,321042,0
SC0D.DE,D,20100705,000000,40.69,40.73,40.5,40.5,88114,0
SC0D.DE,D,20100706,000000,40.9,42.08,40.9,41.75,824126,0
SC0D.DE,D,20100707,000000,41.37,42.66,41,42.66,610171,0
SC0D.DE,D,20100708,000000,42.95,43.32,42.8,43.24,850086,0
SC0D.DE,D,20100709,000000,43.5,43.55,43.21,43.41,148484,0
SC0D.DE,D,20100712,000000,43.4,43.73,43.28,43.51,202845,0
SC0D.DE,D,20100713,000000,43.66,44.34,43.59,44.34,184258,0
SC0D.DE,D,20100714,000000,44.31,44.31,43.98,44.31,159760,0
SC0D.DE,D,20100715,000000,44.24,44.46,43.7,43.72,625836,0
SC0D.DE,D,20100716,000000,43.74,44.11,42.76,42.76,36700,0
SC0D.DE,D,20100719,000000,42.83,43.26,42.64,42.64,35473,0
SC0D.DE,D,20100720,000000,42.7,42.75,41.93,42.49,173846,0
SC0D.DE,D,20100721,000000,42.93,43.08,42.74,42.74,57620,0
SC0D.DE,D,20100722,000000,42.98,43.93,42.98,43.93,48718,0
SC0D.DE,D,20100723,000000,44.01,44.16,43.67,44.01,537220,0
SC0D.DE,D,20100726,000000,43.99,44.41,43.99,44.41,57558,0
SC0D.DE,D,20100727,000000,44.78,45.15,44.73,44.85,160519,0
SC0D.DE,D,20100728,000000,45.13,45.13,44.62,44.84,349823,0
SC0D.DE,D,20100729,000000,45.08,45.2,44.56,44.56,104727,0
SC0D.DE,D,20100730,000000,44.28,44.57,43.41,44.4,51283,0
SC0D.DE,D,20100802,000000,44.7,45.74,44.7,45.74,180580,0
SC0D.DE,D,20100803,000000,45.6,45.71,45.32,45.71,245929,0
SC0D.DE,D,20100804,000000,45.53,45.77,45.26,45.77,108532,0
SC0D.DE,D,20100805,000000,45.87,45.87,45.59,45.59,51301,0
SC0D.DE,D,20100806,000000,45.82,45.87,44.82,45.09,65004,0
SC0D.DE,D,20100809,000000,45.67,45.8,45.65,45.8,55984,0
SC0D.DE,D,20100810,000000,45.26,45.46,45.16,45.35,46964,0
SC0D.DE,D,20100811,000000,44.89,44.97,44.09,44.13,131442,0
SC0D.DE,D,20100812,000000,44.1,44.3,43.8,44.07,76015,0
SC0D.DE,D,20100813,000000,44.32,44.32,43.64,43.84,56600,0
SC0D.DE,D,20100816,000000,43.65,43.78,43.54,43.7,103742,0
SC0D.DE,D,20100817,000000,43.96,44.39,43.96,44.39,40602,0
SC0D.DE,D,20100818,000000,44.09,44.34,43.91,44.19,23945,0
SC0D.DE,D,20100819,000000,44.43,44.49,43.25,43.25,65585,0
SC0D.DE,D,20100820,000000,43.34,43.34,42.7,42.7,130422,0
SC0D.DE,D,20100823,000000,42.89,43.45,42.89,43.08,20431,0
