<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEAA.DE,D,20190313,000000,10.532233,10.532233,10.507951,10.507951,33,0
SEAA.DE,D,20190314,000000,10.491763,10.526996,10.491763,10.507951,0,0
SEAA.DE,D,20190315,000000,10.493191,10.505094,10.493191,10.50319,716,0
SEAA.DE,D,20190318,000000,10.484145,10.502238,10.469861,10.493667,4000,0
SEAA.DE,D,20190319,000000,10.494144,10.510808,10.482241,10.484145,1000,0
SEAA.DE,D,20190320,000000,10.50319,10.51176,10.483669,10.491287,46,0
SEAA.DE,D,20190321,000000,10.479384,10.508427,10.470338,10.508427,0,0
SEAA.DE,D,20190322,000000,10.474623,10.604127,10.474623,10.550802,4615,0
SEAA.DE,D,20190325,000000,10.541279,10.549373,10.521758,10.536518,2818,0
SEAA.DE,D,20190326,000000,10.541279,10.578417,10.541279,10.569846,1600,0
SEAA.DE,D,20190327,000000,10.611269,10.616506,10.569846,10.588891,3,0
SEAA.DE,D,20190328,000000,10.598414,10.632694,10.598414,10.617458,1601,0
SEAA.DE,D,20190329,000000,10.617458,10.642693,10.617458,10.626981,0,0
SEAA.DE,D,20190401,000000,10.626981,10.646026,10.626981,10.646026,0,0
SEAA.DE,D,20190402,000000,10.670784,10.670784,10.66507,10.66507,0,0
SEAA.DE,D,20190403,000000,10.670308,10.670308,10.632218,10.64174,89,0
SEAA.DE,D,20190404,000000,10.637455,10.687924,10.637455,10.669832,1178,0
SEAA.DE,D,20190405,000000,10.660785,10.687448,10.658881,10.67126,1148,0
SEAA.DE,D,20190408,000000,10.655548,10.655548,10.617458,10.617458,0,0
SEAA.DE,D,20190409,000000,10.620791,10.620791,10.605079,10.605079,0,0
SEAA.DE,D,20190410,000000,10.631742,10.687448,10.612697,10.612697,3800,0
SEAA.DE,D,20190411,000000,10.624124,10.655072,10.601746,10.621743,4470,0
SEAA.DE,D,20190412,000000,10.60746,10.60746,10.562229,10.562229,0,0
SEAA.DE,D,20190415,000000,10.579369,10.59032,10.574132,10.59032,0,0
SEAA.DE,D,20190416,000000,10.579369,10.598414,10.579369,10.598414,0,0
SEAA.DE,D,20190417,000000,10.588891,10.622696,10.588891,10.593652,2225,0
SEAA.DE,D,20190418,000000,10.605079,10.646978,10.605079,10.627457,0,0
SEAA.DE,D,20190423,000000,10.645549,10.728394,10.645549,10.688876,1814,0
SEAA.DE,D,20190424,000000,10.684115,10.69459,10.684115,10.693637,0,0
SEAA.DE,D,20190425,000000,10.731727,10.737917,10.731727,10.736488,0,0
SEAA.DE,D,20190426,000000,10.741249,10.741726,10.70554,10.70554,0,0
SEAA.DE,D,20190429,000000,10.725061,10.756009,10.719348,10.719348,1282,0
SEAA.DE,D,20190430,000000,10.70316,10.70316,10.677926,10.688876,0,0
SEAA.DE,D,20190502,000000,10.715539,10.715539,10.697923,10.70316,0,0
SEAA.DE,D,20190503,000000,10.722205,10.747439,10.708873,10.708873,0,0
SEAA.DE,D,20190506,000000,10.719348,10.751724,10.707445,10.727442,1428,0
SEAA.DE,D,20190507,000000,10.713158,10.736488,10.713158,10.736488,0,0
SEAA.DE,D,20190508,000000,10.712682,10.732203,10.706969,10.707921,534,0
SEAA.DE,D,20190509,000000,10.724109,10.724109,10.664118,10.664118,0,0
SEAA.DE,D,20190510,000000,10.684591,10.721729,10.669832,10.669832,12507,0
SEAA.DE,D,20190513,000000,10.68602,10.68602,10.66507,10.66507,0,0
SEAA.DE,D,20190514,000000,10.669832,10.69697,10.669832,10.69697,0,0
SEAA.DE,D,20190515,000000,10.692685,10.724109,10.692685,10.707921,0,0
SEAA.DE,D,20190516,000000,10.7203,10.762675,10.702208,10.731727,6889,0
SEAA.DE,D,20190517,000000,10.729346,10.741249,10.729346,10.741249,0,0
SEAA.DE,D,20190520,000000,10.756009,10.777434,10.726966,10.726966,44,0
SEAA.DE,D,20190521,000000,10.762199,10.768864,10.755533,10.755533,0,0
SEAA.DE,D,20190522,000000,10.77553,10.77553,10.750772,10.765055,0,0
SEAA.DE,D,20190523,000000,10.794099,10.806002,10.741249,10.741249,1180,0
SEAA.DE,D,20190524,000000,10.712682,10.772673,10.70316,10.70316,4725,0
SEAA.DE,D,20190527,000000,10.715539,10.726966,10.715539,10.726966,0,0
SEAA.DE,D,20190528,000000,10.745058,10.759342,10.733155,10.736488,808,0
SEAA.DE,D,20190529,000000,10.768388,10.798384,10.768388,10.798384,0,0
SEAA.DE,D,20190530,000000,10.786481,10.800764,10.786481,10.788861,11,0
SEAA.DE,D,20190531,000000,10.796479,10.796479,10.733155,10.774578,4718,0
SEAA.DE,D,20190603,000000,10.759818,10.759818,10.722205,10.722205,0,0
SEAA.DE,D,20190604,000000,10.668879,10.685543,10.667451,10.685543,0,0
SEAA.DE,D,20190605,000000,10.678878,10.730775,10.678878,10.696018,93,0
SEAA.DE,D,20190606,000000,10.722681,10.72649,10.670784,10.670784,0,0
SEAA.DE,D,20190607,000000,10.716015,10.721729,10.66507,10.66507,87,0
SEAA.DE,D,20190611,000000,10.680782,10.680782,10.669355,10.675545,0,0
SEAA.DE,D,20190612,000000,10.673164,10.691257,10.673164,10.687924,0,0
SEAA.DE,D,20190613,000000,10.725537,10.734584,10.725537,10.725537,0,0
SEAA.DE,D,20190614,000000,10.718396,10.779339,10.718396,10.779339,0,0
SEAA.DE,D,20190617,000000,10.786005,10.800288,10.7841,10.7841,0,0
SEAA.DE,D,20190618,000000,10.786481,10.850757,10.786481,10.850757,0,0
SEAA.DE,D,20190619,000000,10.858375,10.858375,10.831712,10.831712,0,0
SEAA.DE,D,20190620,000000,10.812191,10.845996,10.806478,10.821237,36,0
SEAA.DE,D,20190621,000000,10.807906,10.835997,10.774578,10.774578,6006,0
SEAA.DE,D,20190624,000000,10.716967,10.716967,10.701732,10.701732,0,0
SEAA.DE,D,20190625,000000,10.698399,10.731251,10.698399,10.713158,9000,0
SEAA.DE,D,20190626,000000,10.750772,10.750772,10.714587,10.714587,0,0
SEAA.DE,D,20190627,000000,10.720776,10.727442,10.720776,10.727442,0,0
SEAA.DE,D,20190628,000000,10.726014,10.759342,10.726014,10.731727,1942,0
SEAA.DE,D,20190701,000000,10.793623,10.843139,10.788861,10.843139,0,0
SEAA.DE,D,20190702,000000,10.836949,10.836949,10.826951,10.826951,0,0
SEAA.DE,D,20190703,000000,10.847424,10.86504,10.847424,10.86504,0,0
SEAA.DE,D,20190704,000000,10.857899,10.874087,10.857899,10.867897,0,0
SEAA.DE,D,20190705,000000,10.899797,10.927888,10.899797,10.922175,13946,0
SEAA.DE,D,20190708,000000,10.918842,10.940267,10.917414,10.917414,1317,0
SEAA.DE,D,20190709,000000,10.918842,10.923127,10.912652,10.912652,0,0
SEAA.DE,D,20190710,000000,10.912652,10.912652,10.874563,10.874563,0,0
SEAA.DE,D,20190711,000000,10.8798,10.8798,10.874087,10.874563,0,0
SEAA.DE,D,20190712,000000,10.86266,10.897417,10.86266,10.874563,1109,0
SEAA.DE,D,20190715,000000,10.864564,10.884085,10.864564,10.884085,0,0
SEAA.DE,D,20190716,000000,10.895036,10.938363,10.895036,10.938363,0,0
SEAA.DE,D,20190717,000000,10.941219,10.976928,10.92027,10.936458,4766,0
SEAA.DE,D,20190718,000000,10.917414,10.950266,10.917414,10.923127,12,0
SEAA.DE,D,20190719,000000,10.893131,10.945028,10.893131,10.941219,167,0
SEAA.DE,D,20190722,000000,10.928364,10.950742,10.928364,10.950742,18,0
SEAA.DE,D,20190723,000000,10.979309,11.024064,10.979309,10.993116,2038,0
SEAA.DE,D,20190724,000000,11.02216,11.050727,10.99264,11.035491,5754,0
SEAA.DE,D,20190725,000000,11.050727,11.050727,11.02216,11.02216,167,0
SEAA.DE,D,20190726,000000,11.036443,11.057393,11.036443,11.057393,18,0
SEAA.DE,D,20190729,000000,11.055488,11.060249,11.031682,11.031682,0,0
SEAA.DE,D,20190730,000000,11.036443,11.036443,11.017399,11.017399,0,0
SEAA.DE,D,20190731,000000,11.022828,11.088719,11.022828,11.05016,29903,0
SEAA.DE,D,20190801,000000,11.131182,11.147777,11.123373,11.123373,80,0
SEAA.DE,D,20190802,000000,11.076517,11.100433,11.049184,11.049184,283,0
SEAA.DE,D,20190805,000000,11.040399,11.040399,10.943759,10.943759,1347,0
SEAA.DE,D,20190806,000000,10.933021,10.935461,10.926676,10.935461,0,0
SEAA.DE,D,20190807,000000,10.933021,10.954008,10.914474,10.914474,0,0
SEAA.DE,D,20190808,000000,10.93839,10.944247,10.93839,10.944247,0,0
SEAA.DE,D,20190809,000000,10.971579,10.971579,10.947663,10.947663,0,0
SEAA.DE,D,20190812,000000,10.960841,10.973043,10.879332,10.889093,1862,0
SEAA.DE,D,20190813,000000,10.911057,10.911057,10.853952,10.889093,0,0
SEAA.DE,D,20190814,000000,10.878356,10.894462,10.878356,10.894462,0,0
SEAA.DE,D,20190815,000000,10.888117,10.968651,10.888117,10.962306,3854,0
SEAA.DE,D,20190816,000000,10.949616,10.991102,10.949616,10.981829,0,0
SEAA.DE,D,20190819,000000,10.952056,10.972067,10.952056,10.972067,0,0
SEAA.DE,D,20190820,000000,10.991591,11.007209,10.972067,10.972067,679,0
SEAA.DE,D,20190821,000000,10.974996,10.975484,10.961818,10.975484,0,0
SEAA.DE,D,20190822,000000,10.994519,11.015995,10.994519,10.994519,0,0
SEAA.DE,D,20190823,000000,11.00184,11.03503,10.92814,10.92814,0,0
SEAA.DE,D,20190826,000000,10.938878,11.000864,10.938878,10.972067,5179,0
SEAA.DE,D,20190827,000000,10.97402,11.000376,10.97402,11.000376,0,0
SEAA.DE,D,20190828,000000,10.9994,11.002816,10.991591,11.002816,0,0
SEAA.DE,D,20190829,000000,10.9789,11.011114,10.9789,11.011114,0,0
SEAA.DE,D,20190830,000000,11.030637,11.069684,11.021852,11.069684,0,0
SEAA.DE,D,20190902,000000,11.077493,11.098968,11.077493,11.098968,0,0
SEAA.DE,D,20190903,000000,11.112147,11.115563,11.086278,11.103849,3577,0
SEAA.DE,D,20190904,000000,11.089207,11.089207,11.059922,11.059922,0,0
SEAA.DE,D,20190905,000000,11.079445,11.079445,11.020875,11.040399,3627,0
SEAA.DE,D,20190906,000000,11.040399,11.042839,11.020875,11.040399,16322,0
SEAA.DE,D,20190909,000000,11.059922,11.076029,11.031125,11.035518,580,0
SEAA.DE,D,20190910,000000,11.059922,11.072612,11.059922,11.064803,8535,0
SEAA.DE,D,20190911,000000,11.039423,11.116539,11.039423,11.089207,4587,0
SEAA.DE,D,20190912,000000,11.078469,11.088719,11.055041,11.055041,900,0
SEAA.DE,D,20190913,000000,11.044303,11.044303,10.963282,11.018923,3615,0
SEAA.DE,D,20190916,000000,10.995983,11.089207,10.991591,11.089207,905,0
SEAA.DE,D,20190917,000000,11.073588,11.073588,11.040399,11.040399,0,0
SEAA.DE,D,20190918,000000,11.040399,11.058458,11.003793,11.011602,11400,0
SEAA.DE,D,20190919,000000,11.053089,11.064803,11.031613,11.064803,0,0
SEAA.DE,D,20190920,000000,11.040399,11.122884,11.040399,11.118492,106,0
SEAA.DE,D,20190923,000000,11.09604,11.174621,11.09604,11.129229,163,0
SEAA.DE,D,20190924,000000,11.113611,11.132158,11.075052,11.075052,1600,0
SEAA.DE,D,20190925,000000,11.069684,11.10873,11.069684,11.10873,0,0
SEAA.DE,D,20190926,000000,11.12142,11.15461,11.12142,11.138015,4173,0
SEAA.DE,D,20190927,000000,11.162907,11.162907,11.113123,11.127277,397,0
SEAA.DE,D,20191001,000000,11.194632,11.194632,11.135086,11.138015,800,0
SEAA.DE,D,20191002,000000,11.153634,11.153634,11.098968,11.098968,0,0
SEAA.DE,D,20191004,000000,11.125325,11.145824,11.111659,11.128253,34466,0
SEAA.DE,D,20191007,000000,11.125325,11.174621,11.109706,11.109706,105,0
SEAA.DE,D,20191008,000000,11.127277,11.138991,11.115563,11.138991,0,0
SEAA.DE,D,20191009,000000,11.144848,11.155098,11.136551,11.155098,1114,0
SEAA.DE,D,20191010,000000,11.112635,11.118492,11.087254,11.118492,0,0
SEAA.DE,D,20191011,000000,11.097504,11.125813,11.078469,11.088231,20,0
SEAA.DE,D,20191014,000000,11.089207,11.122396,11.087254,11.101897,9524,0
SEAA.DE,D,20191015,000000,11.079445,11.116539,11.079445,11.089207,0,0
SEAA.DE,D,20191016,000000,11.075052,11.08579,11.055041,11.055041,0,0
SEAA.DE,D,20191017,000000,11.051136,11.051136,10.994031,11.002328,443,0
SEAA.DE,D,20191018,000000,11.020875,11.020875,10.982805,10.982805,0,0
SEAA.DE,D,20191021,000000,10.981829,10.981829,10.946199,10.971091,251,0
SEAA.DE,D,20191022,000000,10.971091,10.984757,10.971091,10.984757,0,0
SEAA.DE,D,20191023,000000,11.001352,11.01209,10.998912,11.01209,0,0
SEAA.DE,D,20191024,000000,11.000376,11.014042,10.988174,11.014042,0,0
SEAA.DE,D,20191025,000000,11.027709,11.040399,11.01209,11.040399,0,0
SEAA.DE,D,20191028,000000,11.036494,11.044791,11.013066,11.020875,1660,0
SEAA.DE,D,20191029,000000,11.024292,11.05016,11.001352,11.001352,267,0
SEAA.DE,D,20191030,000000,10.985246,10.988662,10.981829,10.981829,0,0
SEAA.DE,D,20191031,000000,10.955961,10.973043,10.954008,10.973043,0,0
SEAA.DE,D,20191101,000000,10.959377,10.97646,10.959377,10.972067,0,0
SEAA.DE,D,20191104,000000,10.982317,10.982317,10.973043,10.973043,0,0
SEAA.DE,D,20191105,000000,10.989638,11.058946,10.989638,11.043327,9122,0
SEAA.DE,D,20191106,000000,11.021852,11.059922,11.021852,11.040399,445,0
SEAA.DE,D,20191107,000000,11.055041,11.060898,11.041375,11.060898,0,0
SEAA.DE,D,20191108,000000,11.07066,11.097016,11.07066,11.089207,1400,0
SEAA.DE,D,20191111,000000,11.07066,11.080421,11.07066,11.07066,0,0
SEAA.DE,D,20191112,000000,11.086766,11.102385,11.086766,11.089207,0,0
SEAA.DE,D,20191113,000000,11.098968,11.10873,11.09848,11.10873,0,0
SEAA.DE,D,20191114,000000,11.115563,11.137039,11.115563,11.137039,674,0
SEAA.DE,D,20191115,000000,11.106778,11.106778,11.098968,11.098968,0,0
SEAA.DE,D,20191118,000000,11.076517,11.076517,11.026732,11.026732,0,0
SEAA.DE,D,20191119,000000,11.032589,11.032589,10.989638,10.989638,187000,0
SEAA.DE,D,20191120,000000,11.003305,11.02722,11.003305,11.01209,106,0
SEAA.DE,D,20191121,000000,10.994519,11.045768,10.990126,11.011114,48,0
SEAA.DE,D,20191122,000000,11.006233,11.05016,11.006233,11.05016,0,0
SEAA.DE,D,20191125,000000,11.056993,11.076517,11.056993,11.076517,0,0
SEAA.DE,D,20191126,000000,11.068707,11.078957,11.068707,11.078957,0,0
SEAA.DE,D,20191127,000000,11.104825,11.109706,11.097016,11.097016,0,0
SEAA.DE,D,20191128,000000,11.087254,11.105802,11.087254,11.095064,0,0
SEAA.DE,D,20191129,000000,11.093111,11.139967,11.076029,11.076029,6285,0
SEAA.DE,D,20191202,000000,11.081398,11.08579,11.007209,11.007209,0,0
SEAA.DE,D,20191203,000000,11.013066,11.013066,10.990614,10.990614,0,0
SEAA.DE,D,20191204,000000,11.02234,11.02722,10.972555,11.013554,44,0
SEAA.DE,D,20191205,000000,11.018923,11.057482,10.964746,11.006233,2517,0
SEAA.DE,D,20191206,000000,11.013554,11.079445,11.013554,11.079445,0,0
SEAA.DE,D,20191209,000000,11.05797,11.069684,11.05797,11.069684,0,0
SEAA.DE,D,20191210,000000,11.103849,11.118004,11.031125,11.055041,3097,0
SEAA.DE,D,20191211,000000,11.07066,11.097504,11.07066,11.07066,1857,0
SEAA.DE,D,20191212,000000,11.028685,11.056017,11.028685,11.056017,0,0
SEAA.DE,D,20191213,000000,11.005257,11.059922,10.975972,11.059922,20100,0
SEAA.DE,D,20191216,000000,11.043327,11.081886,11.043327,11.056017,1824,0
SEAA.DE,D,20191217,000000,11.038446,11.053089,11.038446,11.05016,0,0
SEAA.DE,D,20191218,000000,11.080421,11.095064,11.080421,11.088231,0,0
SEAA.DE,D,20191219,000000,11.087254,11.117516,11.087254,11.097016,5,0
SEAA.DE,D,20191220,000000,11.089207,11.163883,11.089207,11.152169,65,0
SEAA.DE,D,20191223,000000,11.130206,11.155586,11.130206,11.155586,0,0
SEAA.DE,D,20191227,000000,11.087743,11.094088,11.087743,11.094088,0,0
SEAA.DE,D,20191230,000000,11.086766,11.09604,11.086278,11.09604,0,0
SEAA.DE,D,20200102,000000,11.060898,11.083838,11.060898,11.081398,0,0
SEAA.DE,D,20200103,000000,11.141432,11.141432,11.090183,11.090183,0,0
SEAA.DE,D,20200106,000000,11.112147,11.112147,11.065779,11.066755,0,0
SEAA.DE,D,20200107,000000,11.086278,11.125813,11.079445,11.122884,1510,0
SEAA.DE,D,20200108,000000,11.110682,11.1468,11.110682,11.139967,9900,0
SEAA.DE,D,20200109,000000,11.167788,11.213668,11.167788,11.172181,17344,0
SEAA.DE,D,20200110,000000,11.178038,11.200001,11.177061,11.177061,0,0
SEAA.DE,D,20200113,000000,11.166324,11.179014,11.155586,11.155586,0,0
SEAA.DE,D,20200114,000000,11.155586,11.185847,11.155586,11.185847,15815,0
SEAA.DE,D,20200115,000000,11.178038,11.201954,11.162419,11.1673,44,0
SEAA.DE,D,20200116,000000,11.170228,11.223429,11.168764,11.17999,1300,0
SEAA.DE,D,20200117,000000,11.185847,11.270773,11.185847,11.224893,443,0
SEAA.DE,D,20200120,000000,11.241488,11.261011,11.221477,11.233679,439,0
SEAA.DE,D,20200121,000000,11.254178,11.254178,11.189263,11.233679,17506,0
SEAA.DE,D,20200122,000000,11.234655,11.235143,11.21806,11.218548,2618,0
SEAA.DE,D,20200123,000000,11.22587,11.30201,11.22587,11.283951,4686,0
SEAA.DE,D,20200124,000000,11.261011,11.284439,11.261011,11.284439,0,0
SEAA.DE,D,20200127,000000,11.260035,11.274678,11.260035,11.274678,0,0
SEAA.DE,D,20200128,000000,11.271981,11.303216,11.271981,11.303216,0,0
SEAA.DE,D,20200129,000000,11.289632,11.36528,11.289632,11.304274,1070,0
SEAA.DE,D,20200130,000000,11.334045,11.352591,11.27499,11.27499,22684,0
SEAA.DE,D,20200131,000000,11.278895,11.278895,11.225697,11.225697,270,0
SEAA.DE,D,20200203,000000,11.231,11.2595,11.231,11.2595,83,0
SEAA.DE,D,20200204,000000,11.248,11.286,11.2385,11.274,4424,0
SEAA.DE,D,20200205,000000,11.302,11.344,11.302,11.328,3456,0
SEAA.DE,D,20200206,000000,11.327,11.3865,11.327,11.3865,0,0
SEAA.DE,D,20200207,000000,11.375,11.39,11.375,11.39,260,0
SEAA.DE,D,20200210,000000,11.39,11.419,11.3705,11.419,650,0
SEAA.DE,D,20200211,000000,11.4385,11.4385,11.43,11.43,0,0
SEAA.DE,D,20200212,000000,11.42,11.4405,11.42,11.4405,0,0
SEAA.DE,D,20200213,000000,11.4835,11.4925,11.4835,11.4925,0,0
SEAA.DE,D,20200214,000000,11.481,11.507,11.481,11.504,1115,0
SEAA.DE,D,20200217,000000,11.5415,11.553,11.52,11.52,2000,0
SEAA.DE,D,20200218,000000,11.529,11.542,11.529,11.541,0,0
SEAA.DE,D,20200219,000000,11.56,11.569,11.56,11.569,0,0
SEAA.DE,D,20200220,000000,11.5505,11.598,11.5505,11.57,52,0
SEAA.DE,D,20200221,000000,11.575,11.575,11.51,11.51,0,0
SEAA.DE,D,20200224,000000,11.5255,11.5315,11.491,11.491,0,0
SEAA.DE,D,20200225,000000,11.482,11.487,11.429,11.442,1000,0
SEAA.DE,D,20200226,000000,11.445,11.445,11.3745,11.4185,2000,0
SEAA.DE,D,20200227,000000,11.38,11.38,11.284,11.284,4370,0
SEAA.DE,D,20200228,000000,11.24,11.24,11.113,11.19,2000,0
SEAA.DE,D,20200302,000000,11.124,11.124,11.091,11.091,0,0
SEAA.DE,D,20200303,000000,11.1265,11.1435,11.088,11.125,5750,0
SEAA.DE,D,20200304,000000,11.119,11.174,11.119,11.174,0,0
SEAA.DE,D,20200305,000000,11.177,11.177,11.089,11.089,121,0
SEAA.DE,D,20200306,000000,11.038,11.038,10.846,10.921,5325,0
SEAA.DE,D,20200309,000000,10.507,10.552,10.4685,10.513,9,0
SEAA.DE,D,20200310,000000,10.627,10.666,10.6205,10.666,0,0
SEAA.DE,D,20200311,000000,10.659,10.659,10.5505,10.634,630,0
SEAA.DE,D,20200312,000000,10.389,10.389,10.284,10.284,0,0
SEAA.DE,D,20200313,000000,10.468,10.598,10.452,10.598,6800,0
SEAA.DE,D,20200316,000000,10.4635,10.4635,10.124,10.124,746,0
SEAA.DE,D,20200317,000000,10.2205,10.3455,10.1525,10.34,287,0
SEAA.DE,D,20200318,000000,10.1545,10.1545,9.9152,9.9152,0,0
SEAA.DE,D,20200319,000000,9.9354,10.0095,9.9354,9.968,0,0
SEAA.DE,D,20200320,000000,10.0725,10.272,10.0725,10.254,0,0
SEAA.DE,D,20200323,000000,10.0345,10.0345,9.9,9.94,32,0
SEAA.DE,D,20200324,000000,10.0785,10.1265,10.0625,10.0625,0,0
SEAA.DE,D,20200325,000000,10.175,10.3195,10.175,10.188,0,0
SEAA.DE,D,20200326,000000,10.0335,10.061,10.009,10.061,0,0
SEAA.DE,D,20200327,000000,10.126,10.217,10.039,10.039,8,0
SEAA.DE,D,20200330,000000,10.074,10.081,10.067,10.081,0,0
SEAA.DE,D,20200331,000000,10.1145,10.3175,10.1145,10.154,3,0
SEAA.DE,D,20200401,000000,10.0095,10.165,10.0095,10.165,220,0
SEAA.DE,D,20200402,000000,10.151,10.2895,10.1355,10.1355,8,0
SEAA.DE,D,20200403,000000,10.263,10.337,10.263,10.2975,0,0
SEAA.DE,D,20200406,000000,10.329,10.36,10.322,10.322,0,0
SEAA.DE,D,20200407,000000,10.284,10.3975,10.284,10.359,494,0
SEAA.DE,D,20200408,000000,10.329,10.329,10.3035,10.312,0,0
SEAA.DE,D,20200409,000000,10.352,10.372,10.352,10.361,0,0
SEAA.DE,D,20200414,000000,10.46,10.46,10.427,10.427,0,0
SEAA.DE,D,20200415,000000,10.445,10.4585,10.413,10.413,0,0
SEAA.DE,D,20200416,000000,10.456,10.514,10.456,10.514,0,0
SEAA.DE,D,20200417,000000,10.5915,10.5915,10.464,10.464,95,0
SEAA.DE,D,20200420,000000,10.51,10.51,10.489,10.489,0,0
SEAA.DE,D,20200421,000000,10.5185,10.521,10.4395,10.4395,912,0
SEAA.DE,D,20200422,000000,10.461,10.4905,10.4515,10.4905,0,0
SEAA.DE,D,20200423,000000,10.5025,10.5435,10.5025,10.5255,0,0
SEAA.DE,D,20200424,000000,10.608,10.608,10.4525,10.4525,192,0
SEAA.DE,D,20200427,000000,10.4445,10.5065,10.4445,10.4905,0,0
SEAA.DE,D,20200428,000000,10.529,10.529,10.4605,10.479,0,0
SEAA.DE,D,20200429,000000,10.491,10.6085,10.491,10.6085,2250,0
SEAA.DE,D,20200430,000000,10.564,10.594,10.5095,10.529,9,0
SEAA.DE,D,20200504,000000,10.456,10.482,10.3935,10.482,262,0
SEAA.DE,D,20200505,000000,10.528,10.643,10.528,10.631,1816,0
SEAA.DE,D,20200506,000000,10.6405,10.667,10.6405,10.667,0,0
SEAA.DE,D,20200507,000000,10.6925,10.721,10.6925,10.721,0,0
SEAA.DE,D,20200508,000000,10.6805,10.72,10.672,10.672,187000,0
SEAA.DE,D,20200511,000000,10.6865,10.796,10.6865,10.796,2360,0
SEAA.DE,D,20200512,000000,10.714,10.729,10.714,10.729,0,0
SEAA.DE,D,20200513,000000,10.7605,10.7605,10.723,10.723,0,0
SEAA.DE,D,20200514,000000,10.773,10.79,10.739,10.739,550,0
SEAA.DE,D,20200515,000000,10.78,10.7825,10.78,10.78,0,0
SEAA.DE,D,20200518,000000,10.7825,10.8265,10.7825,10.79,0,0
SEAA.DE,D,20200519,000000,10.734,10.734,10.6915,10.732,0,0
SEAA.DE,D,20200520,000000,10.7375,10.8115,10.7375,10.759,56,0
SEAA.DE,D,20200521,000000,10.7935,10.84,10.7785,10.84,0,0
SEAA.DE,D,20200522,000000,10.8625,10.8625,10.8055,10.841,0,0
SEAA.DE,D,20200525,000000,10.8485,10.8485,10.8285,10.846,0,0
SEAA.DE,D,20200526,000000,10.869,10.869,10.8,10.8,0,0
SEAA.DE,D,20200527,000000,10.816,10.816,10.7585,10.778,0,0
SEAA.DE,D,20200528,000000,10.7865,10.8185,10.742,10.742,0,0
SEAA.DE,D,20200529,000000,10.722,10.722,10.669,10.669,16483,0
SEAA.DE,D,20200602,000000,10.698,10.7095,10.698,10.707,0,0
SEAA.DE,D,20200603,000000,10.692,10.7255,10.692,10.698,0,0
SEAA.DE,D,20200604,000000,10.7235,10.728,10.627,10.627,0,0
SEAA.DE,D,20200605,000000,10.5955,10.689,10.5695,10.689,368,0
